Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1641796,Pelle Larsson,1610612748,MIA,25.0,70,26.4,4.73,2.79,1.94,1.77,0.17,0.2,0.47,0.1,0.13,0.23,0.438,0.563,0.11,0.44,0.56,0.53,0.3,0.205,0.795,0.949,0.538
2025-26,1631250,Pete Nance,1610612749,MIL,26.0,41,17.5,3.32,2.24,1.07,0.76,0.0,0.71,1.63,0.12,0.05,0.17,0.714,0.286,0.07,0.22,0.29,0.29,0.17,0.25,0.75,1.0,0.583
2025-26,1631212,Peyton Watson,1610612743,DEN,23.0,54,29.6,6.11,3.81,2.3,1.57,0.06,0.54,1.35,0.31,0.33,0.65,0.486,0.514,0.06,0.15,0.2,0.2,0.19,0.273,0.727,1.0,0.909
2025-26,1630173,Precious Achiuwa,1610612758,SAC,26.0,73,23.9,5.55,3.47,2.08,1.74,0.04,0.88,2.04,0.34,0.14,0.48,0.714,0.286,0.47,0.33,0.79,0.79,0.56,0.586,0.414,1.0,0.707
2025-26,1629656,Quentin Grimes,1610612755,PHI,25.0,74,29.3,3.62,1.8,1.82,2.0,0.01,0.16,0.35,0.28,0.26,0.54,0.525,0.475,0.0,0.16,0.16,0.16,0.07,0.0,1.0,1.0,0.417
2025-26,1631245,Quenton Jackson,1610612754,IND,27.0,46,19.1,2.26,0.91,1.35,1.59,0.0,0.2,0.43,0.22,0.3,0.52,0.417,0.583,0.02,0.13,0.15,0.15,0.02,0.143,0.857,1.0,0.143
2025-26,1642366,Quinten Post,1610612744,GSW,26.0,66,17.5,6.24,4.76,1.48,0.59,0.0,0.91,2.24,0.08,0.24,0.32,0.238,0.762,0.26,0.64,0.89,0.88,0.65,0.288,0.712,0.983,0.729
2025-26,1629628,RJ Barrett,1610612761,TOR,25.0,57,30.3,4.74,2.67,2.07,1.86,0.05,0.42,1.0,0.28,0.23,0.51,0.552,0.448,0.12,0.32,0.44,0.44,0.26,0.28,0.72,1.0,0.6
2025-26,1642853,Rasheer Fleming,1610612756,PHX,21.0,47,13.7,2.13,1.28,0.85,1.3,0.0,0.19,0.45,0.11,0.06,0.17,0.625,0.375,0.04,0.17,0.21,0.21,0.11,0.2,0.8,1.0,0.5
2025-26,1642484,RayJ Dennis,1610612737,ATL,25.0,13,14.7,1.46,0.77,0.69,1.77,0.0,0.08,0.15,0.0,0.23,0.23,0.0,1.0,0.0,0.15,0.15,0.15,0.0,0.0,1.0,1.0,0.0
2025-26,1641712,Rayan Rupert,1610612763,MEM,21.0,54,19.0,2.7,1.43,1.28,1.98,0.04,0.24,0.59,0.22,0.15,0.37,0.6,0.4,0.04,0.13,0.17,0.15,0.06,0.222,0.778,0.889,0.333
2025-26,1642263,Reed Sheppard,1610612745,HOU,21.0,82,26.2,3.77,1.87,1.9,3.5,0.0,0.13,0.29,0.28,0.27,0.55,0.511,0.489,0.0,0.17,0.17,0.17,0.07,0.0,1.0,1.0,0.429
2025-26,1642434,Riley Minix,1610612739,CLE,25.0,8,7.1,2.13,0.63,1.5,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642265,Rob Dillingham,1610612741,CHI,21.0,59,16.0,2.07,1.05,1.02,1.41,0.0,0.05,0.12,0.2,0.15,0.36,0.571,0.429,0.02,0.05,0.07,0.05,0.03,0.25,0.75,0.75,0.5
2025-26,1629057,Robert Williams III,1610612757,POR,28.0,59,17.1,5.27,3.68,1.59,1.17,0.0,1.19,2.78,0.12,0.1,0.22,0.538,0.462,0.29,0.53,0.81,0.78,0.64,0.354,0.646,0.958,0.792
2025-26,1642911,Rocco Zikarsky,1610612750,MIN,19.0,4,8.2,4.5,3.75,0.75,0.25,0.0,1.0,2.25,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631199,Ron Harper Jr.,1610612738,BOS,26.0,20,14.3,1.95,1.3,0.65,1.0,0.0,0.15,0.3,0.2,0.25,0.45,0.444,0.556,0.05,0.2,0.25,0.25,0.2,0.2,0.8,1.0,0.8
2025-26,1641842,Ronald Holland II,1610612765,DET,20.0,75,20.0,2.09,1.04,1.05,2.23,0.03,0.21,0.53,0.21,0.28,0.49,0.432,0.568,0.05,0.09,0.15,0.13,0.09,0.364,0.636,0.909,0.636
2025-26,1626220,Royce O'Neale,1610612756,PHX,32.0,78,28.4,2.35,1.12,1.23,2.21,0.0,0.53,1.22,0.22,0.26,0.47,0.459,0.541,0.04,0.45,0.49,0.49,0.27,0.079,0.921,1.0,0.553
2025-26,203497,Rudy Gobert,1610612750,MIN,33.0,76,31.3,10.66,8.18,2.47,1.82,0.01,4.01,10.03,0.22,0.07,0.29,0.773,0.227,1.22,1.3,2.53,2.53,1.97,0.484,0.516,1.0,0.781
2025-26,1629060,Rui Hachimura,1610612747,LAL,28.0,67,28.4,3.55,2.3,1.25,1.25,0.01,0.4,0.91,0.15,0.15,0.3,0.5,0.5,0.01,0.57,0.58,0.57,0.24,0.026,0.974,1.0,0.421
2025-26,201566,Russell Westbrook,1610612758,SAC,37.0,60,29.1,1.83,0.82,1.02,2.28,0.0,0.17,0.37,0.42,0.35,0.77,0.543,0.457,0.03,0.12,0.15,0.15,0.12,0.222,0.778,1.0,0.778
2025-26,1642346,Ryan Dunn,1610612756,PHX,23.0,68,19.8,3.71,1.93,1.78,1.84,0.0,0.38,0.93,0.22,0.15,0.37,0.6,0.4,0.07,0.12,0.19,0.19,0.13,0.385,0.615,1.0,0.692
2025-26,1641750,Ryan Kalkbrenner,1610612766,CHA,24.0,69,21.4,9.38,7.32,2.06,1.03,0.03,2.33,5.57,0.13,0.2,0.33,0.391,0.609,0.75,1.8,2.55,2.54,1.41,0.295,0.705,0.994,0.551
2025-26,1642948,Ryan Nembhard,1610612742,DAL,23.0,56,20.3,1.84,0.95,0.89,0.63,0.04,0.2,0.43,0.21,0.25,0.46,0.462,0.538,0.0,0.14,0.14,0.14,0.04,0.0,1.0,1.0,0.25
2025-26,1631157,Ryan Rollins,1610612749,MIL,23.0,74,32.1,3.91,2.07,1.84,4.03,0.05,0.14,0.28,0.32,0.35,0.68,0.48,0.52,0.0,0.24,0.24,0.24,0.11,0.0,1.0,1.0,0.444
2025-26,1630180,Saddiq Bey,1610612740,NOP,27.0,71,31.2,2.56,1.37,1.2,1.34,0.01,0.24,0.56,0.27,0.28,0.55,0.487,0.513,0.11,0.45,0.56,0.56,0.37,0.2,0.8,1.0,0.65
2025-26,1630573,Sam Hauser,1610612738,BOS,28.0,77,25.0,3.92,2.38,1.55,1.21,0.0,0.74,1.75,0.16,0.14,0.3,0.522,0.478,0.01,0.61,0.62,0.61,0.27,0.021,0.979,0.979,0.438
2025-26,1630241,Sam Merrill,1610612739,CLE,29.0,52,26.5,2.92,1.88,1.04,1.54,0.06,0.62,1.4,0.17,0.15,0.33,0.529,0.471,0.04,0.25,0.29,0.29,0.1,0.133,0.867,1.0,0.333
2025-26,1630572,Sandro Mamukelashvili,1610612761,TOR,26.0,80,21.9,5.71,3.98,1.74,1.73,0.0,1.01,2.28,0.15,0.23,0.38,0.4,0.6,0.15,0.78,0.93,0.9,0.43,0.162,0.838,0.973,0.459
2025-26,1630583,Santi Aldama,1610612763,MEM,25.0,43,27.9,6.67,4.28,2.4,1.42,0.05,0.58,1.37,0.21,0.19,0.4,0.529,0.471,0.05,0.65,0.7,0.7,0.44,0.067,0.933,1.0,0.633
2025-26,1630703,Scoot Henderson,1610612757,POR,22.0,30,24.9,2.07,0.83,1.23,2.4,0.0,0.03,0.07,0.13,0.1,0.23,0.571,0.429,0.03,0.4,0.43,0.37,0.07,0.077,0.923,0.917,0.167
2025-26,1630567,Scottie Barnes,1610612761,TOR,24.0,80,33.5,5.91,4.08,1.84,3.19,0.01,1.0,2.28,0.3,0.31,0.61,0.49,0.51,0.41,0.89,1.3,1.29,1.03,0.317,0.683,0.99,0.788
2025-26,1630590,Scotty Pippen Jr.,1610612763,MEM,25.0,10,21.2,2.9,0.9,2.0,3.7,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.2,0.2,0.2,0.1,0.0,1.0,1.0,0.5
2025-26,1642951,Sean Pedulla,1610612746,LAC,23.0,4,4.4,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0
2025-26,203552,Seth Curry,1610612744,GSW,35.0,8,14.2,1.25,0.5,0.75,0.5,0.0,0.0,0.0,0.13,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631101,Shaedon Sharpe,1610612757,POR,22.0,50,29.4,2.5,1.04,1.46,1.92,0.02,0.06,0.12,0.32,0.26,0.58,0.552,0.448,0.0,0.42,0.42,0.42,0.16,0.0,1.0,1.0,0.381
2025-26,1628983,Shai Gilgeous-Alexander,1610612760,OKC,27.0,68,33.2,4.31,2.29,2.01,2.91,0.01,0.25,0.56,0.41,0.41,0.82,0.5,0.5,0.0,0.24,0.24,0.24,0.13,0.0,1.0,1.0,0.563
2025-26,1630536,Sharife Cooper,1610612764,WAS,24.0,34,19.4,1.44,0.97,0.47,0.97,0.15,0.12,0.26,0.29,0.09,0.38,0.769,0.231,0.0,0.06,0.06,0.06,0.0,0.0,1.0,1.0,0.0
2025-26,1631321,Sidy Cissoko,1610612757,POR,22.0,68,20.5,2.44,1.5,0.94,1.65,0.12,0.29,0.69,0.24,0.16,0.4,0.593,0.407,0.07,0.18,0.25,0.25,0.15,0.294,0.706,1.0,0.588
2025-26,1631323,Simone Fontecchio,1610612748,MIA,30.0,66,17.6,2.3,1.26,1.05,1.08,0.0,0.09,0.23,0.18,0.17,0.35,0.522,0.478,0.15,0.29,0.44,0.44,0.3,0.345,0.655,1.0,0.69
2025-26,1642883,Sion James,1610612766,CHA,23.0,82,22.5,3.41,2.11,1.3,1.28,0.01,0.51,1.21,0.1,0.13,0.23,0.421,0.579,0.05,0.35,0.4,0.4,0.13,0.121,0.879,1.0,0.333
2025-26,1627746,Skal Labissiere,1610612764,WAS,30.0,3,12.5,3.33,2.67,0.67,1.0,0.0,2.33,5.33,0.0,0.33,0.33,0.0,1.0,0.33,0.67,1.0,1.0,0.33,0.333,0.667,1.0,0.333
2025-26,1642461,Spencer Jones,1610612743,DEN,24.0,63,22.5,4.46,2.97,1.49,1.98,0.06,0.87,2.17,0.27,0.19,0.46,0.586,0.414,0.05,0.49,0.54,0.51,0.27,0.088,0.912,0.941,0.5
2025-26,1630649,Stanley Umude,1610612759,SAS,27.0,1,4.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,201939,Stephen Curry,1610612744,GSW,38.0,43,30.9,2.77,1.37,1.4,2.42,0.07,0.88,1.98,0.47,0.42,0.88,0.526,0.474,0.05,0.23,0.28,0.28,0.14,0.167,0.833,1.0,0.5
2025-26,1642264,Stephon Castle,1610612759,SAS,21.0,68,30.0,4.25,2.53,1.72,2.29,0.01,0.46,1.09,0.35,0.21,0.56,0.632,0.368,0.04,0.25,0.29,0.29,0.1,0.15,0.85,1.0,0.35
2025-26,203500,Steven Adams,1610612745,HOU,32.0,32,22.8,5.56,3.97,1.59,0.97,0.0,2.84,6.25,0.41,0.09,0.5,0.813,0.188,1.66,0.81,2.47,2.41,1.91,0.671,0.329,0.975,0.772
2025-26,1629004,Svi Mykhailiuk,1610612762,UTA,28.0,49,23.4,2.65,1.35,1.31,1.63,0.02,0.35,0.78,0.2,0.29,0.49,0.417,0.583,0.0,0.31,0.31,0.31,0.18,0.0,1.0,1.0,0.6
2025-26,204456,T.J. McConnell,1610612754,IND,34.0,54,17.3,1.44,0.67,0.78,2.13,0.07,0.06,0.17,0.2,0.43,0.63,0.324,0.676,0.0,0.13,0.13,0.13,0.06,0.0,1.0,1.0,0.429
2025-26,1643007,Taelon Peter,1610612754,IND,24.0,31,15.0,2.84,1.74,1.1,1.29,0.19,0.06,0.13,0.13,0.19,0.32,0.4,0.6,0.0,0.19,0.19,0.19,0.03,0.0,1.0,1.0,0.167
2025-26,201959,Taj Gibson,1610612763,MEM,40.0,10,9.7,2.3,1.5,0.8,0.5,0.0,1.2,3.5,0.1,0.0,0.1,1.0,0.0,0.2,0.2,0.4,0.4,0.3,0.5,0.5,1.0,0.75
2025-26,1631106,Tari Eason,1610612745,HOU,24.0,60,25.8,4.63,2.97,1.67,2.35,0.0,0.22,0.5,0.4,0.35,0.75,0.533,0.467,0.07,0.23,0.3,0.3,0.2,0.222,0.778,1.0,0.667
2025-26,1627752,Taurean Prince,1610612749,MIL,32.0,26,23.5,2.15,0.88,1.27,1.35,0.0,0.12,0.23,0.0,0.04,0.04,0.0,1.0,0.0,0.19,0.19,0.19,0.15,0.0,1.0,1.0,0.8
2025-26,1641707,Taylor Hendricks,1610612763,MEM,22.0,58,19.3,3.79,2.24,1.55,1.67,0.02,1.19,2.79,0.14,0.1,0.24,0.571,0.429,0.03,0.21,0.24,0.24,0.09,0.143,0.857,1.0,0.357
2025-26,1629611,Terance Mann,1610612751,BKN,29.0,63,24.3,2.73,1.56,1.17,1.97,0.05,0.43,1.05,0.16,0.13,0.29,0.556,0.444,0.08,0.24,0.32,0.32,0.14,0.25,0.75,1.0,0.45
2025-26,1630545,Terrence Shannon Jr.,1610612750,MIN,25.0,37,13.9,1.81,1.05,0.76,0.78,0.05,0.19,0.46,0.08,0.05,0.14,0.6,0.4,0.0,0.24,0.24,0.22,0.03,0.0,1.0,0.889,0.111
2025-26,203648,Thanasis Antetokounmpo,1610612749,MIL,33.0,24,5.3,0.75,0.46,0.29,1.04,0.0,0.21,0.46,0.13,0.0,0.13,1.0,0.0,0.04,0.0,0.04,0.04,0.04,1.0,0.0,1.0,1.0
2025-26,1628418,Thomas Bryant,1610612739,CLE,28.0,57,12.7,3.33,2.79,0.54,0.63,0.02,1.04,2.39,0.16,0.07,0.23,0.692,0.308,0.25,0.56,0.81,0.81,0.56,0.304,0.696,1.0,0.696
2025-26,1642275,Tidjane Salaün,1610612766,CHA,20.0,33,17.1,2.88,1.64,1.24,1.12,0.03,0.55,1.33,0.09,0.18,0.27,0.333,0.667,0.09,0.58,0.67,0.67,0.42,0.136,0.864,1.0,0.636
2025-26,203501,Tim Hardaway Jr.,1610612743,DEN,34.0,79,26.8,2.96,1.56,1.41,0.85,0.09,0.41,0.97,0.06,0.13,0.19,0.333,0.667,0.01,0.24,0.25,0.25,0.13,0.05,0.95,1.0,0.5
2025-26,202699,Tobias Harris,1610612765,DET,33.0,62,28.1,3.94,2.08,1.85,1.42,0.0,0.35,0.77,0.23,0.26,0.48,0.467,0.533,0.1,0.87,0.97,0.95,0.48,0.1,0.9,1.0,0.508
2025-26,1643253,Toby Okani,1610612763,MEM,24.0,6,36.2,5.0,2.83,2.17,1.5,0.0,0.33,0.83,0.0,0.33,0.33,0.0,1.0,0.0,0.5,0.5,0.5,0.17,0.0,1.0,1.0,0.333
2025-26,1642449,Tolu Smith,1610612765,DET,25.0,11,11.6,2.45,1.73,0.73,0.36,0.0,1.45,3.64,0.09,0.0,0.09,1.0,0.0,0.45,1.0,1.45,1.45,1.0,0.313,0.688,1.0,0.688
2025-26,1628396,Tony Bradley,1610612737,ATL,28.0,38,11.7,2.95,2.13,0.82,0.37,0.0,1.0,2.39,0.11,0.08,0.18,0.571,0.429,0.34,0.68,1.03,1.03,0.61,0.333,0.667,1.0,0.59
2025-26,1641787,Tosan Evbuomwan,1610612766,CHA,25.0,2,2.3,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641739,Toumani Camara,1610612757,POR,25.0,82,33.3,5.16,3.05,2.11,2.6,0.22,0.8,1.96,0.28,0.22,0.5,0.561,0.439,0.18,0.44,0.62,0.61,0.28,0.294,0.706,0.98,0.451
