Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,0.7,1.4,0.484,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,0.4,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,0.2,0.3,0.6,0.0,0.1,0.375,0.1,0.2,0.474,0.1,0.1,0.545,1.2,2.5,0.469,1.8,4.5,0.39,0.1,0.2,0.25,0.0,0.1,0.5,0.0,0.0,0.0
2025-26,1642358,AJ Johnson,1610612742,DAL,21.0,AJ,0.8,2.0,0.407,0.2,0.5,0.348,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.214,0.2,0.9,0.19,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,2.8,4.1,0.699,0.2,0.8,0.276,0.3,0.8,0.393,0.4,1.0,0.371,0.8,1.7,0.435,1.0,2.7,0.385,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,0.3,0.4,0.6,0.3,0.5,0.667,0.1,0.4,0.19,0.0,0.2,0.125,0.5,1.2,0.431,0.6,1.8,0.363,0.1,0.1,0.667,0.0,0.1,0.0,0.0,0.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,1.2,2.4,0.491,0.5,1.1,0.469,0.5,1.1,0.5,0.2,0.5,0.304,1.0,2.5,0.396,1.4,3.8,0.36,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630598,Aaron Wiggins,1610612760,OKC,27.0,Aaron,1.5,2.7,0.568,0.3,0.8,0.352,0.2,0.4,0.429,0.0,0.1,0.25,0.7,1.8,0.386,0.8,2.4,0.346,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,1.8,2.8,0.663,0.5,1.0,0.527,0.4,1.1,0.385,0.5,1.3,0.396,1.1,3.1,0.347,1.1,3.1,0.362,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642380,Adama Bal,1610612763,MEM,22.0,Adama,1.0,1.8,0.571,0.3,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.3,3.0,0.417,1.0,2.8,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,23.0,Adem,1.7,2.7,0.637,0.1,0.3,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
