PlayerID,Season,Name,Alley Oop Dunk Shot_FGA,Alley Oop Dunk Shot_FGM,Alley Oop Dunk Shot_FG_PCT,Alley Oop Layup shot_FGA,Alley Oop Layup shot_FGM,Alley Oop Layup shot_FG_PCT,Cutting Dunk Shot_FGA,Cutting Dunk Shot_FGM,Cutting Dunk Shot_FG_PCT,Cutting Finger Roll Layup Shot_FGA,Cutting Finger Roll Layup Shot_FGM,Cutting Finger Roll Layup Shot_FG_PCT,Cutting Layup Shot_FGA,Cutting Layup Shot_FGM,Cutting Layup Shot_FG_PCT,Driving Bank Hook Shot_FGA,Driving Bank Hook Shot_FGM,Driving Bank Hook Shot_FG_PCT,Driving Dunk Shot_FGA,Driving Dunk Shot_FGM,Driving Dunk Shot_FG_PCT,Driving Finger Roll Layup Shot_FGA,Driving Finger Roll Layup Shot_FGM,Driving Finger Roll Layup Shot_FG_PCT,Driving Floating Bank Jump Shot_FGA,Driving Floating Bank Jump Shot_FGM,Driving Floating Bank Jump Shot_FG_PCT,Driving Floating Jump Shot_FGA,Driving Floating Jump Shot_FGM,Driving Floating Jump Shot_FG_PCT,Driving Hook Shot_FGA,Driving Hook Shot_FGM,Driving Hook Shot_FG_PCT,Driving Layup Shot_FGA,Driving Layup Shot_FGM,Driving Layup Shot_FG_PCT,Driving Reverse Dunk Shot_FGA,Driving Reverse Dunk Shot_FGM,Driving Reverse Dunk Shot_FG_PCT,Driving Reverse Layup Shot_FGA,Driving Reverse Layup Shot_FGM,Driving Reverse Layup Shot_FG_PCT,Dunk Shot_FGA,Dunk Shot_FGM,Dunk Shot_FG_PCT,Fadeaway Bank shot_FGA,Fadeaway Bank shot_FGM,Fadeaway Bank shot_FG_PCT,Fadeaway Jump Shot_FGA,Fadeaway Jump Shot_FGM,Fadeaway Jump Shot_FG_PCT,Finger Roll Layup Shot_FGA,Finger Roll Layup Shot_FGM,Finger Roll Layup Shot_FG_PCT,Floating Jump shot_FGA,Floating Jump shot_FGM,Floating Jump shot_FG_PCT,Hook Bank Shot_FGA,Hook Bank Shot_FGM,Hook Bank Shot_FG_PCT,Hook Shot_FGA,Hook Shot_FGM,Hook Shot_FG_PCT,Jump Bank Shot_FGA,Jump Bank Shot_FGM,Jump Bank Shot_FG_PCT,Jump Shot_FGA,Jump Shot_FGM,Jump Shot_FG_PCT,Layup Shot_FGA,Layup Shot_FGM,Layup Shot_FG_PCT,Pullup Jump shot_FGA,Pullup Jump shot_FGM,Pullup Jump shot_FG_PCT,Putback Dunk Shot_FGA,Putback Dunk Shot_FGM,Putback Dunk Shot_FG_PCT,Putback Layup Shot_FGA,Putback Layup Shot_FGM,Putback Layup Shot_FG_PCT,Reverse Dunk Shot_FGA,Reverse Dunk Shot_FGM,Reverse Dunk Shot_FG_PCT,Reverse Layup Shot_FGA,Reverse Layup Shot_FGM,Reverse Layup Shot_FG_PCT,Running Alley Oop Dunk Shot_FGA,Running Alley Oop Dunk Shot_FGM,Running Alley Oop Dunk Shot_FG_PCT,Running Alley Oop Layup Shot_FGA,Running Alley Oop Layup Shot_FGM,Running Alley Oop Layup Shot_FG_PCT,Running Dunk Shot_FGA,Running Dunk Shot_FGM,Running Dunk Shot_FG_PCT,Running Finger Roll Layup Shot_FGA,Running Finger Roll Layup Shot_FGM,Running Finger Roll Layup Shot_FG_PCT,Running Jump Shot_FGA,Running Jump Shot_FGM,Running Jump Shot_FG_PCT,Running Layup Shot_FGA,Running Layup Shot_FGM,Running Layup Shot_FG_PCT,Running Pull-Up Jump Shot_FGA,Running Pull-Up Jump Shot_FGM,Running Pull-Up Jump Shot_FG_PCT,Running Reverse Dunk Shot_FGA,Running Reverse Dunk Shot_FGM,Running Reverse Dunk Shot_FG_PCT,Running Reverse Layup Shot_FGA,Running Reverse Layup Shot_FGM,Running Reverse Layup Shot_FG_PCT,Step Back Bank Jump Shot_FGA,Step Back Bank Jump Shot_FGM,Step Back Bank Jump Shot_FG_PCT,Step Back Jump shot_FGA,Step Back Jump shot_FGM,Step Back Jump shot_FG_PCT,Tip Dunk Shot_FGA,Tip Dunk Shot_FGM,Tip Dunk Shot_FG_PCT,Tip Layup Shot_FGA,Tip Layup Shot_FGM,Tip Layup Shot_FG_PCT,Turnaround Bank Hook Shot_FGA,Turnaround Bank Hook Shot_FGM,Turnaround Bank Hook Shot_FG_PCT,Turnaround Bank shot_FGA,Turnaround Bank shot_FGM,Turnaround Bank shot_FG_PCT,Turnaround Fadeaway Bank Jump Shot_FGA,Turnaround Fadeaway Bank Jump Shot_FGM,Turnaround Fadeaway Bank Jump Shot_FG_PCT,Turnaround Fadeaway shot_FGA,Turnaround Fadeaway shot_FGM,Turnaround Fadeaway shot_FG_PCT,Turnaround Hook Shot_FGA,Turnaround Hook Shot_FGM,Turnaround Hook Shot_FG_PCT,Turnaround Jump Shot_FGA,Turnaround Jump Shot_FGM,Turnaround Jump Shot_FG_PCT
1642368,2025-26,NFaly Dante,,,,,,,0,0,0.0,,,,0,0,0.0,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,,,,0,0,0.0,,,,,,,,,,0,0,0.0,,,,,,,,,,1,0,0.0,,,,0,0,0.0,,,,1,0,0.0,,,,,,,,,,,,,1,1,1.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,0,0,0.0,,,,1,0,0.0,,,,,,,,,,,,,,,,0,0,0.0
1642377,2025-26,Jaylen Wells,1,1,1.0,2,2,1.0,9,5,0.556,0,0,0.0,11,8,0.727,2,1,0.5,5,4,0.8,9,5,0.556,8,3,0.375,38,14,0.368,2,1,0.5,30,16,0.533,0,0,0.0,11,3,0.273,1,1,1.0,0,0,0.0,6,5,0.833,0,0,0.0,12,7,0.583,1,1,1.0,0,0,0.0,2,0,0.0,281,105,0.374,8,4,0.5,107,41,0.383,0,0,0.0,12,7,0.583,0,0,0.0,3,2,0.667,0,0,0.0,2,1,0.5,9,9,1.0,0,0,0.0,34,14,0.412,21,12,0.571,13,7,0.538,0,0,0.0,6,4,0.667,0,0,0.0,30,13,0.433,0,0,0.0,7,3,0.429,0,0,0.0,0,0,0.0,0,0,0.0,9,1,0.111,0,0,0.0,6,1,0.167
1642382,2025-26,Branden Carlson,20,17,0.85,4,2,0.5,13,11,0.846,0,0,0.0,4,2,0.5,0,0,0.0,2,2,1.0,2,2,1.0,1,1,1.0,2,0,0.0,1,1,1.0,6,0,0.0,,,,0,0,0.0,6,6,1.0,0,0,0.0,1,0,0.0,1,0,0.0,7,3,0.429,0,0,0.0,1,1,1.0,,,,83,29,0.349,1,1,1.0,1,0,0.0,2,2,1.0,4,2,0.5,1,1,1.0,1,1,1.0,1,1,1.0,,,,1,1,1.0,1,1,1.0,3,1,0.333,1,1,1.0,0,0,0.0,,,,0,0,0.0,,,,2,1,0.5,2,1,0.5,6,5,0.833,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,3,2,0.667,0,0,0.0
1642383,2025-26,Walter Clayton Jr,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,10,9,0.9,0,0,0.0,1,0,0.0,18,11,0.611,10,4,0.4,29,13,0.448,1,0,0.0,47,20,0.426,0,0,0.0,4,2,0.5,0,0,0.0,0,0,0.0,5,1,0.2,1,1,1.0,4,1,0.25,0,0,0.0,0,0,0.0,0,0,0.0,125,43,0.344,1,0,0.0,126,39,0.31,0,0,0.0,1,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,2,1.0,3,2,0.667,15,3,0.2,19,7,0.368,12,6,0.5,0,0,0.0,2,0,0.0,,,,17,6,0.353,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,3,3,1.0,0,0,0.0,1,1,1.0
1642384,2025-26,Isaiah Crawford,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,0,0,0.0,,,,10,2,0.2,1,1,1.0,1,0,0.0,,,,0,0,0.0,,,,,,,0,0,0.0,,,,1,1,1.0,0,0,0.0,2,1,0.5,1,1,1.0,0,0,0.0,,,,1,0,0.0,,,,2,1,0.5,,,,1,0,0.0,0,0,0.0,,,,,,,0,0,0.0,0,0,0.0,,,
1642389,2025-26,Zyon Pullin,0,0,0.0,,,,0,0,0.0,,,,1,1,1.0,,,,1,1,1.0,0,0,0.0,,,,4,3,0.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,0,0,0.0,,,,0,0,0.0,,,,1,1,1.0,0,0,0.0,2,1,0.5,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,1,1,1.0,0,0,0.0,2,1,0.5,1,0,0.0,,,,,,,,,,0,0,0.0,,,,0,0,0.0,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0
1642396,2025-26,Blake Hinson,0,0,0.0,0,0,0.0,2,1,0.5,0,0,0.0,3,3,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,2,1,0.5,0,0,0.0,9,7,0.778,,,,0,0,0.0,0,0,0.0,,,,1,1,1.0,,,,2,1,0.5,,,,0,0,0.0,0,0,0.0,60,29,0.483,1,0,0.0,9,3,0.333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,14,6,0.429,3,2,0.667,1,0,0.0,,,,1,1,1.0,,,,0,0,0.0,0,0,0.0,2,0,0.0,,,,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0
1642400,2025-26,Tristan Enaruna,0,0,0.0,,,,1,1,1.0,0,0,0.0,3,1,0.333,,,,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,3,2,0.667,0,0,0.0,0,0,0.0,,,,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,1,1,1.0,,,,9,3,0.333,0,0,0.0,0,0,0.0,0,0,0.0,3,3,1.0,,,,1,1,1.0,,,,,,,0,0,0.0,,,,1,0,0.0,1,0,0.0,0,0,0.0,,,,1,1,1.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,1,0,0.0,1,1,1.0,0,0,0.0
1642402,2025-26,Enrique Freeman,,,,,,,1,1,1.0,,,,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,0,0,0.0,,,,,,,,,,6,3,0.5,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,0,0,0.0,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,,,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0
1642403,2025-26,Isaac Jones,0,0,0.0,,,,1,1,1.0,,,,0,0,0.0,,,,0,0,0.0,,,,0,0,0.0,1,0,0.0,,,,2,1,0.5,,,,0,0,0.0,,,,,,,0,0,0.0,,,,0,0,0.0,,,,0,0,0.0,,,,2,0,0.0,0,0,0.0,0,0,0.0,,,,1,1,1.0,,,,0,0,0.0,,,,0,0,0.0,0,0,0.0,,,,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,0,0,0.0,0,0,0.0,,,,0,0,0.0,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0
