playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Andre Drummond,35.50833333333333,31.866666666666664,30.125,37.575,8.675,10.656416666666667,16.726499999999998,21.3355,0.37083333333333335,3.9275,17.703416666666666,3.4737500000000003,1.5476666666666665,0.10291666666666666,0.28375,1.4451666666666665,0.8043333333333335,0.769,9.492333333333333,58.5,48.6,76.7,70.5,45.2,10.879,24.777,25.075,0.433,5.359,41.967,7.49,4.396,0.734,0.982,9.61,2.83,2.772,49.52,426.1,382.4,361.5,450.90000000000003,104.10000000000001,127.877,200.718,256.026,4.45,47.13,212.441,41.685,18.572,1.2349999999999999,3.405,17.342,9.652000000000001,9.228,113.908
Andre Jackson Jr.,66.1,71.6,70.7,80.2,0.0,10.81,21.461,33.412,0.466,4.409,11.011,5.621,1.724,1.724,0.216,16.807,3.735,3.727,0.0,66.1,71.6,70.7,80.2,0.0,10.81,21.461,33.412,0.466,4.409,11.011,5.621,1.724,1.724,0.216,16.807,3.735,3.727,0.0,66.1,71.6,70.7,80.2,0.0,10.81,21.461,33.412,0.466,4.409,11.011,5.621,1.724,1.724,0.216,16.807,3.735,3.727,0.0
Andrew Nembhard,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0,32.1,46.4,15.4,26.3,0.0,10.443,15.01,26.843,0.45,3.959,104.189,6.579,0.94,0.0,0.081,0.0,0.0,0.0,0.0
Andrew Wiggins,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0,25.9,34.5,15.1,24.0,0.0,10.54,13.76,23.909,0.367,3.794,66.22,4.907,1.26,0.0,0.103,0.0,0.0,0.0,0.0
Anfernee Simons,50.4,67.95,37.55,38.55,2.9,10.609,19.13,31.252000000000002,0.3915,5.9030000000000005,40.908500000000004,8.952,1.9649999999999999,0.238,0.2865,0.0,0.0,0.0,3.166,55.9,72.4,47.4,44.6,5.8,10.702,20.266,32.317,0.4,5.921,54.923,9.029,1.972,0.476,0.309,0.0,0.0,0.0,6.332,100.8,135.9,75.1,77.1,5.8,21.218,38.26,62.504000000000005,0.783,11.806000000000001,81.81700000000001,17.904,3.9299999999999997,0.476,0.573,0.0,0.0,0.0,6.332
Anthony Black,58.28888888888889,71.16666666666667,45.07222222222222,44.52777777777778,9.766666666666666,10.746944444444445,18.881833333333333,30.505722222222218,0.4767777777777778,6.321055555555556,38.33661111111111,6.3967777777777775,1.3212222222222223,0.4300555555555555,0.5074444444444445,7.212944444444444,1.4826666666666666,1.4676111111111112,10.615222222222222,73.6,85.2,93.1,100.0,32.3,10.901,28.817,37.018,0.634,9.056,77.202,9.522,2.452,2.08,1.527,59.067,5.665,5.521,35.34,1049.2,1281.0,811.3,801.5,175.79999999999998,193.445,339.873,549.103,8.582,113.779,690.059,115.142,23.782,7.741,9.134,129.833,26.688,26.417,191.074
Anthony Davis,41.949999999999996,34.85,31.228571428571428,42.43571428571429,17.07857142857143,10.758642857142858,14.225,21.550928571428575,0.41814285714285715,3.3190714285714287,41.40857142857143,3.5312142857142854,1.1889285714285713,0.2676428571428571,0.25457142857142856,3.534,1.5881428571428573,1.5307142857142857,17.509428571428572,93.8,70.1,81.5,81.0,58.0,11.112,22.898,27.49,0.6,6.281,78.325,8.566,2.257,1.307,1.059,13.533,5.751,5.747,60.33,587.3,487.90000000000003,437.2,594.1,239.1,150.621,199.15,301.713,5.854,46.467,579.72,49.437,16.645,3.747,3.564,49.476,22.234,21.43,245.132
Anthony Edwards,45.230000000000004,58.57000000000001,26.439999999999998,32.93,9.23,10.6052,15.641300000000001,28.8502,0.42969999999999997,5.0051000000000005,27.9132,6.0668999999999995,1.5877000000000001,0.1709,0.1417,0.9672000000000001,0.3782,0.3766,9.848299999999998,83.7,84.3,72.1,74.6,34.0,10.876,29.295,34.409,0.533,7.128,56.04,7.549,3.607,1.083,0.596,9.672,3.782,3.766,37.123,452.3,585.7,264.4,329.3,92.3,106.05199999999999,156.413,288.502,4.297,50.051,279.132,60.669,15.877,1.709,1.417,9.672,3.782,3.766,98.48299999999999
Anthony Gill,52.9,64.7,53.1,35.1,0.0,10.804,24.636,27.64,0.4,5.982,26.676,7.763,2.333,0.0,1.018,0.0,0.0,0.0,0.01,52.9,64.7,53.1,35.1,0.0,10.804,24.636,27.64,0.4,5.982,26.676,7.763,2.333,0.0,1.018,0.0,0.0,0.0,0.01,52.9,64.7,53.1,35.1,0.0,10.804,24.636,27.64,0.4,5.982,26.676,7.763,2.333,0.0,1.018,0.0,0.0,0.0,0.01
Antonio Reeves,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0,28.8,41.0,14.7,24.5,0.0,10.504,13.583,26.554,0.35,3.569,12.296,5.853,1.339,0.0,0.095,0.0,0.0,0.0,0.0
