playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
Patrick Williams,43.17058823529412,48.88235294117647,28.04705882352941,34.01764705882353,11.782352941176471,10.629,17.24358823529412,26.85235294117647,0.3704705882352941,4.251764705882353,37.11441176470588,4.427588235294118,1.5786470588235293,0.09023529411764707,0.2424705882352941,1.7685882352941176,0.5951176470588235,0.572764705882353,12.775705882352941,70.5,74.4,56.8,80.7,44.6,10.963,24.221,36.38,0.45,7.228,105.972,8.718,2.295,1.256,0.649,19.88,3.091,3.07,47.558,733.9,831.0,476.8,578.3,200.3,180.69299999999998,293.141,456.49,6.298,72.28,630.9449999999999,75.269,26.837,1.534,4.122,30.066,10.117,9.737,217.187
Paul George,42.4375,48.449999999999996,44.237500000000004,39.6,2.25,10.612,18.293875,26.057875,0.383125,4.820125,45.6385,5.5024999999999995,1.5271249999999998,0.403625,0.400625,0.0,0.0,0.0,2.4646250000000003,59.1,67.1,94.1,74.1,17.1,10.757,25.786,31.824,0.45,6.221,102.908,9.178,3.323,1.388,0.967,0.0,0.0,0.0,18.771,339.5,387.59999999999997,353.90000000000003,316.8,18.0,84.896,146.351,208.463,3.065,38.561,365.108,44.019999999999996,12.216999999999999,3.229,3.205,0.0,0.0,0.0,19.717000000000002
Paul Reed,32.01875,29.05625,26.7875,40.25,7.26875,10.53,13.6694375,21.469875,0.3696875,3.1501875,29.6033125,4.3919375,1.46175,0.397,0.0739375,1.005375,0.559125,0.5518125,6.9346875,83.4,53.4,75.7,79.3,74.5,10.713,26.253,26.003,0.466,6.318,92.813,9.642,3.512,2.005,0.268,16.086,2.956,2.932,65.256,512.3,464.9,428.6,644.0,116.3,168.48,218.711,343.518,5.915,50.403,473.653,70.271,23.388,6.352,1.183,16.086,8.946,8.829,110.955
Pelle Larsson,38.642857142857146,50.971428571428575,25.385714285714283,26.97142857142857,5.185714285714286,10.539285714285713,17.47814285714286,27.90442857142857,0.3832857142857143,4.3229999999999995,41.05385714285715,5.983714285714285,1.3562857142857143,0.04528571428571428,0.19942857142857143,0.0,0.0,0.0,5.664571428571429,56.3,66.6,45.8,33.2,33.7,10.716,25.742,29.926,0.433,6.029,75.461,8.443,1.802,0.317,0.568,0.0,0.0,0.0,36.821,270.5,356.8,177.7,188.8,36.300000000000004,73.77499999999999,122.34700000000001,195.331,2.683,30.261,287.377,41.885999999999996,9.494,0.317,1.396,0.0,0.0,0.0,39.652
Pete Nance,49.3,27.9,26.3,43.8,51.6,10.379,4.531,21.844,0.5,2.171,13.985,2.389,2.003,0.456,0.011,0.0,0.0,0.0,52.058,49.3,27.9,26.3,43.8,51.6,10.379,4.531,21.844,0.5,2.171,13.985,2.389,2.003,0.456,0.011,0.0,0.0,0.0,52.058,49.3,27.9,26.3,43.8,51.6,10.379,4.531,21.844,0.5,2.171,13.985,2.389,2.003,0.456,0.011,0.0,0.0,0.0,52.058
Peyton Watson,44.80754716981132,48.03207547169811,40.132075471698116,47.02264150943396,5.6113207547169806,10.643698113207547,17.27888679245283,25.960924528301888,0.4169811320754717,4.1835849056603776,31.515150943396225,4.952792452830188,1.9391698113207547,0.5769811320754717,0.30441509433962266,2.8669811320754715,0.6127358490566038,0.6038301886792453,6.063867924528302,78.6,85.2,99.4,92.2,51.8,11.088,32.417,34.131,0.583,8.919,101.528,10.3,6.373,2.524,1.903,38.336,4.173,4.171,54.076,2374.8,2545.7,2127.0,2492.2,297.4,564.116,915.781,1375.929,22.1,221.73,1670.3029999999999,262.498,102.776,30.580000000000002,16.134,151.95,32.475,32.003,321.385
Precious Achiuwa,44.58809523809524,49.51428571428571,35.188095238095244,34.25,11.561904761904762,10.699071428571429,19.853238095238094,26.212857142857143,0.3848571428571429,4.484642857142857,24.211809523809524,4.991261904761904,1.6333095238095239,0.17311904761904762,0.3431666666666667,1.703309523809524,0.3861666666666667,0.3831428571428571,11.72447619047619,100.1,82.6,90.8,79.1,63.0,11.206,32.283,30.46,0.55,9.256,96.735,9.806,2.481,1.91,1.454,22.539,4.8,4.793,57.414,1872.7,2079.6,1477.9,1438.5,485.6,449.361,833.836,1100.94,16.164,188.355,1016.896,209.63299999999998,68.599,7.271,14.413,71.539,16.219,16.092,492.428
Quentin Grimes,48.70769230769231,63.51923076923077,29.47307692307692,37.00769230769231,7.773076923076923,10.600807692307692,16.48430769230769,29.818692307692306,0.4448076923076923,5.2905,30.015769230769234,7.133269230769231,1.7976153846153846,0.18415384615384617,0.2316153846153846,0.0,0.15603846153846154,0.14746153846153848,7.550346153846154,118.2,90.4,95.2,81.9,81.1,10.843,24.957,33.064,0.533,7.809,111.109,9.431,3.294,1.488,1.204,0.0,2.247,2.116,64.735,1266.4,1651.5,766.3,962.2,202.1,275.621,428.592,775.286,11.565,137.553,780.4100000000001,185.465,46.738,4.788,6.022,0.0,4.057,3.834,196.309
Quenton Jackson,54.660000000000004,71.24,47.56,46.980000000000004,0.82,10.5882,20.233600000000003,33.584,0.4468,5.9022,37.576,7.2926,1.8804000000000003,0.4808,0.3668,2.1786000000000003,0.4808,0.4726,0.9071999999999999,74.6,82.5,95.2,75.3,2.1,10.703,31.535,37.663,0.5,7.443,64.032,9.525,2.923,1.307,0.766,10.893,2.404,2.363,2.32,273.3,356.2,237.8,234.9,4.1,52.941,101.168,167.92000000000002,2.234,29.511,187.88,36.463,9.402000000000001,2.404,1.834,10.893,2.404,2.363,4.536
Quinten Post,21.97142857142857,14.157142857142857,16.485714285714288,28.557142857142857,9.8,10.459285714285715,13.731714285714286,17.87157142857143,0.30957142857142855,2.238857142857143,25.21485714285714,4.583142857142858,1.5484285714285715,0.10071428571428573,0.044,0.0,0.0,0.0,10.71642857142857,38.8,17.0,25.5,39.4,51.2,10.565,16.419,19.937,0.4,3.062,36.7,7.36,2.023,0.372,0.089,0.0,0.0,0.0,55.999,153.8,99.1,115.4,199.9,68.60000000000001,73.215,96.122,125.101,2.167,15.672,176.504,32.082,10.839,0.7050000000000001,0.308,0.0,0.0,0.0,75.015
