26,Deni Avdija,25,POR,SF,11,11,374,20.6,.637,.409,.478,3.6,17.8,10.2,21.3,0.9,2.1,13.8,27.7,0.9,0.3,1.3,.164,4.0,-0.2,3.8,0.5,,avdijde01
27,Jalen Brunson,29,NYK,PG,11,11,373,21.5,.590,.367,.319,1.4,10.8,5.8,32.2,1.2,0.0,10.3,32.1,1.0,0.3,1.3,.171,4.3,-1.1,3.2,0.5,,brunsja01
28,Nikola Jokić,30,DEN,C,11,11,373,39.4,.773,.271,.362,10.6,30.7,21.5,52.7,2.6,2.0,13.9,27.0,2.8,0.9,3.6,.468,13.9,6.8,20.8,2.2,,jokicni01
29,Evan Mobley,24,CLE,PF,11,11,373,19.3,.564,.329,.395,8.2,19.9,13.7,18.8,2.0,4.3,12.1,24.0,0.5,0.6,1.0,.133,2.2,1.1,3.3,0.5,,mobleev01
30,Desmond Bane,27,ORL,SG,12,12,371,12.2,.538,.338,.229,4.0,11.1,7.6,23.3,0.6,0.9,13.5,22.4,0.2,0.3,0.5,.068,-1.2,-1.2,-2.5,0.0,,banede01
31,Jrue Holiday,35,POR,PG,11,11,371,16.8,.559,.497,.146,3.9,14.4,8.8,36.1,2.1,0.7,16.5,21.4,0.5,0.4,0.9,.115,2.2,-0.1,2.1,0.4,,holidjr01
32,Isaiah Hartenstein,27,OKC,C,13,13,370,21.3,.706,.029,.320,13.2,28.8,21.3,15.0,2.2,2.3,19.2,16.9,0.9,1.0,1.9,.250,1.2,2.2,3.4,0.5,,harteis01
33,Brandin Podziemski,22,GSW,SG,13,7,370,12.5,.562,.492,.213,1.8,17.4,9.5,16.7,2.5,1.0,12.5,17.6,0.1,0.5,0.7,.085,-2.2,0.9,-1.3,0.1,,podzibr01
34,Jaren Jackson Jr.,26,MEM,C,13,13,369,14.5,.616,.333,.327,3.4,16.4,9.8,7.8,0.9,4.5,12.9,23.5,0.1,0.3,0.4,.057,-1.7,-0.3,-1.9,0.0,,jacksja02
35,OG Anunoby,28,NYK,PF,11,11,368,16.5,.610,.545,.175,4.7,15.2,9.6,10.1,3.0,2.3,12.5,19.7,0.4,0.6,1.0,.130,1.1,1.4,2.5,0.4,,anunoog01
