id,Name
20001525,T.J. McConnell
20001458,D'Angelo Russell
20003483,Sion James
20002673,Isaiah Jackson
20002725,A.J. Lawson
20002339,Luguentz Dort
20002318,John Konchar
20003074,Julian Phillips
20000827,Jusuf Nurkić
20003086,Jaylen Clark
20003474,Hugo González
20002701,Bones Hyland
20000635,Mike Conley
20000676,Tobias Harris
20002200,Javonte Green
20003503,Caleb Love
20001852,Thomas Bryant
20003035,Jarace Walker
20003455,Egor Demin
20003465,Rasheer Fleming
20003210,Tyler Kolek
20002691,Jericho Sims
20003242,Adem Bona
20000594,Mason Plumlee
20003278,David Jones-Garcia
20002490,Garrison Mathews
20002213,Jae'Sean Tate
20002528,LaMelo Ball
20001823,Lonzo Ball
20003043,Nick Smith Jr.
20002910,Jake LaRavia
20003494,Kobe Sanders
20003196,Devin Carter
20003490,Brooks Barnhizer
20003046,Noah Clowney
20002029,De'Anthony Melton
20000572,Kevin Love
20002674,Ayo Dosunmu
20001995,Marvin Bagley III
20002661,Jonathan Kuminga
20003458,Danny Wolf
20003495,Mohamed Diawara
20000832,Gary Harris
20003456,Jase Richardson
20002888,Nikola Jović
20002656,Ziaire Williams
20003475,Ben Saraf
20003041,Jordan Hawkins
20003208,Baylor Scheierman
20003059,Andre Jackson Jr.
20003039,Gradey Dick
20003201,Johnny Furphy
20003050,Brice Sensabaugh
20002927,Vince Williams Jr.
20003075,Hunter Tyson
20003457,Will Riley
20002757,Keaton Wallace
20001521,Thanasis Antetokounmpo
20003459,Carter Bryant
20003269,Daniss Jenkins
20003194,Dalton Knecht
20001730,Gary Payton II
20001830,Jonathan Isaac
20002045,Drew Eubanks
20003450,Khaman Maluach
20002035,Svi Mykhailiuk
20003015,Mouhamed Gueye
20000659,Kyle Anderson
20003372,Emanuel Miller
20000486,Klay Thompson
20002547,Zeke Nnaji
20000539,Dwight Powell
20001801,Alex Caruso
20003476,Noah Penda
20002903,Moussa Diabaté
20003285,Jamison Battle
20003478,Yang Hansen
20002934,Luke Travers
20000588,Brook Lopez
20003467,Drake Powell
20001888,Nigel Hayes
20000457,Kyle Lowry
20003260,Keshad Johnson
20003237,Jonathan Mogbo
20003108,Drew Timme
20003142,Pete Nance
20003248,Antonio Reeves
20003245,Pelle Larsson
20002902,JD Davison
20002859,Lindy Waters III
20003247,Cam Christie
20003195,Cody Williams
20003525,Moussa Cisse
20003230,Terrence Shannon Jr.
20000758,Bismack Biyombo
20003211,Kevin McCullar Jr.
20002386,Amir Coffey
20003489,Jamir Watkins
20002567,Nick Richards
20003193,Rob Dillingham
20003212,Bronny James Jr.
20002684,Luka Garza
20000632,Jeff Green
20003270,Trentyn Flowers
20000452,Garrett Temple
20003499,Lachlan Olbrich
20001857,Tony Bradley
20003067,Olivier-Maxence Prosper
20003298,Jahmir Young
20003069,Marcus Sasser
20002491,Caleb Martin
20003466,Adou Thiero
20003090,Chris Livingston
20002560,Xavier Tillman
20003482,Chaz Lanier
20003485,Alijah Martin
20003163,Javonte Cooke
20002945,AJ Green
20003504,Chucky Hepburn
20002015,Jarred Vanderbilt
20001909,Maxi Kleber
20003047,Jett Howard
20002266,Ja Morant
20002292,Nic Claxton
20001995,Marvin Bagley
20002566,Tre Jones
20003449,Tre Johnson
20003214,Ronald Holland
20002530,Isaac Okoro
20003109,Drew Peterson
20002535,Jalen Smith
20002930,Tyrese Martin
20002543,Josh Green
20003037,Cam Whitmore
20002950,Quenton Jackson
20003473,Nolan Traore
20000485,Stephen Curry
20000515,Jimmy Butler
20001730,Gary Payton
20001460,Devin Booker
20002271,Zion Williamson
20002700,Trey Murphy
20000482,Draymond Green
20003190,Donovan Clingan
20002024,Robert Williams
20001993,Kevin Huerter
20002883,Tari Eason
20002329,Daniel Gafford
