Season,playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
2025-26,Nick Richards,42.65,37.93333333,46.88333333,49.18333333,4.816666667,10.687,19.49683333,23.89433333,0.422166667,2.985,38.00816667,1.975833333,1.806666667,0.364833333,0.4375,5.933833333,1.389166667,1.376166667,5.198,54.4,56.7,85.8,81.3,28.9,10.846,26.703,27.645,0.533,3.592,86.697,2.635,3.246,1.139,0.83,25.572,2.853,2.821,31.188,255.9,227.6,281.3,295.1,28.9,64.122,116.981,143.366,2.533,17.91,228.049,11.855,10.84,2.189,2.625,35.603,8.335,8.257,31.188
2025-26,Nickeil Alexander-Walker,28.8,41.1,12.5,25.7,0,10.564,12.737,26.712,0.366,2.75,16.184,3.23,1.544,0,0.044,0,0,0,0,28.8,41.1,12.5,25.7,0,10.564,12.737,26.712,0.366,2.75,16.184,3.23,1.544,0,0.044,0,0,0,0,28.8,41.1,12.5,25.7,0,10.564,12.737,26.712,0.366,2.75,16.184,3.23,1.544,0,0.044,0,0,0,0
2025-26,Nikola Jokić,17.36666667,11.43333333,16,26.8,3.9,10.424,9.374666667,14.99366667,0.333333333,3.069333333,35.96366667,4.868,0.993,0.126333333,0.026333333,0,0,0,4.285333333,22.4,15,28.8,38,11.7,10.46,16.472,16.655,0.35,3.98,53.453,6.962,1.771,0.379,0.068,0,0,0,12.856,52.1,34.3,48,80.4,11.7,31.272,28.124,44.981,1,9.208,107.891,14.604,2.979,0.379,0.079,0,0,0,12.856
2025-26,Noah Clowney,44.8,37.66666667,31.73333333,41,25.76666667,10.61933333,13.45133333,24.68666667,0.4,2.996,51.68966667,1.857,1.648666667,0.367,0.183,0,0,0,27.65066667,52.3,52.4,53.8,65.8,48.8,10.675,15.892,30.898,0.45,3.559,73.089,2.365,2.183,1.101,0.42,0,0,0,52.051,134.4,113,95.2,123,77.3,31.858,40.354,74.06,1.2,8.988,155.069,5.571,4.946,1.101,0.549,0,0,0,82.952
2025-26,OG Anunoby,34.2,38.91538462,22.00769231,36.13076923,4.869230769,10.50330769,13.43307692,25.84961538,0.402461538,2.616615385,27.83330769,3.367461538,1.820692308,0.306461538,0.085307692,0,0,0,5.327307692,54.6,57.2,56.8,77.9,19.7,10.709,16.071,30.688,0.667,3.981,71.513,7.694,4.216,2.554,0.254,0,0,0,21.587,444.6,505.9,286.1,469.7,63.3,136.543,174.63,336.045,5.232,34.016,361.833,43.777,23.669,3.984,1.109,0,0,0,69.255
2025-26,Obi Toppin,33.9,29.8,8.7,40,11.45,10.5085,8.906,23.704,0.3335,2.053,19.698,2.7955,1.425,0,0.0145,0,0,0,12.533,35.9,31,10,55.4,22.9,10.52,14.456,24.129,0.367,3.404,28.472,2.929,1.49,0,0.029,0,0,0,25.066,67.8,59.6,17.4,80,22.9,21.017,17.812,47.408,0.667,4.106,39.396,5.591,2.85,0,0.029,0,0,0,25.066
2025-26,Olivier-Maxence Prosper,40.9,51.9,31.5,26.9,5.2,10.569,21.57,30.296,0.35,3.455,15.288,3.287,1.724,0,0.266,0,0,0,5.704,40.9,51.9,31.5,26.9,5.2,10.569,21.57,30.296,0.35,3.455,15.288,3.287,1.724,0,0.266,0,0,0,5.704,40.9,51.9,31.5,26.9,5.2,10.569,21.57,30.296,0.35,3.455,15.288,3.287,1.724,0,0.266,0,0,0,5.704
2025-26,Onyeka Okongwu,33.08571429,43.02857143,19.48571429,34.35714286,0.714285714,10.63885714,12.44328571,26.39128571,0.390428571,2.741714286,18.80714286,3.086428571,0.980285714,0.282428571,0.077285714,6.045,0.980857143,0.936857143,0.776428571,46.7,68.5,53.7,79.3,4.6,11.128,14.016,30.59,0.516,3.687,46.284,4.808,1.977,1.977,0.191,15.805,2.81,2.804,5.045,231.6,301.2,136.4,240.5,5,74.472,87.103,184.739,2.733,19.192,131.65,21.605,6.862,1.977,0.541,42.315,6.866,6.558,5.435
2025-26,Oso Ighodaro,32.55,35.31666667,27.86666667,34.61666667,5.016666667,10.50366667,14.46783333,25.47416667,0.319666667,2.768166667,38.7885,2.417666667,1.430666667,0.283833333,0.107833333,0,0,0,5.493166667,48.4,49.6,77.9,64.1,30.1,10.625,24.522,30.516,0.334,3.644,87.987,3.998,2.187,0.97,0.36,0,0,0,32.959,195.3,211.9,167.2,207.7,30.1,63.022,86.807,152.845,1.918,16.609,232.731,14.506,8.584,1.703,0.647,0,0,0,32.959
2025-26,Ousmane Dieng,27.8,34,10.3,23,9.2,10.401,7.425,23.781,0.417,3.638,71.344,7.102,1.063,0,0.028,0,0,0,10.118,27.8,34,10.3,23,9.2,10.401,7.425,23.781,0.417,3.638,71.344,7.102,1.063,0,0.028,0,0,0,10.118,27.8,34,10.3,23,9.2,10.401,7.425,23.781,0.417,3.638,71.344,7.102,1.063,0,0.028,0,0,0,10.118
