id,firstName,lastName,rating
5175737,Yaxel,Lendeborg,184.6366786633580485
4576060,Ryan,Kalkbrenner,171.2997265117346242
5241364,Bennett,Stirtz,163.2315168010756256
4433569,Johni,Broome,162.3921570712975579
5105854,Braden,Smith,160.7894516406566076
4702384,Nique,Clifford,160.5656318285259044
4697268,Kam,Jones,160.4381596594446118
5041939,Cooper,Flagg,155.4624885176872794
5107782,Donovan,Dent,154.1967123396724598
4898371,Maxime,Raynaud,150.5349676723792134
5106275,P.J.,Haggerty,146.1707940322990827
4432180,Hunter,Dickinson,145.3104952422245576
4431718,Eric,Dixon,143.1155051667438315
4897438,Trey,Kaufman-Renn,138.9697210782712503
5105977,Rasheer,Fleming,137.8598407923276275
4590360,Chucky,Hepburn,137.7653329702259358
4781746,Javon,Small,136.6991757377064759
4701992,Max,Shulga,135.9186313439264843
4684443,Rafael,Castro,135.3555024004481015
5093267,Collin,Murray-Boyles,135.23196940374903533
4701845,Kadary,Richmond,135.1091431571311915
4432185,Micah,Peavy,134.1643859706982913
4432188,Dawson,Garcia,133.5222066128830047
5105837,Bruce,Thornton,132.66135154266889344
4433629,Ryan,Nembhard,132.6087532783726200
4702134,Norchad,Omier,132.3046907523113344
5105865,Reed,Bailey,132.0681527236475379
4896372,Walter,Clayton Jr.,132.0187017210129623
4708215,RJ,Felton,131.5557642514780298
5107864,Mason,Falslev,130.8833592778598033
5143604,JT,Toppin,130.2167166666178728
5105832,Nick,Martinelli,129.8705494203840214
5177301,Melvin,Council Jr.,129.5992012293430066
4593043,John,Tonje,129.5761078232965853
4699440,Nick,Davidson,128.3830443499115777
4869780,Derik,Queen,128.3239363680778727
4703396,Graham,Ike,128.2611482969375104
5106262,Zuby,Ejiofor,127.9812542630374709
5175670,Samage,Teel,127.3554786833052125
4433176,RJ,Davis,126.8186295176544473
5107173,Danny,Wolf,126.4775374690144263
5176402,Cooper,Schwieger,126.4082267690849961
4684809,Darius,Johnson,125.4901406080776854
5107968,Ja'Kobi,Gillespie,125.3949274237187611
4883573,Zakai,Zeigler,125.2956204934903555
4432586,Nate,Bittle,125.0646733679090995
4703015,Nelly,Junior Joseph,124.9651324578222337
4701991,Steven,Ashworth,124.8422699672364094
5105457,Maurice,Odum,124.6712281405610593
4693954,Ian,Schieffelin,124.6372630551771026
4700818,Vladislav,Goldin,124.6357241661988517
4703530,Mark,Sears,124.53713964052508088
5075625,Keyshawn,Hall,124.4596862387172496
5037871,Dylan,Harper,124.4494533344458575
5106035,RJ,Luis Jr.,123.8698566219192475
4897065,Sebastian,Thomas,123.2738993131145581
4683742,Julian,Reese,123.1257933020323583
5106280,Rowan,Brumbaugh,123.0106623212901428
4898260,Tyson,Degenhart,121.9714991382991875
4697270,Payton,Sandfort,121.5173632254646267
5106863,Nik,Graves,121.3568314808525824
5105627,Michael,Rataj,121.33953447090333636
4702352,Kobe,Sanders,120.8484647752056985
4684270,Jaland,Lowe,120.4661388587628259
5124612,VJ,Edgecombe,120.3058962004234510
4870564,Joshua,Jefferson,120.3004986056391666
4897080,Stefan,Todorovic,120.0901973903733024
4683758,Malik,Thomas,119.9944074744442246
4433144,Caleb,Love,119.9752671013500772
4592843,Brice,Williams,119.2472029537242326
4917097,Robbie,Avila,119.1551653123193005
4700852,Chaz,Lanier,118.4305520284996966
4873138,Ace,Bailey,117.8329415029904527
4895740,Josh,Hubbard,117.7487085320937280
5174633,Xzayvier,Brown,117.7238294895031837
4898369,Curtis,Jones,117.6947244971585024
4897197,Augustas,Marciulionis,117.1712327978948315
4703914,Tytan,Anderson,116.5992918785549121
5105795,Kaleb,Banks,116.5396646443375754
4873201,Asa,Newell,116.3370987925123583
4702785,Jahmyl,Telfort,116.11937917137581867
5144091,Jeremiah,Fears,116.03863847926288897
4432869,Zach,Freemantle,115.8587001443693726
5238230,Tre,Johnson,115.8015211016157877
4433281,Hunter,Sallis,115.5928883990554775
4702766,Terrence,Edwards Jr.,115.4639524486318866
5107621,Isaiah,Swope,115.4477434915817893
5106270,Otega,Oweh,114.9790286509315540
4432008,Gibson,Jimerson,114.5025859723257054
4896862,Ali,Dibba,114.4197226274661986
4897090,Primo,Spears,114.3651817781080405
4594109,Oumar,Ballo,113.6779925260518418
4897535,Alvaro,Cardenas,113.6740440536223818
4432189,Dain,Dainja,113.4954115313426960
5174568,Bobby,Durkin,113.4813566059864990
4701984,David,N'Guessan,113.3048535576756990
4683942,Jordan,Riley,113.1731208278818695
4701182,Mitchell,Saxen,113.16309982350857583
4432632,Dwon,Odom,113.1508761772749240
4709131,Sean,Pedulla,113.0975667750100971
4592184,Chase,Hunter,112.9897674356130798
4601026,Ian,Martinez,112.1574820372383731
4711679,Carter,Whitt,111.7654724455007910
5175060,Jonathan,Pierre,111.4367620520109464
4917149,Alex,Karaban,111.4040634506944388
4592403,C.J.,Walker,111.2429201259524307
5061575,Kon,Knueppel,111.19136066437111045
5105462,Richie,Saunders,111.1218321539426449
5176352,Johnny,Kinziger,111.0487298752546828
5105800,Josh,Dix,110.9900919277209507
5103630,John,Blackwell,110.7844102651188976
4606840,Jamir,Watkins,110.6501225780083918
4897088,Jackie,Johnson III,110.5451401379092849
4897262,Will,Richard,110.5408376260077132
5142356,Baye,Ndongo,110.5371782700106541
4897149,Duke,Deen,110.5187412175223760
5108081,Nate,Calmese,110.4267194248996074
5107312,LeJuan,Watts,110.3598310224278077
4703400,Marcus,Williams,110.1538908124748301
5106284,Lamar,Washington,109.89780751795114845
5174557,Naithan,George,109.8698765332875696
5107157,Ryan,Conwell,109.67129865869873103
5075626,Baba,Miller,109.3828764312520112
