id,firstName,lastName,multiplierBonus
4912986,Ryan,Donohoo,3
4898190,Ryan,Cornish,0.2
5177171,Ryan,Duncan,0
4898216,Ryan,Kiachian,1.3
5239713,Brandon,Jennings,2.8
5106240,Brandon,Mitchell-Day,0.2
4898266,Jared,Billups,1
5060710,Jared,Harris,3
5174946,Kobe,Rodgers,0
4705522,David,McDaniel,3
4433144,Caleb,Love,0.1
4711256,Caleb,Foster,2
5105967,Caleb,Reese,3
5239745,Caleb,Crawford,3
5175939,Caleb,Johnson,0
5179093,Caleb,McCarty,3
5107860,Caleb,Shaw,3
4709151,Jalen,Haynes,0.4
4897514,Jalen,Lake,0.7
4432483,Jalen,DeLoach,1.4
5105965,Jalen,Quinn,1.6
4706612,Jalen,Barr,2.4
5242809,Jalen,Keago,3
5107607,Jalen,Myers,0.5
5243345,Jalen,Tatum,2.4
5107375,Sam,Alexis,2.2
4683781,Sam,Walters,2.8
4701553,Sami,Osmani,3
5193438,Sam,Yurasek,3
5177187,Samson,Aletan,0.7
5177582,Cowandric,Samuel,3
5061606,Sammie,Yeanay,0
5107150,Camden,McCormick,0
5242131,Owen,Aquino,0
5105818,Nick,Sanders,3
5107174,Nick,Townsend,0.7
4397152,Jack,Clark,0.4
4683751,Tyrese,Hunter,0.2
4897018,Camren,Hunter,3
4601284,Latrell,Jossell,1.4
4702484,Latrell,Wrightsell Jr.,0.7
5105840,Bowen,Hardman,1.6
5041939,Cooper,Flagg,0
5105817,Carson,Cooper,1.7
5174660,Cooper,Josefsberg,3
5176213,Mekhi,Cooper,1.7
5247624,Cooper,Mueller,0
5106247,Cooper,Noard,0.6
5105780,Justin,Moore,0.7
5060702,Justin,Begg,3
5196370,Justin,Pippen,3
4433009,Justin,Hohn,1.1
5241491,Justin,Menard,3
4709142,Justin,Rochelin,2.3
4897649,Jordan,Gainey,0.5
4894453,Mari,Jordan,1.5
4432512,Jordan,Geronimo,2.2
5241753,Jordan,Brathwaite,3
5176751,Jordan,Leaks,3
5177186,Jeannot,Basima,0
5238228,Gavin,Paull,3
4702721,Trey,Townsend,1.4
5242639,Trey,Wilson,3
5176196,Rashaan,Mbemba,1.5
4433144,Caleb,Love,0.1
4711256,Caleb,Foster,2
