gameId,gameDate,matchup,period,gameClockTime,eventNum,playerId,playerName,firstName,lastName,teamId,teamName,teamCity,teamAbbreviation,dunkScore,jumpSubscore,powerSubscore,styleSubscore,defensiveContestSubscore,maxBallHeight,ballSpeedThroughRim,playerVertical,hangTime,takeoffDistance,reverseDunk,dunk360,throughTheLegs,alleyOop,tipIn,selfOop,playerRotation,playerLateralSpeed,ballDistanceTraveled,ballReachBack,totalBallAcceleration,dunkingHand,jumpingFoot,passLength,catchingHand,catchDistance,lateralCatchDistance,passerId,passerName,passerFirstName,passerLastName,passReleasePoint,shooterId,shooterName,shooterFirstName,shooterLastName,shotReleasePoint,shotLength,defensiveContestLevel,possibleAttemptedCharge,videoAvailable
0012400042,10/13/2024 12:00:00 AM,TOR @ BOS,4,4:06,609,1641817,Anton Watson,Anton,Watson,1610612738,Celtics,Boston,BOS,39.2,36.7,49.1,54.9,0.0,10.486,15.863,23.992,0.35,4.72,False,False,False,False,False,False,44.55,7.941,2.188,0.635,0.222,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400033,10/11/2024 12:00:00 AM,SAC @ GSW,2,2:25,354,1627734,Domantas Sabonis,Domantas,Sabonis,1610612758,Kings,Sacramento,SAC,39.2,30.7,40.3,56.5,0.0,10.479,15.298,23.077,0.317,4.305,False,False,False,False,False,False,17.462,6.828,2.524,0.618,0.002,both,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,9.99,False,True
0012400024,10/10/2024 12:00:00 AM,IND @ CLE,2,1:48,290,1641854,Craig Porter Jr.,Craig,Porter Jr.,1610612739,Cavaliers,Cleveland,CLE,39.1,52.3,22.8,34.1,0.0,10.587,17.169,29.574,0.433,3.586,False,False,False,False,False,False,103.946,5.703,2.192,0.0,0.216,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,2,6:59,262,1631110,Jeremy Sochan,Jeremy,Sochan,1610612759,Spurs,San Antonio,SAS,39.0,52.0,15.3,34.2,0.0,10.981,13.992,25.744,0.467,2.567,False,False,False,False,True,False,14.709,1.303,0.282,0.0,0.104,both,both,0.0,both,1.788,1.539,0,,,,,1628380,Zach Collins,Zach,Collins,"455.081,10.914,113.149",3.933,6.48,False,True
0012400068,10/18/2024 12:00:00 AM,NYK @ WAS,4,4:40,596,1630551,Justin Champagnie,Justin,Champagnie,1610612764,Wizards,Washington,WAS,39.0,46.5,37.8,23.4,5.5,10.546,20.218,25.052,0.35,5.558,False,False,False,False,False,False,21.295,6.67,1.133,0.0,0.482,both,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,5.997,False,True
0012400072,10/17/2024 12:00:00 AM,DEN @ MIN,2,10:47,208,1630227,Daishen Nix,Daishen,Nix,1610612750,Timberwolves,Minnesota,MIN,39.0,63.3,17.0,0.0,0.1,10.479,15.618,28.703,0.417,6.628,False,False,False,False,False,False,24.037,8.997,1.113,0.0,0.109,both,right,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.079,False,True
0012400054,10/15/2024 12:00:00 AM,OKC @ DEN,3,7:17,424,1629652,Luguentz Dort,Luguentz,Dort,1610612760,Thunder,Oklahoma City,OKC,38.9,47.6,12.0,0.0,15.1,10.343,13.718,27.056,0.35,4.961,False,False,False,False,False,False,41.094,7.449,1.519,0.0,0.001,right,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,16.521,False,True
0012400057,10/16/2024 12:00:00 AM,CLE @ DET,1,8:28,33,1631105,Jalen Duren,Jalen,Duren,1610612765,Pistons,Detroit,DET,38.8,24.5,55.6,0.0,9.5,10.51,14.864,22.234,0.334,2.169,False,False,False,False,False,False,59.972,2.509,1.744,1.247,0.066,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,10.362,False,True
0012400064,10/17/2024 12:00:00 AM,ATL @ OKC,3,10:15,357,1630598,Aaron Wiggins,Aaron,Wiggins,1610612760,Thunder,Oklahoma City,OKC,38.8,54.8,15.5,0.0,9.8,10.546,14.753,29.084,0.4,4.522,False,False,False,False,False,False,12.235,4.667,1.143,0.0,0.092,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,10.594,False,True
0012400037,10/12/2024 12:00:00 AM,MEM @ CHI,4,3:31,744,1630654,Armando Bacot,Armando,Bacot,1610612763,Grizzlies,Memphis,MEM,38.8,31.4,10.2,23.6,0.0,10.485,8.57,23.867,0.4,2.873,False,False,False,False,False,False,8.476,2.702,1.176,0.0,0.017,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,38.232,False,True
0012400034,10/11/2024 12:00:00 AM,DET @ PHX,1,10:46,17,202699,Tobias Harris,Tobias,Harris,1610612765,Pistons,Detroit,DET,38.8,65.8,14.0,22.8,0.0,10.701,12.457,30.383,0.383,5.698,False,False,False,False,False,False,17.18,7.904,1.012,0.0,0.097,both,left,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400046,10/14/2024 12:00:00 AM,PHI @ ATL,1,5:31,84,202331,Paul George,Paul,George,1610612755,76ers,Philadelphia,PHI,38.8,52.2,32.5,0.0,0.0,10.686,18.623,26.784,0.383,4.813,False,False,False,False,False,False,30.663,4.774,1.388,0.275,0.232,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400038,10/12/2024 12:00:00 AM,UTA @ SAS,3,5:13,442,1628380,Zach Collins,Zach,Collins,1610612759,Spurs,San Antonio,SAS,38.7,22.5,14.7,23.4,0.0,10.471,13.688,21.093,0.35,3.264,False,False,False,False,False,False,51.067,3.264,1.141,0.0,0.095,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,44.725,False,True
0012400022,10/9/2024 12:00:00 AM,ORL @ SAS,1,4:13,106,1629048,Goga Bitadze,Goga,Bitadze,1610612753,Magic,Orlando,ORL,38.6,16.7,51.7,61.8,0.0,10.607,14.916,19.033,0.3,0.462,False,False,False,False,False,False,71.398,1.719,2.078,0.853,0.078,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,17.757,False,True
0012400021,10/9/2024 12:00:00 AM,HOU @ OKC,1,6:46,72,1631095,Jabari Smith Jr.,Jabari,Smith Jr.,1610612745,Rockets,Houston,HOU,38.6,35.8,12.5,23.2,0.0,10.557,10.942,22.171,0.4,4.904,False,False,False,False,False,False,26.911,3.714,1.106,0.0,0.071,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,32.009,False,True
0012400027,10/10/2024 12:00:00 AM,CHA @ MEM,4,6:23,650,1641749,Keyontae Johnson,Keyontae,Johnson,1610612766,Hornets,Charlotte,CHA,38.5,51.4,12.0,22.4,0.0,10.442,12.209,26.978,0.416,5.407,False,False,False,False,False,False,36.94,6.09,0.929,0.0,0.037,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,15.77,False,True
0012400045,10/14/2024 12:00:00 AM,MEM @ IND,3,8:49,380,1630164,James Wiseman,James,Wiseman,1610612754,Pacers,Indiana,IND,38.5,50.1,38.7,0.0,0.0,10.859,19.919,22.903,0.35,6.173,False,False,False,False,False,False,31.841,5.321,1.06,0.0,0.525,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
0012400041,10/13/2024 12:00:00 AM,POR @ SAC,2,3:40,302,1631099,Keegan Murray,Keegan,Murray,1610612758,Kings,Sacramento,SAC,38.4,56.2,9.9,37.5,0.0,10.712,7.373,26.608,0.433,5.237,False,False,False,True,False,False,4.933,6.491,0.0,0.0,0.011,both,left,22.031,both,2.977,2.838,1627734,Domantas Sabonis,Domantas,Sabonis,"236.784,8.931,76.363",0,,,,,0.0,0.0,False,True
0012400063,10/17/2024 12:00:00 AM,SAS @ HOU,2,11:07,175,1631095,Jabari Smith Jr.,Jabari,Smith Jr.,1610612745,Rockets,Houston,HOU,38.4,51.8,15.0,0.0,6.2,10.69,13.726,28.138,0.4,3.688,False,False,False,False,False,False,30.899,4.446,2.246,0.0,0.103,both,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,6.832,False,True
0012400057,10/16/2024 12:00:00 AM,CLE @ DET,1,7:52,37,1631105,Jalen Duren,Jalen,Duren,1610612765,Pistons,Detroit,DET,38.3,48.4,22.1,0.0,0.0,10.752,17.22,26.371,0.466,2.779,False,False,False,False,True,False,7.891,2.352,0.681,0.112,0.147,both,both,0.0,both,2.386,2.323,0,,,,,202699,Tobias Harris,Tobias,Harris,"-407.354,78.134,105.732",10.163,0.0,False,True
0012400067,10/18/2024 12:00:00 AM,PHI @ ORL,2,3:40,272,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,1610612753,Magic,Orlando,ORL,38.3,27.7,54.3,54.0,0.0,10.58,22.551,22.951,0.334,2.065,False,False,False,False,False,False,90.196,2.909,2.555,0.497,0.313,right,both,0.0,,0.0,0.0,0,,,,,0,,,,,0.0,0.0,False,True
