,Fadeaway Msde,Fadeaway/G,Fadeaway FG%,FGA,GP
2017Brandan Wright,15,0.535714286,0.882352941,17,28
2017Jose Calderon,15,0.365853659,0.535714286,28,41
2018DeMarre Carroll,15,0.205479452,0.555555556,27,73
2018Josh Jackson,15,0.194805195,0.833333333,18,77
2018Rudy Gay,15,0.263157895,0.833333333,18,57
2018Tyler Zeller,15,0.227272727,0.75,20,66
2019De'Aaron Fox,15,0.185185185,0.441176471,34,81
2019Rudy Gay,15,0.217391304,0.517241379,29,69
2020Chris Silva,15,0.340909091,0.9375,16,44
2020Jakob Poeltl,15,0.227272727,0.882352941,17,66
2020Taj Gibson,15,0.241935484,0.789473684,19,62
2020Thomas Bryant,15,0.326086957,0.9375,16,46
2021CJ McCollum,15,0.319148936,0.652173913,23,47
2021DeMar DeRozan,15,0.245901639,0.555555556,27,61
2021Keldon Johnson,15,0.217391304,0.714285714,21,69
2021Myles Turner,15,0.319148936,0.681818182,22,47
2021Tony Bradley,15,0.357142857,0.681818182,22,42
2021Willy Hernangomez,15,0.319148936,0.9375,16,47
2022Chris Boucher,15,0.1875,0.833333333,18,80
2022Lauri Markkanen,15,0.245901639,0.9375,16,61
2022Tristan Thompson,15,0.263157895,0.789473684,19,57
2023Jaden Hardy,15,0.3125,0.375,40,48
2023Joe Harris,15,0.202702703,0.365853659,41,74
2023Marvin Bagley III,15,0.357142857,0.6,25,42
2023Precious Achiuwa,15,0.272727273,0.625,24,55
2023Theo Maledon,15,0.340909091,0.333333333,45,44
2014DeMarcus Cousins,14,0.197183099,0.933333333,15,71
2014Jan Vesely,14,0.259259259,0.875,16,54
2015Bismack Biyombo,14,0.21875,0.823529412,17,64
2015Dewayne Dedmon,14,0.237288136,0.933333333,15,59
2015Nikola Vucevic,14,0.189189189,1,14,74
2015Norris Cole,14,0.186666667,0.666666667,21,75
2015Patrick Beverley,14,0.25,0.7,20,56
2015Rudy Gay,14,0.205882353,1,14,68
2016Mario Chalmers,14,0.229508197,0.368421053,38,61
2017Alexis Ajinca,14,0.358974359,0.583333333,24,39
2017Cory Joseph,14,0.175,0.424242424,33,80
2017Domantas Sabonis,14,0.172839506,0.368421053,38,81
2017Ed Davis,14,0.304347826,0.424242424,33,46
2017John Wall,14,0.179487179,0.777777778,18,78
2017Miles Plumlee,14,0.311111111,0.777777778,18,45
2017Richard Jefferson,14,0.17721519,0.933333333,15,79
2017Tony Snell,14,0.175,0.56,25,80
2017Zach LaVine,14,0.29787234,0.933333333,15,47
2018Andre Roberson,14,0.358974359,0.777777778,18,39
2018Bradley Beal,14,0.170731707,0.823529412,17,82
2018Lance Stephenson,14,0.170731707,0.777777778,18,82
2019Jrue Holiday,14,0.208955224,0.424242424,33,67
2019Jusuf Nurkic,14,0.194444444,0.5,28,72
2019Kenneth Faried,14,0.378378378,0.636363636,22,37
2019Khem Birch,14,0.28,0.823529412,17,50
2019Robert Williams III,14,0.4375,0.823529412,17,32
2019Willy Hernangomez,14,0.24137931,0.875,16,58
2020Cody Zeller,14,0.24137931,0.7,20,58
2020Maurice Harkless,14,0.225806452,0.823529412,17,62
2020Nikola Vucevic,14,0.225806452,0.933333333,15,62
2021Chris Boucher,14,0.233333333,0.777777778,18,60
2022Drew Eubanks,14,0.197183099,0.823529412,17,71
2022Hamidou Diallo,14,0.24137931,0.933333333,15,58
2022Jalen Brunson,14,0.17721519,0.482758621,29,79
2022Joel Embiid,14,0.205882353,0.875,16,68
2022LeBron James,14,0.25,0.933333333,15,56
2022Willy Hernangomez,14,0.28,0.608695652,23,50
2023Charles Bassey,14,0.4,0.7,20,35
2023Jalen Smith,14,0.205882353,0.583333333,24,68
2023Jock Landale,14,0.202898551,0.736842105,19,69
2023Josh Giddey,14,0.184210526,0.411764706,34,76
2023Talen Horton-Tucker,14,0.215384615,0.304347826,46,65
2014Andray Blatche,13,0.178082192,0.764705882,17,73
2014Anthony Morrow,13,0.171052632,0.684210526,19,76
2014Jason Thompson,13,0.158536585,0.928571429,14,82
2014Jerryd Bayless,13,0.180555556,0.5,26,72
2014Kyrie Irving,13,0.183098592,0.541666667,24,71
2014Markieff Morris,13,0.160493827,0.928571429,14,81
2014Shaun Livingston,13,0.171052632,0.8125,16,76
2014Vince Carter,13,0.160493827,0.52,25,81
2014Wilson Chandler,13,0.209677419,0.928571429,14,62
2015Blake Griffin,13,0.194029851,0.722222222,18,67
2015Chris Kaman,13,0.175675676,0.866666667,15,74
2015Dennis Schroder,13,0.168831169,0.464285714,28,77
2015George Hill,13,0.302325581,0.722222222,18,43
2015Harrison Barnes,13,0.158536585,0.8125,16,82
2015Isaiah Thomas,13,0.194029851,0.684210526,19,67
2015Robert Covington,13,0.185714286,0.8125,16,70
2015Taj Gibson,13,0.209677419,0.928571429,14,62
2015Thaddeus Young,13,0.171052632,0.590909091,22,76
2015Will Barton,13,0.224137931,0.590909091,22,58
2016Joe Young,13,0.317073171,0.393939394,33,41
2016Jonas Jerebko,13,0.166666667,0.30952381,42,78
2016Manu Ginobili,13,0.224137931,0.448275862,29,58
2016Noah Vonleh,13,0.166666667,0.382352941,34,78
2016Thabo Sefolosha,13,0.173333333,0.464285714,28,75
2017Austin Rivers,13,0.175675676,0.25,52,74
2017Brandon Ingram,13,0.164556962,0.240740741,54,79
2017Jared Dudley,13,0.203125,0.65,20,64
2017Jerami Grant,13,0.1625,0.325,40,80
2017Joel Embiid,13,0.419354839,0.722222222,18,31
2017Joffrey Lauvergne,13,0.185714286,0.928571429,14,70
2017Lavoy Allen,13,0.213114754,0.481481481,27,61
2017Noah Vonleh,13,0.175675676,0.361111111,36,74
2017Raymond Felton,13,0.1625,0.288888889,45,80
2017Thabo Sefolosha,13,0.209677419,0.448275862,29,62
2018James Johnson,13,0.178082192,0.866666667,15,73
2018Kevon Looney,13,0.196969697,0.8125,16,66
2018Khem Birch,13,0.30952381,0.764705882,17,42
2018Kosta Koufos,13,0.183098592,1,13,71
2018Mike Scott,13,0.171052632,0.5,26,76
2018Pascal Siakam,13,0.160493827,0.8125,16,81
2018Richaun Holmes,13,0.270833333,0.8125,16,48
2018Thaddeus Young,13,0.160493827,1,13,81
2018Willie Reed,13,0.30952381,1,13,42
2019Jeff Green,13,0.168831169,0.866666667,15,77
2019Kevon Looney,13,0.1625,0.764705882,17,80
2019Nemanja Bjelica,13,0.168831169,0.65,20,77
2019Thon Maker,13,0.203125,0.8125,16,64
2019Zach Collins,13,0.168831169,0.866666667,15,77
2020Cristiano Felicio,13,0.590909091,0.722222222,18,22
2020Harry Giles III,13,0.282608696,0.684210526,19,46
2020Jordan Clarkson,13,0.183098592,0.590909091,22,71
2020Kyle Kuzma,13,0.213114754,0.5,26,61
2020Malik Monk,13,0.236363636,0.928571429,14,55
2020Rui Hachimura,13,0.270833333,1,13,48
2020Serge Ibaka,13,0.236363636,0.8125,16,55
2021Ben Simmons,13,0.224137931,0.684210526,19,58
2021Dejounte Murray,13,0.194029851,0.619047619,21,67
2021Kevon Looney,13,0.213114754,0.684210526,19,61
2021Tobias Harris,13,0.209677419,0.619047619,21,62
2022Chris Duarte,13,0.236363636,0.393939394,33,55
2022Darius Bazley,13,0.188405797,0.684210526,19,69
2022Dejounte Murray,13,0.191176471,0.40625,32,68
2022DeMarcus Cousins,13,0.270833333,0.619047619,21,48
2022Ja Morant,13,0.228070175,0.448275862,29,57
2022Jaden McDaniels,13,0.185714286,0.722222222,18,70
2022Myles Turner,13,0.30952381,0.684210526,19,42
2022Ziaire Williams,13,0.209677419,1,13,62
2023Alperen Sengun,13,0.173333333,0.764705882,17,75
2023Kevin Knox II,13,0.206349206,0.448275862,29,63
2014David Lee,12,0.173913043,0.666666667,18,69
2014Deron Williams,12,0.1875,0.52173913,23,64
2014Gerald Green,12,0.146341463,0.75,16,82
2014Giannis Antetokounmpo,12,0.155844156,1,12,77
2014James Anderson,12,0.15,0.75,16,80
2014Jeff Green,12,0.146341463,0.666666667,18,82
2014Jimmy Butler,12,0.179104478,0.705882353,17,67
2014Paul George,12,0.15,0.857142857,14,80
2014Perry Jones III,12,0.193548387,0.857142857,14,62
2014Tayshaun Prince,12,0.157894737,0.6,20,76
2014Tim Duncan,12,0.162162162,1,12,74
2015Al Jefferson,12,0.184615385,0.923076923,13,65
2015Anthony Morrow,12,0.162162162,0.52173913,23,74
2015Corey Brewer,12,0.15,0.413793103,29,80
2015DeMarre Carroll,12,0.171428571,0.75,16,70
2015Jerryd Bayless,12,0.155844156,0.571428571,21,77
2015Kelly Olynyk,12,0.1875,0.8,15,64
2015Kevin Durant,12,0.444444444,0.75,16,27
2015Luc Mbah a Moute,12,0.179104478,0.923076923,13,67
2015Paul Millsap,12,0.164383562,0.666666667,18,73
2015Serge Ibaka,12,0.1875,0.75,16,64
2015Shane Larkin,12,0.157894737,0.413793103,29,76
2015Ty Lawson,12,0.16,0.413793103,29,75
2015Zach Randolph,12,0.169014085,0.631578947,19,71
2016Dwyane Wade,12,0.162162162,0.923076923,13,74
2016Gerald Henderson,12,0.166666667,0.6,20,72
2016Hollis Thompson,12,0.155844156,0.363636364,33,77
2016Jahlil Okafor,12,0.226415094,0.666666667,18,53
2016Jason Smith,12,0.157894737,0.413793103,29,76
2016Josh Richardson,12,0.230769231,0.48,25,52
2016Kentavious Caldwell-Pope,12,0.157894737,0.857142857,14,76
2016Ryan Hollins,12,0.324324324,0.75,16,37
2016Tyler Ennis,12,0.260869565,0.545454545,22,46
2017Devin Harris,12,0.184615385,0.413793103,29,65
2017Dion Waiters,12,0.260869565,0.260869565,46,46
2017Gerald Henderson,12,0.166666667,0.387096774,31,72
2017Glenn Robinson III,12,0.173913043,0.923076923,13,69
2017Marcin Gortat,12,0.146341463,0.857142857,14,82
2017Wesley Matthews,12,0.164383562,0.545454545,22,73
2018Blake Griffin,12,0.206896552,0.666666667,18,58
2018Brandan Wright,12,0.428571429,0.857142857,14,28
2018Domantas Sabonis,12,0.162162162,0.75,16,74
2018Jaylen Brown,12,0.171428571,1,12,70
2018Kenneth Faried,12,0.375,0.8,15,32
2018Lauri Markkanen,12,0.176470588,0.461538462,26,68
2018Marc Gasol,12,0.164383562,0.8,15,73
2018Marco Belinelli,12,0.15,0.413793103,29,80
2018Michael Kidd-Gilchrist,12,0.162162162,0.75,16,74
2018Nerlens Noel,12,0.4,0.705882353,17,30
2018Nikola Mirotic,12,0.218181818,0.5,24,55
2018Paul Millsap,12,0.315789474,0.48,25,38
2018Salah Mejri,12,0.196721311,0.705882353,17,61
2019Bradley Beal,12,0.146341463,0.857142857,14,82
2019Maxi Kleber,12,0.169014085,1,12,71
2019Monte Morris,12,0.146341463,0.857142857,14,82
2019Paul George,12,0.155844156,1,12,77
2019Robin Lopez,12,0.162162162,0.857142857,14,74
2019Thaddeus Young,12,0.148148148,0.75,16,81
2020Zach LaVine,12,0.2,0.857142857,14,60
2021Taj Gibson,12,0.266666667,0.705882353,17,45
2022Enes Freedom,12,0.342857143,0.75,16,35
2022Gary Payton II,12,0.169014085,0.923076923,13,71
2022Isaiah Stewart,12,0.169014085,0.923076923,13,71
2022Jalen Smith,12,0.235294118,0.923076923,13,51
2022James Harden,12,0.184615385,0.631578947,19,65
2022Keldon Johnson,12,0.16,0.75,16,75
2022Rudy Gay,12,0.218181818,0.6,20,55
2023Bobby Portis,12,0.171428571,0.413793103,29,70
2023Corey Kispert,12,0.162162162,0.52173913,23,74
2023Delon Wright,12,0.24,0.461538462,26,50
2023JaMychal Green,12,0.210526316,0.705882353,17,57
2014Aron Baynes,11,0.20754717,0.6875,16,53
2014Jamal Crawford,11,0.15942029,0.611111111,18,69
2014Jordan Hill,11,0.152777778,1,11,72
2014Larry Sanders,11,0.47826087,0.611111111,18,23
2014Miroslav Raduljica,11,0.229166667,0.458333333,24,48
2014Paul Millsap,11,0.148648649,0.785714286,14,74
2014Paul Pierce,11,0.146666667,0.423076923,26,75
2015Amir Johnson,11,0.146666667,0.733333333,15,75
2015Devin Harris,11,0.144736842,0.34375,32,76
2015Draymond Green,11,0.139240506,0.458333333,24,79
2015Jonas Valanciunas,11,0.1375,1,11,80
2015KJ McDaniels,11,0.177419355,0.846153846,13,62
2015Kosta Koufos,11,0.135802469,1,11,81
2015Shelvin Mack,11,0.2,0.6875,16,55
2016Kyrie Irving,11,0.20754717,0.255813953,43,53
2016Luke Babbitt,11,0.234042553,0.733333333,15,47
2016Toney Douglas,11,0.180327869,0.305555556,36,61
2017Channing Frye,11,0.148648649,0.5,22,74
2017Derrick Williams,11,0.22,0.846153846,13,50
2017Jonathon Simmons,11,0.141025641,0.6875,16,78
2017Salah Mejri,11,0.150684932,1,11,73
2018Amir Johnson,11,0.148648649,0.846153846,13,74
2018Brandon Ingram,11,0.186440678,0.846153846,13,59
2018Cristiano Felicio,11,0.2,0.785714286,14,55
2018Joe Johnson,11,0.2,0.523809524,21,55
2018Paul George,11,0.139240506,0.916666667,12,79
2018Serge Ibaka,11,0.144736842,1,11,76
2018Trevor Booker,11,0.161764706,0.6875,16,68
2018Victor Oladipo,11,0.146666667,0.785714286,14,75
2019Allonzo Trier,11,0.171875,0.578947368,19,64
2019Lauri Markkanen,11,0.211538462,1,11,52
2019Paul Millsap,11,0.157142857,1,11,70
2019Tristan Thompson,11,0.255813953,0.6875,16,43
2020Donovan Mitchell,11,0.15942029,0.392857143,28,69
2020Dorian Finney-Smith,11,0.154929577,0.846153846,13,71
2020Glenn Robinson III,11,0.177419355,0.733333333,15,62
2020John Henson,11,0.275,0.846153846,13,40
2020Meyers Leonard,11,0.215686275,0.846153846,13,51
2020Torrey Craig,11,0.189655172,0.55,20,58
2021Alex Len,11,0.171875,1,11,64
2021Isaiah Hartenstein,11,0.239130435,0.733333333,15,46
2021JaMychal Green,11,0.189655172,0.916666667,12,58
2021Jimmy Butler,11,0.211538462,0.47826087,23,52
2021Kenrich Williams,11,0.166666667,0.55,20,66
2021Patrick Williams,11,0.154929577,1,11,71
2022Devin Vassell,11,0.154929577,0.6875,16,71
2022Gordon Hayward,11,0.224489796,0.407407407,27,49
2022Jayson Tatum,11,0.144736842,0.733333333,15,76
2022Jonathan Kuminga,11,0.157142857,0.846153846,13,70
2022Maxi Kleber,11,0.186440678,0.916666667,12,59
2022Nick Richards,11,0.22,0.733333333,15,50
2022Raul Neto,11,0.157142857,0.5,22,70
2023Andrew Wiggins,11,0.297297297,0.6875,16,37
2023Josh Christopher,11,0.171875,0.5,22,64
2023Nikola Vucevic,11,0.134146341,0.44,25,82
2023Thomas Bryant,11,0.186440678,0.916666667,12,59
2023Udoka Azubuike,11,0.305555556,0.916666667,12,36
2014Ben McLemore,10,0.12195122,0.833333333,12,82
2014Henry Sims,10,0.217391304,0.909090909,11,46
2014Joakim Noah,10,0.125,0.588235294,17,80
2014Jodie Meeks,10,0.12987013,0.555555556,18,77
2014Kelly Olynyk,10,0.142857143,0.909090909,11,70
2014Khris Middleton,10,0.12195122,0.526315789,19,82
2014Michael Beasley,10,0.181818182,0.769230769,13,55
2014Nikola Pekovic,10,0.185185185,0.909090909,11,54
2014Ramon Sessions,10,0.120481928,0.666666667,15,83
2014Spencer Hawes,10,0.125,0.769230769,13,80
2014Taj Gibson,10,0.12195122,1,10,82
2015Andre Roberson,10,0.149253731,0.909090909,11,67
2015Arron Afflalo,10,0.128205128,0.625,16,78
2015Ben Gordon,10,0.178571429,0.588235294,17,56
2015Brandon Bass,10,0.12195122,0.833333333,12,82
2015Cory Jefferson,10,0.2,0.833333333,12,50
2015James Johnson,10,0.142857143,0.666666667,15,70
2015Jason Thompson,10,0.12345679,0.909090909,11,81
2015Jeremy Lin,10,0.135135135,0.5,20,74
2015JJ Redick,10,0.128205128,0.5,20,78
2015Kyle O'Quinn,10,0.196078431,0.833333333,12,51
2015Luis Scola,10,0.12345679,0.909090909,11,81
2015Pau Gasol,10,0.128205128,0.714285714,14,78
2015Russell Westbrook,10,0.149253731,0.5,20,67
2015Terrence Ross,10,0.12195122,0.833333333,12,82
2016Allen Crabbe,10,0.12345679,0.454545455,22,81
2016E'Twaun Moore,10,0.169491525,0.476190476,21,59
2016Ian Clark,10,0.151515152,0.666666667,15,66
2016Marco Belinelli,10,0.147058824,0.666666667,15,68
2016Norris Cole,10,0.222222222,0.243902439,41,45
2016Sasha Vujacic,10,0.163934426,0.666666667,15,61
2016Tyler Zeller,10,0.166666667,0.909090909,11,60
2017Anthony Morrow,10,0.204081633,0.454545455,22,49
2017Derrick Favors,10,0.2,0.714285714,14,50
2017Juancho Hernangomez,10,0.161290323,0.4,25,62
2017Justin Anderson,10,0.133333333,0.416666667,24,75
2017Luol Deng,10,0.178571429,0.344827586,29,56
2017Mike Conley,10,0.144927536,0.285714286,35,69
2017Mike Muscala,10,0.142857143,0.555555556,18,70
2018Draymond Green,10,0.142857143,0.666666667,15,70
2018Emmanuel Mudiay,10,0.15625,0.416666667,24,64
2018Jakob Poeltl,10,0.12195122,0.909090909,11,82
2018Marcin Gortat,10,0.12195122,0.769230769,13,82
2018Markieff Morris,10,0.136986301,0.666666667,15,73
2018Nikola Vucevic,10,0.175438596,0.666666667,15,57
2018Will Barton,10,0.12345679,0.555555556,18,81
2019Brook Lopez,10,0.12345679,0.833333333,12,81
2019DeMarcus Cousins,10,0.333333333,1,10,30
2019Ekpe Udoh,10,0.196078431,0.909090909,11,51
2019Gorgui Dieng,10,0.131578947,0.909090909,11,76
2019JaMychal Green,10,0.153846154,0.5,20,65
2019LeBron James,10,0.181818182,0.909090909,11,55
2019Marquese Chriss,10,0.23255814,0.769230769,13,43
2019Taurean Prince,10,0.181818182,0.5,20,55
2020Al Horford,10,0.149253731,0.833333333,12,67
2020Andrew Wiggins,10,0.185185185,1,10,54
2020Dewayne Dedmon,10,0.227272727,0.909090909,11,44
2020Kyle Anderson,10,0.149253731,0.555555556,18,67
2021Derrick Favors,10,0.147058824,0.769230769,13,68
2021Isaiah Roby,10,0.163934426,0.476190476,21,61
2021Ja Morant,10,0.158730159,0.833333333,12,63
2021Jarred Vanderbilt,10,0.15625,0.588235294,17,64
2021Jerami Grant,10,0.185185185,0.434782609,23,54
2021Karl-Anthony Towns,10,0.2,0.769230769,13,50
2021RJ Barrett,10,0.138888889,0.37037037,27,72
2021Rudy Gay,10,0.158730159,0.588235294,17,63
2021Torrey Craig,10,0.2,0.714285714,14,50
2022Alperen Sengun,10,0.138888889,0.909090909,11,72
2022Andrew Wiggins,10,0.136986301,0.714285714,14,73
2022Corey Kispert,10,0.12987013,0.833333333,12,77
2022Derrick Favors,10,0.256410256,0.625,16,39
2022Dorian Finney-Smith,10,0.125,0.588235294,17,80
2022Franz Wagner,10,0.126582278,0.625,16,79
2022Greg Brown III,10,0.208333333,0.833333333,12,48
2022Jeremiah Robinson-Earl,10,0.204081633,0.666666667,15,49
2022Josh Christopher,10,0.135135135,0.526315789,19,74
2022Josh Giddey,10,0.185185185,0.769230769,13,54
2022Tobias Harris,10,0.136986301,1,10,73
2022Udoka Azubuike,10,0.588235294,0.909090909,11,17
2023Christian Koloko,10,0.172413793,0.909090909,11,58
2023Donte DiVincenzo,10,0.138888889,0.217391304,46,72
2023Goga Bitadze,10,0.263157895,0.769230769,13,38
2023Jabari Walker,10,0.178571429,0.526315789,19,56
2023Jalen McDaniels,10,0.125,0.434782609,23,80
2023Nikola Jokic,10,0.144927536,0.588235294,17,69
2023Orlando Robinson,10,0.322580645,0.909090909,11,31
2014Anderson Varejao,9,0.138461538,0.6,15,65
2014Andre Iguodala,9,0.142857143,1,9,63
2014CJ Miles,9,0.176470588,0.642857143,14,51
2014Danny Green,9,0.132352941,0.529411765,17,68
2014John Wall,9,0.109756098,1,9,82
2014Kirk Hinrich,9,0.123287671,0.428571429,21,73
2014Pau Gasol,9,0.15,0.818181818,11,60
2014Trevor Booker,9,0.125,1,9,72
2014Will Barton,9,0.219512195,1,9,41
2015Brandon Jennings,9,0.219512195,0.36,25,41
2015DeMarcus Cousins,9,0.152542373,0.75,12,59
2015Dwight Buycks,9,1.5,0.375,24,6
2015Festus Ezeli,9,0.195652174,0.818181818,11,46
2015Gerald Green,9,0.121621622,0.692307692,13,74
2015Goran Dragic,9,0.115384615,0.818181818,11,78
2015Ian Clark,9,0.3,0.225,40,30
2015Jimmer Fredette,9,0.18,0.6,15,50
2015Joe Johnson,9,0.1125,0.45,20,80
2015Kevin Martin,9,0.230769231,0.6,15,39
2015Langston Galloway,9,0.2,0.428571429,21,45
2015Luol Deng,9,0.125,0.692307692,13,72
2015Markel Brown,9,0.191489362,0.818181818,11,47
2015Trevor Booker,9,0.113924051,0.9,10,79
2016Andrew Nicholson,9,0.160714286,0.9,10,56
2016Ben McLemore,9,0.132352941,0.473684211,19,68
2016CJ Miles,9,0.140625,0.36,25,64
2016James Johnson,9,0.157894737,0.642857143,14,57
2016Jonathon Simmons,9,0.163636364,0.75,12,55
2016Justise Winslow,9,0.115384615,0.9,10,78
2016Kevin Martin,9,0.163636364,0.473684211,19,55
2016Markel Brown,9,0.14516129,0.321428571,28,62
2016Rodney Stuckey,9,0.155172414,0.391304348,23,58
2017Eric Gordon,9,0.12,0.243243243,37,75
2017Ivica Zubac,9,0.236842105,0.75,12,38
2017James Michael McAdoo,9,0.173076923,0.692307692,13,52
2017Omer Asik,9,0.290322581,0.818181818,11,31
2017Paul Zipser,9,0.204545455,0.5625,16,44
2017Shelvin Mack,9,0.163636364,0.375,24,55
2017Skal Labissiere,9,0.272727273,0.9,10,33
2017Thon Maker,9,0.157894737,0.75,12,57
2017Vince Carter,9,0.123287671,0.45,20,73
2018Caris LeVert,9,0.126760563,0.6,15,71
2018Dejounte Murray,9,0.111111111,0.642857143,14,81
2018Eric Moreland,9,0.134328358,0.818181818,11,67
2018E'Twaun Moore,9,0.109756098,0.6,15,82
2018Ivan Rabb,9,0.25,0.642857143,14,36
2018Jabari Parker,9,0.290322581,0.5625,16,31
2018Maurice Harkless,9,0.152542373,0.692307692,13,59
2018Mike Muscala,9,0.169811321,0.692307692,13,53
2018Thon Maker,9,0.121621622,0.5,18,74
2019Al-Farouq Aminu,9,0.111111111,0.818181818,11,81
2019Blake Griffin,9,0.12,0.818181818,11,75
2019DeAndre' Bembry,9,0.109756098,0.818181818,11,82
2019Donovan Mitchell,9,0.116883117,1,9,77
2019Josh Richardson,9,0.123287671,0.75,12,73
2019Nicolas Batum,9,0.12,0.346153846,26,75
2019Stanley Johnson,9,0.136363636,0.75,12,66
2019Zach LaVine,9,0.142857143,0.75,12,63
2020Bruce Brown,9,0.155172414,0.9,10,58
2020Domantas Sabonis,9,0.14516129,1,9,62
2020Hamidou Diallo,9,0.195652174,0.818181818,11,46
2020Ja Morant,9,0.134328358,0.75,12,67
2020Julius Randle,9,0.140625,0.75,12,64
2020Kyrie Irving,9,0.45,0.5,18,20
2020Marvin Bagley III,9,0.692307692,0.642857143,14,13
2020Tobias Harris,9,0.125,0.818181818,11,72
2021Alfonzo McKinnie,9,0.230769231,0.9,10,39
2021Bogdan Bogdanovic,9,0.204545455,0.6,15,44
2021Cody Zeller,9,0.1875,0.642857143,14,48
2021Drew Eubanks,9,0.166666667,1,9,54
2021Dwayne Bacon,9,0.125,0.642857143,14,72
2021Mo Bamba,9,0.195652174,0.9,10,46
2021Robin Lopez,9,0.126760563,0.692307692,13,71
2022Goga Bitadze,9,0.18,0.6,15,50
2022Isaiah Roby,9,0.2,0.642857143,14,45
2022Jeff Green,9,0.12,0.818181818,11,75
2022Marquese Chriss,9,0.264705882,0.692307692,13,34
2022Moses Brown,9,0.225,0.9,10,40
2022Nikola Vucevic,9,0.123287671,0.9,10,73
2022Trey Lyles,9,0.12,0.9,10,75
2022Zach Collins,9,0.321428571,0.818181818,11,28
2022Zach LaVine,9,0.134328358,0.9,10,67
2023Luka Garza,9,0.321428571,0.818181818,11,28
2023Matisse Thybulle,9,0.126760563,0.818181818,11,71
2023Trey Lyles,9,0.121621622,0.529411765,17,74
2023Willy Hernangomez,9,0.236842105,0.692307692,13,38
2023Zeke Nnaji,9,0.169811321,1,9,53
2014Brandon Bass,8,0.097560976,0.888888889,9,82
2014Cole Aldrich,8,0.173913043,0.444444444,18,46
2014Dante Cunningham,8,0.098765432,1,8,81
2014Ed Davis,8,0.126984127,0.615384615,13,63
2014Jonas Valanciunas,8,0.098765432,0.727272727,11,81
2014Josh Smith,8,0.103896104,0.8,10,77
2014Kevin Martin,8,0.117647059,0.8,10,68
2014Lance Stephenson,8,0.102564103,0.8,10,78
2014Marco Belinelli,8,0.1,0.727272727,11,80
2014Mike Scott,8,0.1,1,8,80
2014Mo Williams,8,0.108108108,0.571428571,14,74
2014Omri Casspi,8,0.112676056,0.727272727,11,71
2014Shawn Marion,8,0.105263158,0.615384615,13,76
2015Amar'e Stoudemire,8,0.13559322,0.888888889,9,59
2015Andre Iguodala,8,0.103896104,0.8,10,77
2015Eric Bledsoe,8,0.098765432,0.470588235,17,81
2015Giannis Antetokounmpo,8,0.098765432,0.888888889,9,81
2015Jae Crowder,8,0.097560976,0.727272727,11,82
2015JaVale McGee,8,0.347826087,0.888888889,9,23
2015Jorge Gutierrez,8,0.4,0.444444444,18,20
2015Kemba Walker,8,0.129032258,0.666666667,12,62
2015Mike Scott,8,0.117647059,0.533333333,15,68
2015Nene,8,0.119402985,0.888888889,9,67
2015Victor Claver,8,0.8,0.571428571,14,10
2015Zach LaVine,8,0.103896104,0.888888889,9,77
2016Aaron Brooks,8,0.115942029,0.181818182,44,69
2016Darrell Arthur,8,0.114285714,0.285714286,28,70
2016David West,8,0.102564103,0.8,10,78
2016Jerryd Bayless,8,0.153846154,0.296296296,27,52
2016Justin Holiday,8,0.150943396,0.444444444,18,53
2016Lucas Nogueira,8,0.275862069,1,8,29
2016Luol Deng,8,0.108108108,1,8,74
2016Nicolas Batum,8,0.114285714,0.8,10,70
2016Nik Stauskas,8,0.109589041,0.163265306,49,73
2016Patrick Beverley,8,0.112676056,0.533333333,15,71
2016Richaun Holmes,8,0.156862745,0.888888889,9,51
2016Rondae Hollis-Jefferson,8,0.275862069,0.727272727,11,29
2016Salah Mejri,8,0.235294118,0.470588235,17,34
2017Al Horford,8,0.117647059,0.888888889,9,68
2017Allen Crabbe,8,0.101265823,0.380952381,21,79
2017Brandon Jennings,8,0.098765432,0.177777778,45,81
2017Davis Bertans,8,0.119402985,0.615384615,13,67
2017DeAndre Liggins,8,0.129032258,0.4,20,62
2017Fred VanVleet,8,0.216216216,0.533333333,15,37
2017Joe Ingles,8,0.097560976,0.4,20,82
2017Kevin Seraphin,8,0.163265306,0.888888889,9,49
2017Marco Belinelli,8,0.108108108,0.444444444,18,74
2017Monta Ellis,8,0.108108108,0.285714286,28,74
2017Shaun Livingston,8,0.105263158,0.533333333,15,76
2018Ben McLemore,8,0.142857143,0.8,10,56
2018Boban Marjanovic,8,0.205128205,0.888888889,9,39
2018Bobby Portis,8,0.109589041,0.727272727,11,73
2018Dante Cunningham,8,0.109589041,0.615384615,13,73
2018DeMar DeRozan,8,0.1,1,8,80
2018Dwyane Wade,8,0.119402985,1,8,67
2018Frank Kaminsky,8,0.101265823,1,8,79
2018James Ennis III,8,0.111111111,0.888888889,9,72
2018James Harden,8,0.111111111,0.5,16,72
2018Joffrey Lauvergne,8,0.145454545,0.888888889,9,55
2018Jonathon Simmons,8,0.115942029,0.615384615,13,69
2018Jrue Holiday,8,0.098765432,0.347826087,23,81
2018Klay Thompson,8,0.109589041,1,8,73
2018Kyle Anderson,8,0.108108108,0.888888889,9,74
2018Kyle Kuzma,8,0.103896104,0.8,10,77
2018Noah Vonleh,8,0.148148148,0.727272727,11,54
2018Pat Connaughton,8,0.097560976,0.666666667,12,82
2018Pau Gasol,8,0.103896104,1,8,77
2018Wilson Chandler,8,0.108108108,1,8,74
