Rk,Player,Pos,PG%,SG%,SF%,PF%,C%,-9999
,Sharife Cooper,PG,100,0,0,0,0,
,Trey Jemison,C,0,0,0,0,100,
,Myron Gardner,SF,0,9,91,0,0,
,Jahmai Mashack,SG,0,100,0,0,0,
,Riley Minix,SF,0,0,45,55,0,
,Koby Brea,SG,0,100,0,0,0,
,Drew Timme,PF,0,0,0,99,1,
,Tosan Evbuomwan,SF,0,10,90,0,0,
,Chris Mañon,SG,82,0,18,0,0,
,Alijah Martin,SG,0,100,0,0,0,
,Colby Jones,SG,0,0,100,0,0,
,Noa Essengue,PF,0,0,0,74,26,
,Trentyn Flowers,SF,0,0,100,0,0,
,Christian Koloko,C,0,0,0,0,100,
,Isaiah Crawford,SF,0,0,55,0,46,
,Hunter Dickinson,C,0,0,0,0,100,
,DaRon Holmes,PF,0,0,0,100,0,
,Marcus Sasser,PG,100,0,0,0,0,
,Curtis Jones,SG,0,100,0,0,0,
,Kasparas Jakučionis,PG,100,0,0,0,0,
