Rk,Player,Pos,PG%,SG%,SF%,PF%,C%,-9999
108,Anfernee Simons,SG,53,47,0,0,0,carrica01
109,Tristan Da Silva,SF,0,8,83,9,0,mccolcj01
110,Dillon Brooks,SF,0,0,11,87,2,antetgi01
111,Jake LaRavia,PF,0,7,67,25,1,sheppbe01
112,Bam Adebayo,C,0,0,0,21,79,greenaj01
113,Keldon Johnson,SF,0,31,61,8,0,landajo01
114,Moses Moody,SG,0,21,65,15,0,sharpsh01
115,Kris Murray,SF,4,52,36,8,0,hausesa01
116,Bobby Portis,PF,0,0,0,70,30,gordoaa01
117,Bruce Brown,SG,37,61,2,0,0,poolejo01
118,Bub Carrington,PG,100,0,0,0,0,durenja01
119,Draymond Green,PF,0,0,18,54,28,sextoco01
120,Jose Alvarado,PG,100,0,0,0,0,blackan01
121,Ryan Kalkbrenner,C,0,0,0,0,100,champju02
122,Ausar Thompson,SF,2,59,37,3,0,barneha02
123,Sam Hauser,PF,0,0,11,85,4,sabondo01
124,Neemias Queta,C,0,0,0,0,100,quetane01
125,Ayo Dosunmu,SG,6,66,27,1,0,jonestr01
126,Terance Mann,SG,15,67,18,0,0,smithja05
127,Jaylon Tyson,SG,0,27,64,9,0,johnstr03
128,Ben Sheppard,SG,25,66,9,0,0,buzelma01
129,Reed Sheppard,SG,23,60,18,0,0,fearsje01
130,Zaccharie Risacher,SF,0,4,91,5,0,kennalu01
131,Miles McBride,SG,32,68,0,0,0,willima07
132,Ace Bailey,SF,0,6,90,5,0,smartma01
133,Jusuf Nurkić,C,0,0,0,0,100,leonaka01
134,Donovan Clingan,C,0,0,0,0,100,ballla01
135,Collin Sexton,SG,50,48,2,0,0,tysonja01
136,Isaiah Hartenstein,C,0,0,0,0,100,beysa01
137,Kentavious Caldwell-Pope,SG,1,89,10,0,0,stewais01
138,RJ Barrett,SF,0,58,38,4,0,clingdo01
139,Pelle Larsson,SG,0,33,66,0,0,doncilu01
140,Dennis Schröder,PG,100,0,0,0,0,jamessi01
141,Malik Monk,SG,31,56,13,0,0,collijo01
142,Herbert Jones,SF,0,65,29,6,0,jonesde02
143,Grayson Allen,SG,46,45,8,1,0,harrito02
144,De'Aaron Fox,PG,100,0,0,0,0,dunnkr01
145,Mark Williams,C,0,0,0,0,100,marshna01
146,Moussa Diabaté,C,0,0,0,4,96,johnsca02
147,Jamal Shead,PG,100,0,0,0,0,reidna01
148,Jock Landale,C,0,0,0,0,100,russeda01
149,Dean Wade,PF,0,0,6,79,15,clownno01
150,Cam Spencer,SG,60,38,2,0,0,minotjo01
151,Jalen Suggs,PG,91,9,0,0,0,easonta01
152,Ron Holland,SF,0,0,30,70,0,vandeja01
153,Klay Thompson,SF,6,43,48,3,0,hollaro01
154,Kyle Filipowski,C,0,0,0,40,60,huertke01
155,Brandon Williams,PG,99,1,0,0,0,conlemi01
156,Stephen Curry,PG,100,0,0,0,0,nurkiju01
157,Andrew Nembhard,PG,87,13,0,0,0,wadede01
158,Vit Krejci,PG,61,39,0,0,0,dasiltr01
159,Jakob Poeltl,C,0,0,0,0,100,jovicni01
160,Giannis Antetokounmpo,PF,0,0,0,74,26,princta02
161,Nicolas Batum,PF,0,0,42,58,0,balllo01
162,Sandro Mamukelashvili,C,0,0,0,1,99,hartjo01
163,Tre Jones,PG,100,0,0,0,0,johnske04
164,Kawhi Leonard,SF,0,6,70,24,0,okorois01
165,Jordan Clarkson,SG,0,66,33,0,0,manntr01
166,Egor Dёmin,PG,97,3,0,0,0,martity01
167,Andre Drummond,C,0,0,0,0,100,holmgch01
168,Alex Sarr,C,0,0,0,1,99,allenja01
169,Isaiah Stewart,C,0,0,0,35,65,moodymo01
170,Buddy Hield,SG,0,32,58,11,0,thompkl01
171,Paolo Banchero,PF,0,0,0,98,2,hardati02
172,Tyrese Martin,SG,6,71,23,0,0,wareke01
173,Stephon Castle,PG,70,30,0,0,0,kuzmaky01
174,Ryan Dunn,SF,0,3,43,54,0,okogijo01
175,LaMelo Ball,PG,83,17,0,0,0,willija07
176,Josh Minott,PF,0,0,0,57,43,diabamo01
177,Josh Okogie,SG,6,71,23,1,0,fontesi01
178,Patrick Williams,PF,0,0,27,69,4,willipa01
179,OG Anunoby,PF,0,0,17,82,1,willizi01
180,Mike Conley,PG,100,0,0,0,0,elliske01
181,Ziaire Williams,SF,2,19,75,4,0,murrakr01
182,Luguentz Dort,SF,0,1,46,53,1,spencca01
183,Kevin Huerter,SF,0,11,79,11,0,portibo01
184,Luke Kennard,SG,3,52,45,0,0,ighodos01
185,Isaiah Jackson,C,0,0,0,8,91,kesslwa01
186,Jay Huff,C,0,0,0,0,100,porzikr01
187,Jordan Walsh,PF,0,0,34,64,2,hieldbu01
188,Jordan Goodwin,PG,33,60,8,0,0,powelno01
189,Simone Fontecchio,SF,0,0,26,73,1,filipky01
190,Jaylin Williams,PF,0,0,10,49,42,monkma01
191,Javonte Green,SG,12,59,27,2,0,queende01
192,Will Richard,SG,32,52,15,0,0,middlkh01
193,Oso Ighodaro,PF,0,0,0,11,89,davisan02
194,Quinten Post,PF,0,0,0,4,96,knechda01
195,Jonathan Kuminga,PF,0,0,1,63,36,larsspe01
196,Mouhamed Gueye,PF,0,0,0,64,36,kispeco01
197,Bennedict Mathurin,SF,0,40,57,2,0,mcbrimi01
198,D'Angelo Russell,PG,82,18,0,0,0,huntede01
199,Lonzo Ball,PG,51,48,1,0,0,jacksis01
200,Vince Williams Jr.,PG,95,5,0,0,0,portecr01
201,Dru Smith,SG,99,2,0,0,0,anthoco01
202,Kelly Oubre Jr.,SF,0,0,60,41,0,brownbr01
203,Tobias Harris,PF,0,0,0,98,2,baileac01
204,Victor Wembanyama,C,0,0,0,0,100,shamela01
205,Khris Middleton,SF,0,0,5,91,5,mamuksa01
206,Gradey Dick,SG,0,51,46,4,0,dennira01
207,Luke Kornet,C,0,0,0,11,89,risacza01
208,Keon Ellis,SG,54,43,3,0,0,sheppre01
209,Goga Bitadze,C,0,0,0,0,100,watsope01
210,Marcus Smart,SG,19,75,7,0,0,harpedy01
211,Jrue Holiday,PG,100,0,0,0,0,bitadgo01
212,Isaiah Joe,SG,34,66,0,0,0,greenja02
213,Jarrett Allen,C,0,0,0,0,100,youngtr01
214,Steven Adams,C,0,0,0,0,100,sheadja01
215,Ja'Kobe Walter,SG,7,92,2,0,0,claytwa01
216,Sidy Cissoko,SF,39,39,20,2,0,bonaad01
217,Cole Anthony,PG,99,1,0,0,0,nancela02
218,Craig Porter Jr.,PG,100,0,0,0,0,smithdr01
219,Isaac Okoro,SG,0,44,52,4,0,adamsst01
220,Collin Murray-Boyles,PF,0,0,12,74,14,postqu01
221,Tre Mann,PG,84,16,0,0,0,demineg01
222,Dominick Barlow,PF,0,0,0,79,21,horfoal01
223,Aaron Gordon,PF,0,0,0,98,2,hendrta01
224,Keegan Murray,PF,0,0,8,92,0,dosunay01
225,Caris LeVert,SG,10,50,34,7,0,dickgr01
226,Yves Missi,C,0,0,0,1,100,lopezbr01
227,Domantas Sabonis,C,0,0,0,3,98,merrisa01
228,Tre Johnson,SG,18,62,20,0,0,sharpda01
229,Drew Eubanks,C,0,0,0,0,100,clarkjo01
230,Precious Achiuwa,C,0,0,0,60,41,murraco01
231,Day'Ron Sharpe,C,0,0,0,0,100,alvarjo01
232,Micah Peavy,SG,1,28,51,20,0,wilsoja03
233,Cam Whitmore,SF,0,6,57,37,0,gueyemo02
234,Jaxson Hayes,C,0,0,0,0,100,willizi02
235,Tyus Jones,PG,100,0,0,0,0,eubandr01
236,Nique Clifford,SG,9,43,38,11,0,whitmca01
237,Aaron Wiggins,SG,4,25,53,18,0,batumni01
238,Nikola Jović,PF,0,0,0,62,38,drumman01
239,Ja Morant,PG,100,0,0,0,0,richawi02
240,Brice Sensabaugh,SF,0,47,48,5,0,suggsja01
241,Justin Edwards,SF,0,1,85,14,0,baglema01
242,Daniel Gafford,C,0,0,0,0,100,missiyv01
243,Daniss Jenkins,PG,99,1,0,0,0,huffja01
244,Corey Kispert,SF,0,28,58,14,0,shannte01
245,Kristaps Porziņģis,C,0,0,0,0,100,embiijo01
246,Keaton Wallace,PG,100,0,0,0,0,jonesty01
247,Aaron Nesmith,SF,1,62,37,0,0,poeltja01
248,Kobe Sanders,SG,2,47,51,0,0,walkeja01
249,Walter Clayton,PG,70,30,0,0,0,agbajoc01
250,Bilal Coulibaly,SG,1,79,20,0,0,hayesja02
251,Spencer Jones,SF,0,1,73,26,0,carusal01
252,Christian Braun,SG,1,77,22,0,0,edwaran01
253,Jaylen Clark,SG,8,68,24,0,0,garzalu01
254,Derrick Jones Jr.,SF,0,10,82,9,0,paulch01
255,Marvin Bagley III,PF,0,0,0,1,99,smithja04
256,Jordan Hawkins,SG,2,95,3,0,0,gonzahu01
257,Landry Shamet,SG,10,80,9,0,0,hawkijo01
258,Sam Merrill,SG,0,69,28,3,0,bealbr01
259,Caleb Love,SG,94,5,1,0,0,jacksqu01
260,Zion Williamson,PF,0,0,0,87,13,smallja01
261,Jalen Smith,C,0,0,0,1,99,bradlto01
262,Drake Powell,SG,79,18,3,0,0,weslebl01
263,Jonas Valančiūnas,C,0,0,0,4,96,joeis01
264,Maxime Raynaud,C,0,0,0,0,100,clarkja02
265,Isaiah Collier,PG,37,63,0,0,0,watfotr01
266,Dylan Harper,SG,15,60,25,0,0,konchjo01
267,Dalton Knecht,SF,0,50,47,3,0,leverca01
268,Jabari Walker,PF,0,0,10,89,1,coulibi01
269,Jeremiah Robinson-Earl,PF,0,0,3,94,3,sarafbe01
270,Gary Payton II,SG,25,74,2,0,0,bogdabo01
271,Alex Caruso,SG,0,29,51,20,0,cliffni01
272,Anthony Davis,PF,0,0,0,10,90,brookdi01
273,Aaron Holiday,PG,100,0,0,0,0,hylanbo01
274,Bryce McGowens,SG,0,59,41,0,0,edwarju01
275,John Konchar,SG,0,6,77,16,0,sensabr01
276,Trendon Watford,PF,0,0,1,89,9,willibr03
277,Zach Edey,C,0,0,0,0,100,richani01
278,Jericho Sims,C,0,0,0,30,70,salauti01
279,Gabe Vincent,PG,100,0,0,0,0,valanjo01
280,Mitchell Robinson,C,0,0,0,32,68,goodwjo01
281,Al Horford,C,0,0,0,2,98,toppiob01
282,Bogdan Bogdanović,SG,10,59,31,0,0,hayesni01
283,Jeremy Sochan,PF,0,0,0,52,47,coffeam01
284,Adem Bona,C,0,0,0,0,100,poweldw01
285,Nae'Qwan Tomlin,PF,0,0,38,58,4,wallake01
286,Brook Lopez,C,0,0,0,0,100,dilliro01
287,Pat Spencer,PG,93,7,0,0,0,capelca01
288,LeBron James,SF,0,6,74,20,0,proctty01
289,Ochai Agbaji,SG,0,85,15,0,0,mathube01
290,Justin Champagnie,SF,0,25,69,6,0,vincega01
291,Jarred Vanderbilt,PF,0,0,28,65,7,jamesbr02
292,Jalen Wilson,PF,0,3,40,58,0,paytoga02
293,Tari Eason,PF,0,3,66,30,0,scheiba01
294,Darius Garland,PG,92,8,0,0,0,hardyja02
295,Liam McNeeley,SF,0,2,81,17,0,yabusgu01
296,Jared McCain,SG,7,86,7,0,0,willivi01
297,Baylor Scheierman,SG,8,40,52,0,0,gaffoda01
298,Luka Garza,C,0,0,0,0,100,mclaujo01
299,Tony Bradley,C,0,0,2,7,92,bouchch01
300,Gary Harris,SG,0,65,35,0,0,mcneeli01
