RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-1.51,-0.16,-1.34,1.13,-0.97,-0.43,-0.54,-0.95,-0.24,-0.71,18.41,66.72,6.74,58.06,30.79,53.91,24.81,22.12,39.71,17.74
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.95,-0.14,-0.81,0.6,-0.24,0.13,-0.37,-0.67,0.3,-0.97,32.34,67.59,17.16,46.53,55.26,77.42,33.41,29.06,67.65,10.39
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.26,-0.32,0.06,0.95,-0.36,-0.65,0.29,0.96,0.93,0.03,53.3,59.5,58.51,54.37,51.8,43.89,70.73,79.37,84.87,52.96
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,0.96,0.19,0.77,2.64,0.06,-0.31,0.38,1.41,1.01,0.4,86.85,77.3,81.72,76.88,76.21,60.31,73.9,86.66,86.22,71.33
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,0.71,0.89,-0.18,2.82,0.6,0.53,0.06,1,2.04,-1.04,84.11,87.53,45.24,78.47,84.5,84.29,59.73,80.09,95.79,8.77
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.93,-0.83,-0.1,0.32,-0.79,-0.95,0.16,-1.19,-0.25,-0.94,32.86,36.87,49.42,38.05,36.98,31.6,64.9,17.08,39.25,11.1
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-0.38,0.26,-0.64,2.14,-0.37,0.38,-0.75,-0.64,-0.42,-0.21,49.65,78.72,22.95,71.78,51.53,81.97,16.57,29.94,32.16,38.66
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-1.19,-0.1,-1.09,1.54,0.26,0.77,-0.51,-1.39,-0.81,-0.57,25.39,69.48,10.92,64.56,79.49,87.02,26.49,13.57,19.85,22.58
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-0.43,1.07,-1.51,1.16,0.16,1.26,-1.1,0.46,1.15,-0.69,48.21,89.3,4.62,58.65,77.82,90.94,8.02,67.69,88.35,18.35
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-2.03,0.27,-2.3,0.32,-1.1,0.31,-1.41,-0.21,1.08,-1.29,9.46,78.96,0.73,38.05,26.91,80.87,3.57,44.85,87.27,4.81
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-1.86,-0.57,-1.29,0.43,-1.43,-0.58,-0.85,-0.48,0.17,-0.65,12.06,48.19,7.38,41.57,18,46.78,13.17,35.39,61.17,19.77
