RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,O-LEBRON Box Impact,D-LEBRON Box Impact,LEBRON Vs Role Average,O-LEBRON Vs Role Average,D-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,O-LEBRON Box Impact_percentile,D-LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,O-LEBRON Vs Role Average_percentile,D-LEBRON Vs Role Average_percentile
355,2016-17,Quinn Cook,23,DAL/NOP,187,Garbage Time,Primary Ball Handler,Point of Attack,-0.94,-0.61,-0.34,0.17,-1.01,-0.62,-0.39,-0.8,-0.89,0.09,32.61,46.01,36.46,29.87,29.66,45.07,32.28,25.63,17.74,56.45
356,2020-21,Quinn Cook,27,LAL/CLE,157,Garbage Time,Secondary Ball Handler,Point of Attack,-0.68,-0.17,-0.51,0.17,-0.48,-0.38,-0.09,0.26,0.61,-0.35,40.61,66.28,28.33,29.87,47.79,56.8,50.71,61.9,77.89,31.84
357,2015-16,Chris McCullough,20,BRK,362,Rotation,Stretch Big,Helper,-0.8,-1,0.21,0.36,-0.22,-1.22,1,-0.56,-0.61,0.05,36.62,30.62,65.18,39.49,55.84,22.56,88.57,32.68,24.92,54.11
358,2016-17,Chris McCullough,21,BRK/WAS,80,Garbage Time,Low Minute,Helper,-0.17,-0.14,-0.03,0.12,-0.37,-0.24,-0.13,0.05,0.28,-0.23,55.59,67.59,53.03,25.49,51.53,64.05,48.32,54.27,66.76,37.68
359,2017-18,Chris McCullough,22,WAS,90,Garbage Time,Low Minute,Helper,-0.86,-0.48,-0.37,0.09,-0.6,-0.39,-0.21,-0.52,-0.11,-0.41,34.95,52.06,34.99,22.24,43.83,56.18,42.87,34.02,46.07,29.1
360,2018-19,Pat Connaughton,26,MIL,1261,Key Rotation,Stationary Shooter,Chaser,0,0.52,-0.52,1.94,0.21,-0.08,0.29,1.7,1.78,-0.08,58.87,83.01,27.78,69.69,78.61,71.17,70.73,90.13,94.36,46.53
361,2019-20,Pat Connaughton,27,MIL,1243,Key Rotation,Stationary Shooter,Chaser,0.35,0.19,0.16,2.2,0.24,-0.97,1.21,2.14,1.41,0.73,79.22,77.3,63.24,72.29,79.07,30.89,91.62,93.77,91.35,83.62
362,2020-21,Pat Connaughton,28,MIL,1575,Key Rotation,Stationary Shooter,Chaser,0.06,-0.35,0.41,2.49,-0.25,-0.72,0.47,1.83,0.9,0.94,74.55,58.11,72.39,75.27,54.94,40.83,76.76,91.42,84.41,88.86
363,2021-22,Pat Connaughton,29,MIL,1691,Key Rotation,Stationary Shooter,Helper,-0.46,-0.39,-0.07,2.1,0,0.02,-0.02,0.7,0.68,0.02,47.19,56.19,50.98,71.33,60.82,74.59,54.96,74.04,79.81,52.44
364,2022-23,Pat Connaughton,30,MIL,1443,Key Rotation,Stationary Shooter,Low Activity,-1.02,-0.67,-0.36,1.29,-0.37,-0.77,0.4,1.21,0.64,0.56,30.14,43.35,35.56,60.71,51.53,38.39,74.41,83.75,78.79,77.93
365,2023-24,Pat Connaughton,31,MIL,1676,Key Rotation,Stationary Shooter,Chaser,-0.97,-1.06,0.09,1.56,-1.47,-1.19,-0.28,0.92,0.33,0.6,31.61,28.86,60.02,64.88,16.96,23.71,38.63,78.49,69.04,79.52
366,2024-25,Pat Connaughton,32,MIL,603,Rotation,Movement Shooter,Helper,-0.66,-0.78,0.12,0.68,-0.66,-0.83,0.17,0.04,0.01,0.03,41.2,38.78,61.44,48.49,41.42,36.12,65.52,53.91,52.27,52.96
367,2015-16,Pat Connaughton,23,POR,143,Garbage Time,Secondary Ball Handler,Low Activity,-1.54,-0.99,-0.55,0.07,-1.24,-0.73,-0.51,-0.48,-0.68,0.2,17.83,31.01,26.61,18.92,23.17,40.42,26.49,35.39,22.92,62.02
368,2016-17,Pat Connaughton,24,POR,316,Garbage Time,Movement Shooter,Chaser,-2.29,-1.82,-0.47,0.01,-1.8,-1.42,-0.37,-0.92,-1,0.09,6.61,9,29.96,7.8,10.82,16.6,33.41,22.92,15.27,56.45
369,2017-18,Pat Connaughton,25,POR,1488,Rotation,Off Screen Shooter,Chaser,-1.47,-0.65,-0.83,0.84,-1.88,-1.17,-0.71,-0.94,-0.57,-0.37,19.02,44.23,16.54,52.34,9.53,24.27,17.99,22.41,26.29,30.87
370,2025-26,Pat Connaughton,33,CHO,297,Garbage Time,Movement Shooter,Helper,-0.35,-0.58,0.23,0.39,-0.03,-0.22,0.2,0.16,0.02,0.14,50.47,47.65,65.78,40.47,60.17,65.17,66.71,58.63,52.89,58.94
371,2020-21,Willy Hernangomez,26,NOP,846,Rotation,Post Scorer,Anchor Big,0.5,0.54,-0.04,1.58,0.36,-0.13,0.49,0.1,0.92,-0.82,81.68,83.28,52.52,65.23,81.21,69.25,77.35,56.55,84.65,14.22
372,2021-22,Willy Hernangomez,27,NOP,839,Rotation,Post Scorer,Anchor Big,1.32,1.18,0.14,2.01,0.33,0.65,-0.32,0.26,0.99,-0.74,90.27,90.49,62.37,70.36,80.68,85.7,36.37,61.9,85.88,16.71
373,2022-23,Willy Hernangomez,28,NOP,458,Rotation,Post Scorer,Helper,1.36,0.56,0.81,1.1,0.9,0.24,0.65,1.76,0.89,0.87,90.6,83.62,82.68,57.41,87.64,79.55,81.38,90.64,84.16,87.49
374,2016-17,Willy Hernangomez,22,NYK,1324,Rotation,Roll + Cut Big,Helper,-1.02,-0.32,-0.7,1.14,-0.56,-0.46,-0.1,-0.23,0.67,-0.9,30.14,59.5,20.62,58.23,45.08,52.34,50.2,43.99,79.6,12.15
375,2017-18,Willy Hernangomez,23,NYK/CHO,494,Garbage Time,Post Scorer,Anchor Big,0.62,-0.19,0.81,0.97,0.59,0.02,0.57,0.13,0.1,0.03,83.27,65.39,82.68,54.79,84.35,74.59,79.52,57.55,57.09,52.96
376,2018-19,Willy Hernangomez,24,CHO,812,Rotation,Roll + Cut Big,Anchor Big,0.14,0.56,-0.41,1.33,0.07,0.36,-0.29,-0.04,1.22,-1.25,76.05,83.62,33.21,61.51,76.4,81.62,38.02,50.88,89.27,5.3
377,2019-20,Willy Hernangomez,25,CHO,375,Rotation,Post Scorer,Mobile Big,0.78,0.45,0.34,0.77,0.28,0.14,0.14,0.02,0.25,-0.23,84.92,81.94,69.97,50.52,79.77,77.67,64.03,53.23,65.23,37.68
378,2015-16,Josh Richardson,22,MIA,1107,Key Rotation,Primary Ball Handler,Point of Attack,-1.55,-0.91,-0.64,0.54,-1.24,-1.18,-0.06,-1.12,-0.99,-0.13,17.61,33.78,22.95,44.94,23.17,23.97,52.42,18.42,15.71,43.52
379,2016-17,Josh Richardson,23,MIA,1614,Starter,Primary Ball Handler,Wing Stopper,-1.03,-1.26,0.23,1.39,-0.72,-0.95,0.23,-1.38,-1.55,0.17,29.85,22.09,65.78,62.32,39.29,31.6,68.11,13.79,6.48,60.29
380,2017-18,Josh Richardson,24,MIA,2689,Starter,Primary Ball Handler,Wing Stopper,0.21,-0.87,1.08,4.52,0.25,-0.77,1.02,-0.1,-1.07,0.98,77.06,35.31,87.85,88.96,79.33,38.39,89.05,48.65,13.88,89.54
381,2018-19,Josh Richardson,25,MIA,2539,Starter,Primary Ball Handler,Point of Attack,0.87,0.23,0.64,5.37,0.39,0.18,0.21,1.08,0.12,0.96,85.86,78,78.55,91.79,81.69,78.42,67.08,81.48,58.07,89.17
382,2023-24,Josh Richardson,30,MIA,1103,Key Rotation,Movement Shooter,Point of Attack,-1.23,-0.94,-0.29,0.84,-1.18,-0.91,-0.27,-0.23,-0.07,-0.16,24.14,32.85,39.12,52.34,24.84,33.19,39.3,43.99,47.92,41.86
383,2024-25,Josh Richardson,31,MIA,150,Too Few Games,Movement Shooter,Point of Attack,-0.84,-0.99,0.14,0.15,-0.85,-0.97,0.11,-0.09,-0.2,0.11,35.6,31.01,62.37,28.25,34.97,30.89,62.71,49.14,41.71,57.35
384,2022-23,Josh Richardson,29,SAS/NOP,1530,Key Rotation,Movement Shooter,Chaser,-1.89,-1.54,-0.35,0.54,-1.48,-0.73,-0.75,-0.55,-0.79,0.24,11.42,14.52,36.1,44.94,16.72,40.42,16.57,33.06,20.31,63.86
385,2019-20,Josh Richardson,26,PHI,1693,Starter,Secondary Ball Handler,Point of Attack,-0.53,-0.58,0.05,2.02,-0.7,-0.52,-0.18,0.38,0,0.38,45.06,47.65,57.8,70.51,40.04,49.64,45.11,65.39,51.78,70.4
386,2021-22,Josh Richardson,28,BOS/SAS,1600,Key Rotation,Movement Shooter,Chaser,-0.48,-0.59,0.1,1.96,-1.06,-0.74,-0.31,0.9,0.28,0.62,46.7,47.07,60.63,69.87,28.29,39.93,36.98,78.13,66.76,80.28
387,2020-21,Josh Richardson,27,DAL,1795,Starter,Movement Shooter,Point of Attack,-0.51,-0.12,-0.39,2.17,-0.25,-0.02,-0.23,0.5,0.72,-0.23,45.73,68.52,34.07,72.02,54.94,73.41,41.5,68.77,80.81,37.68
388,2017-18,Darrun Hilliard,24,SAS,95,Garbage Time,Low Minute,Chaser,-1.22,-0.67,-0.55,0.07,-1.09,-0.71,-0.38,-0.39,-0.29,-0.1,24.43,43.35,26.61,18.92,27.27,41.35,32.8,38.49,37.54,45.33
389,2015-16,Darrun Hilliard,22,DET,383,Rotation,Secondary Ball Handler,Chaser,-1.2,-0.84,-0.36,0.28,-1.31,-0.74,-0.58,-0.26,-0.52,0.27,25.06,36.54,35.56,36.09,21,39.93,23,42.84,28.15,65.17
390,2016-17,Darrun Hilliard,23,DET,381,Garbage Time,Secondary Ball Handler,Low Activity,-1.69,-1.7,0,0.16,-2.01,-1.73,-0.28,-0.31,-1.13,0.83,14.69,11.26,55.06,29.25,7.49,9.65,38.63,41.33,12.54,86.36
391,2015-16,Joe Young,23,IND,383,Garbage Time,Slasher,Point of Attack,-2.17,-0.75,-1.42,0.03,-1.69,-0.45,-1.24,-1.64,-0.74,-0.9,7.82,40.15,5.64,11.87,12.62,52.74,5.62,10.22,21.48,12.15
392,2016-17,Joe Young,24,IND,135,Garbage Time,Secondary Ball Handler,Point of Attack,-1.21,-0.21,-1.01,0.1,-0.97,-0.2,-0.77,-0.23,0.36,-0.58,24.79,64.45,12.47,23.68,30.79,66.2,15.76,43.99,70.04,22.04
393,2017-18,Joe Young,25,IND,558,Garbage Time,Secondary Ball Handler,Point of Attack,-3.25,-1.53,-1.72,-0.33,-2.61,-1.32,-1.29,-1.99,-0.66,-1.33,1.17,14.84,3.08,2.39,2.4,19.5,4.89,6.18,23.48,4.45
394,2019-20,Treveon Graham,26,MIN/ATL,929,Rotation,Stationary Shooter,Helper,-2.16,-1.36,-0.8,0.13,-2.29,-1.71,-0.58,-0.95,-0.14,-0.81,7.92,19.31,17.48,26.32,4.48,10.14,23,22.12,44.53,14.47
395,2018-19,Treveon Graham,25,BRK,715,Key Rotation,Movement Shooter,Wing Stopper,-0.8,-1.13,0.34,0.73,-1.78,-1.58,-0.2,-0.11,-0.32,0.21,36.62,26.49,69.97,49.63,11.11,13,43.64,48.16,36.17,62.46
396,2016-17,Treveon Graham,23,CHO,189,Garbage Time,Movement Shooter,Wing Stopper,-2.28,-2,-0.28,0.01,-1.87,-1.77,-0.09,-1.52,-1.18,-0.34,6.77,6.7,39.76,7.8,9.73,8.99,50.71,11.7,11.51,32.4
397,2017-18,Treveon Graham,24,CHO,1049,Rotation,Movement Shooter,Helper,-1.95,-2.14,0.19,0.26,-2.15,-1.86,-0.29,-1.13,-1.29,0.16,10.53,5.21,64.35,35.14,5.94,7.53,38.02,18.21,9.7,59.83
398,2024-25,Larry Nance Jr.,32,ATL,463,Rotation,Stationary Shooter,Mobile Big,0.24,-0.68,0.92,0.79,0.24,-0.65,0.89,0.51,0.37,0.15,77.53,42.87,84.95,51.03,79.07,43.89,86.88,69.13,70.48,59.28
399,2015-16,Larry Nance Jr.,23,LAL,1266,Key Rotation,Roll + Cut Big,Helper,-0.53,-1.41,0.89,1.5,-1.72,-1.86,0.14,0.25,-0.48,0.73,45.06,17.82,84.28,63.95,12.15,7.53,64.03,61.68,29.54,83.62
400,2016-17,Larry Nance Jr.,24,LAL,1442,Key Rotation,Roll + Cut Big,Helper,0.39,-0.91,1.29,2.59,-0.39,-1.18,0.79,1.18,0.08,1.09,79.94,33.78,91.13,76.18,50.98,23.97,84.77,83.33,56.04,91.47
401,2021-22,Larry Nance Jr.,29,POR/NOP,1040,Key Rotation,Roll + Cut Big,Mobile Big,-0.38,-0.57,0.19,1.34,-0.95,-1.16,0.21,-0.13,0.16,-0.3,49.65,48.19,64.35,61.7,31.28,24.64,67.08,47.48,60.44,34.36
402,2022-23,Larry Nance Jr.,30,NOP,1381,Key Rotation,Roll + Cut Big,Mobile Big,0.86,-1.09,1.95,2.88,0.11,-1.12,1.23,1.26,-0.13,1.38,85.74,27.83,96.73,78.91,77.04,25.78,91.94,84.43,45.01,95.09
403,2023-24,Larry Nance Jr.,31,NOP,1216,Rotation,Roll + Cut Big,Mobile Big,-0.59,-1.75,1.16,1.39,-0.44,-1.34,0.91,-0.4,-0.83,0.42,43.36,10.34,89.07,62.32,49.17,18.91,87.2,38.13,19.33,72.11
404,2017-18,Larry Nance Jr.,25,LAL/CLE,1421,Key Rotation,Roll + Cut Big,Mobile Big,2.7,0.69,2,4.72,1.21,0.04,1.17,3.27,1.74,1.53,96.44,85.36,96.99,89.66,90.11,75.2,91.06,97.88,94.11,96.39
405,2018-19,Larry Nance Jr.,26,CLE,1795,Key Rotation,Roll + Cut Big,Anchor Big,0.19,-0.57,0.76,2.99,0.39,-0.22,0.61,0.01,0.1,-0.08,76.78,48.19,81.47,79.82,81.69,65.17,80.31,52.84,57.09,46.53
406,2019-20,Larry Nance Jr.,27,CLE,1472,Key Rotation,Stretch Big,Helper,0.05,-0.05,0.1,2.32,-0.18,-0.22,0.04,0.7,0.62,0.08,74.35,71.26,60.63,73.66,56.98,65.17,58.65,74.04,78.3,55.89
407,2020-21,Larry Nance Jr.,28,CLE,1091,Starter,Stretch Big,Wing Stopper,0.23,-1.64,1.87,1.84,-0.42,-1.5,1.08,0.75,-0.92,1.67,77.41,12.46,96.36,68.74,50.05,14.59,89.76,75.15,17.11,97.31
408,2025-26,Larry Nance Jr.,33,CLE,449,Rotation,Stretch Big,Mobile Big,-0.73,-1.45,0.71,0.48,-0.68,-1.35,0.67,-1.18,-1.01,-0.16,39.06,16.71,80.31,43.21,40.68,18.48,81.92,17.23,15.01,41.86
409,2017-18,Vincent Hunter,23,MEM,7,Too Few Games,Low Minute,Chaser,0.09,0.12,-0.02,0.01,-0.1,-0.01,-0.09,0.92,0.49,0.43,75.29,75.93,53.79,7.8,58.79,73.65,50.71,78.49,74.63,72.53
410,2021-22,Keifer Sykes,28,IND,566,Rotation,Primary Ball Handler,Point of Attack,-2.76,-2,-0.76,-0.13,-2.97,-1.66,-1.32,-2.51,-1.92,-0.58,2.91,6.7,18.55,4.25,0.91,11.07,4.6,2.78,3.25,22.04
411,2018-19,Mario Hezonja,23,NYK,1206,Key Rotation,Secondary Ball Handler,Wing Stopper,-0.96,-1.08,0.12,1.1,-1.91,-1.76,-0.14,-0.23,-0.22,-0.01,31.92,28.2,61.44,57.41,9.18,9.16,47.7,43.99,40.84,50.66
412,2015-16,Mario Hezonja,20,ORL,1413,Rotation,Off Screen Shooter,Low Activity,-1.85,-1.67,-0.19,0.4,-2.41,-1.6,-0.81,-0.67,-1.23,0.56,12.22,11.8,44.8,40.79,3.72,12.42,14.44,29.06,10.83,77.93
413,2016-17,Mario Hezonja,21,ORL,960,Rotation,Off Screen Shooter,Low Activity,-3.16,-2.11,-1.04,-0.51,-2.08,-1.73,-0.35,-2.08,-1.86,-0.22,1.36,5.6,11.81,1.54,6.65,9.65,34.65,5.53,3.69,38.15
414,2017-18,Mario Hezonja,22,ORL,1657,Key Rotation,Movement Shooter,Helper,-1.54,-1.01,-0.53,0.86,-0.85,-0.83,-0.02,-0.72,-0.16,-0.56,17.83,30.48,27.3,52.71,34.97,36.12,54.96,27.78,43.74,22.95
415,2019-20,Mario Hezonja,24,POR,871,Rotation,Movement Shooter,Wing Stopper,-2.67,-2.5,-0.17,-0.17,-1.69,-1.92,0.23,-1.98,-1.53,-0.45,3.5,2.25,45.87,3.77,12.62,6.82,68.11,6.3,6.67,27.25
416,2015-16,Alan Williams,23,PHO,68,Garbage Time,Low Minute,Helper,0.72,0.18,0.54,0.14,0.51,-0.09,0.6,1,0.62,0.38,84.3,77.17,76.22,27.35,83.38,70.8,80.06,80.09,78.3,70.4
417,2016-17,Alan Williams,24,PHO,708,Rotation,Post Scorer,Anchor Big,0.77,0.34,0.43,1.45,0.94,-0.25,1.19,0.6,1.02,-0.43,84.8,80.31,73.02,63.13,87.92,63.54,91.32,71.34,86.39,28.17
418,2017-18,Alan Williams,25,PHO,70,Too Few Games,Low Minute,Helper,-0.08,-0.51,0.43,0.1,0.04,-0.41,0.44,0.26,-0.13,0.4,57.38,50.71,73.02,23.68,75.79,55.01,75.73,61.9,45.01,71.33
419,2018-19,Alan Williams,26,BRK,26,Too Few Games,Low Minute,Helper,0.08,0.11,-0.02,0.04,-0.1,-0.11,0.01,0.43,0.45,-0.02,75,75.73,53.79,13.64,58.79,70.06,56.92,66.91,73.27,50.1
420,2015-16,Bryce Dejean-Jones,23,NOP,279,Garbage Time,Movement Shooter,Chaser,0.32,-0.29,0.61,0.49,-0.21,-0.72,0.52,1.69,0.45,1.24,78.74,60.93,77.78,43.52,56.07,40.83,78.23,89.95,73.27,93.26
421,2023-24,Royce O'Neale,30,BRK/PHO,1954,Key Rotation,Movement Shooter,Helper,0.05,-0.46,0.51,3.07,-0.61,-0.94,0.33,1.06,0.41,0.65,74.35,52.91,75.49,80.59,43.44,31.94,72.16,81.09,71.95,81.3
422,2024-25,Royce O'Neale,31,PHO,1837,Starter,Stationary Shooter,Wing Stopper,0.15,0.1,0.06,3.01,0.07,-0.01,0.08,1.19,1.14,0.05,76.23,75.54,58.51,79.96,76.4,73.65,61.07,83.48,88.25,54.11
423,2025-26,Royce O'Neale,32,PHO,2213,Starter,Movement Shooter,Wing Stopper,-1.35,-1.93,0.58,1.53,-0.21,-0.96,0.76,-0.96,-1.32,0.36,21.4,7.41,77.15,64.44,56.07,31.28,84.22,21.85,9.16,69.31
424,2017-18,Royce O'Neale,24,UTA,1149,Garbage Time,Stationary Shooter,Chaser,0.08,-0.81,0.9,1.84,-0.49,-1.35,0.85,1.79,0.44,1.35,75,37.73,84.48,68.74,47.48,18.48,85.9,90.96,72.95,94.77
425,2018-19,Royce O'Neale,25,UTA,1671,Key Rotation,Stationary Shooter,Wing Stopper,-1.21,-2.15,0.94,1.25,-1.23,-2.18,0.95,-0.08,-0.89,0.81,24.79,5.08,85.44,60.09,23.46,3.71,88.02,49.66,17.74,85.88
426,2019-20,Royce O'Neale,26,UTA,2049,Key Rotation,Stationary Shooter,Wing Stopper,0.04,-1.2,1.24,3.22,0.3,-1.27,1.57,0.98,0.02,0.96,74.23,23.92,90.32,81.52,80.09,20.77,95.45,79.79,52.89,89.17
427,2020-21,Royce O'Neale,27,UTA,2241,Starter,Stationary Shooter,Wing Stopper,0.88,-0.66,1.54,4.73,1.07,-0.82,1.89,1.93,0.58,1.35,85.96,43.79,94.03,89.71,88.98,36.58,97.38,92.37,77.15,94.77
428,2021-22,Royce O'Neale,28,UTA,2406,Starter,Stationary Shooter,Wing Stopper,0.09,-0.65,0.73,3.85,0.8,-0.51,1.31,1.06,0.43,0.63,75.29,44.23,80.79,85.55,86.67,50.1,93.09,81.09,72.63,80.67
429,2022-23,Royce O'Neale,29,BRK,2409,Starter,Movement Shooter,Helper,-1.25,-0.97,-0.28,1.82,-1.08,-1.33,0.25,-0.43,-0.22,-0.21,23.57,31.69,39.76,68.5,27.59,19.23,69.13,36.98,40.84,38.66
430,2023-24,Cedi Osman,28,SAS,1269,Rotation,Movement Shooter,Helper,-2.31,-1.38,-0.93,0.12,-2.02,-1.56,-0.46,-1.3,-0.51,-0.79,6.49,18.7,14.22,25.49,7.27,13.51,28.88,14.95,28.5,15.05
431,2017-18,Cedi Osman,22,CLE,672,Rotation,Stationary Shooter,Chaser,-0.34,-0.54,0.2,0.89,-1.32,-1.1,-0.22,1.37,0.72,0.65,50.8,49.71,64.79,53.33,20.64,26.66,42.23,86.1,80.81,81.3
432,2018-19,Cedi Osman,23,CLE,2444,Starter,Secondary Ball Handler,Wing Stopper,-2.62,-1.41,-1.21,-0.4,-2.4,-0.97,-1.43,-1.89,-0.55,-1.34,3.86,17.82,8.99,2.08,3.79,30.89,3.35,7.26,26.98,4.32
433,2019-20,Cedi Osman,24,CLE,1910,Starter,Movement Shooter,Helper,-2.47,-1.57,-0.9,-0.13,-1.98,-1.19,-0.79,-1.51,-0.6,-0.91,5.03,13.79,14.93,4.25,8.05,23.71,15.06,11.85,25.25,11.87
434,2020-21,Cedi Osman,25,CLE,1511,Key Rotation,Movement Shooter,Chaser,-1.93,-0.66,-1.27,0.46,-1.94,-0.99,-0.95,-0.55,0.19,-0.74,10.89,43.79,7.72,42.64,8.81,30.33,10.7,33.06,62.17,16.71
435,2021-22,Cedi Osman,26,CLE,1462,Rotation,Movement Shooter,Chaser,-2.29,-0.82,-1.47,0.1,-0.37,0.25,-0.63,-0.9,0.04,-0.95,6.61,37.37,5.06,23.68,51.53,79.81,20.77,23.36,54.11,10.75
436,2022-23,Cedi Osman,27,CLE,1548,Rotation,Movement Shooter,Low Activity,-0.24,0.05,-0.28,2.16,-0.75,-0.31,-0.43,1.43,0.8,0.64,53.77,74.29,39.76,71.92,38.48,60.31,30.4,86.87,82.26,81.06
437,2015-16,Luis Montero,22,POR,42,Garbage Time,Low Minute,Chaser,-0.9,-0.69,-0.2,0.04,-0.62,-0.39,-0.23,0.17,-0.25,0.43,33.74,42.5,44.19,13.64,42.88,56.18,41.5,58.97,39.25,72.53
438,2017-18,Luis Montero,24,DET,8,Too Few Games,Low Minute,Helper,-0.29,-0.34,0.04,0.01,-0.26,-0.35,0.09,0.05,0.04,0.01,52.45,58.6,57.23,7.8,54.63,58.36,61.65,54.27,54.11,51.83
439,2015-16,Cristiano Felicio,23,CHI,321,Rotation,Roll + Cut Big,Anchor Big,1.07,-0.07,1.14,0.73,0.71,-0.28,0.99,1.1,0.87,0.23,87.95,70.6,88.76,49.63,85.77,61.97,88.42,81.96,83.85,63.44
440,2016-17,Cristiano Felicio,24,CHI,1040,Rotation,Roll + Cut Big,Anchor Big,-1.25,-0.7,-0.55,0.74,-0.91,-1.07,0.16,-1.12,0.29,-1.41,23.57,42.03,26.61,49.85,32.81,27.61,64.9,18.42,67.23,3.72
441,2017-18,Cristiano Felicio,25,CHI,977,Rotation,Roll + Cut Big,Mobile Big,-2.65,-2.06,-0.59,-0.2,-2.3,-2.14,-0.15,-2.08,-1.02,-1.06,3.66,6.01,24.9,3.45,4.41,4.16,47.07,5.53,14.88,8.33
442,2018-19,Cristiano Felicio,26,CHI,746,Rotation,Roll + Cut Big,Mobile Big,-2.54,-1.33,-1.22,-0.08,-2.03,-1.46,-0.57,-2.44,-0.66,-1.78,4.48,20.11,8.78,5.09,7.13,15.61,23.49,3.17,23.48,1.08
443,2019-20,Cristiano Felicio,27,CHI,386,Rotation,Athletic Finisher,Mobile Big,-2.98,-1.78,-1.2,-0.15,-2.6,-1.78,-0.82,-2.58,-0.81,-1.78,1.88,9.7,9.21,3.99,2.47,8.75,14.07,2.47,19.85,1.08
444,2020-21,Cristiano Felicio,28,CHI,84,Garbage Time,Low Minute,Anchor Big,0.17,-0.46,0.63,0.14,-0.2,-0.42,0.22,-0.12,0.02,-0.15,76.43,52.91,78.22,27.35,56.34,54.43,67.59,47.8,52.89,42.38
445,2022-23,Boban Marjanovic,34,HOU,171,Garbage Time,Post Scorer,Helper,0.65,-0.01,0.66,0.33,0.21,-0.21,0.42,1.05,0.32,0.73,83.53,72.63,79.1,38.54,78.61,65.67,75.03,80.92,68.55,83.62
446,2023-24,Boban Marjanovic,35,HOU,71,Garbage Time,Low Minute,Anchor Big,-0.82,-0.52,-0.29,0.07,-0.63,-0.35,-0.28,-1.1,-0.06,-1.04,36.12,50.37,39.12,18.92,42.49,58.36,38.63,18.86,48.39,8.77
447,2017-18,Boban Marjanovic,29,DET/LAC,338,Garbage Time,Post Scorer,Anchor Big,1.36,0.7,0.66,0.83,0.49,0.38,0.11,0.88,0.99,-0.11,90.6,85.48,79.1,52.05,83.11,81.97,62.71,77.78,85.88,44.72
448,2018-19,Boban Marjanovic,30,LAC/PHI,681,Garbage Time,Post Scorer,Anchor Big,1.36,0.94,0.42,1.66,0.85,0.62,0.23,0.68,1.1,-0.42,90.6,88,72.73,66.42,87.2,85.38,68.11,73.41,87.56,28.61
449,2015-16,Boban Marjanovic,27,SAS,508,Garbage Time,Post Scorer,Helper,2.04,1.93,0.1,1.48,1.89,1.54,0.35,2.59,2.64,-0.05,94.35,94.48,60.63,63.57,93.96,92.72,72.87,95.77,97.63,48.56
450,2019-20,Boban Marjanovic,31,DAL,422,Garbage Time,Post Scorer,Anchor Big,1.06,1.29,-0.22,0.94,0.9,1.31,-0.41,-0.02,1.09,-1.11,87.87,91.25,43.03,54.2,87.64,91.35,31.38,51.54,87.34,7.45
451,2020-21,Boban Marjanovic,32,DAL,271,Garbage Time,Post Scorer,Anchor Big,1.46,1.21,0.25,0.67,0.65,0.99,-0.34,1.06,1.59,-0.53,91.32,90.66,66.54,48.21,85.15,89.12,35.17,81.09,93.03,23.93
452,2021-22,Boban Marjanovic,33,DAL,128,Garbage Time,Post Scorer,Anchor Big,-0.94,-0.99,0.04,0.12,-1.06,-0.72,-0.34,-2.01,-1.18,-0.83,32.61,31.01,57.23,25.49,28.29,40.83,35.17,6.03,11.51,13.86
453,2016-17,Boban Marjanovic,28,DET,293,Garbage Time,Post Scorer,Anchor Big,2.4,1.43,0.97,0.92,2.17,1.42,0.74,2.23,2.11,0.11,95.47,92.3,86.1,53.71,95.23,92.11,83.7,94.18,96.21,57.35
454,2015-16,Duje Dukan,24,SAC,24,Too Few Games,Low Minute,Helper,-0.14,-0.04,-0.1,0.04,-0.21,-0.17,-0.04,0.14,0.4,-0.26,56.28,71.6,49.42,13.64,56.07,67.47,53.59,57.97,71.56,36.17
455,2020-21,Axel Toupane,28,MIL,61,Garbage Time,Low Minute,Point of Attack,-0.58,-0.63,0.04,0.07,-0.85,-0.71,-0.14,0.07,-0.14,0.21,43.67,45.13,57.23,18.92,34.97,41.35,47.7,55.25,44.53,62.46
456,2016-17,Axel Toupane,24,MIL/NOP,47,Too Few Games,Low Minute,Chaser,-0.96,-0.67,-0.29,0.04,-0.91,-0.6,-0.31,0.02,-0.25,0.27,31.92,43.35,39.12,13.64,32.81,45.95,36.98,53.23,39.25,65.17
457,2015-16,Axel Toupane,23,DEN,305,Rotation,Stationary Shooter,Wing Stopper,-1.86,-1.49,-0.37,0.08,-1.27,-1.25,-0.02,-1.11,-0.68,-0.43,12.06,15.69,34.99,20.62,22.18,21.46,54.96,18.7,22.92,28.17
458,2016-17,Maurice Ndour,24,NYK,331,Rotation,Roll + Cut Big,Helper,-0.28,-1.25,0.97,0.45,-1.37,-1.58,0.21,0.51,-0.26,0.77,52.83,22.39,86.1,42.3,19.62,13,67.08,69.13,38.74,84.75
459,2015-16,Salah Mejri,29,DAL,397,Rotation,Roll + Cut Big,Anchor Big,0.5,-1.57,2.07,0.75,0.59,-1.73,2.32,0.52,-0.64,1.16,81.68,13.79,97.55,50.02,84.35,9.65,98.56,69.47,24.1,92.4
