RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
1576,2018-19,Josh Okogie,20,MIN,1745,Key Rotation,Stationary Shooter,Wing Stopper,-0.13,0,0.87,-0.46,-0.52,-0.11,36.6,12.81,8.43,52.35,61,44.19
1577,2019-20,Josh Okogie,21,MIN,1547,Key Rotation,Movement Shooter,Wing Stopper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1578,2020-21,Josh Okogie,22,MIN,1197,Key Rotation,Stationary Shooter,Point of Attack,-0.11,0,0.87,-0.55,-0.51,-0.63,40.79,12.81,8.43,42.55,62.19,19.12
1579,2021-22,Josh Okogie,23,MIN,516,Garbage Time,Stationary Shooter,Point of Attack,0.02,0,0.87,-0.17,-0.43,0.11,68.09,12.81,8.43,74.93,68.94,56.85
1580,2022-23,Josh Okogie,24,PHO,1350,Rotation,Stationary Shooter,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1581,2023-24,Josh Okogie,25,PHO,960,Rotation,Stationary Shooter,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1582,2024-25,Josh Okogie,26,PHO/CHO,625,Rotation,Stationary Shooter,Wing Stopper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1583,2020-21,Jontay Porter,21,MEM,54,Garbage Time,Low Minute,Anchor Big,0.02,0,0.87,-0.34,-0.56,0.23,68.09,12.81,8.43,62.61,56.89,62.33
1584,2023-24,Jontay Porter,24,TOR,360,Rotation,Stretch Big,Mobile Big,-0.17,0,0.87,-0.95,-0.46,0.36,29.2,12.81,8.43,13.8,66.45,67.69
1585,2025-26,Michael Porter Jr.,27,BRK,1689,Starter,Off Screen Shooter,Helper,0.03,0,0.87,-0.38,-0.24,1.29,70.05,12.81,8.43,59.53,80.79,91.18
