RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.05,-0.19,0.78,-0.37,-0.3,-0.24,53.13,4.32,1.24,60.35,78.44,36.44
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.09,0,0.87,-0.49,-0.6,0.12,44.79,12.81,8.43,49.76,52.79,57.48
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.07,0,0.87,-0.5,-0.55,-0.22,49.48,12.81,8.43,48.44,57.82,37.45
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,0.08,-0.05,0.86,-0.35,-0.1,-0.84,76.25,9.86,7.29,61.92,85.05,12.5
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.46,0.27,0.98,0.63,0.61,-0.58,90.2,97.72,96.72,94.17,93.58,20.88
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.47,0.18,0.99,0.75,0.17,-0.12,90.46,96.3,97.37,95.06,89.44,43.46
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.5,0.02,0.89,-1.25,-0.73,0.46,6.74,90.44,87.87,5.67,47.88,72
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.34,0.26,1.01,0.45,0.18,-1.34,88.06,97.6,98.31,92,89.59,4.57
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.27,-0.02,0.89,0.28,0.16,-0.33,86.11,11.6,87.87,89.42,89.34,31.12
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.06,0,0.87,-0.31,-0.31,-0.56,74.2,12.81,8.43,65.07,77.88,21.45
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,0.36,0.11,0.94,0.29,0.2,-0.93,88.6,94.19,93.75,89.57,89.78,10.33
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.13,0,0.9,-0.05,0.11,-1.25,80.35,12.81,89.24,80.72,88.81,5.67
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,0,0.1,0.96,-0.24,-0.32,-0.83,64.13,93.74,95.46,70.52,77.27,12.85
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,0.92,0.14,0.96,1.14,0.68,-0.8,94.8,95.14,95.46,97.1,94.09,13.64
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-0.12,0,0.87,-0.81,-0.52,-0.11,38.61,12.81,8.43,21.13,61,44.19
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,-0.29,-0.02,0.86,-0.76,-0.58,-1.14,14.9,11.6,7.29,24.57,54.5,6.93
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,0.04,0.06,0.94,-0.18,-0.24,-0.84,71.5,92.22,93.75,74.27,80.79,12.5
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0.16,0,0.87,0.09,-0.2,-0.31,81.95,12.81,8.43,85.89,82.33,32.66
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,-0.19,0,0.87,-0.67,-0.58,-0.16,25.61,12.81,8.43,31.37,54.5,41.48
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,-0.09,0,0.87,-0.54,-0.41,-0.67,44.79,12.81,8.43,44.25,70.73,17.67
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.09,-0.11,0.84,-0.54,-0.16,0.35,44.79,6.88,5.34,44.25,83.55,66.99
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,0.74,0.6,1.02,1.57,0.65,-1.94,93.57,99.39,98.7,98.58,93.86,0.63
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,0.09,0.16,0.93,-0.01,-0.14,1.02,77.17,95.7,92.81,82.49,84.14,87.24
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.37,0.08,0.91,-1.11,-0.45,0.41,10.77,92.99,90.24,8.38,67.21,69.57
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.21,0,0.87,-0.86,-0.26,-1.54,22.96,12.81,8.43,18.08,80.16,2.77
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-0.31,0.1,0.93,-0.93,-0.61,-0.11,13.7,93.74,92.81,14.74,52.06,44.19
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.02,-0.01,0.87,-0.33,-0.16,-0.2,59.91,12.25,8.43,63.62,83.55,39.02
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,0.18,0,0.87,0.07,-0.22,-0.37,82.93,12.81,8.43,85.1,81.65,29.64
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-0.15,0,0.87,-0.55,-0.54,-0.6,32.79,12.81,8.43,42.55,58.78,20.22
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,0.74,0.41,1.09,1.53,0.35,-0.84,93.57,98.86,99.73,98.43,91.66,12.5
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.05,0,0.87,-0.5,-0.48,-0.52,53.13,12.81,8.43,48.44,64.71,23.09
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.14,0,0.87,-0.52,-0.55,-0.08,34.96,12.81,8.43,46.39,57.82,45.89
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-0.56,-0.1,0.83,-1.27,-0.63,2.81,5.35,7.4,4.15,5.39,50.46,99.31
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,0.29,0.29,0.93,0.07,0.1,0.15,86.74,97.95,92.81,85.1,88.64,58.77
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.1,-0.12,0.83,-0.48,-0.39,0.47,42.8,6.54,4.15,50.71,72.71,72.44
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,0.1,0,0.87,-0.04,-0.12,0.55,77.92,12.81,8.43,81.35,84.58,75.12
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-0.08,0,0.88,-0.36,-0.37,0.71,47.31,12.81,86.29,61.2,74.49,80.35
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.21,0.02,0.89,0.12,0.27,-0.43,83.91,90.44,87.87,86.8,90.71,27.18
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,0.04,-0.08,0.85,-0.26,0.29,-0.73,71.5,8.3,6.22,69.29,90.88,15.81
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,0.32,0.84,1,0.45,0.59,0.09,87.5,99.62,97.86,92,93.43,55.97
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.05,0.3,0.97,-0.37,-0.22,0.12,53.13,98.03,96.14,60.35,81.65,57.48
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,-0.02,0,0.87,-0.28,-0.48,-0.06,59.91,12.81,8.43,67.75,64.71,47.12
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,-0.13,0,0.87,-0.53,-0.51,0.39,36.6,12.81,8.43,45.67,62.19,68.91
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.53,-0.04,0.87,-1.29,-0.63,0.06,5.86,10.51,8.43,4.91,50.46,54.27
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-0.08,-0.14,0.82,-0.37,-0.38,-1.86,47.31,5.84,3.43,60.35,73.53,0.79
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.46,-0.17,0.81,-1.34,-0.72,-0.61,7.69,4.71,2.78,4.38,48,19.87
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-0.58,-0.13,0.8,-1.46,-0.82,-0.61,5.13,6.2,2.21,2.93,3.49,19.87
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,0.2,-0.05,0.86,0.17,0.01,0.82,83.69,9.86,7.29,87.75,87.27,83.02
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,-0.01,0,0.87,-0.2,-0.42,-0.53,61.83,12.81,8.43,73.04,69.75,22.61
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,-0.18,0,0.87,-0.62,-0.62,0.17,27.5,12.81,8.43,35.09,51.2,59.62
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,0.17,-0.01,0.86,0.06,0.1,0.51,82.58,12.25,7.29,84.72,88.64,73.95
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-0.36,-0.06,0.85,-1.09,-0.55,0.32,11.15,9.21,6.22,8.98,57.82,65.8
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.21,-0.3,0.76,-0.76,-0.43,0.64,22.96,2.37,0.77,24.57,68.94,77.86
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.12,0,0.87,-0.57,-0.45,-0.25,38.61,12.81,8.43,40.38,67.21,35.91
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.37,-0.41,0.79,-0.98,-0.45,-0.27,10.77,1.45,1.59,12.72,67.21,34.71
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,0.29,0.07,0.89,0.06,0.45,-0.5,86.74,92.64,87.87,84.72,92.38,23.81
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,1.38,0.13,0.93,1.37,1.53,0,96.98,94.78,92.81,97.86,97.26,50.8
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-0.2,-0.23,0.81,-0.55,0.04,-0.81,24.09,3.41,2.78,42.55,87.69,13.35
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,0.01,0,0.87,-0.4,-0.47,-0.12,66.49,12.81,8.43,57.98,65.69,43.46
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.1,0,0.87,-0.61,-0.63,0.07,42.8,12.81,8.43,36.09,50.46,54.96
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,0.05,-0.02,0.86,-0.29,0.66,0.02,72.76,11.6,7.29,66.96,93.96,51.97
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,0.15,0,0.91,-0.02,1.13,0.26,81.51,12.81,90.24,82.11,95.9,63.43
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,0.07,0.15,0.91,-0.13,0.81,0.56,75.34,95.46,90.24,77.29,94.77,75.62
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,2.94,-0.12,0.85,1.74,4.12,0.44,99.37,6.54,6.22,99.06,99.63,70.99
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,-0.06,-0.26,0.86,-0.54,1.33,0.71,51.56,2.99,7.29,44.25,96.65,80.35
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,0.07,-0.61,0.82,-0.17,0.84,0.15,75.34,0.64,3.43,74.93,94.87,58.77
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.04,0.27,0.93,-0.32,0.57,-0.97,71.5,97.72,92.81,64.09,93.28,9.7
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,0.1,0,0.87,0.04,-0.27,0.04,77.92,12.81,8.43,84.09,79.77,53.2
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,-0.08,0.04,0.91,-0.35,-0.38,-1.06,47.31,91.32,90.24,61.92,73.53,8.16
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,-0.2,-0.08,0.85,-0.68,-0.52,-0.59,24.09,8.3,6.22,30.58,61,20.57
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,-0.46,-0.26,0.71,-1.12,-0.72,-0.67,7.69,2.99,0.06,8.16,48,17.67
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,0,-0.01,0.87,-0.3,-0.41,-0.52,64.13,12.25,8.43,65.92,70.73,23.09
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
103,2020-21,Tyus Jones,24,MEM,1222,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
104,2021-22,Tyus Jones,25,MEM,1549,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
105,2022-23,Tyus Jones,26,MEM,1940,Key Rotation,Primary Ball Handler,Low Activity,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
106,2015-16,Tyus Jones,19,MIN,573,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
107,2016-17,Tyus Jones,20,MIN,774,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
108,2017-18,Tyus Jones,21,MIN,1467,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
109,2018-19,Tyus Jones,22,MIN,1560,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
110,2025-26,Tyus Jones,29,ORL/DAL/DEN,934,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
111,2024-25,Tyus Jones,28,PHO,2174,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
112,2023-24,Tyus Jones,27,WAS,1933,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
113,2015-16,Cliff Alexander,20,POR,36,Too Few Games,Low Minute,Anchor Big,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
114,2018-19,Justin Anderson,25,ATL,463,Garbage Time,Movement Shooter,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
115,2021-22,Justin Anderson,28,CLE/IND,316,Garbage Time,Movement Shooter,Helper,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
116,2016-17,Justin Anderson,23,DAL/PHI,1227,Rotation,Movement Shooter,Wing Stopper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
117,2017-18,Justin Anderson,24,PHI,519,Rotation,Movement Shooter,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
118,2019-20,Justin Anderson,26,BRK,107,Garbage Time,Stationary Shooter,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
119,2015-16,Justin Anderson,22,DAL,647,Rotation,Movement Shooter,Chaser,-0.13,0,0.87,-0.69,-0.58,-0.43,36.6,12.81,8.43,29.95,54.5,27.18
120,2015-16,Anthony Brown,23,LAL,599,Key Rotation,Movement Shooter,Chaser,-0.1,0,0.87,-0.54,-0.57,-0.62,42.8,12.81,8.43,44.25,55.79,19.37
121,2017-18,Anthony Brown,25,MIN,4,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
122,2016-17,Anthony Brown,24,NOP/ORL,159,Garbage Time,Movement Shooter,Wing Stopper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
123,2015-16,Montrezl Harrell,22,HOU,379,Garbage Time,Post Scorer,Helper,0.23,0,0.87,0.35,0.09,0.98,84.79,12.81,8.43,90.39,88.44,86.52
124,2016-17,Montrezl Harrell,23,HOU,1064,Rotation,Roll + Cut Big,Mobile Big,0.18,0.19,0.95,0.1,-0.1,2.34,82.93,96.47,94.68,86.17,85.05,98.39
125,2017-18,Montrezl Harrell,24,LAC,1293,Rotation,Post Scorer,Mobile Big,0.77,0.5,0.97,0.97,1.45,0.47,93.83,99.16,96.14,96.44,96.99,72.44
126,2018-19,Montrezl Harrell,25,LAC,2158,Key Rotation,Post Scorer,Anchor Big,0.18,-0.05,0.91,-0.06,0.96,-0.02,82.93,9.86,90.24,80.41,95.38,49.39
127,2019-20,Montrezl Harrell,26,LAC,1749,Star,Shot Creator,Anchor Big,0.01,0.22,0.96,-0.22,0.92,0.84,66.49,96.91,95.46,71.78,95.23,83.75
128,2020-21,Montrezl Harrell,27,LAL,1580,Key Rotation,Post Scorer,Mobile Big,0.82,-0.03,0.93,0.6,1.77,-0.34,94.11,11.02,92.81,93.92,97.8,30.61
129,2022-23,Montrezl Harrell,29,PHI,681,Rotation,Post Scorer,Anchor Big,0.24,0.35,0.99,0.11,0.84,0.38,85.01,98.45,97.37,86.39,94.87,68.35
130,2021-22,Montrezl Harrell,28,WAS/CHO,1640,Key Rotation,Post Scorer,Anchor Big,-0.27,0.15,0.96,-0.59,0.45,0.63,16.54,95.46,95.46,38.2,92.38,77.67
131,2016-17,Andrew Harrison,22,MEM,1474,Rotation,Shot Creator,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
132,2017-18,Andrew Harrison,23,MEM,1326,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
133,2018-19,Andrew Harrison,24,MEM/CLE/NOP,186,Garbage Time,Shot Creator,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
134,2015-16,Aaron Harrison,21,CHO,93,Garbage Time,Low Minute,Low Activity,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
135,2016-17,Aaron Harrison,22,CHO,17,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
136,2017-18,Aaron Harrison,23,DAL,233,Starter,Movement Shooter,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
137,2021-22,Delon Wright,29,ATL,1452,Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
138,2018-19,Delon Wright,26,TOR/MEM,1698,Rotation,Primary Ball Handler,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
139,2023-24,Delon Wright,31,WAS/MIA,742,Rotation,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
140,2024-25,Delon Wright,32,MIL/NYK,634,Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
141,2020-21,Delon Wright,28,DET/SAC,1748,Star,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
142,2015-16,Delon Wright,23,TOR,229,Garbage Time,Slasher,Point of Attack,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
143,2016-17,Delon Wright,24,TOR,446,Rotation,Slasher,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
144,2017-18,Delon Wright,25,TOR,1433,Star,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
145,2022-23,Delon Wright,30,WAS,1221,Key Rotation,Primary Ball Handler,Point of Attack,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
146,2019-20,Delon Wright,27,DAL,1570,Key Rotation,Primary Ball Handler,Point of Attack,0.01,0,0.87,-0.15,-0.39,0.63,66.49,12.81,8.43,76.06,72.71,77.67
147,2017-18,RJ Hunter,24,HOU,45,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
148,2015-16,RJ Hunter,22,BOS,314,Garbage Time,Movement Shooter,Low Activity,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
149,2018-19,RJ Hunter,25,BOS,26,Too Few Games,Low Minute,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
150,2016-17,RJ Hunter,23,CHI,9,Too Few Games,Low Minute,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
151,2015-16,Sam Dekker,21,HOU,6,Too Few Games,Low Minute,Anchor Big,,0,0.87,,-0.84,,,12.81,8.43,,0.73,
152,2016-17,Sam Dekker,22,HOU,1419,Rotation,Stationary Shooter,Low Activity,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
153,2017-18,Sam Dekker,23,LAC,883,Garbage Time,Athletic Finisher,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
154,2021-22,Sam Dekker,27,TOR,1,Too Few Games,Low Minute,Helper,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
155,2018-19,Sam Dekker,24,CLE/WAS,789,Rotation,Athletic Finisher,Low Activity,-0.21,0,0.87,-0.69,-0.57,-0.64,22.96,12.81,8.43,29.95,55.79,18.68
156,2015-16,D'Angelo Russell,19,LAL,2259,Starter,Primary Ball Handler,Point of Attack,-0.03,0.09,0.91,-0.3,-0.27,-2.18,58.02,93.36,90.24,65.92,79.77,0.19
157,2016-17,D'Angelo Russell,20,LAL,1811,Starter,Shot Creator,Point of Attack,-0.14,-0.03,0.87,-0.56,-0.36,-2.05,34.96,11.02,8.43,41.48,74.88,0.38
158,2022-23,D'Angelo Russell,26,MIN/LAL,2304,Starter,Primary Ball Handler,Chaser,-0.07,0,0.87,-0.43,-0.44,-0.56,49.48,12.81,8.43,55.34,68.09,21.45
159,2023-24,D'Angelo Russell,27,LAL,2484,Starter,Primary Ball Handler,Chaser,-0.51,-0.06,0.85,-1.36,-0.8,-1.47,6.46,9.21,6.22,3.94,9,3.56
160,2019-20,D'Angelo Russell,23,GSW/MIN,1452,Starter,Shot Creator,Chaser,0.07,0,0.87,-0.12,-0.26,-0.5,75.34,12.81,8.43,77.95,80.16,23.81
161,2020-21,D'Angelo Russell,24,MIN,1196,Starter,Primary Ball Handler,Chaser,0.19,0.03,0.91,-0.05,-0.12,-0.33,83.4,91.03,90.24,80.72,84.58,31.12
