RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,On-Ball Action Share,P&R Creation Rate,Overall Shot Creation,Guarded On-Ball %,Average Dribbles Per Touch,Dribbles Per Second on Offense,Pull-Up Shot Creation,Isolation Shooting Talent,PnR Ball Handler Shot Making Efficiency,One on One Shooting Talent,On-Ball Action Share_percentile,P&R Creation Rate_percentile,Overall Shot Creation_percentile,Guarded On-Ball %_percentile,Average Dribbles Per Touch_percentile,Dribbles Per Second on Offense_percentile,Pull-Up Shot Creation_percentile,Isolation Shooting Talent_percentile,PnR Ball Handler Shot Making Efficiency_percentile,One on One Shooting Talent_percentile,Self-Created Shot Making,Midrange Pull Up Shot Creation,On-Ball Gravity,Stable Isolation PPP,Self-Created Shot Making Efficiency,Guarded by Perimeter Isolation Defense,Self-Created Openness Rating,Overall Shot Making Efficiency,Transition Shot Creation,Transition Frequency Impact,Self-Created Shot Making_percentile,Midrange Pull Up Shot Creation_percentile,On-Ball Gravity_percentile,Stable Isolation PPP_percentile,Self-Created Shot Making Efficiency_percentile,Guarded by Perimeter Isolation Defense_percentile,Self-Created Openness Rating_percentile,Overall Shot Making Efficiency_percentile,Transition Shot Creation_percentile,Transition Frequency Impact_percentile,Offensive Transition Frequency Impact,Movement Speed Rating,Passing Efficiency,Passing Creation Quality,Potential Assists Per 100 Passes,Role-Adjusted Potential Assists Per 100 Passes,Turnovers Per 100 Touches,Offensive eFG% Impact on Teammates,Offense Impact on Teammate Shot Quality,Stable Bad Pass Turnovers Per 75,Offensive Transition Frequency Impact_percentile,Movement Speed Rating_percentile,Passing Efficiency_percentile,Passing Creation Quality_percentile,Potential Assists Per 100 Passes_percentile,Role-Adjusted Potential Assists Per 100 Passes_percentile,Turnovers Per 100 Touches_percentile,Offensive eFG% Impact on Teammates_percentile,Offense Impact on Teammate Shot Quality_percentile,Stable Bad Pass Turnovers Per 75_percentile,High Value Assists Per 75 Possessions,Stable At Rim Assists Per 75,Passing Versatility,Passing Creation Volume,Box Creation,Assists Per 75 Possessions,Stable Assists Per 75,High Value Assists Per 75 Possessions_percentile,Stable At Rim Assists Per 75_percentile,Passing Versatility_percentile,Passing Creation Volume_percentile,Box Creation_percentile,Assists Per 75 Possessions_percentile,Stable Assists Per 75_percentile
1638,2019-20,Gary Trent Jr.,21,POR,1332,Rotation,Movement Shooter,Chaser,7.92,-0.81,-0.38,18.82,1.76,0.05,-0.24,0.04,-0.11,0.19,43.89,42.21,54.87,68.31,59.98,46.61,64.23,82.5,77.63,84.87,-0.14,-0.1,-0.46,0.82,-0.43,-0.24,0.29,0.86,-0.16,0.09,41.32,67.31,10.83,10.9,54.26,37.92,92.71,91.2,66.26,67.09,-0.25,-0.46,0.48,-0.62,15.09,1.86,1.83,-0.67,-0.48,0.22,25.94,4.64,77.52,20.32,60.88,73.84,76.98,21.06,21.04,85.18,1.38,0.56,0.62,-0.95,1.29,1.65,1.69,30.74,22.88,78.07,30.69,41.69,30.04,12.6
1639,2020-21,Gary Trent Jr.,22,POR/TOR,1802,Starter,Off Screen Shooter,Chaser,11.7,-0.61,0.21,20.07,2.22,0.08,0.08,0.12,-0.98,-0.34,53.89,55.43,74.86,75.01,66.68,61.49,74.13,84.43,14.45,61.66,0.04,0.22,-0.06,0.84,-0.2,0.11,0.19,0.02,0.49,-0.74,72.69,77.7,61.63,14.59,67.47,75.96,85.37,72.56,84.5,7.09,-0.15,-0.62,0.19,-0.83,14.77,-0.98,2.22,-0.82,-0.3,0.37,34.11,1.67,65.6,13.61,59.06,43.08,70.63,17.1,29.31,77.15,1.3,0.46,-0.69,-0.73,2,1.63,1.66,28.72,18.6,26.34,46.01,54.72,29.73,11.68
1640,2021-22,Gary Trent Jr.,23,TOR,2448,Starter,Secondary Ball Handler,Chaser,17.87,-0.42,0.54,19.81,2.26,0.09,0.59,1.5,-0.46,0.8,64.73,62.93,82.48,73.81,67.25,64.64,87.14,96.36,54.42,92.52,0.15,0.71,-0.06,0.95,-0.11,-0.01,0.13,0.18,0.03,0.7,79.24,89.59,61.63,94.43,71.45,66.03,78.34,77.14,72.5,91.14,0.85,-0.54,0.73,-0.44,16.37,-0.41,2.42,0.22,0.06,0.37,95.51,2.8,84.97,27.66,68.19,48.42,66.16,62.84,58.1,77.15,1.82,0.69,-0.27,-0.47,2.9,2.16,2.17,43.4,30.46,40.93,59.85,67.25,43.99,28.56
1641,2022-23,Gary Trent Jr.,24,TOR,2118,Starter,Movement Shooter,Chaser,15.38,-0.41,0.15,18.17,1.89,0.08,0.12,-0.45,-0.82,-0.7,61.02,63.3,73.14,64.18,62.16,61.49,75.24,52.01,21.91,15.59,-0.44,0.29,-0.27,0.81,-0.85,-0.08,0.13,-0.25,-0.36,0.51,13.47,79.66,36.27,9.23,28.6,58.6,78.34,61.14,58.21,86.26,1,-0.48,1.21,0.04,15.1,2.04,2.16,-1.92,-0.03,0.22,96.68,4.07,93.67,70.12,60.97,75.23,72.05,2.12,48.35,85.18,1.69,0.73,0.41,-0.59,2.58,1.84,1.87,39.46,32.94,70.45,54.57,63.17,35.39,18.01
1642,2023-24,Gary Trent Jr.,25,TOR,1994,Key Rotation,Movement Shooter,Chaser,12.06,-0.58,-0.13,20.26,1.88,0.08,-0.08,-0.59,-0.94,-0.65,54.73,56.92,64.36,76.01,62.03,61.49,69.3,31.69,15.89,20.26,-0.87,0.2,-0.2,0.77,-1.67,-0.09,0.29,-0.48,-0.13,0.74,2.21,76.99,44.84,4.12,4.34,57.37,92.71,48.32,67.29,91.95,0.51,-0.44,0.71,0.06,16.99,4,2.14,0.99,0.51,0.27,88.42,5.34,84.5,71.38,71.55,85.96,72.42,86.02,80.84,83.76,1.71,0.85,0.19,-0.68,2.53,2.19,2.21,40.17,40.52,61.07,49.29,62.4,44.74,29.71
1643,2018-19,Allonzo Trier,23,NYK,1458,Key Rotation,Shot Creator,Low Activity,29.99,0.17,1.1,17.71,3.48,0.17,0.67,0.25,-0.12,-0.04,76.92,77.18,91.99,60.95,80.25,76.8,88.53,87.37,77.17,78.55,-0.08,0.77,0.13,0.94,-0.3,-0.01,0.09,-0.12,1.6,-0.38,50.55,90.88,79.49,93.45,62.08,66.03,72.38,67.06,97.68,18.73,0.18,0.05,-1.58,-0.96,17.34,-2.38,5.34,-0.77,-0.71,0.98,71.95,56.39,5.16,10.35,73.26,31.03,6.19,18.33,13.81,14.84,2.59,1.31,-0.41,-0.25,3.65,2.97,2.98,61.21,65.13,35.78,67.99,74.59,61.06,51.57
1644,2019-20,Allonzo Trier,24,NYK,291,Garbage Time,Secondary Ball Handler,Point of Attack,30.85,0.5,0.31,18.79,3.3,0.18,0.17,-0.34,0.77,-0.42,77.91,82.67,77.59,68.16,78.17,77.96,76.81,63.69,94.13,53.3,0.01,-0.02,0.01,0.86,-0.13,-0.06,0.32,0.11,-0.44,-0.19,68.49,70.07,74.34,81.65,70.61,60.79,94.31,75.28,55.41,28.55,-0.13,-0.11,-1.61,-0.39,20.34,3.29,4.76,-1.1,-0.29,0.99,36.09,31.86,4.97,30.26,85.73,82.42,10.24,10.78,29.76,14.43,2.73,0.98,0.05,-0.55,4.49,3.47,3.49,63.69,48.32,54.6,56.55,81.08,68.07,62.03
1645,2022-23,Jarred Vanderbilt,23,UTA/LAL,1880,Key Rotation,Roll + Cut Big,Wing Stopper,1.22,-0.91,-1.04,18.03,1.24,0.05,-1.99,-0.78,-0.77,-0.89,6.07,29.37,22.9,63.28,47.28,46.61,4.57,13.32,25.07,9.16,-0.63,-2.09,-0.64,0.85,-1.83,-0.16,-0.16,-1.98,0.03,-1.36,6.22,3.69,0.25,16.27,2.89,48.57,30.27,1.7,72.5,0.84,-0.04,0.07,1.13,-0.07,18.03,7.35,3.94,-0.37,-1.86,0.39,46.74,59.43,92.74,59.68,76.53,94.65,22.17,32.23,1.63,75.16,3.32,1.18,-0.24,-0.2,2.24,3.58,3.58,72.58,58.8,42.28,69.43,58.38,69.54,63.86
1646,2023-24,Jarred Vanderbilt,24,LAL,581,Rotation,Athletic Finisher,Wing Stopper,0.53,-0.98,-1.18,24.35,1.02,0.04,-1.93,-0.59,-0.6,-0.56,1.37,6.01,16.52,90.85,40.57,39.22,5.32,31.69,40.7,31.99,-0.41,-2.17,-0.44,0.85,-1.32,-0.19,-0.28,-1.33,0.14,-0.48,15.2,2.88,13.35,16.27,10.35,44.41,16.61,10.68,75.82,14.82,0.47,-0.05,0.01,1.29,12.39,0.35,5.65,0.59,,0.49,87.07,40.15,55.97,95.96,45.39,62.69,4.93,76.72,,64.35,1.92,0.99,-0.62,-1.03,0.84,2.23,2.31,46.28,49.08,28.66,24.56,34.58,45.74,32.96
1647,2024-25,Jarred Vanderbilt,25,LAL,581,Rotation,Athletic Finisher,Helper,0.67,-0.89,-1.18,17.86,0.72,0.03,-1.68,-1.01,,-0.79,2.24,31.5,16.52,61.85,29.18,28.85,9.61,7.14,,11.27,-0.32,-1.82,-0.39,0.85,-1.14,-0.17,-0.18,-1.62,-0.79,-0.9,21.43,7.04,20.36,16.27,15.7,47.09,27.41,5.32,38.53,4.41,-0.24,-0.17,-0.68,0.11,13.71,-1.53,3.87,-0.02,-0.65,0.76,26.82,24.45,25.24,74.15,53.3,38.24,23.73,50.09,15.31,30.34,2.35,1.06,-0.28,-0.77,1.06,2.6,2.67,56.99,52.78,40.57,43.14,37.9,54.55,43.93
