RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
3309,2025-26,Brandon Miller,23,CHO,1910,Starter,Shot Creator,Chaser,0.01,-0.4,0.83,0.12,-0.32,-0.76,38.94,42.67,2.7,1.22,76.61,16.44,89.76,79.74,20.97,35.24,24.64,67.87,85.99,83.75,-0.82,40.65,30.28,62.52
3310,2023-24,Taylor Hendricks,20,UTA,856,Key Rotation,Stationary Shooter,Helper,-0.8,-0.39,-0.77,-0.87,-0.45,-1.36,41.15,42.59,0.72,0.21,17.2,17.12,33.74,12.59,12.51,9.84,64.82,66.2,32.34,47.06,-1.15,35.71,15.41,46.94
3311,2024-25,Taylor Hendricks,21,UTA,75,Too Few Games,Low Minute,Point of Attack,-0.8,-0.43,-0.32,-0.79,-0.36,-1.03,41,42.98,,0,17.2,14.63,51.63,18.3,17.89,20.74,61.26,70.47,,0,-1.03,0,20.01,0
3312,2025-26,Taylor Hendricks,22,UTA/MEM,1118,Rotation,Stationary Shooter,Helper,-0.44,0.08,-0.95,-0.44,0.11,0.41,42.59,44.69,0.9,0.13,52.22,74.13,26.27,53.76,76.71,86.62,89.23,86.28,38.98,40.61,0.34,57.14,84.54,94.23
3313,2023-24,Amen Thompson,21,HOU,1388,Key Rotation,Roll + Cut Big,Point of Attack,-0.53,-0.27,-0.3,-0.45,-0.22,-0.64,41.4,40.67,1.04,0.36,44.13,26.66,52.59,52.95,31.31,43.05,70.96,47.43,44.01,56.67,-0.7,35.9,37.35,47.49
3314,2024-25,Amen Thompson,22,HOU,2225,Star,Primary Ball Handler,Point of Attack,-0.38,-0.3,-0.06,-0.21,-0.15,-0.48,39.39,44.63,1.76,0.51,56.74,23.69,61.89,67.65,40.66,52.79,29.1,85.86,66.88,63.31,-0.67,37.8,39.56,53.1
3315,2025-26,Amen Thompson,23,HOU,2911,Starter,Shot Creator,Point of Attack,-0.71,-0.92,0.09,-0.61,-0.83,-1.34,36.6,42.42,2.07,0.52,25.41,2.27,67.75,37.39,2.55,10.29,15.44,64.89,74.4,63.67,-1.39,34.19,9.41,43.75
3316,2023-24,Ausar Thompson,21,DET,1583,Key Rotation,Athletic Finisher,Point of Attack,-0.48,-0.21,-0.45,-0.47,-0.22,-0.63,39.82,45.61,1.34,0.28,48.88,33.58,46.48,51.44,31.31,43.63,34.82,90.79,54.5,51.95,-0.58,31.58,44.87,36.07
3317,2024-25,Ausar Thompson,22,DET,1328,Key Rotation,Athletic Finisher,Point of Attack,-0.44,-0.27,-0.27,-0.29,-0.08,-0.34,40.97,39.46,1.25,0.11,52.22,26.66,53.71,63.34,51.63,60.65,60.75,34.37,51.33,38.96,-0.71,18.18,36.71,21.97
3318,2025-26,Ausar Thompson,23,DET,1849,Starter,Roll + Cut Big,Point of Attack,-0.8,-0.88,-0.25,-0.76,-0.81,-1.61,39.34,39.41,1.68,0.46,17.2,2.4,54.52,20.8,2.83,5.07,28.5,34,65,61.37,-1.7,38.33,4.18,54.32
3319,2023-24,Anthony Black,20,ORL,1164,Rotation,Stationary Shooter,Point of Attack,-0.83,-0.5,-0.53,-0.8,-0.49,-1.61,40.3,39.61,0.57,0.25,15.15,11.14,43.59,17.45,10.33,5.07,43.96,36.07,27.33,49.82,-1.58,25.81,5.74,28.37
3320,2024-25,Anthony Black,21,ORL,1887,Key Rotation,Primary Ball Handler,Point of Attack,-0.26,-0.4,0.55,-0.16,-0.34,-0.8,39.56,39.48,1.52,0.62,64.52,16.44,82.55,70.33,19.33,32.85,31.11,34.52,60.27,67.25,-0.87,35.63,27.86,46.91
3321,2025-26,Anthony Black,22,ORL,1872,Starter,Primary Ball Handler,Point of Attack,-0.45,-0.56,0.16,-0.35,-0.45,-0.96,37.09,40.12,1.42,0.59,51.2,8.73,70.29,59.92,12.51,24.17,16.34,42,57.01,66.22,-1.09,32.61,17.85,37.69
3322,2023-24,Gradey Dick,20,TOR,1268,Key Rotation,Off Screen Shooter,Helper,-0.67,-0.32,-0.89,-0.81,-0.5,-1.43,41.34,42.27,1.17,0.52,29.38,21.89,29.07,16.67,9.99,8.39,70.02,63.63,48.53,63.67,-0.87,35.29,27.86,46.02
