RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-1.21,-0.53,-1.46,-1.17,-0.45,-1.27,39.62,37.55,0.71,0.08,3.28,9.87,10.88,4.25,12.51,12.32,32.02,22.2,32.08,36.12,-1.43,23.08,8.49,25.26
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.73,-0.19,-1.27,-0.77,-0.16,-0.69,40.05,40.77,,0,23.41,36.17,15.89,19.89,39.11,39.54,38.7,48.42,,0,-0.69,0,38.09,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.87,-0.05,-1.69,-0.94,-0.11,-0.55,40.71,39.51,0.51,0,12.19,56.77,6.21,9.31,46.92,48.42,55.31,35.01,25.59,0,-0.32,0,60.23,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.89,-0.42,-0.86,-0.89,-0.47,-1.51,40.59,39.65,,0.14,11.24,15.22,30.26,11.59,11.32,6.87,51.06,36.3,,41.39,-1.25,33.33,12.48,38.25
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.26,0.24,-0.99,-0.39,0.13,0.23,38.89,42.37,0.94,0.26,64.52,81.74,24.81,57.46,77.81,82.33,24.08,64.51,40.31,50.69,0.51,32,87.86,36.73
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.06,0.62,-0.81,0.01,0.54,1.28,39.23,46.49,1.5,0.36,78.2,89.61,32.13,76.81,88.66,96.61,27.48,93.84,59.53,56.67,1.18,48.89,96.01,84.93
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.32,0.13,-0.81,-0.27,0.18,0.34,39.06,41.09,1.16,0.32,60.61,77.81,32.13,64.68,80.06,85.43,25.77,51.9,48.21,54.29,0.19,33.93,80.82,43.31
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.17,0.36,-0.79,0.05,0.59,1.35,38.65,44.19,0.97,0.46,69.28,85.06,32.91,77.95,89.6,97.06,22.4,81.88,41.32,61.37,0.74,52.08,91.41,92.03
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.6,-0.22,-0.8,-0.73,-0.35,-0.82,40.78,41.18,1.07,0.31,36.98,32.27,32.51,23.66,18.47,31.59,56.43,52.87,45.17,53.74,-0.5,39.13,49.85,56.8
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.36,0.33,0.72,0.4,0.33,0.13,40.43,50.88,2.83,2.27,85,84.35,86.96,85.92,84.19,79.59,48.03,99.28,87.82,95.99,0.19,47,80.82,81.48
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,1.49,1.28,1.31,1.87,1.56,1.19,49.14,42.98,3.42,2.76,95.9,95.52,96.82,97.27,96.84,96,99.83,70.47,93.12,97.98,1.07,52.71,95.16,92.48
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.34,0.11,1.04,0.38,0.06,-0.16,43.43,43.35,2.67,2,84.68,76.38,93.5,85.53,73.49,69.75,94.16,74.06,85.57,94.5,-0.07,47.87,72.07,83.34
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,2.06,1.6,1.97,2.42,1.84,0.83,42.95,49.67,4.61,3.78,97.7,96.89,99.71,98.27,97.61,92.89,91.77,98.83,97.84,99.52,0.97,47.95,94.35,83.49
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,1.72,1.64,1.51,2.14,2.02,1.36,46.96,46.83,4.11,3.52,96.87,97.03,98.32,97.82,97.89,97.13,99.41,94.78,96.64,99.28,1.32,50.7,96.99,91.02
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-0.6,-0.46,0.12,-0.6,-0.47,-1.74,39.96,42.23,0.83,0.66,36.98,12.99,69,38.69,11.32,3.62,36.7,63.14,36.53,68.82,-1.66,21.05,4.79,23.92
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,3.49,3.24,1.59,3.91,3.59,2.59,47.26,49.58,4.4,3.8,99.51,99.33,98.7,99.68,99.62,99.81,99.48,98.76,97.5,99.55,2.52,54.78,99.67,93.58
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,2.74,2.47,1.66,2.97,2.63,1.71,48.82,50.99,5.03,4.26,98.82,98.6,98.93,99.09,98.78,98.6,99.78,99.32,98.73,99.74,1.75,52.5,98.69,92.32
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,2.84,2.84,1.46,3.12,3.07,2.09,50.38,51.36,4.79,3.85,98.93,99.08,97.84,99.2,99.27,99.49,99.94,99.48,98.35,99.6,2.13,54.09,99.46,93.22
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.91,0.65,1.23,0.94,0.61,0.16,44.49,48.1,3.64,3.11,92.06,90.06,96.04,92.35,89.92,80.53,97.09,97.32,94.58,98.79,0.28,49.22,83.26,85.38
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,0.07,0.31,0.25,0.16,0.35,0.55,43.53,47.63,1.51,1.41,78.57,83.71,73.63,80.87,84.8,88.69,94.62,96.6,59.85,87.35,0.54,49.44,88.52,85.7
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.39,-0.44,0.76,-0.25,-0.44,-1.08,39.11,38.07,1.55,1.24,55.99,14.01,87.98,65.74,12.83,18.64,26.22,24.7,60.95,84.27,-1,38.1,21.3,53.83
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0.13,-0.13,1.02,0.27,-0.12,-0.34,39.43,41.56,2.54,1.94,80.11,43.56,93.17,83.38,45.31,60.65,29.39,56.6,83.93,94.09,-0.35,40.48,58.69,61.91
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,0.12,0.03,0.65,0.25,0.11,0.1,41.46,40.68,2.38,2,79.82,70.1,85.51,82.97,76.71,78.7,72.77,47.52,81.22,94.5,-0.06,46.67,72.3,80.62
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.24,-0.24,0.73,-0.18,-0.36,-0.73,37.85,40.99,1.98,1.1,65.71,29.76,87.19,69.3,17.89,37.2,18.19,50.86,72.23,81.1,-0.49,36.63,50.49,49.62
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.41,-0.12,-0.23,-0.29,-0.04,-0.08,40.16,41.74,2.06,0.33,54.42,44.96,55.35,63.34,58.99,73.06,41.26,58.63,74.19,54.81,-0.3,40,61.23,58.96
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,0.09,0.69,-1.19,0,0.56,1.99,42.6,44.21,1.64,0.58,78.98,90.52,18.19,76.35,88.99,99.2,89.31,82.02,63.61,65.9,2.04,68.75,99.29,97.06
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.62,0.11,-1.38,-0.82,-0.14,-0.25,42.58,41.51,1.11,0.26,34.8,76.38,12.9,15.89,42.02,65.4,89.14,56.25,46.38,50.69,0.64,47.06,90.16,81.55
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.41,0.16,-1.1,-0.75,-0.24,-0.57,45.47,40.97,1.53,0.48,54.42,79.09,21.08,21.85,28.99,47.3,98.44,50.66,60.57,62.18,0.74,48.65,91.41,84.53
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.59,-0.28,-0.47,-0.54,-0.24,-1.05,38.9,37.49,0.77,0.22,38.2,25.75,45.86,45.02,28.99,19.81,24.3,22.01,34.17,47.78,-1.16,18.18,15.15,21.97
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,0.93,0.93,1.01,1.37,1.34,1.53,44.73,43.46,3.01,2,92.26,92.94,92.96,95.31,95.81,97.97,97.53,75.04,89.81,94.5,1.15,50.6,95.8,90.93
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.08,-0.23,0.8,0.03,-0.3,-0.63,40.15,42.01,2.6,1.4,73.1,31.02,89.16,77.4,22.8,43.63,41.07,61,84.67,87.17,-0.5,43.5,49.85,71.81
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-0.28,0.09,-0.17,-0.12,0.19,0.27,42.34,40.34,1.15,0.91,63.17,74.98,57.62,72.11,80.38,83.52,86.87,44.21,47.81,76.63,0.08,54.76,77.66,93.56
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-0.46,-0.02,-0.36,-0.46,-0.09,-0.26,39.57,40.06,0.67,0.37,50.49,62.22,49.94,52.25,50.01,64.9,31.27,41.13,30.64,57.22,-0.08,37.5,71.69,51.61
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.03,0.15,-0.33,-0.25,-0.1,-0.33,39.48,40.76,2.33,1.29,75.27,78.78,51.24,65.74,48.44,61.16,30.25,48.33,80.12,85.32,0.14,39.1,79.41,56.76
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.16,-0.09,0,-0.08,0.01,-0.14,40.12,40.5,2.31,1.82,69.77,50.1,64.24,73.56,67.95,70.78,40.45,45.93,79.8,93.04,-0.37,49.06,57.5,85.25
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-2.19,,,-1.78,,,40.03,39.77,,0,0,,,0.05,,,38.37,37.66,,0,,0,,0
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.7,0.05,-0.9,-0.62,0.06,-0.68,41.02,41.09,1.14,1.14,26.29,71.73,28.64,36.21,73.49,40.43,61.98,51.9,47.51,82.11,-0.62,100,42.57,97.76
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,0.71,0.4,1.12,0.78,0.33,0.18,39.66,44.51,3.02,2.01,90.13,85.91,94.78,90.74,84.19,81.01,32.77,84.97,89.9,94.58,0.33,41.92,84.23,66.41
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,0.55,0.34,1.05,0.81,0.5,0.05,42.11,36.21,3.03,2.16,88.13,84.56,93.65,91.15,87.73,77.01,83.36,17.6,89.99,95.46,0.03,44.7,75.72,75.13
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-1.07,-0.61,-1.42,-0.54,0.16,0.58,37.18,40.98,1.09,0,5.18,7.09,11.85,45.02,79.1,89.2,16.62,50.74,45.7,0,-1.2,0,13.97,0
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.49,0.05,-1.14,-0.47,0.08,-0.01,40.3,43.42,,0.07,47.87,71.73,19.75,51.44,75.07,75.07,43.96,74.72,,35.39,-0.08,100,71.69,97.76
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.98,-0.48,-1.32,-1.18,-0.41,-1.55,38.89,40.84,,0,7.21,12.04,14.46,4.15,14.47,6.08,24.08,49.31,,0,-1.53,0,6.64,0
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.89,-0.42,-1.41,-0.89,-0.19,-0.7,40.34,39.46,,0,11.24,15.22,12.16,11.59,35.35,39.05,44.92,34.37,,0,-1.2,0,13.97,0
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-0.84,-0.41,-1.51,-0.86,-0.27,-0.72,40.38,39.67,1.07,0,14.34,15.84,9.63,13.25,25.51,37.74,46.12,36.46,45.17,0,-0.92,0,24.95,0
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,-0.32,0.02,-0.79,-0.56,-0.17,-0.4,40.77,39.96,1.51,0.2,60.61,68.68,32.91,43.06,37.99,57.37,56.28,40.27,59.85,46.29,0.1,36.36,78.13,48.49
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.36,-0.17,-0.24,-0.29,-0.08,-0.28,39.79,39.57,1.85,0.21,57.82,38.56,54.87,63.34,51.63,63.76,34.63,35.63,69.29,47.06,-0.45,55.56,52.93,93.77
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-0.13,0.09,-0.53,-0.35,-0.01,0.07,40.69,42.58,2.3,0.46,71.09,74.98,43.59,59.92,64.56,77.69,53.8,66.12,79.59,61.37,0.36,41.18,85.09,64.01
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.9,-0.39,-1.23,-0.74,-0.13,-0.24,37.77,39.61,1.18,0.17,10.66,17.12,16.98,22.61,43.63,65.93,17.93,36.07,48.92,43.98,-0.93,33.33,24.45,38.25
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,0.03,0.41,-0.22,0.19,0.53,0.87,40.66,40.23,1.39,0.92,77.18,86.13,55.68,81.6,88.54,93.26,52.34,42.81,56.01,76.89,0.81,45.68,92.31,78.44
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,-0.6,-0.17,-0.88,-0.52,-0.07,-0.17,39.49,41.12,1.17,0.55,36.98,38.56,29.5,46.87,53.66,69.21,30.34,52.39,48.53,64.79,-0.35,44.07,58.69,73.13
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.3,0.09,-0.54,-0.35,0.01,-0.07,41.01,38.76,0.99,0.66,61.93,74.98,43.32,59.92,67.95,73.39,61.85,28.98,41.97,68.82,0.16,41.03,79.94,63.67
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,-1.75,,,-1.53,,,40.69,42.59,,0,1.2,,,2.56,,,53.8,66.2,,0,,0,,0
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,-0.7,-0.27,-0.56,-0.69,-0.27,-0.74,37.72,36.78,0.64,0.33,26.29,26.66,42.42,28.35,25.51,36.48,17.77,19.2,29.56,54.81,-0.76,31.58,34.03,36.07
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.58,-0.2,-0.6,-0.68,-0.31,-0.74,39.96,38.6,0.42,0.21,39.4,34.96,40.58,29.5,21.93,36.48,36.7,27.95,23.05,47.06,-0.53,16.67,47.93,20.98
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.25,0.08,-0.81,-0.76,-0.44,-1.06,43.31,38.17,1.67,0.48,65.03,74.13,32.13,20.8,12.83,19.41,93.64,25.29,64.65,62.18,0,36.84,74.51,49.98
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-0.81,-0.34,-1.37,-0.87,-0.26,-0.86,39.46,35.47,0.63,0.14,16.5,20.47,13.21,12.59,26.87,29.36,29.83,16.08,29.17,41.39,-0.91,26.32,25.52,28.66
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.64,-0.14,-1.6,-0.8,-0.16,-0.65,42.93,40.98,1.05,0.31,32.48,42.38,7.69,17.45,39.11,42.41,91.61,50.74,44.4,53.74,-0.5,56.25,49.85,94.07
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-0.56,-0.26,-0.6,-0.41,0,0.01,39.39,36.69,1.43,0.52,41.25,27.68,40.58,55.94,66.52,75.73,29.1,18.89,57.28,63.67,-0.55,43.33,46.5,71.19
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.7,-0.29,-1.33,-0.96,-0.4,-1,40.62,39.12,1.32,0.21,26.29,24.85,14.14,8.55,15.13,22.23,51.83,31.42,53.67,47.06,-0.6,29.41,43.71,32.45
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-0.8,-0.11,-1.76,-0.73,-0.09,-0.66,40.41,42.19,0.25,0,17.2,46.39,4.95,23.66,50.01,41.8,47.72,62.75,19.36,0,-0.71,0,36.71,0
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,0.81,0.73,0.85,1,0.83,0.4,39.14,42.96,2.61,1.87,91.1,90.92,90.14,92.96,92.28,86.46,26.54,70.28,84.81,93.54,0.5,39.43,87.72,57.8
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-0.14,-0.05,0.22,0,0.04,-0.25,38.33,44,1.85,1.12,70.63,56.77,72.61,76.35,71.73,65.4,20.26,80.04,69.29,81.58,-0.27,36.88,62.91,50.4
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,0.13,-0.62,1.22,0.07,-0.74,-1.12,38.28,39.96,3.52,2.45,80.11,6.85,95.87,78.42,4,17.05,19.96,40.27,93.81,96.86,-0.99,36.5,21.7,49.28
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,0.2,-0.31,1.03,0.2,-0.34,-0.88,38.73,41.64,3.18,2.15,81.86,22.91,93.24,81.84,19.33,28.5,23.08,57.43,91.54,95.39,-0.81,35.11,30.88,45.78
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.75,0.7,1.05,1.15,1.04,0.98,38.29,41.37,2.24,1.36,90.52,90.61,93.65,93.97,94.16,94.5,20.01,54.63,78.16,86.45,0.77,40.86,91.73,63.05
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,1.7,1.35,1.33,1.79,1.3,0.72,41.04,41.46,2.87,1.87,96.78,95.9,97.11,96.95,95.58,91.51,62.34,55.85,88.4,93.54,0.9,43.41,93.52,71.44
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,1.93,1.13,1.98,2.26,1.43,0.72,37.09,43.49,3.86,3.01,97.43,94.55,99.72,98.04,96.28,91.51,16.34,75.24,95.62,98.57,0.61,42.61,89.69,68.62
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,1.39,0.81,1.5,1.41,0.69,0.38,40.8,39.54,3.05,2.24,95.4,91.79,98.24,95.48,90.81,86.14,56.93,35.4,90.23,95.85,0.53,39.09,88.29,56.72
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,0.67,0.76,0.75,0.99,1,1,42.2,39.24,2.02,1.43,89.61,91.23,87.79,92.82,93.88,94.65,84.76,32.51,73.06,87.65,0.93,42.69,93.88,68.82
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,-0.52,-0.03,-0.68,-0.31,0.17,0.71,39.9,44.63,1.2,0.06,45.11,60.19,37.04,62.19,79.57,91.32,36.24,85.86,49.71,34.37,0.03,50,75.72,85.91
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-0.74,-0.15,-1.29,-0.92,-0.4,-1.17,40.29,43.85,1.02,0.02,22.26,40.93,15.32,10.17,15.13,15.43,43.85,78.66,43.27,31.22,-0.15,33.33,68.86,38.25
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.64,-0.08,-1.19,-0.68,-0.08,-0.22,40.13,41.74,1.24,0.06,32.48,51.62,18.19,29.5,51.63,66.71,40.59,58.63,50.92,34.37,-0.24,50,64.53,85.91
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.62,-0.08,-1.32,-0.72,-0.08,-0.36,40.61,38.64,1,0.13,34.8,51.62,14.46,24.98,51.63,59.72,51.55,28.19,42.53,40.61,-0.36,100,58.17,97.76
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.7,-0.38,-1.38,-0.8,-0.29,-1.01,39.09,41.42,1.57,0.1,26.29,17.74,12.9,17.45,23.62,21.67,26.04,55.36,61.62,38.08,-0.97,33.33,22.7,38.25
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,0.1,0.33,-1.05,-0.3,0.14,0.33,40.8,44.35,2.88,0.2,79.27,84.35,22.83,62.86,78.21,85.2,56.93,83.51,88.56,46.29,0.14,31.58,79.41,36.07
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,-0.02,0.43,-1.12,-0.49,-0.09,-0.09,40.87,44,1.92,0.22,75.68,86.48,20.32,49.64,50.01,72.81,58.7,80.04,70.91,47.78,0.42,42.86,86.3,69.07
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-0.3,-0.11,-1.11,-0.54,-0.25,-0.6,38.51,42.83,2.26,0.25,61.93,46.39,20.7,45.02,27.85,45.34,21.34,69.04,78.66,49.82,-0.29,51.85,61.94,91.83
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-0.72,-0.32,0.2,-0.49,-0.21,-0.54,39.23,38.86,0.64,0.58,24.46,21.89,71.93,49.64,32.71,48.98,27.48,29.52,29.56,65.9,-0.84,45.24,29.4,76.66
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,-0.75,-0.13,-0.56,-0.69,-0.13,-1.03,39.74,41.65,,0,21.5,43.56,42.42,28.35,43.63,20.74,33.64,57.48,,0,-0.94,0,23.98,0
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.41,-0.18,0.28,-0.32,-0.21,-0.85,41.21,40.29,1.46,1.25,54.42,37.44,74.67,61.59,32.71,29.9,65.61,43.82,58.26,84.54,-0.64,40.91,41.41,63.12
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,0.14,0.47,0.13,0.27,0.49,0.74,44.07,40.26,1.84,1.5,80.4,87.15,69.41,83.38,87.58,91.7,96.27,43.22,68.94,88.76,0.87,46.43,93.08,80.19
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,-0.22,0.14,0.13,-0.16,0.11,0.29,42.13,38.85,0.95,0.82,66.81,78.26,69.41,70.33,76.71,84.1,83.76,29.41,40.63,73.9,0.41,44.44,86.08,73.94
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,-0.15,0.13,0.16,-0.08,0.16,0.39,42.81,40.07,1.4,1.28,70.24,77.81,70.29,73.56,79.1,86.27,90.89,41.48,56.43,85.15,0.34,48.89,84.54,84.93
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,-0.68,-0.27,-0.45,-0.6,-0.25,-1.27,38.96,39.58,0.5,0.25,28.35,26.66,46.48,38.69,27.85,12.32,24.77,35.72,25.22,49.82,-1.26,18.18,12.23,21.97
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.77,-0.19,-0.75,-0.77,-0.26,-1.02,40.6,37.81,0.58,0.39,19.63,36.17,34.45,19.89,26.87,21.11,51.4,23.37,27.52,58.22,-0.79,28.57,32.23,30.96
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,-0.93,-0.06,-1.43,-1.78,,,40.03,39.39,,0,9.38,54.8,11.6,0.05,,,38.37,33.65,,0,-0.65,0,40.81,0
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,-0.56,-0.02,-0.29,-0.56,-0.02,-1.05,40.3,40.69,,0,41.25,62.22,52.91,43.06,62.9,19.81,43.96,47.58,,0,-0.95,0,23.57,0
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,-0.43,-0.44,-0.72,-0.29,-0.02,-0.18,35.44,43.24,2.7,0.38,53.01,14.01,35.43,63.34,62.9,68.83,14.48,72.86,85.99,57.66,-0.79,40.54,32.23,62.17
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,-1.77,,,-1.57,,,41.29,44.23,,0,0.86,,,1.56,,,68.32,82.2,,0,,0,,0
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,0.27,-0.02,0.48,0.51,0.3,0.38,40.86,43.76,2.59,0.46,83.41,62.22,80.44,87.53,83.63,86.14,58.51,77.9,84.52,61.37,-0.18,46.15,67.25,79.52
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,-0.19,-0.2,0.05,-0.12,-0.17,-0.5,40.39,40.3,,0.38,68.43,34.96,66.09,72.11,37.99,51.72,46.42,43.93,,57.66,-0.56,62.5,45.91,95.84
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,1.33,0.75,1.06,1.69,1.38,0.79,35.33,43.8,4.19,1.19,95.06,91.13,93.95,96.63,96,92.29,14.4,78.19,96.96,83.2,0.24,34.48,82.22,44.32
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,0.39,0.05,0.86,0.55,0.3,-0.04,38,39.97,3.08,0.93,85.63,71.73,90.39,88.08,83.63,74.3,18.76,40.33,90.62,77.05,-0.31,34.15,60.73,43.66
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,0.58,0.31,0.56,0.36,0.12,0.09,39.58,43.14,3.48,0.65,88.57,83.71,82.76,85.1,77.21,78.44,31.45,71.99,93.58,68.45,0.51,28.57,87.86,30.96
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.04,0.27,-0.35,-0.04,0.18,0.31,42.08,45.86,1.72,0.43,77.61,82.71,50.42,75.03,80.06,84.69,82.94,92,66.13,60.13,0.51,57.14,87.86,94.23
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,-0.71,-1.14,1.05,-0.78,-1.35,-2.13,37.66,36.35,2.17,1.44,25.41,0.95,93.65,18.96,0.38,1.12,17.69,17.89,76.47,87.82,-1.92,34.51,2.23,44.51
