Season,Player,NBA_ID,D-LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O-LEBRON,O_LEBRON_Rank,player_name,year
2009-10,carlos arroyo,2306,-0.21,221.0,-1.28,292.5,1585.0,-1.07,294.5,carlos arroyo,2010
2009-10,carlos boozer,2430,-0.05,192.5,1.02,64.0,2673.0,1.07,58.0,carlos boozer,2010
2009-10,carlos delfino,2568,1.17,52.5,0.9,72.0,2279.0,-0.27,170.0,carlos delfino,2010
2009-10,carmelo anthony,2546,-1.18,368.5,1.94,38.0,2634.0,3.12,12.0,carmelo anthony,2010
2009-10,cartier martin,201858,-0.11,207.0,-0.65,201.0,390.0,-0.54,215.0,cartier martin,2010
2009-10,cedric jackson,202132,-0.02,185.0,-0.42,177.0,75.0,-0.4,193.5,cedric jackson,2010
2009-10,channing frye,101112,-0.19,218.5,1.04,63.0,2190.0,1.23,51.0,channing frye,2010
2009-10,charlie bell,2294,0.32,131.5,-1.09,261.0,1611.0,-1.41,331.0,charlie bell,2010
2009-10,charlie villanueva,101111,-1.58,399.5,-1.83,359.5,1848.0,-0.25,166.0,charlie villanueva,2010
2009-10,chase budinger,201978,-1.38,385.5,-0.47,188.5,1488.0,0.9,68.5,chase budinger,2010
2009-10,chauncey billups,1497,-0.9,336.5,2.46,29.0,2490.0,3.37,7.5,chauncey billups,2010
2009-10,chris andersen,2365,3.18,5.0,3.72,7.0,1695.0,0.54,93.0,chris andersen,2010
2009-10,chris bosh,2547,0.15,157.5,2.77,23.0,2526.0,2.62,15.0,chris bosh,2010
2009-10,chris douglas-roberts,201604,-0.23,226.0,-2.94,411.0,1730.0,-2.71,413.5,chris douglas-roberts,2010
2009-10,chris duhon,2768,-1.11,358.5,-0.38,172.5,2072.0,0.73,80.5,chris duhon,2010
2009-10,chris hunter,201805,-0.27,234.0,-1.46,316.0,783.0,-1.18,304.5,chris hunter,2010
2009-10,chris kaman,2549,0.1,164.0,-1.96,367.5,2608.0,-2.06,387.0,chris kaman,2010
2009-10,chris paul,101108,0.45,112.0,3.46,10.0,1712.0,3.01,13.0,chris paul,2010
2009-10,chris quinn,200809,-0.74,316.0,-0.82,220.0,223.0,-0.08,146.0,chris quinn,2010
2009-10,chris richard,201181,0.61,89.0,-1.58,333.5,224.0,-2.19,394.5,chris richard,2010
2009-10,chris wilcox,2404,0.21,151.5,-1.85,361.0,441.0,-2.05,385.0,chris wilcox,2010
2009-10,chuck hayes,101236,2.5,11.5,0.33,109.0,1773.0,-2.17,392.0,chuck hayes,2010
2009-10,chucky atkins,1088,-0.53,279.0,-1.13,270.0,644.0,-0.59,222.5,chucky atkins,2010
2009-10,cj miles,101139,-0.33,244.0,-0.43,181.0,1497.0,-0.1,149.5,cj miles,2010
2009-10,corey brewer,201147,-0.49,272.5,-1.68,348.0,2482.0,-1.19,306.0,corey brewer,2010
2009-10,corey maggette,1894,-2.44,426.0,-1.06,253.0,2081.0,1.38,41.0,corey maggette,2010
2009-10,courtney lee,201584,-1.83,413.5,-2.01,371.0,2375.0,-0.18,158.5,courtney lee,2010
