Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2024-25,1627742,Brandon Ingram,1610612740,NOP,27.0,Brandon,2.3,3.1,0.72,1.6,3.8,0.426,2.7,5.8,0.467,0.1,0.4,0.333,0.1,0.3,0.2,2.3,6.0,0.375,0.0,0.0,0.0,0.2,0.7,0.273
2024-25,1641706,Brandon Miller,1610612766,CHA,22.0,Brandon,1.8,2.6,0.694,1.1,3.1,0.364,0.4,1.4,0.316,0.1,0.7,0.1,0.0,0.1,0.0,3.6,9.0,0.405,0.0,0.2,0.0,0.1,0.8,0.091
2024-25,1630314,Brandon Williams,1610612742,DAL,25.0,Brandon,0.2,1.2,0.167,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641729,Brice Sensabaugh,1610612762,UTA,21.0,Brice,0.4,0.8,0.556,0.6,1.3,0.438,0.2,0.3,0.667,0.4,0.5,0.833,0.1,0.5,0.167,1.1,2.4,0.448,0.0,0.1,0.0,0.5,1.0,0.5
2024-25,1642355,Bronny James,1610612747,LAL,20.0,Bronny,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,,,0.0,0.0,0.0
2024-25,201572,Brook Lopez,1610612749,MIL,36.0,Brook,1.5,2.0,0.75,0.9,1.6,0.552,0.2,0.6,0.364,0.1,0.2,0.667,0.3,0.4,0.625,1.6,4.7,0.329,0.0,0.0,0.0,0.4,0.6,0.636
2024-25,1628981,Bruno Fernando,1610612761,TOR,26.0,Bruno,1.4,2.1,0.633,0.3,0.8,0.364,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1627741,Buddy Hield,1610612744,GSW,31.0,Buddy,1.3,2.2,0.615,0.6,1.1,0.5,0.1,0.6,0.182,0.6,1.2,0.476,0.4,0.9,0.471,2.5,5.8,0.429,0.0,0.0,0.0,1.0,2.1,0.474
2024-25,203468,CJ McCollum,1610612740,NOP,33.0,CJ,2.5,3.0,0.833,1.2,3.3,0.35,0.5,2.0,0.25,0.3,0.5,0.667,0.0,0.3,0.0,3.0,8.3,0.36,0.0,0.0,0.0,0.3,0.8,0.4
2024-25,1630595,Cade Cunningham,1610612765,DET,23.0,Cade,3.2,6.1,0.529,2.2,5.1,0.442,1.1,2.6,0.409,0.2,0.4,0.5,0.1,0.1,0.5,2.0,5.7,0.351,0.0,0.1,0.0,0.2,0.5,0.5
2024-25,1631216,Caleb Houstan,1610612753,ORL,21.0,Caleb,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.0,0.3,0.0,0.2,0.3,0.5,0.1,0.7,0.125,0.0,0.0,0.0,0.1,0.5,0.25
2024-25,1628997,Caleb Martin,1610612755,PHI,29.0,Caleb,1.3,2.3,0.556,0.7,1.4,0.5,0.6,1.7,0.333,0.3,0.4,0.714,0.3,0.6,0.444,0.3,1.8,0.172,0.0,0.1,0.0,0.6,1.0,0.563
2024-25,1629629,Cam Reddish,1610612747,LAL,25.0,Cam,0.8,1.3,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.5,0.667,0.2,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.5,0.8,0.6
2024-25,1642285,Cam Spencer,1610612763,MEM,24.0,Cam,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1630560,Cam Thomas,1610612751,BKN,23.0,Cam,1.9,3.5,0.559,1.6,3.5,0.458,1.6,3.1,0.528,0.1,0.7,0.167,0.1,0.4,0.167,2.7,6.4,0.426,0.0,0.0,0.0,0.2,1.1,0.167
2024-25,1641715,Cam Whitmore,1610612745,HOU,20.0,Cam,1.6,2.5,0.65,0.1,0.4,0.333,0.4,0.5,0.75,0.0,0.3,0.0,0.0,0.6,0.0,0.1,2.1,0.059,0.0,0.0,0.0,0.0,0.7,0.0
2024-25,1629661,Cameron Johnson,1610612751,BKN,28.0,Cameron,1.9,2.6,0.74,0.5,1.2,0.435,0.4,0.9,0.412,0.5,1.2,0.455,0.3,0.7,0.429,2.3,5.7,0.407,0.0,0.0,0.0,0.8,1.9,0.444
2024-25,1626166,Cameron Payne,1610612752,NYK,30.0,Cameron,0.6,1.1,0.6,0.6,1.1,0.5,0.1,0.6,0.125,0.2,0.2,1.0,0.1,0.2,0.5,1.5,3.8,0.396,0.0,0.0,0.0,0.3,0.4,0.8
2024-25,1627747,Caris LeVert,1610612739,CLE,30.0,Caris,2.0,3.2,0.619,0.4,0.7,0.556,0.2,0.3,0.5,0.3,0.7,0.5,0.4,0.8,0.5,1.0,2.3,0.433,0.0,0.0,0.0,0.7,1.4,0.5
2024-25,1642267,Carlton Carrington,1610612764,WAS,19.0,Carlton,0.8,1.5,0.52,0.4,1.1,0.333,0.8,1.5,0.5,0.1,0.1,1.0,0.0,0.3,0.0,1.3,3.5,0.367,0.0,0.1,0.0,0.1,0.4,0.286
