RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Transition Shot Creation,Avg Speed Offense,Avg Speed Defense,Movement Speed Rating,Offensive Transition Frequency Impact,Transition Frequency Impact,Perimeter Isolation Defense,Stable And 1s Per 75,Post Defense,Screen Assists Per 75 Possessions,Transition Shot Creation_percentile,Avg Speed Offense_percentile,Avg Speed Defense_percentile,Movement Speed Rating_percentile,Offensive Transition Frequency Impact_percentile,Transition Frequency Impact_percentile,Perimeter Isolation Defense_percentile,Stable And 1s Per 75_percentile,Post Defense_percentile,Screen Assists Per 75 Possessions_percentile,Finishing Talent,Screening Talent,Usage Rate,True Usage,Stable True Usage%,Defensive Playmaking,Finishing Talent_percentile,Screening Talent_percentile,Usage Rate_percentile,True Usage_percentile,Stable True Usage%_percentile,Defensive Playmaking_percentile
400,2016-17,Larry Nance Jr.,24,LAL,1442,Key Rotation,Roll + Cut Big,Helper,-0.66,4.76,4.07,0.29,-0.09,0.21,-0.78,0.19,0.18,3.27,45.35,75.33,68.12,85.7,40.36,75.04,28.8,25.48,75.51,87.38,-0.16,0.71,13.4,21.99,22.17,5.06,65.89,85.9,16.44,33.77,18.94,98.02
401,2021-22,Larry Nance Jr.,29,POR/NOP,1040,Key Rotation,Roll + Cut Big,Mobile Big,-1.03,4.39,3.88,-0.08,-0.13,0.24,-0.66,0.22,0.31,3.55,25.16,25.71,33.94,36.16,36.09,76.62,35.79,31.29,79.47,88.33,-0.64,1.57,12.8,23.54,23.94,3.98,35.41,96.81,12.9,40.29,28.84,88.5
402,2022-23,Larry Nance Jr.,30,NOP,1381,Key Rotation,Roll + Cut Big,Mobile Big,-1.47,4.28,3.74,-0.19,0.12,0.43,-0.47,0.27,0.52,4.41,5.53,15.29,14.88,21.92,67.04,83.76,46.53,44.06,84.21,92.1,-0.28,0.29,11.9,20.11,20.33,4.15,59.8,73.36,8.6,26.17,10.83,90.99
403,2023-24,Larry Nance Jr.,31,NOP,1216,Rotation,Roll + Cut Big,Mobile Big,-1.35,4.35,3.77,-0.12,0.11,0.28,-0.83,0.25,2.08,3.95,9.43,21.55,17.78,30.63,66.16,78.5,26.64,38.83,98.3,90.15,-0.66,0.65,11.3,20.85,21.06,4.25,34.06,84.32,6.42,29.13,13.74,92.22
404,2017-18,Larry Nance Jr.,25,LAL/CLE,1421,Key Rotation,Roll + Cut Big,Mobile Big,-0.83,4.92,4.1,0.45,1.17,1.69,-0.08,0.36,0.22,3.38,36.17,89.11,72.94,94.61,97.71,99.23,65.18,69.69,76.92,87.81,0.02,0.83,15.9,24.1,24.5,5.19,73.51,88.48,34.44,42.78,31.43,98.5
405,2018-19,Larry Nance Jr.,26,CLE,1795,Key Rotation,Roll + Cut Big,Anchor Big,-0.31,4.39,3.84,-0.08,-0.39,-0.2,0.14,0.32,1.16,4.01,60.35,25.71,27.1,36.16,16.86,28.08,72.15,58,93.36,90.38,-0.44,0.43,15.5,29.05,29.46,4.89,49.73,78.49,31.16,61.49,56.28,97.28
406,2019-20,Larry Nance Jr.,27,CLE,1472,Key Rotation,Stretch Big,Helper,-0.99,4.25,3.86,-0.29,-0.29,-0.12,-1.28,0.15,-0.26,2.08,27.66,13.52,30.57,13.09,23.11,33.25,9.26,19.23,56.15,82.55,-0.28,-0.34,15.2,26.38,26.58,3.68,59.8,41.18,28.99,52.49,42.6,82.26
407,2020-21,Larry Nance Jr.,28,CLE,1091,Starter,Stretch Big,Wing Stopper,-0.9,4.25,3.86,-0.29,-0.1,-0.6,0.27,0.11,0.24,2.2,32.34,13.52,30.57,13.09,39.26,10.79,75.8,15.56,77.42,83.04,-0.84,-0.05,13.9,24.61,24.91,4.67,19.89,56.96,19.75,45.03,33.55,95.95
408,2025-26,Larry Nance Jr.,33,CLE,449,Rotation,Stretch Big,Mobile Big,-0.95,4.66,4.21,0.12,-0.33,-0.73,-1.22,0.2,-0.4,0,29.61,62.34,86.26,66.7,20.57,7.3,10.79,27.26,47.47,0,-0.84,0.46,14,21.88,21.23,2.3,19.89,79.26,20.36,33.22,14.39,30.79
409,2017-18,Vincent Hunter,23,MEM,7,Too Few Games,Low Minute,Chaser,,4.99,3.17,0.45,-0.02,-0.01,-1.79,0.34,,0,,92.96,0.45,94.61,49.57,43.14,1.27,63.4,,0,-0.57,0.02,38.5,43.75,36.67,3.47,40.1,61.13,99.56,91.61,79.86,76.89
410,2021-22,Keifer Sykes,28,IND,566,Rotation,Primary Ball Handler,Point of Attack,-0.5,4.8,4.03,0.13,-0.16,0.24,1.65,0.17,0.98,0.13,52.84,79.4,62.01,67.93,33.37,76.62,95.97,22.04,91.38,39.74,-0.27,0.22,17.4,32.24,32.15,2.68,60.43,70.63,47.14,71.5,66.81,43.47
411,2018-19,Mario Hezonja,23,NYK,1206,Key Rotation,Secondary Ball Handler,Wing Stopper,0.68,4.68,3.93,0.05,0.31,0.26,-0.32,0.36,-0.73,0.73,88.16,65.11,43.39,56.19,80.01,77.47,54.22,69.69,26.15,70.48,-0.31,-1.81,21.3,31.17,31.82,3.69,58.12,2.61,72.95,68.4,65.61,82.5
