RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Transition Shot Creation,Avg Speed Offense,Avg Speed Defense,Movement Speed Rating,Offensive Transition Frequency Impact,Transition Frequency Impact,Perimeter Isolation Defense,Stable And 1s Per 75,Post Defense,Screen Assists Per 75 Possessions,Transition Shot Creation_percentile,Avg Speed Offense_percentile,Avg Speed Defense_percentile,Movement Speed Rating_percentile,Offensive Transition Frequency Impact_percentile,Transition Frequency Impact_percentile,Perimeter Isolation Defense_percentile,Stable And 1s Per 75_percentile,Post Defense_percentile,Screen Assists Per 75 Possessions_percentile,Finishing Talent,Screening Talent,Usage Rate,True Usage,Stable True Usage%,Defensive Playmaking,Finishing Talent_percentile,Screening Talent_percentile,Usage Rate_percentile,True Usage_percentile,Stable True Usage%_percentile,Defensive Playmaking_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-1.69,4.2,3.5,-0.27,0.15,0.29,-0.91,0.1,0.89,0.13,1.47,10.49,2.88,14.4,69.63,78.89,22.67,15.2,90.25,39.74,0.13,1.76,11.4,23.92,24.19,3.42,77.47,97.49,6.84,41.95,29.82,75.44
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.56,4.33,3.61,-0.23,-0.2,-0.14,0.17,0.33,1.34,6.16,50.25,19.35,6.06,17.92,29.98,31.77,73.14,60.87,94.36,97.82,-0.5,0.56,14.5,24.04,24.89,3.35,45.43,82.44,23.92,42.47,33.46,72.86
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.69,4.13,3.76,-0.43,-0.25,-0.46,0.42,0.21,1.08,5.24,43.79,7.12,16.81,5.67,25.94,15.5,79.61,29.21,92.35,95.44,-0.41,1.81,8.8,17.54,18.56,3.42,51.96,97.8,1.78,19.67,5.67,75.44
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,,3.92,3.75,-0.55,-0.55,-0.44,-0.61,0.17,0.85,5.3,,2.01,15.88,2.59,9.28,16.28,38.32,22.04,89.62,95.65,-0.88,1.2,10.4,22.29,22.87,3.75,16.96,93.56,4.05,35.1,22.7,83.72
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-1.37,4.27,3.88,-0.04,-0.52,-0.57,-1.39,0.23,-0.09,1.23,8.69,14.66,33.94,41.59,10.28,11.77,6.49,33.81,65.5,77.77,-0.32,-0.29,12.5,18.48,18.51,3.38,57.6,43.82,11.21,21.81,5.59,73.93
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.71,4.63,3.83,-0.01,-0.58,-0.03,-0.01,0.2,-0.57,0,42.85,58.01,25.62,46.28,8.35,40.97,67.68,27.26,36.2,0,-0.49,1.67,16.8,24.17,24.48,2.29,45.99,97.22,41.93,43.14,31.28,30.28
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-1.01,4.8,3.86,0.16,-0.34,0.09,-0.43,0.29,-0.39,2.21,26.6,79.4,30.57,71.7,20.04,67.09,48.65,49.24,48.19,83.05,-0.7,-0.12,16.3,24.11,24.28,3.03,30.84,53.43,37.51,42.85,30.37,58.7
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.08,4.77,3.93,0.13,-0.02,0.02,1.49,0.28,0.25,1.77,22.77,76.44,43.39,67.93,49.57,60.95,94.7,46.45,77.71,80.84,-1.29,-0.27,14.8,21.66,21.89,3.09,4.62,44.92,25.96,32.41,17.42,61.72
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-1.22,4.28,3.83,-0.36,-0.26,-0.1,-0.05,0.09,-0.39,2.31,15.16,15.29,25.62,8.97,25.14,34.77,66.2,14.63,48.19,83.43,-0.99,1.01,14.9,20.62,20.8,3.52,11.44,91.22,26.84,28,12.64,78.26
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0,4.2,3.35,-0.47,-0.8,-0.49,-0.83,0.14,0.11,0.89,71.68,10.49,1.04,4.27,3.34,14.4,26.64,17.92,73.1,73.96,-0.93,0.67,15.6,43.49,43.69,3.47,14.13,84.95,31.77,91.4,91.69,76.89
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,0.89,4.21,3.51,-0.25,0.22,0.55,-0.99,0.28,-0.78,0.55,91.42,11.17,3.07,16.08,74.64,87.46,19.32,46.45,23.54,65.34,-0.7,0.86,24.5,52.95,53.44,4.18,30.84,89.07,85.77,98.15,98.48,91.35
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.51,4.14,3.41,-0.32,0.06,-0.3,-1.17,0.31,-0.01,0.44,85.04,7.59,1.64,11.12,61.69,22.62,12.57,54.78,68.85,59.78,-1.45,0.8,22.5,50.3,50.65,4.65,3.55,87.89,78.11,97.02,97.24,95.82
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,1.25,4.27,3.67,-0.19,0.53,1.27,2.41,0.22,-1.62,0,95.28,14.66,9.44,21.92,88.91,97.56,98.98,31.29,1.52,0,-0.41,-0.98,27.1,60.46,60.79,2.9,51.96,15.19,91.67,99.54,99.66,52.32
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,0.93,4.3,3.6,-0.16,-0.05,0.4,0.9,0.18,-0.79,0.27,91.86,16.89,5.62,25.46,45.69,82.76,88.65,23.82,22.95,48.55,-0.72,-1.17,24.4,56.34,56.9,4.86,29.1,10.23,85.36,98.99,99.29,97.15
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-1.19,4.07,3.77,-0.6,-0.38,-0.58,-0.24,0.21,-0.79,0,16.56,5.1,17.78,1.89,17.57,11.45,58.42,29.21,22.95,0,-0.85,0.39,14.2,41.25,37.86,1.99,18.96,77.14,21.89,88.86,82.38,22.88
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,0.64,4.17,3.28,-0.29,-0.14,0.38,-0.42,0.28,-0.98,0.68,87.25,8.88,0.76,13.09,34.99,82.21,49.35,46.45,13.91,69.49,-0.2,-0.7,23.3,46.54,45.97,4.24,63.88,24.06,81.36,94.3,93.89,92.12
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,0.7,4.19,3.27,-0.27,0.16,0.46,-0.62,0.16,-0.71,0.39,88.51,9.83,0.73,14.4,70.37,84.74,37.86,20.65,27.21,56.59,-0.65,-0.14,22.6,53.94,54.12,3.77,34.73,52.21,78.54,98.5,98.65,84.16
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0.27,4.11,3.21,-0.56,-0.09,0.33,-0.16,0.17,-1.02,0.43,79.27,6.29,0.55,2.46,40.36,80.39,61.94,22.04,12.21,59.2,-0.57,0.49,19.7,52.39,52.79,4.14,40.1,80.44,64.08,98,98.17,90.89
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.36,3.93,3.2,-0.74,-0.51,-0.36,-0.87,0.13,-0.2,0.4,81.65,2.15,0.51,0.97,10.78,19.52,24.66,16.98,59.83,57.14,-1.02,-0.86,19.2,49.69,49.6,3.85,10.17,18.55,60.49,96.64,96.65,85.99
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,-0.07,3.95,3.38,-0.72,-0.36,-0.31,-1.27,0.08,-1.54,0.81,69.33,2.42,1.28,1.03,18.91,21.95,9.45,14.36,1.96,72.34,-0.98,-0.25,14,38.9,35.49,3.79,11.78,46.18,20.36,85.68,77.18,84.67
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,0.54,4.33,4.22,-0.34,-0.34,-1.23,1.12,0.15,-1.15,0.18,85.46,19.35,87.41,10.02,20.04,1.34,91.55,19.23,8.36,42.69,-0.08,-0.54,16.5,31.04,31.72,3.81,69.58,31.4,39.49,68.17,65.2,85.12
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,-0.34,4.24,3.86,-0.43,-1.14,-0.99,-0.08,0.14,-0.71,0.37,59.1,12.95,30.57,5.67,0.51,3.27,65.18,17.92,27.21,55.43,-0.36,-0.05,20.4,40.58,40.94,3.37,55.04,56.96,68.26,87.98,88.08,73.54
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.93,4.17,3.81,-0.46,-0.01,0.16,-0.4,0.16,-0.46,0.29,30.76,8.88,22.78,4.61,51.19,71.92,50.48,20.65,43.43,50.15,-0.72,-0.06,16.6,32.87,32.68,2.72,29.1,56.52,40.03,73.15,68.55,44.9
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,0.4,4.4,3.88,-0.27,-1.17,-1.43,0.93,0.27,-1.06,0,82.59,26.94,33.94,14.4,0.37,0.55,89.12,44.06,10.91,0,0,1.83,18.4,36.66,36.99,1.79,72.65,97.9,54.77,81.91,80.5,19.15
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.98,4.59,3.9,-0.14,-0.08,-0.26,-1.18,0.18,-0.88,0,28.1,52.57,37.29,27.86,41.73,24.74,12.18,23.82,18.27,0,-0.35,-0.81,25.3,30.88,30.94,1.98,55.75,20.21,88,67.79,62.39,22.66
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-1.65,4.36,3.67,-0.19,0.02,0.58,-1.36,0.25,0.32,3.7,2.18,22.51,9.44,21.92,55.85,88.39,7.34,38.83,79.74,89.01,-0.27,-0.02,15.2,23.44,23.13,2.69,60.43,58.93,28.99,39.81,24.24,43.73
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-1.35,4.38,3.63,-0.17,-0.25,0,-0.96,0.17,0.81,0.03,9.43,24.73,7.18,24.42,25.94,44.09,20.49,22.04,89.2,36.18,-0.88,-0.48,15.1,23.49,23.87,2.08,16.96,34.12,28.32,40.07,28.54,24.92
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-1.33,4.22,3.64,-0.33,0.12,0.57,-1.42,0.22,-0.19,2.85,10.07,11.75,7.85,10.6,67.04,88.11,5.95,31.29,60.51,85.68,-1.1,0.69,19.3,26.09,26.27,2.87,7.57,85.41,61.14,51.44,40.84,50.98
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-1.53,3.88,3.5,-0.43,-0.27,-0.21,-0.3,0.23,-0.51,3.17,4.1,1.67,2.88,5.67,24.53,27.53,55.38,33.81,40.17,86.85,-1.05,-0.44,17.5,28.16,28.48,2.31,9.16,35.95,47.97,58.8,51.35,31.03
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,0.47,4.37,3.69,-0.09,-0.93,-0.61,1.03,0.35,-0.45,1.1,84.18,23.42,10.78,34.56,1.63,10.43,90.37,66.52,44.13,76.36,-0.89,2.03,22.1,47.26,47.52,2.2,16.27,98.58,76.37,95.08,95.29,27.85
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,0.18,4.75,3.8,0.29,-0.3,-0.14,1.17,0.19,-0.56,0,76.91,74.12,21.56,85.7,22.46,31.77,92.12,25.48,36.75,0,-0.31,0.82,22,45.34,45.81,1.72,58.12,88.21,75.91,93.22,93.67,18.18
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-0.56,4.35,4.08,-0.38,-0.28,-0.68,-2.08,0.27,-1.28,0.32,50.25,21.55,69.77,7.93,23.8,8.56,0.34,44.06,5.34,52.21,-1.15,0.76,22.4,28.49,28.5,2.69,6.45,87.07,77.69,59.75,51.49,43.73
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-1.05,4.43,3.98,-0.21,-0.87,-0.71,-1.65,0.27,-0.55,0.32,24.29,30.37,52.85,19.87,2.4,7.77,2.55,44.06,37.3,52.21,-0.48,0.79,19.5,25.28,25.37,2.33,46.78,87.65,62.58,47.88,35.82,31.61
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.21,4.41,4.06,-0.23,-0.07,0.42,-0.36,0.28,-1.05,0,64.08,27.97,66.53,17.92,42.95,83.36,52.51,46.45,11.26,0,-0.7,-0.27,19.8,26.84,26.95,1.63,30.84,44.92,64.74,54.04,44.18,17.14
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.62,4.68,4.12,-0.05,-0.26,0.11,-0.49,0.22,-0.89,0.35,47.45,65.11,75.96,40.17,25.14,68.58,45.34,31.29,17.88,54.2,-0.69,0.08,22.7,31.22,31.35,2.45,31.72,64.51,78.98,68.6,63.85,34.92
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,,4.51,4.42,-0.03,-0.09,0.04,-0.22,0.3,-0.22,0,,40.53,96.49,43.35,40.36,62.95,59.41,51.93,58.84,0,-2.12,0.04,1.9,25.53,28.77,2.27,0.02,62.31,0.46,48.99,52.71,29.67
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.72,4.55,3.83,0.01,-0.01,-0.19,-0.17,0.31,-0.16,0,42.23,47.02,25.62,49.74,51.19,28.55,61.5,54.78,61.99,0,-0.91,0.13,9.2,24.06,26.32,3.39,15.25,67.11,2.23,42.6,41.1,74.36
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,0.44,4.66,3.91,-0.01,0.01,-0.25,0.45,0.2,-1.49,0.36,83.4,62.34,38.92,46.28,54.19,25.22,80.39,27.26,2.31,54.77,-0.24,-0.09,16.7,40.29,41.22,2.18,62.05,55,41.06,87.61,88.39,27.32
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,0.3,4.52,3.86,-0.15,-0.03,-0.13,2.17,0.16,-0.93,0,79.86,42.04,30.57,26.64,48.26,32.48,98.28,20.65,16.05,0,-0.55,1.51,21.7,47.48,47.43,1.85,41.93,96.46,74.56,95.23,95.19,20.36
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-1.38,4.32,3.87,-0.15,0.66,1.01,-0.68,0.38,2.79,0,8.39,18.59,32.27,26.64,91.87,95.52,34.32,74,99.63,0,0.84,2.64,15.7,24.4,24.78,2.65,91.08,99.71,32.53,44.01,32.72,42.08
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.98,4.37,3.9,0.02,0.69,1.05,-0.87,0.43,1.11,5.33,28.1,23.42,37.29,51.42,92.64,95.95,24.66,81.71,92.77,95.78,-0.36,1.4,14,20.05,20.86,5.67,55.04,95.69,20.36,26.02,12.97,99.33
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.89,4.43,4.08,-0.04,-0.11,0.25,-0.42,0.36,2.31,5.35,32.84,30.37,69.77,41.59,38.07,76.99,49.35,69.69,98.92,95.84,-0.52,1.84,15.6,22.54,22.77,4.07,44.13,97.93,31.77,35.98,22.21,89.96
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-1.19,4.44,3.95,-0.03,-0.11,-0.09,-0.68,0.36,-0.52,6.56,16.56,31.71,47.26,43.35,38.07,35.75,34.32,69.69,39.46,98.55,-0.76,1.36,12.9,19.35,20.16,4.44,25.96,95.35,13.52,23.92,10.21,94.45
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-0.96,4.45,3.9,-0.02,-0.08,-0.56,0.06,0.58,1.63,5.43,29.17,32.72,37.29,44.95,41.73,12.13,69.87,93.41,96.38,96.08,-1.22,2.23,15.7,23.53,23.66,4.9,5.33,99.16,32.53,40.25,27.18,97.31
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,-0.81,4.42,3.98,0.07,0.28,0.04,-1.15,0.46,-0.09,3.24,37.3,29.14,52.85,59.3,78.45,62.95,13.12,85.42,65.5,87.17,0.73,-0.86,16.9,26.88,27.18,2.69,89.88,18.55,42.72,54.22,45.36,43.73
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.92,4.46,4,0.11,-0.04,0.46,-1.22,0.36,-0.41,0.16,31.33,33.83,56.62,65.14,46.74,84.74,10.79,69.69,46.89,41.32,0.44,-0.57,21.5,34.01,34.59,2.24,85.48,29.97,73.83,76.17,75.03,28.98
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-0.98,4.43,4.08,0.08,-0.34,-0.45,-0.97,0.71,0.03,3.94,28.1,30.37,69.77,60.64,20.04,15.89,20.05,97.38,70.2,90.11,0.05,-0.33,19.7,26.79,27.42,2.87,74.76,41.69,64.08,53.94,46.65,50.98
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.68,4.46,3.92,-0.01,0.18,0.17,-1.01,0.45,0.49,0,44.29,33.83,40.93,46.28,71.95,72.51,18.35,84.32,83.75,0,0.51,0.32,13.9,22.23,22.51,2.45,86.59,74.51,19.75,34.81,20.75,34.92
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,0.43,4.33,3.74,-0.4,0.87,0.97,-1.05,0.24,-0.78,0,83.16,19.35,14.88,6.87,95.75,95.11,16.65,36.28,23.54,0,-0.38,-0.9,22.8,30.26,30.26,2.22,53.93,17.29,79.33,65.68,59.24,28.43
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,-0.64,4.32,3.8,-0.41,-0.42,-0.13,-0.77,0.27,-0.27,0.32,46.52,18.59,21.56,6.42,15.35,32.48,29.38,44.06,55.55,52.21,-0.29,-0.83,18.4,24.26,23.97,2.73,59.14,19.43,54.77,43.46,29.01,45.26
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.82,4.39,3.73,-0.34,-0.11,-0.61,-2.01,0.28,-0.71,0.25,36.76,25.71,13.84,10.02,38.07,10.43,0.44,46.45,27.21,47.2,-0.77,-2.24,18.6,24.08,24.21,2.88,25.2,0.87,56.45,42.68,29.98,51.54
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,,4.66,6.16,0.12,-0.02,0,,0.35,,0,,62.34,99.94,66.7,49.57,44.09,,66.52,,0,-2,0.11,0,20,31.88,3.13,1.9,65.83,0,25.77,65.79,63.75
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,-0.92,4.54,3.79,-0.19,-0.16,0.03,-2.54,0.27,-1.32,0.41,31.33,45.7,20.54,21.92,33.37,61.92,0,44.06,4.59,57.83,-0.27,-2.03,22.3,28.69,28.57,2.82,60.43,1.49,77.29,60.36,51.84,48.95
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.36,4.34,3.58,-0.39,0,-0.04,-0.93,0.3,-0.3,0.84,58.21,20.46,4.89,7.43,52.72,39.97,21.8,51.93,53.84,72.93,-0.84,0.01,18.6,24.18,24.37,3.88,19.89,60.57,56.45,43.17,30.84,86.78
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.91,4.69,3.8,0.15,-0.34,-0.05,-0.14,0.31,0.55,2.23,31.93,66.5,21.56,70.4,20.04,39.09,62.89,54.78,84.88,83.09,-0.93,-1.26,22.2,30.68,30.8,3.27,14.13,8.35,76.88,67,61.71,69.47
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-1.43,4.54,3.87,0,-0.14,0.15,-0.25,0.16,0.7,1.96,6.74,45.7,32.27,48.05,34.99,71.21,57.81,20.65,87.66,82.02,-1.02,0.08,15.7,21.4,21.63,2.93,10.17,64.51,32.53,31.27,16.16,53.83
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-1.03,4.74,3.92,0.2,-0.38,-0.69,-1.01,0.27,-0.17,1.47,25.16,72.92,40.93,76.33,17.57,8.23,18.35,44.06,61.6,79.41,-0.69,-0.15,16.1,22.79,22.89,2.86,31.72,51.65,35.93,36.88,22.78,50.51
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-0.83,4.55,3.82,0.01,-0.32,-0.94,-0.48,0.18,0.89,0,36.17,47.02,24.06,49.74,21.21,3.8,46,23.82,90.25,0,-1.43,-1.21,18.6,25.63,25.96,2.09,3.61,9.48,56.45,49.39,39.29,25.12
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.98,4.71,3.92,0.17,-0.44,-0.49,0.08,0.29,0.08,2.71,28.1,69.32,40.93,72.87,14.15,14.4,70.4,49.24,71.93,85.03,-0.58,-1.08,18.7,26.39,26.65,3.51,39.4,12.54,57.01,52.54,42.96,78
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-0.92,4.47,3.91,-0.17,-0.28,-0.4,-1.11,0.24,-0.65,1.53,31.33,35.23,38.92,24.42,23.8,17.89,14.48,36.28,30.64,79.73,-0.89,0.01,18.7,25.49,26.32,4.01,16.27,60.57,57.01,48.75,41.1,88.92
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,1.31,4.4,3.79,-0.27,0.78,0.65,0.28,0.32,-1.34,0,95.82,26.94,20.54,14.4,94.4,90.08,76.11,58,4.26,0,0.77,-0.64,21.2,40.2,40.59,2.78,90.27,26.6,72.51,87.52,87.47,47.4
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,0.31,4.36,3.91,-0.27,0.19,0.49,-0.35,0.29,-1.19,0.11,80.27,22.51,38.92,14.4,72.76,85.71,52.95,49.24,7.34,38.63,-0.18,-0.68,16.8,31.81,32.05,3.74,64.95,25.1,41.93,70.4,66.5,83.56
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,-0.05,4.26,3.51,-0.54,-0.86,-0.9,-1.37,0.31,-0.77,0.54,70.09,14.05,3.07,2.8,2.52,4.41,6.93,54.78,23.99,64.87,-0.17,0.13,25.7,42.85,42.69,2.74,65.4,67.11,88.78,90.69,90.44,45.81
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,-0.38,4.12,3.5,-0.51,-0.7,-0.34,-1.88,0.24,-1.29,0.37,57.61,6.67,2.88,3.37,5.23,20.49,0.76,36.28,5.18,55.43,-0.48,0.68,21.7,38.28,38.39,3.01,46.78,85.19,74.56,84.76,83.73,57.67
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.88,4.46,3.71,-0.21,-0.18,-0.21,-1.01,0.62,-0.84,0.13,91.29,33.83,12.15,19.87,31.47,27.53,18.35,94.79,20.2,39.74,0.81,-0.24,29.1,43.68,43.66,3.3,90.78,46.63,94.74,91.57,91.62,70.77
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,0.7,4.44,3.66,-0.23,0.33,-0.04,-1.45,0.38,-1.32,0.28,88.51,31.71,8.85,17.92,81.11,39.97,5.25,74,4.59,49.33,1.03,-0.04,29.8,46.61,46.98,2.84,93.08,57.54,95.89,94.33,94.84,49.86
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.83,4.53,3.43,-0.27,0.02,-0.09,-2.44,0.7,-0.56,0.31,90.46,43.77,1.89,14.4,55.85,35.75,0.05,97.14,36.75,51.53,0.37,-0.47,32.4,51.4,51.57,2.37,83.8,34.53,98.1,97.57,97.56,32.61
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,0.87,4.46,3.4,-0.21,-0.07,-0.49,-1.04,0.47,-0.65,0.49,91.17,33.83,1.54,19.87,42.95,14.4,17.09,86.39,30.64,62.56,-0.1,-0.53,28.4,48,47.49,2.24,68.64,31.86,93.87,95.65,95.28,28.98
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,-0.18,4.19,3.64,-0.44,-0.34,-0.31,-0.35,0.42,-1.63,0,65.64,9.83,7.85,5.3,20.04,21.95,52.95,80.3,1.48,0,-0.21,0.02,22.8,35.89,35.46,1.82,63.32,61.13,79.33,80.64,77.06,19.65
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,-0.62,4.37,3.84,-0.1,0.44,0.84,-0.87,0.16,1.23,0,47.45,23.42,27.1,33.16,86.03,93.58,24.66,20.65,93.78,0,0.68,0.98,13.6,23.16,23.72,2.75,89.15,90.69,17.72,38.66,27.59,46.22
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-1.11,4.2,3.84,-0.27,0.37,0.17,-1.01,0.26,0.43,4.52,20.82,10.49,27.1,14.4,83.16,72.51,18.35,41.45,82.45,92.61,-0.12,1.21,13.6,23.67,23.8,3.99,67.67,93.76,17.72,40.85,27.98,88.62
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-1.33,4.42,3.98,-0.05,0.5,0.18,-0.38,0.25,0.1,5.71,10.07,29.14,52.85,40.17,88.12,73.22,51.5,38.83,72.75,96.78,-0.72,1.97,12.8,23.18,23.61,3.87,29.1,98.46,12.9,38.76,26.78,86.52
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-1.25,4.45,3.89,-0.02,0.09,-0.34,-0.68,0.34,-0.16,5.22,13.62,32.72,35.68,44.95,64.6,20.49,34.32,63.4,61.99,95.4,-0.36,1.37,17.4,26.97,27.33,3.2,55.04,95.4,47.14,54.48,46.12,66.81
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-1.76,4.55,3.99,0.08,-0.41,-0.79,1.7,0.24,2.21,8.28,0.89,47.02,54.67,60.64,15.9,6.09,96.26,36.28,98.61,99.73,-0.78,2.24,14.4,25.02,25.22,2.34,24.34,99.21,23.1,46.71,35.07,31.93
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,-1.22,4.6,3.89,0.25,1.31,1.58,-0.26,0.33,1.86,0,15.16,54.11,35.68,81.63,98.58,98.89,57.37,60.87,97.66,0,0.27,1.76,18.9,26.12,26.44,2.45,81.45,97.49,58.18,51.57,41.76,34.92
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,-0.63,4.44,3.87,0.09,0.66,0.39,-0.27,0.22,2.83,7.32,46.91,31.71,32.27,62.17,91.87,82.52,56.84,31.29,99.69,99.36,0.02,2.97,14.7,22.44,22.78,2.28,73.51,99.97,25.29,35.65,22.31,29.93
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-1.27,4.5,4.06,0.15,0.23,-0.54,-0.15,0.31,2.55,6.6,12.82,39.16,66.53,70.4,75.52,12.81,62.45,54.78,99.41,98.64,-1.26,2.99,15.5,24.18,24.63,2.62,4.86,99.98,31.16,43.17,31.97,40.82
