RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
863,2016-17,Mike Tobey,22,CHO,25,Too Few Games,Low Minute,Mobile Big,-0.5,37.5,52.8,21.24
864,2018-19,Danuel House Jr.,25,HOU,979,Key Rotation,Movement Shooter,Helper,-0.67,37.71,41.44,21.75
865,2019-20,Danuel House Jr.,26,HOU,1913,Key Rotation,Stationary Shooter,Helper,-0.26,37.2,65.55,20.98
866,2020-21,Danuel House Jr.,27,HOU,932,Key Rotation,Movement Shooter,Helper,-0.36,50.96,60.94,46.23
867,2022-23,Danuel House Jr.,29,PHI,807,Rotation,Movement Shooter,Chaser,-0.79,43.04,30.99,29.5
868,2023-24,Danuel House Jr.,30,PHI,509,Rotation,Movement Shooter,Chaser,-0.95,44.91,16.82,33.32
869,2017-18,Danuel House Jr.,24,PHO,403,Rotation,Movement Shooter,Chaser,-0.36,44.18,60.94,31.67
870,2021-22,Danuel House Jr.,28,HOU/NYK/UTA,727,Rotation,Stationary Shooter,Wing Stopper,-1.01,46.95,12.54,37.63
871,2016-17,Danuel House Jr.,23,WAS,1,Too Few Games,Low Minute,Chaser,,75,,84.96
872,2017-18,Jameel Warney,24,DAL,27,Too Few Games,Low Minute,Mobile Big,-0.68,56.63,40.56,57.79
873,2016-17,Patricio Garino,23,ORL,43,Too Few Games,Low Minute,Chaser,-0.64,35.34,43.86,19.55
874,2017-18,Marcus Georges-Hunt,23,MIN,224,Garbage Time,Secondary Ball Handler,Chaser,-0.81,28.39,29.05,16.05
875,2016-17,Marcus Georges-Hunt,22,ORL,48,Too Few Games,Low Minute,Chaser,-0.63,41.75,44.38,27.07
876,2016-17,Nicolas Laprovittola,27,SAS,174,Garbage Time,Secondary Ball Handler,Point of Attack,-0.1,90.36,71.69,97.09
877,2018-19,Jalen Jones,25,CLE,214,Garbage Time,Stationary Shooter,Helper,-1.11,45.82,6.95,34.91
878,2017-18,Jalen Jones,24,NOP/DAL,181,Garbage Time,Movement Shooter,Helper,-0.82,51.68,27.93,47.59
879,2024-25,Derrick Jones Jr.,27,LAC,1873,Key Rotation,Stationary Shooter,Point of Attack,-1.26,45.7,2.47,34.78
880,2025-26,Derrick Jones Jr.,28,LAC,1305,Key Rotation,Stationary Shooter,Point of Attack,-0.72,28.02,37.08,15.97
881,2017-18,Derrick Jones Jr.,20,PHO/MIA,245,Garbage Time,Stationary Shooter,Chaser,-0.87,33.54,23.79,18.16
882,2018-19,Derrick Jones Jr.,21,MIA,1153,Rotation,Athletic Finisher,Wing Stopper,-1.43,48.24,0.55,40.23
883,2019-20,Derrick Jones Jr.,22,MIA,1375,Key Rotation,Stretch Big,Point of Attack,-0.5,39.46,52.8,23.63
884,2016-17,Derrick Jones Jr.,19,PHO,545,Rotation,Athletic Finisher,Chaser,-0.92,33.74,19.03,18.26
885,2020-21,Derrick Jones Jr.,23,POR,1318,Rotation,Stationary Shooter,Wing Stopper,-1.2,32.35,3.76,17.54
886,2021-22,Derrick Jones Jr.,24,CHI,899,Rotation,Stretch Big,Helper,-1.27,42.56,2.29,28.6
887,2022-23,Derrick Jones Jr.,25,CHI,893,Rotation,Stretch Big,Helper,-1.18,46.22,4.28,35.86
888,2023-24,Derrick Jones Jr.,26,DAL,1783,Key Rotation,Stationary Shooter,Wing Stopper,-1.07,39.85,8.71,24.21
889,2022-23,Shaquille Harrison,29,POR,120,Too Few Games,Shot Creator,Point of Attack,0.06,67.62,76.48,76.37
890,2023-24,Shaquille Harrison,30,MEM,6,Too Few Games,Low Minute,Point of Attack,,62.5,,68.89
891,2017-18,Shaquille Harrison,24,PHO,384,Rotation,Slasher,Point of Attack,-0.05,71.56,73.38,81.46
892,2021-22,Shaquille Harrison,28,BRK,23,Too Few Games,Low Minute,Point of Attack,-0.56,56.25,49.26,56.99
893,2018-19,Shaquille Harrison,25,CHI,1430,Rotation,Slasher,Point of Attack,-0.31,61.15,63.54,66.58
894,2019-20,Shaquille Harrison,26,CHI,484,Rotation,Secondary Ball Handler,Point of Attack,-0.59,58.83,47.2,62.3
895,2020-21,Shaquille Harrison,27,UTA/DEN,332,Garbage Time,Secondary Ball Handler,Point of Attack,-0.56,59.83,49.26,63.9
