RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.35,64.63,61.46,72.22
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.38,64.29,59.97,71.71
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.87,61.15,23.79,66.58
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.36,66.09,60.94,74.46
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.88,44.04,22.72,31.25
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-1,74.48,13.15,84.47
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-1.17,77.41,4.59,87.72
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.3,64.34,1.67,71.83
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-1.03,48.09,11.23,39.84
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,1.54,80.87,95.57,90.85
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,3.07,84.17,99.43,93.41
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,3.26,80.72,99.65,90.67
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,3.83,98.66,99.9,99.26
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,3.57,102.8,99.78,99.61
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,0.71,84.44,88.15,93.71
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,2.3,83.08,98.31,92.57
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,2.91,91.69,99.22,97.57
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,3.65,82.11,99.81,91.76
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,2.53,86.95,98.69,95.18
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,1.49,78.32,95.26,88.52
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,0.15,74.58,78.86,84.57
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0.95,80.91,90.86,90.86
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,0.17,60.04,79.49,64.4
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,0.87,77.92,89.96,88.19
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.81,64.21,29.05,71.63
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.87,61.94,23.79,67.9
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.94,67.06,17.63,75.63
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.85,64.5,25.72,72.03
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.77,65.05,32.73,72.87
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,1.11,97.26,92.24,99.12
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,1.49,105.2,95.26,99.74
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-0.7,47.44,38.8,38.61
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-1.05,44.24,9.99,31.84
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.53,42.65,50.97,28.73
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.45,49.91,55.97,44.06
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-0.08,79.79,72.24,89.96
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.06,69.32,73.08,78.57
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,1.25,93.53,93.43,98.28
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,1.15,94.99,92.53,98.76
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-0.76,59.94,33.61,64.08
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-1.01,52.95,12.54,50.6
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-1.36,53.78,1.09,52.22
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.82,53.02,27.93,50.73
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-0.75,68.82,34.52,77.93
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,-0.66,68.77,42.17,77.77
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.55,73.76,49.93,83.8
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-1.17,59.62,4.59,63.49
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-1.08,47.81,8.3,39.29
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,-0.53,50.83,50.97,46.06
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,-1.04,42.91,10.66,29.24
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.57,42.44,48.62,28.37
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,-0.87,15,23.79,15.01
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,-0.41,44.02,58.44,31.24
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.78,35.1,32,19.31
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.67,71.08,41.44,80.78
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-1.15,54.13,5.37,52.81
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-1.25,54.29,2.73,53.17
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-1.08,62.51,8.3,68.98
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-1.13,67.35,6.11,76.04
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-1.14,47.29,5.75,38.29
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,1.33,72.51,93.96,82.56
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,0.4,57.52,83.26,59.67
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,0.55,69.14,85.82,78.38
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,0.05,62.06,76.17,68.19
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.52,63.82,85.33,71.22
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,1.83,71.85,97.12,81.81
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,1.68,75.8,96.26,86.17
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,1.06,75.15,91.8,85.41
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,0.12,55.28,78.17,55.13
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,-0.88,65.34,22.72,73.33
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-0.74,57.79,35.71,60.25
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-1.1,61.82,7.35,67.65
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-1.26,70.78,2.47,80.49
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.91,80.24,19.94,90.24
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,-0.43,56.19,57.18,56.89
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,-0.8,55.81,29.99,56.3
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-0.8,62.14,29.99,68.33
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-0.14,80.44,70.17,90.4
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,-0.18,65.29,68.58,73.26
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.39,90.85,59.56,97.25
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,0.16,94.48,79.14,98.6
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,0.22,73.56,80.52,83.59
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,0.4,88.85,83.26,96.31
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,-0.55,38.06,49.93,22.04
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.44,40.01,56.59,24.44
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,-0.57,48.53,48.62,40.81
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,-0.85,55.43,25.72,55.4
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,-0.04,67.86,73.62,76.78
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,-0.76,28.13,33.61,16.01
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,-0.41,61.89,58.44,67.81
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,-0.27,72.01,65.11,82.05
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,-0.33,62.99,62.56,69.93
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,-0.33,68.55,62.56,77.34
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,-0.89,62.28,21.95,68.58
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,-0.75,57.89,34.52,60.46
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,0.17,85.68,79.49,94.49
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,0.53,88.09,85.44,95.89
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,-0.51,97.83,52.07,99.18
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,-0.54,83.4,50.53,92.83
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,1.46,90.12,94.84,96.96
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,0.38,81.88,82.94,91.51
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,0.56,80.25,86.04,90.25
103,2020-21,Tyus Jones,24,MEM,1222,Rotation,Primary Ball Handler,Point of Attack,0.74,84.08,88.56,93.35
104,2021-22,Tyus Jones,25,MEM,1549,Key Rotation,Primary Ball Handler,Point of Attack,0.8,78.95,89.39,89.24
105,2022-23,Tyus Jones,26,MEM,1940,Key Rotation,Primary Ball Handler,Low Activity,0.73,81.52,88.37,91.14
106,2015-16,Tyus Jones,19,MIN,573,Rotation,Primary Ball Handler,Point of Attack,0.63,87.35,87.08,95.49
107,2016-17,Tyus Jones,20,MIN,774,Garbage Time,Secondary Ball Handler,Point of Attack,0.42,75.39,83.57,85.68
108,2017-18,Tyus Jones,21,MIN,1467,Rotation,Primary Ball Handler,Point of Attack,0.14,81.74,78.66,91.32
109,2018-19,Tyus Jones,22,MIN,1560,Key Rotation,Primary Ball Handler,Point of Attack,0.81,85.47,89.58,94.33
110,2025-26,Tyus Jones,29,ORL/DAL/DEN,934,Rotation,Primary Ball Handler,Point of Attack,0.1,75.27,77.54,85.57
111,2024-25,Tyus Jones,28,PHO,2174,Starter,Primary Ball Handler,Point of Attack,0.51,84.86,85.2,94
112,2023-24,Tyus Jones,27,WAS,1933,Starter,Primary Ball Handler,Point of Attack,1.54,81.34,95.57,91.02
113,2015-16,Cliff Alexander,20,POR,36,Too Few Games,Low Minute,Anchor Big,-0.9,50.68,20.93,45.83
114,2018-19,Justin Anderson,25,ATL,463,Garbage Time,Movement Shooter,Helper,-0.91,42.04,19.94,27.64
115,2021-22,Justin Anderson,28,CLE/IND,316,Garbage Time,Movement Shooter,Helper,-0.5,54.14,52.8,52.84
116,2016-17,Justin Anderson,23,DAL/PHI,1227,Rotation,Movement Shooter,Wing Stopper,-0.29,64.46,64.3,71.95
117,2017-18,Justin Anderson,24,PHI,519,Rotation,Movement Shooter,Low Activity,-0.81,53.68,29.05,52.1
118,2019-20,Justin Anderson,26,BRK,107,Garbage Time,Stationary Shooter,Helper,-0.74,47.52,35.71,38.76
119,2015-16,Justin Anderson,22,DAL,647,Rotation,Movement Shooter,Chaser,-0.97,53.98,15.29,52.54
120,2015-16,Anthony Brown,23,LAL,599,Key Rotation,Movement Shooter,Chaser,-0.92,38.63,19.03,22.66
121,2017-18,Anthony Brown,25,MIN,4,Too Few Games,Low Minute,Chaser,-0.75,41.67,34.52,26.91
122,2016-17,Anthony Brown,24,NOP/ORL,159,Garbage Time,Movement Shooter,Wing Stopper,-0.6,47.15,46.64,38
123,2015-16,Montrezl Harrell,22,HOU,379,Garbage Time,Post Scorer,Helper,-0.94,43.77,17.63,30.67
124,2016-17,Montrezl Harrell,23,HOU,1064,Rotation,Roll + Cut Big,Mobile Big,-1.08,59.82,8.3,63.86
125,2017-18,Montrezl Harrell,24,LAC,1293,Rotation,Post Scorer,Mobile Big,-0.73,58.94,36.44,62.44
126,2018-19,Montrezl Harrell,25,LAC,2158,Key Rotation,Post Scorer,Anchor Big,-0.65,64.48,43.15,71.97
127,2019-20,Montrezl Harrell,26,LAC,1749,Star,Shot Creator,Anchor Big,-0.45,62.78,55.97,69.5
128,2020-21,Montrezl Harrell,27,LAL,1580,Key Rotation,Post Scorer,Mobile Big,-0.83,55.83,27.1,56.34
129,2022-23,Montrezl Harrell,29,PHI,681,Rotation,Post Scorer,Anchor Big,-0.85,53.25,25.72,51.22
130,2021-22,Montrezl Harrell,28,WAS/CHO,1640,Key Rotation,Post Scorer,Anchor Big,-0.66,60.46,42.17,65.13
131,2016-17,Andrew Harrison,22,MEM,1474,Rotation,Shot Creator,Point of Attack,-0.08,85.93,72.24,94.61
132,2017-18,Andrew Harrison,23,MEM,1326,Key Rotation,Primary Ball Handler,Point of Attack,-0.21,89.96,67.63,96.83
133,2018-19,Andrew Harrison,24,MEM/CLE/NOP,186,Garbage Time,Shot Creator,Point of Attack,-0.29,82.44,64.3,92.03
134,2015-16,Aaron Harrison,21,CHO,93,Garbage Time,Low Minute,Low Activity,-0.92,33.25,19.03,18
135,2016-17,Aaron Harrison,22,CHO,17,Too Few Games,Low Minute,Chaser,-0.72,59.56,37.08,63.34
136,2017-18,Aaron Harrison,23,DAL,233,Starter,Movement Shooter,Chaser,-0.68,42.24,40.56,27.97
137,2021-22,Delon Wright,29,ATL,1452,Rotation,Primary Ball Handler,Point of Attack,-0.38,66.69,59.97,75.16
138,2018-19,Delon Wright,26,TOR/MEM,1698,Rotation,Primary Ball Handler,Chaser,0.19,77.12,80.06,87.46
139,2023-24,Delon Wright,31,WAS/MIA,742,Rotation,Secondary Ball Handler,Point of Attack,0.02,66.18,75.52,74.59
140,2024-25,Delon Wright,32,MIL/NYK,634,Rotation,Secondary Ball Handler,Chaser,-0.75,71.48,34.52,81.33
141,2020-21,Delon Wright,28,DET/SAC,1748,Star,Primary Ball Handler,Point of Attack,0.33,78.2,82.37,88.36
142,2015-16,Delon Wright,23,TOR,229,Garbage Time,Slasher,Point of Attack,-0.32,85.88,63.22,94.58
143,2016-17,Delon Wright,24,TOR,446,Rotation,Slasher,Point of Attack,0.54,80.03,85.63,90.11
144,2017-18,Delon Wright,25,TOR,1433,Star,Primary Ball Handler,Point of Attack,0.55,77.13,85.82,87.48
145,2022-23,Delon Wright,30,WAS,1221,Key Rotation,Primary Ball Handler,Point of Attack,0.42,72.09,83.57,82.1
146,2019-20,Delon Wright,27,DAL,1570,Key Rotation,Primary Ball Handler,Point of Attack,-0.21,71.47,67.63,81.29
147,2017-18,RJ Hunter,24,HOU,45,Too Few Games,Low Minute,Chaser,-0.45,53.33,55.97,51.38
148,2015-16,RJ Hunter,22,BOS,314,Garbage Time,Movement Shooter,Low Activity,-0.83,39.13,27.1,23.24
149,2018-19,RJ Hunter,25,BOS,26,Too Few Games,Low Minute,Helper,0.25,48.11,81.04,39.91
150,2016-17,RJ Hunter,23,CHI,9,Too Few Games,Low Minute,Chaser,-0.83,35.53,27.1,19.65
151,2015-16,Sam Dekker,21,HOU,6,Too Few Games,Low Minute,Anchor Big,-0.89,53.57,21.95,51.87
152,2016-17,Sam Dekker,22,HOU,1419,Rotation,Stationary Shooter,Low Activity,-1.19,49.03,4.04,41.87
153,2017-18,Sam Dekker,23,LAC,883,Garbage Time,Athletic Finisher,Low Activity,-0.77,55.55,32.73,55.63
154,2021-22,Sam Dekker,27,TOR,1,Too Few Games,Low Minute,Helper,,37.5,,21.24
155,2018-19,Sam Dekker,24,CLE/WAS,789,Rotation,Athletic Finisher,Low Activity,-0.51,50,52.07,44.31
156,2015-16,D'Angelo Russell,19,LAL,2259,Starter,Primary Ball Handler,Point of Attack,-0.08,83.47,72.24,92.86
157,2016-17,D'Angelo Russell,20,LAL,1811,Starter,Shot Creator,Point of Attack,0.93,88.35,90.58,96.08
158,2022-23,D'Angelo Russell,26,MIN/LAL,2304,Starter,Primary Ball Handler,Chaser,1.14,88.18,92.41,95.97
159,2023-24,D'Angelo Russell,27,LAL,2484,Starter,Primary Ball Handler,Chaser,1.28,72.23,93.6,82.3
160,2019-20,D'Angelo Russell,23,GSW/MIN,1452,Starter,Shot Creator,Chaser,1.91,90.14,97.41,96.98
161,2020-21,D'Angelo Russell,24,MIN,1196,Starter,Primary Ball Handler,Chaser,1.34,85.17,94.05,94.2
162,2021-22,D'Angelo Russell,25,MIN,2077,Star,Primary Ball Handler,Chaser,1.78,85.47,96.69,94.33
163,2017-18,D'Angelo Russell,21,BRK,1234,Key Rotation,Shot Creator,Point of Attack,1.69,92.6,96.31,97.93
164,2018-19,D'Angelo Russell,22,BRK,2448,Star,Primary Ball Handler,Point of Attack,2.53,92.9,98.69,98.03
165,2024-25,D'Angelo Russell,28,LAL/BRK,1481,Key Rotation,Primary Ball Handler,Chaser,1.3,91.75,93.74,97.61
166,2025-26,D'Angelo Russell,29,DAL,495,Rotation,Primary Ball Handler,Chaser,0.36,86.27,82.76,94.87
167,2015-16,Karl-Anthony Towns,20,MIN,2627,Starter,Post Scorer,Anchor Big,-0.61,63.11,45.89,70.15
168,2016-17,Karl-Anthony Towns,21,MIN,3030,Star,Post Scorer,Helper,0.22,72.38,80.52,82.42
169,2017-18,Karl-Anthony Towns,22,MIN,2918,Star,Post Scorer,Anchor Big,-0.08,74.05,72.24,84.01
170,2018-19,Karl-Anthony Towns,23,MIN,2545,Star,Shot Creator,Anchor Big,1.07,80.07,91.91,90.15
171,2019-20,Karl-Anthony Towns,24,MIN,1187,Star,Versatile Big,Anchor Big,0.93,71.5,90.58,81.36
172,2020-21,Karl-Anthony Towns,25,MIN,1689,Star,Shot Creator,Anchor Big,1.07,73.74,91.91,83.79
173,2021-22,Karl-Anthony Towns,26,MIN,2476,Star,Shot Creator,Mobile Big,0.67,65.93,87.68,74.14
174,2022-23,Karl-Anthony Towns,27,MIN,957,Star,Shot Creator,Mobile Big,0.91,63.27,90.39,70.4
175,2023-24,Karl-Anthony Towns,28,MIN,2026,Star,Versatile Big,Mobile Big,0.89,60.63,90.13,65.42
176,2024-25,Karl-Anthony Towns,29,NYK,2517,Star,Post Scorer,Anchor Big,0.52,63.05,85.33,70.08
177,2025-26,Karl-Anthony Towns,30,NYK,2292,Star,Shot Creator,Mobile Big,0.73,49.2,88.37,42.26
178,2015-16,Richaun Holmes,22,PHI,702,Rotation,Roll + Cut Big,Helper,-1.09,57.98,7.85,60.58
179,2016-17,Richaun Holmes,23,PHI,1193,Key Rotation,Roll + Cut Big,Helper,-0.89,61.41,21.95,67.03
180,2017-18,Richaun Holmes,24,PHI,746,Rotation,Roll + Cut Big,Anchor Big,-1.01,63.02,12.54,70.02
181,2018-19,Richaun Holmes,25,PHO,1184,Rotation,Roll + Cut Big,Anchor Big,-1.11,50.7,6.95,45.9
182,2019-20,Richaun Holmes,26,SAC,1242,Star,Roll + Cut Big,Mobile Big,-0.71,45.95,37.89,35.24
183,2020-21,Richaun Holmes,27,SAC,1782,Starter,Roll + Cut Big,Anchor Big,-0.51,52.18,52.07,48.6
184,2021-22,Richaun Holmes,28,SAC,1074,Key Rotation,Roll + Cut Big,Anchor Big,-1.01,47.22,12.54,38.13
185,2022-23,Richaun Holmes,29,SAC,348,Garbage Time,Roll + Cut Big,Mobile Big,-1.1,44.69,7.35,32.87
186,2023-24,Richaun Holmes,30,DAL/WAS,554,Garbage Time,Roll + Cut Big,Anchor Big,-0.79,47.6,30.99,38.93
187,2024-25,Richaun Holmes,31,WAS,534,Rotation,Roll + Cut Big,Anchor Big,-1.06,51.12,9.33,46.54
188,2019-20,Justise Winslow,23,MIA,352,Starter,Primary Ball Handler,Wing Stopper,0.63,74.1,87.08,84.08
189,2020-21,Justise Winslow,24,MEM,507,Rotation,Slasher,Wing Stopper,-0.39,58.33,59.56,61.27
190,2015-16,Justise Winslow,19,MIA,2232,Key Rotation,Athletic Finisher,Wing Stopper,-0.52,54.32,51.57,53.28
191,2016-17,Justise Winslow,20,MIA,625,Starter,Shot Creator,Wing Stopper,0.43,70.37,83.85,79.91
192,2017-18,Justise Winslow,21,MIA,1680,Key Rotation,Athletic Finisher,Wing Stopper,0.11,71.2,77.9,80.95
193,2018-19,Justise Winslow,22,MIA,1960,Starter,Primary Ball Handler,Wing Stopper,0.21,86.06,80.4,94.72
194,2021-22,Justise Winslow,25,LAC/POR,775,Rotation,Athletic Finisher,Wing Stopper,-0.28,58.22,64.75,61.08
195,2022-23,Justise Winslow,26,POR,776,Key Rotation,Athletic Finisher,Wing Stopper,0.13,73.45,78.43,83.44
196,2021-22,Willie Cauley-Stein,28,DAL/PHI,183,Garbage Time,Athletic Finisher,Anchor Big,-0.88,47.62,22.72,38.96
197,2015-16,Willie Cauley-Stein,22,SAC,1411,Key Rotation,Roll + Cut Big,Helper,-0.93,39.3,18.29,23.5
198,2016-17,Willie Cauley-Stein,23,SAC,1421,Rotation,Roll + Cut Big,Mobile Big,-0.58,55.48,48,55.49
199,2017-18,Willie Cauley-Stein,24,SAC,2044,Starter,Shot Creator,Mobile Big,0,74.48,74.79,84.47
200,2018-19,Willie Cauley-Stein,25,SAC,2213,Star,Post Scorer,Mobile Big,-0.38,56.54,59.97,57.61
201,2019-20,Willie Cauley-Stein,26,GSW/DAL,1098,Key Rotation,Roll + Cut Big,Mobile Big,-1.02,57.01,11.9,58.7
202,2020-21,Willie Cauley-Stein,27,DAL,906,Rotation,Roll + Cut Big,Anchor Big,-1.36,50.14,1.09,44.67
203,2020-21,Kelly Oubre Jr.,25,GSW,1687,Starter,Movement Shooter,Wing Stopper,-0.83,44.55,27.1,32.64
204,2023-24,Kelly Oubre Jr.,28,PHI,2055,Starter,Movement Shooter,Helper,-0.9,48.35,20.93,40.45
205,2024-25,Kelly Oubre Jr.,29,PHI,2078,Starter,Stationary Shooter,Helper,-0.81,54.7,29.05,54.07
206,2025-26,Kelly Oubre Jr.,30,PHI,1519,Starter,Shot Creator,Wing Stopper,-0.83,43.16,27.1,29.69
207,2018-19,Kelly Oubre Jr.,23,WAS/PHO,1923,Key Rotation,Movement Shooter,Chaser,-0.86,49.02,24.64,41.82
208,2019-20,Kelly Oubre Jr.,24,PHO,1933,Starter,Movement Shooter,Wing Stopper,-0.92,46.29,19.03,35.94
209,2015-16,Kelly Oubre Jr.,20,WAS,671,Rotation,Stationary Shooter,Helper,-1.09,43.25,7.85,29.79
210,2016-17,Kelly Oubre Jr.,21,WAS,1605,Key Rotation,Stationary Shooter,Wing Stopper,-1.26,39.95,2.47,24.34
211,2017-18,Kelly Oubre Jr.,22,WAS,2231,Starter,Stationary Shooter,Chaser,-0.81,46.12,29.05,35.56
212,2021-22,Kelly Oubre Jr.,26,CHO,1999,Key Rotation,Movement Shooter,Chaser,-0.71,44.84,37.89,33.16
213,2022-23,Kelly Oubre Jr.,27,CHO,1548,Starter,Movement Shooter,Wing Stopper,-0.46,49.95,55.28,44.16
214,2022-23,Frank Kaminsky,29,ATL/HOU,235,Garbage Time,Stretch Big,Mobile Big,-0.72,73.92,37.08,83.9
215,2019-20,Frank Kaminsky,26,PHO,777,Rotation,Stretch Big,Helper,-0.22,69.52,67.27,78.89
216,2020-21,Frank Kaminsky,27,PHO,715,Rotation,Stretch Big,Anchor Big,-0.27,69.69,65.11,79.1
217,2021-22,Frank Kaminsky,28,PHO,181,Garbage Time,Roll + Cut Big,Anchor Big,-0.33,60.93,62.56,66.13
218,2015-16,Frank Kaminsky,22,CHO,1708,Rotation,Stretch Big,Helper,-1,76.91,13.15,87.22
219,2016-17,Frank Kaminsky,23,CHO,1954,Key Rotation,Stretch Big,Anchor Big,-0.65,73.05,43.15,83.11
220,2017-18,Frank Kaminsky,24,CHO,1835,Key Rotation,Stationary Shooter,Helper,-0.76,75.95,33.61,86.29
221,2018-19,Frank Kaminsky,25,CHO,755,Rotation,Stretch Big,Helper,-0.63,76.16,44.38,86.52
222,2015-16,Devin Booker,19,PHO,2108,Starter,Off Screen Shooter,Chaser,0.1,57.53,77.54,59.73
223,2016-17,Devin Booker,20,PHO,2731,Starter,Shot Creator,Chaser,0.9,57.64,90.29,59.94
224,2017-18,Devin Booker,21,PHO,1865,Starter,Shot Creator,Chaser,2.2,68.98,98.19,78.19
225,2018-19,Devin Booker,22,PHO,2230,Starter,Shot Creator,Chaser,2.32,77.32,98.38,87.68
226,2019-20,Devin Booker,23,PHO,2512,Star,Shot Creator,Chaser,1.91,59.72,97.41,63.66
