RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.13,-0.84,0.25,0.32,0.36,-1,102.3,70.61,16.67,101.03,77.47,24.24,19.45,81.44,79.15,5.7,76.16,94.32,40.78,68.8,74.49,30,90.59,98.61
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.5,-0.32,0.54,-0.46,-1.32,-0.73,99.38,60.85,100,100.71,45.43,50.47,22.26,14.56,9.96,21.67,52.65,33.49,99.18,65.17,54.17,0,32.1,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.41,-0.37,0.34,0,-0.13,-0.9,91.17,66.04,0,89.89,51.96,47.72,20.27,60.92,61.84,9.12,14.91,72.05,0,8.8,77.78,0,94.71,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.88,-0.35,0.48,-0.56,-1.48,-0.85,99.84,59.38,33.33,99.77,16.96,48.94,21.59,10.75,7.12,11.68,56.39,26.25,86.9,56.27,56.52,0,37.44,0
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.32,-1.35,1.65,0.49,1.7,-0.5,95.05,69.91,46.15,94.74,57.6,5.75,33.42,86.1,98.29,47.38,27.28,92.73,96.14,22.36,80.95,3.92,96.49,37.5
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.49,-0.39,2.71,-0.07,-0.08,-0.16,100.17,56.82,23.91,100.15,45.99,46.57,43.11,49.3,64.39,70.45,59,18.79,64.05,59.98,55.29,6.59,34.61,57.54
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.7,-1.01,2.69,-0.16,-0.28,-0.32,99.43,60.27,31.48,100.78,30.84,16.95,42.96,37.39,54.02,61.43,53.13,30.25,85.22,65.98,59.88,8.64,47.14,71.76
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.29,-1.05,1.83,-0.8,-1.72,-0.08,99.54,58.76,21.57,100.4,4.62,15.31,34.88,4.62,3.87,73.85,54.06,23.96,56.54,62.36,56.43,7,37.34,60.46
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.99,-1.1,1.74,-0.4,-0.85,-0.81,96.85,60.73,12.5,98.01,11.44,13.38,34.07,17.36,24.4,14.66,35.98,32.8,34.11,40.69,59.35,8.91,45.91,73.39
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,-0.93,-0.17,7.36,-0.31,-0.65,0.39,82.99,69.15,44.44,77.44,14.13,57.28,74.14,23.63,33.12,86.15,4.52,90.59,95.79,1.07,84.62,1.97,97.31,27.49
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,-0.7,0.05,13.76,-0.32,-0.66,3.35,99.3,63.2,35.71,99.55,30.84,67.05,93.58,22.73,32.79,99.39,52.17,49.17,91.57,54.09,63.22,1.48,58.94,26.15
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,-1.45,0.37,13.92,-1.19,-2.48,1.11,96.48,59.75,46.43,96.16,3.55,77.81,93.85,1.5,0.47,93.91,33.81,28.07,96.17,28.86,56.34,1,37.09,25.23
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,-0.41,0.67,12.55,-0.2,-0.36,2.3,99.56,60.28,20,100.68,51.96,85.61,90.93,33.35,49.34,97.95,54.18,30.3,49.66,64.78,60.26,4.42,48.91,41.07
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,-0.72,0.18,11.6,-0.3,-0.54,2.81,96.56,60.46,22.58,95.8,29.1,72.1,88.63,24.54,39.01,98.9,34.4,31.44,59.57,26.78,59.7,3.54,46.72,34.97
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-0.85,-0.51,5.13,-0.19,-0.79,-0.31,87.32,67.68,0,89.82,18.96,40.67,61.85,34.27,26.99,62.15,8.49,84.82,0,8.65,75,0,91.01,0
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,-0.2,0.05,14.87,0.25,0.63,3.97,98.88,70.54,37.5,98.33,63.88,67.05,95.4,78.82,86.19,99.71,48.4,94.19,92.74,43.39,77.33,1.79,94.42,26.77
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,-0.65,0.12,14.06,-0.2,-0.48,2.77,97.96,64.34,24.14,96.89,34.73,70.29,94.11,33.35,42.39,98.83,42.49,58.84,64.69,33.15,64.52,1.81,63.67,26.87
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,-0.57,-0.09,13.01,0.07,0.31,2.36,89.97,65.16,22.58,91,40.1,61.01,91.96,68.72,77.85,98.09,12.26,65.03,59.57,11.09,64.52,2.1,63.67,28.05
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,-1.02,-0.3,11.22,-0.37,-0.87,0.55,75.96,61.41,13.64,88.8,10.17,51.38,87.61,19.23,23.48,88.47,1.85,36.75,35.99,7.05,46.15,2.12,23.18,28.1
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,-0.98,-0.51,5.39,-0.25,-0.47,0.67,84.57,69.46,12.5,83.67,11.78,40.67,63.41,28.13,43.1,90.2,5.66,91.38,34.11,2.88,82.35,1.77,96.82,26.7
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.08,1.1,7.65,-0.14,-0.27,-0.27,99.13,60.1,20.83,99.74,69.58,93.28,75.66,39.72,54.67,64.59,50.66,29.63,54.11,56.05,59.66,4.35,46.7,40.48
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,-0.36,0.85,10.1,-0.33,-0.81,0.26,96.97,57.25,20,98.44,55.04,89.18,84.54,22.05,26.02,83.55,36.6,19.84,49.66,44.31,52.94,2.82,30.08,30.82
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.72,-0.59,6.19,-0.15,-0.55,0.02,88.97,61.56,0,94.22,29.1,36.59,68.14,38.63,38.38,77.34,10.62,37.63,0,20.35,55.56,3.08,35.03,32.29
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,0,1.05,9.99,-0.03,-0.11,-0.42,101.25,59.22,25,100.91,72.65,92.49,84.21,55.8,62.8,53.91,67.42,25.55,66.71,67.43,58.76,5.95,44.12,52.74
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.35,0.03,5.23,-0.33,-0.89,-0.18,95.84,59.07,25,95.96,55.75,66.32,62.44,22.05,22.57,69.63,30.98,25.18,66.71,27.63,57.75,1.06,41.21,25.37
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.27,-1.16,1.16,0.41,1.53,-0.18,95.96,69.02,44.44,94.43,60.43,11.25,28.52,84.1,97.41,69.63,31.46,90.14,95.79,21.14,79.07,0,95.68,0
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.88,-0.68,0.91,-0.24,-0.36,-0.77,90.95,60.72,33.33,91.76,16.96,32.04,25.84,29.03,49.34,17.92,14.5,32.68,86.9,12.55,61.36,7.14,52.36,61.29
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-1.1,-1.27,1.32,-0.5,-1.17,-0.72,96.55,62.41,24.14,97.44,7.57,7.8,30.09,12.77,13.39,22.99,34.2,43.41,64.69,36.49,63.77,12.24,61,86.75
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-1.05,-1.87,1.31,-0.1,-0.4,-0.45,78.64,62.51,25,85.98,9.16,0.35,30.02,44.9,46.97,51.61,2.69,44.12,66.71,4.45,57.14,16.67,38.79,93.65
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-0.89,0.34,10.29,-0.67,-1.48,1.06,97.66,56.36,27.27,98.82,16.27,76.94,85.03,7.42,7.12,93.67,40.73,17.76,75.14,47.59,52.63,3.2,29.65,33.06
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.31,0.8,11.93,-0.2,-0.42,-0.37,98.81,55.84,10.94,99.53,58.12,88.19,89.47,33.35,45.84,57.63,47.95,16.89,32.97,53.83,53.64,5.18,31.11,46.38
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-1.15,-0.49,4.1,-0.74,-1.67,0.77,93.16,59.65,20,96.51,6.45,41.8,54.37,5.73,4.42,91.35,19.89,27.64,49.66,31,54.72,7.77,33.07,66.22
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,-0.48,-0.77,3.46,0.13,0.57,-0.8,94.91,67.6,31.82,95.38,46.78,27.52,49.24,72.76,84.59,15.56,26.58,84.09,85.63,25.15,72.73,7.91,87.77,67.14
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.7,-0.35,4.17,-0.23,-0.36,-0.29,96.56,58.22,28.57,97.65,30.84,48.94,55.01,30.04,49.34,63.41,34.4,22.33,78.6,37.77,56.52,7.14,37.44,61.29
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.69,-0.39,4.7,-0.23,-0.7,-0.1,90.71,62.05,7.69,93.56,31.72,46.57,58.83,30.04,31.02,73.19,13.91,40.9,30.47,17.66,63.89,7.46,61.27,64.03
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-2.12,,6.38,,,-0.72,,60.33,0,,0.02,,69.17,,,22.99,,30.59,0,,0,0,0,0
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.91,-1.39,6.82,-0.03,-0.9,-0.63,94.99,61.67,0,93.05,15.25,4.95,71.35,55.8,22.19,32.72,26.87,38.22,0,15.75,100,16.67,97.87,93.65
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.24,0.28,11.1,0.11,0.29,0.58,93.81,60.39,23.33,96.86,62.05,75.22,87.19,71.77,77.19,88.9,22.1,31.02,62,33.02,57.35,3.7,40.13,35.89
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,-0.55,0.11,12.24,-0.13,-0.41,0.93,100.04,59.87,10.34,100.22,41.93,69.75,90.22,41.1,46.43,92.62,58.02,28.53,32.47,60.62,59.09,4.78,45.1,43.47
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,0.84,-1.37,1.21,1.05,0.93,-0.53,103.58,66.92,20,102.36,91.08,5.28,28.97,94.08,91.38,44.16,87.12,79.49,49.66,82.76,68.51,18.64,77.4,95.57
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.36,-0.96,1.21,-0.18,-0.71,-0.5,100.36,61.45,21.21,100.24,55.04,18.79,28.97,35.07,30.49,47.38,60.6,37.14,55.31,60.81,61.73,11.11,53.58,83.11
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.52,-0.74,0.69,-0.54,-1.15,-1.08,100.33,63.42,18.03,99.89,44.13,29.05,23.73,11.27,14,4.11,60.37,50.99,45.15,57.26,63.53,14.29,60.01,90.73
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.76,-0.58,0.74,-0.53,-1.33,-0.82,98.25,60.33,20.83,98.03,25.96,37.11,24.25,11.76,9.63,13.86,43.99,30.59,54.11,40.9,56.9,30,38.31,98.61
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-1.22,-0.68,1.29,-1.24,-1.88,-0.83,102.07,62.3,28.85,101.94,5.33,32.04,29.76,1.34,2.53,13.03,74.2,42.78,80.14,78.38,61.48,10.34,52.77,80.75
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.73,-0.69,1.46,0.75,0.93,-0.58,103.29,67.9,30.16,101.98,89.88,31.52,31.37,90.68,91.38,38.74,84.84,85.81,82.94,79.02,69.74,10.53,81.07,81.37
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,0.44,-0.24,1.69,-0.1,-0.45,-0.3,102.42,60.63,20.45,102.5,85.48,53.99,33.68,44.9,44.24,62.8,77.24,32.26,53.03,84.43,60.73,12.2,50.47,86.65
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,0.05,-0.14,1.51,-0.08,-0.32,-0.38,99.4,65.68,28.57,99.35,74.76,58.66,31.96,47.68,51.65,56.92,52.86,69.26,78.6,51.99,68.93,17.39,78.81,94.75
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,0.51,-0.22,0.84,0.49,0.57,-0.67,103.09,64.94,22.08,101.03,86.59,55.05,25.18,86.1,84.59,28.37,83.04,63.24,57.87,68.8,66.67,13.33,70.21,89.21
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,-0.38,-0.25,3.45,0.06,0.25,0.27,98.35,56.8,13.04,99.32,53.93,53.45,49.17,67.78,75.83,83.82,44.66,18.71,35.26,51.76,54.46,12.23,32.62,86.74
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,-0.29,-0.51,2.55,0.28,1.24,-0.51,97.2,59.8,30.56,98.61,59.14,40.67,41.32,80.15,95.45,46.24,37.9,28.21,83.62,45.99,58.76,8.33,44.12,69.62
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.77,-0.55,3.47,-0.24,-0.68,-0.48,90.34,56.36,30,94.27,25.2,38.73,49.37,29.03,31.91,49.29,12.9,17.76,82.1,20.54,45.65,9.52,23.01,76.75
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,-2,,0,,,-1.5,,65.43,0,,1.9,,0,,,1.9,,66.8,0,,0,0,0,0
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,-0.27,-0.15,3.9,0.21,0.79,-0.46,98.16,62.41,16.67,97.79,60.43,58.1,52.71,77.06,89.24,50.8,43.58,43.41,40.78,38.96,61.54,6.38,52.81,55.91
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.84,-0.6,3.34,-0.29,-0.74,-0.68,97.58,61.04,14.29,101.55,19.89,36.12,48.42,25.22,29.03,27.25,40.27,34.43,36.49,74.45,46.15,25,23.18,97.82
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.93,-0.6,2.2,-0.74,-1.36,-1.16,101.32,58.05,18.6,101.55,14.13,36.12,38.19,5.73,8.95,3.37,68.06,21.78,46.84,74.45,57.14,13.18,38.79,89.01
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-1.02,-0.88,0.92,-0.76,-1.58,-0.83,99.21,61.02,15.38,98.89,10.17,22.62,26.04,5.45,5.68,13.03,51.41,34.36,38.74,48.08,60,3.13,47.23,32.49
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.69,-1.29,1.15,-0.22,-0.59,-0.85,98.26,60.16,15.63,97.45,31.72,7.26,28.43,31.09,36.36,11.68,44.15,29.91,39.36,36.52,57.89,6.06,41.5,53.54
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-1.43,-0.34,2.11,-1.26,-2.17,-0.52,100.31,56.55,12.31,100.04,3.61,49.41,37.43,1.31,1.29,45.24,60.18,18.08,34.09,58.84,55.17,8.49,34.27,71.03
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.58,-0.66,1.3,-0.36,-0.66,-1.2,102.53,61.42,22.22,101.72,39.4,33.07,29.93,19.75,32.79,3.11,78.19,36.82,58.08,76.31,60.78,3.28,50.63,33.54
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-0.89,-1.14,0.51,-0.17,-0.92,-0.71,79.67,61.88,0,90.3,16.27,11.96,21.94,36.17,21.58,24.17,3.04,39.61,0,9.7,33.33,0,19.23,0
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,0.77,0.7,7.46,0.9,1.08,0.77,101.46,59.36,27.27,101.15,90.27,86.38,74.71,92.41,93.64,91.35,69.41,26.13,75.14,70.14,59.09,6.9,45.1,59.77
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-0.18,0.15,8.21,0.06,0.07,0.05,99.34,60.26,25.86,100.1,64.95,71.23,77.77,67.78,70.25,78.22,52.46,30.22,71.71,59.47,59.89,7.37,47.17,63.46
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,-0.17,0.72,13.86,-0.07,-0.16,0.51,98.57,59.6,18.46,99.45,65.4,86.69,93.72,49.3,60.41,87.97,46.44,27.36,46.51,53.02,56.31,4.6,37.06,42.1
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,-0.48,0.18,12.9,-0.04,-0.09,0.28,91.91,59.5,14.29,95.96,46.78,72.1,91.7,54.16,63.85,84.12,16.96,26.78,36.49,27.63,48.78,6.88,24.5,59.68
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.81,0.97,11.61,0.89,1.45,1.75,101.99,59.95,22.14,102.34,90.78,91.43,88.71,92.34,96.88,96.51,73.65,28.88,58.03,82.57,59.57,9.26,46.36,75.52
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,1.03,1.16,12.63,0.97,0.98,2.45,103.94,59.23,16.77,102.49,93.08,94.08,91.08,93.14,92.27,98.31,89.84,25.58,42.82,84.25,58.33,8.79,42.65,72.75
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.37,1.51,16.05,0.09,0.01,2.41,101.44,55.19,24.1,102.35,83.8,97.44,96.88,70.5,68.03,98.22,69.15,16.21,64.64,82.67,53.22,8.89,30.53,73.19
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,-0.1,1.13,13.49,-0.22,-0.41,1.19,101.56,56.98,22.03,101.27,68.64,93.61,92.96,31.09,46.43,94.36,70.27,19.19,57.76,71.42,54.67,8.03,33.03,67.88
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,-0.21,0.09,8.52,0.21,0.59,1.15,98.66,57.04,14.18,100.57,63.32,68.86,79.03,77.06,85.23,94.16,47.03,19.31,36.46,63.87,55.12,10.11,34.17,79.94
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,0.68,-0.48,1.08,0.77,0.91,-0.33,102.63,66.96,13.64,101.29,89.15,42.25,27.66,91.01,91.22,60.58,79.2,79.87,35.99,71.69,68.82,7.69,78.48,65.32
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-0.12,-0.83,1.05,0.04,-0.07,-0.87,102.07,66.05,22.22,100.94,67.67,24.66,27.4,65.9,64.77,10.58,74.2,72.09,58.08,67.87,67.77,2.27,75.39,28.55
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.72,-0.86,0.9,-0.58,-1.24,-0.73,100.07,65.12,19.44,99.88,29.1,23.28,25.71,10.03,11.76,21.67,58.22,64.58,48.76,57.17,66.18,10.34,69.1,80.75
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.36,-0.64,1.61,-0.25,-0.77,-0.69,99.79,66.2,25,98.21,55.04,34.2,32.91,28.13,27.69,26.07,55.94,73.38,66.71,42.53,69.33,4.17,80.04,39.12
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.78,-1.57,0.2,-0.42,-0.97,-0.73,100.37,62.78,20,100.3,24.34,2.33,19.02,16.41,19.89,21.67,60.68,45.84,49.66,61.41,62.62,0,57.08,0
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,0.27,-1.32,0.25,0.44,0.11,-0.3,104.78,67.33,21.05,103.7,81.45,6.51,19.45,84.73,71.58,62.8,95.14,82.5,54.61,94.96,68.72,6.67,78.02,57.98
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,0.02,-1.06,0.13,0.25,-0.07,-0.51,104.25,67.47,18.42,102.71,73.51,15.01,18.42,78.82,64.77,46.24,92.03,83.33,46.39,86.31,68.72,44.44,78.02,99.41
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-1.26,-1.48,0.45,-1.01,-1.56,-0.52,102.17,62.28,22.97,101.66,4.86,3.5,21.32,2.53,6.01,45.24,74.95,42.72,60.85,75.64,62.03,8,54.65,67.52
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-1.02,0.12,4.32,-0.58,-1.43,-0.62,90.81,59.21,7.69,92.31,10.17,70.29,56.17,10.03,7.78,33.82,14.2,25.54,30.47,13.78,57.45,4.23,40.42,39.71
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,-1.02,-1.15,4.05,-0.23,-1.36,-0.61,,58.77,0,86.84,10.17,11.65,53.85,30.04,8.95,35.32,,23.98,0,4.94,0,6.67,0,57.98
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.76,-0.66,4.66,-0.14,-0.34,-0.35,88.18,63.71,33.33,89.45,25.96,33.07,58.58,39.72,50.44,59.11,9.45,53.46,86.9,7.87,73.68,1.49,89.46,26.16
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,-0.95,-0.36,5.01,-0.29,-0.38,0.21,92.42,61.89,28.57,93.45,13.15,48.22,60.84,25.22,48.26,82.45,18.1,39.74,78.6,17.24,64.44,1.15,63.47,25.55
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,-0.53,-0.15,5.05,-0.03,0.04,-0.09,93.53,65.23,12.5,93.12,43.45,58.1,61.1,55.8,69.24,73.54,21.26,65.51,34.11,16.2,69.44,4.07,80.26,38.66
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,-0.86,-0.77,7.62,-0.17,-0.57,-0.34,79.12,60.95,25,89.64,18.23,27.52,75.46,36.17,37.57,59.87,2.78,33.87,66.71,8.22,50,2.29,25,28.69
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,-0.53,-0.37,6.69,-0.01,-0.11,-0.49,91.98,63.61,33.33,91.73,43.45,47.72,70.76,59.23,62.8,48.56,17.15,52.36,86.9,12.48,75,7.41,91.01,63.62
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.75,-0.6,4.83,-0.17,-0.81,-0.62,94.84,59.58,40,93.77,26.79,36.12,59.6,36.17,26.02,33.82,26.26,27.32,93.87,18.63,54.55,8,32.64,67.52
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,-0.92,-1.35,0,0,-0.68,-1.68,95.02,60.86,0,93.09,14.64,5.75,0,60.92,31.91,0.36,27.12,33.52,0,15.91,100,0,97.87,0
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,-0.73,-0.69,6.52,-0.01,-0.88,-0.43,85.9,61.67,0,84.14,28.42,31.52,69.96,59.23,23.04,53.06,6.87,38.22,0,3.09,100,0,97.87,0
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,0.58,-1.16,0.45,1.04,1.56,-0.31,101.51,62.56,31.82,100.67,87.76,11.25,21.32,93.96,97.67,62.15,69.89,44.38,85.63,64.67,63.53,22.22,60.01,97.3
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,-2.05,,0,,,-1.51,,66.5,0,,0.41,,0,,,1.56,,75.98,0,,0,0,0,0
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,1.12,0.31,2.74,0.81,1.19,0.27,98.53,66.54,37.25,98.06,93.79,76.07,43.27,91.45,95,83.82,46.1,76.63,92.7,41.12,67.77,12.5,75.39,87.13
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,1.05,0,2.99,0.64,0.9,-0.23,102.1,69.67,31.03,99.4,93.26,64.8,45.52,89.03,91.1,66.84,74.54,91.99,84.41,52.58,73.83,5.13,89.79,46.04
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,3.21,1.05,4.26,2.8,1.95,1.31,105.4,63.01,28.71,103.55,99.48,92.49,55.65,99.46,99.04,94.99,97.81,47.51,80.01,93.99,63.58,10.61,60.17,81.79
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,1.47,1.41,5.29,0.96,0.68,0.35,103.01,65.19,23.68,101.41,95.73,96.81,62.69,93.03,87.04,85.46,82.42,65.22,63.24,73.01,66.52,11.88,70.08,85.87
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,0.17,0.14,3.37,-0.06,-0.31,0.18,98.41,65.29,33.33,98.87,78.54,70.93,48.71,50.75,52.21,81.74,45.2,66.02,86.9,47.96,67.69,6.45,75.01,56.37
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.17,0.22,0.97,0.01,-0.12,-0.17,101.77,65.6,15.38,100.82,78.54,73.39,26.62,62.52,62.3,70.13,71.98,68.47,38.74,66.41,67.16,22.22,73.32,97.3
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,-0.27,1.11,14.79,-0.58,-1.07,-0.62,99.3,55.93,25,100.74,60.43,93.4,95.24,10.03,16.75,33.82,52.17,16.98,66.71,65.5,52.53,5.36,29.6,47.9
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,-0.09,1.35,14.72,-0.46,-0.69,0.89,101.45,54.74,18.57,101.24,69.19,96.15,95.18,14.56,31.5,92.28,69.29,15.75,46.8,71.02,52.34,5.67,29.33,50.53
