RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
499,2021-22,Domantas Sabonis,25,IND/SAC,2136,Star,Post Scorer,Mobile Big,2.04,0.49,3.74,1.4,0.71,-0.26,105.43,70.51,27.45,104.65,97.9,80.88,51.45,96.41,87.62,65.23,97.92,94.11,76.25,98.73,71.36,6.94,84.76,60.09
500,2022-23,Domantas Sabonis,26,SAC,2736,Star,Post Scorer,Mobile Big,1.99,0.62,4.55,1.43,0.63,-0.25,105.73,71.07,23.74,104.68,97.71,84.6,57.74,96.59,86.19,65.74,98.59,95.42,63.46,98.84,71.63,11.66,85.8,85.28
501,2023-24,Domantas Sabonis,27,SAC,2928,Star,Post Scorer,Mobile Big,1.63,0.87,6.15,1.01,0.15,0.13,103.99,69.33,27.01,102.98,96.45,89.64,67.87,93.7,72.83,80.43,90.18,90.99,74.77,88.96,69.69,7.72,80.95,66.04
502,2024-25,Domantas Sabonis,28,SAC,2429,Star,Roll + Cut Big,Mobile Big,1.99,0.57,3.75,1.4,0.51,-0.54,104.88,69.17,25.56,103.16,97.71,83.14,51.54,96.41,83.4,42.98,95.66,90.64,70.87,90.53,69.59,7.63,80.74,65.05
503,2025-26,Domantas Sabonis,29,SAC,564,Starter,Roll + Cut Big,Mobile Big,0.97,0.36,2.47,0.36,-0.09,-0.51,105.79,66.56,27.27,102.99,92.5,77.6,40.55,82.69,63.85,46.24,98.83,76.8,75.14,89.12,66.13,5.13,68.91,46.04
504,2016-17,Wade Baldwin IV,20,MEM,405,Rotation,Slasher,Point of Attack,-0.44,0.45,13.07,-0.42,-1.47,-0.43,97.03,53.1,7.14,96.8,49.73,79.76,92.15,16.41,7.23,53.06,36.96,14.9,30.14,32.78,40.43,5.8,21.19,51.58
505,2017-18,Wade Baldwin IV,21,POR,80,Too Few Games,Low Minute,Point of Attack,-0.16,0.11,7.36,0.17,0.17,-0.1,95.05,65.13,33.33,91.99,65.89,69.75,74.14,75.25,73.6,73.19,27.28,64.67,86.9,12.88,85.71,6.25,97.43,54.71
506,2018-19,Wade Baldwin IV,22,POR,94,Garbage Time,Low Minute,Point of Attack,-0.28,0.49,16.21,-0.07,-0.55,0.11,89.03,60.04,25,94.9,59.8,80.88,97.02,49.3,38.38,80.01,10.78,29.26,66.71,23.01,41.67,2.33,21.39,28.78
507,2022-23,Malik Beasley,26,UTA/LAL,2093,Starter,Off Screen Shooter,Chaser,-0.75,-0.7,3.98,-0.08,0.08,0.2,92.88,68.78,33.33,94.08,26.79,31.07,53.25,47.68,70.59,82.14,19.27,89.28,86.9,19.84,71.43,3.46,84.83,34.61
508,2023-24,Malik Beasley,27,MIL,2337,Starter,Movement Shooter,Point of Attack,-0.74,-0.57,2.62,-0.07,0.26,-0.49,97.93,66.55,20,96.48,27.69,37.76,41.95,49.3,76.28,48.56,42.26,76.72,49.66,30.83,66.67,0.58,70.21,24.96
509,2019-20,Malik Beasley,23,DEN/MIN,1209,Rotation,Movement Shooter,Chaser,-0.08,-0.15,6.2,0.16,0.25,-0.22,94.72,60.79,19.23,96.21,69.58,58.1,68.19,74.82,75.83,67.4,25.68,33.13,48.23,29.28,58.97,4.76,44.79,43.02
510,2020-21,Malik Beasley,24,MIN,1214,Starter,Off Screen Shooter,Chaser,-0.56,-0.51,6.16,-0.35,-0.6,-0.06,103.22,58.45,31.43,103.49,41.2,40.67,67.98,20.53,35.89,74.7,84.09,22.94,85.09,93.34,55.4,6.25,34.91,54.71
511,2021-22,Malik Beasley,25,MIN,1976,Key Rotation,Off Screen Shooter,Low Activity,-1.16,-0.95,2.9,-0.43,-1.14,-0.53,94.82,60.01,21.43,96.06,6.19,19.24,44.71,16,14.28,44.16,26.03,29.08,55.79,28.22,55.29,3.11,34.61,32.44
512,2016-17,Malik Beasley,20,DEN,165,Garbage Time,Off Screen Shooter,Chaser,0.06,0.75,5.01,-0.05,-0.56,-0.44,92.94,61.35,0,93.43,75.3,87.41,60.84,52.47,37.98,52.32,19.38,36.43,0,17.17,61.76,4.17,53.64,39.12
