RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Short Mid Range FG%,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Rim Shot Attempts Per 75 Possessions_percentile,Stable Rim FG%_percentile,Stable Short Midrange FG%_percentile,Floater Talent_percentile,Paint Shooting Talent_percentile,Paint Shot Making_percentile,Paint Shot Making Efficiency_percentile,Short Mid Range FG%_percentile,Rim FG%,Rim FG%_percentile
1904,2024-25,Terance Mann,28,LAC/ATL,1414,Rotation,Movement Shooter,Chaser,0.29,0.57,3.24,69.8,45.73,-0.22,-0.37,0.32,-0.7,47.37,80.46,84.59,51.06,92.38,91.48,68.26,57.63,83.25,35.98,82.5,71.77,86.04
1905,2019-20,Terance Mann,23,LAC,362,Garbage Time,Shot Creator,Chaser,0.09,0.34,3.1,65.19,38.16,-0.31,-0.29,-0.02,-0.24,30.43,70.5,78.63,49.04,65.22,25.28,63.35,63.41,59.37,65.46,35.5,68.75,78.08
1906,2020-21,Terance Mann,24,LAC,1263,Rotation,Athletic Finisher,Point of Attack,0.37,0.68,4.61,67.32,38.27,-0.61,-0.35,-0.04,-0.51,32.47,82.9,87.04,72.02,82.31,25.93,38.98,59.11,55.54,48.96,38.66,68.79,78.42
1907,2021-22,Terance Mann,25,LAC,2317,Starter,Movement Shooter,Chaser,0.31,0.36,4.08,66.29,43.25,-0.37,-0.63,-0.14,-1.29,43.71,81.09,79.15,64.41,74,73.02,59.58,32.72,40.11,10.3,72.05,66.54,70.12
1908,2022-23,Terance Mann,26,LAC,1872,Key Rotation,Movement Shooter,Point of Attack,0.16,0.22,4.22,70.77,39.01,-0.21,-0.33,-0.35,-0.27,32.94,74.82,75.11,66.22,94.68,30.56,68.6,60.58,19.42,64.09,39.29,72.17,86.97
1909,2023-24,Terance Mann,27,LAC,1873,Key Rotation,Stationary Shooter,Point of Attack,0.48,0.76,3.57,72.97,46.13,-0.54,-0.53,0.16,-0.43,48.89,85.82,88.52,56.31,97.87,93,45.85,44.16,77.4,54.13,86.04,75.71,92.87
1910,2025-26,Terance Mann,29,BRK,1529,Starter,Primary Ball Handler,Point of Attack,0.34,0.73,2.67,66,41.29,-0.42,-0.47,-0.08,-0.84,37.18,82.03,88,42.39,71.57,53.83,56.11,50.1,48.51,27.35,50.96,65.14,65.74
1911,2022-23,Andrew Nembhard,23,IND,2074,Starter,Primary Ball Handler,Point of Attack,0.17,0.42,2.24,67.36,42.22,-0.5,-0.71,-0.69,-1.7,41.21,75.25,80.91,35.69,82.68,63.07,49.63,24.17,4.96,3.47,64.24,67.69,75.01
1912,2023-24,Andrew Nembhard,24,IND,1697,Key Rotation,Primary Ball Handler,Point of Attack,0.39,0.84,2.64,68.77,46.78,-0.49,-0.23,-0.12,-0.77,48.75,83.56,90.09,41.92,89.26,94.55,50.3,66.84,42.61,31.5,85.78,70.16,82.21
1913,2024-25,Andrew Nembhard,25,IND,1881,Starter,Primary Ball Handler,Point of Attack,0.06,0.07,2.24,68.53,46.1,-0.96,0.02,-0.1,-0.13,47.37,67.78,70.25,35.69,88.45,92.83,15.5,77.34,45.39,70.85,82.5,69.83,81.29
1914,2025-26,Andrew Nembhard,26,IND,1786,Starter,Primary Ball Handler,Point of Attack,-0.49,-0.86,2.62,64.6,47.19,1.26,-0.01,0.09,-0.81,48.85,13.1,23.89,41.59,60.78,95.82,94.21,76.32,73.44,29.08,85.96,63.08,58.45
1915,2021-22,Reggie Perry,21,POR/IND,187,Garbage Time,Roll + Cut Big,Helper,0.06,-0.1,6.37,69.27,39.9,-1.06,-0.33,-0.12,-0.5,27.27,67.78,63.38,89.28,90.86,39.67,13.59,60.58,42.61,49.43,31.12,78.13,95.1
1916,2020-21,Reggie Perry,20,BRK,211,Garbage Time,Roll + Cut Big,Anchor Big,-0.26,-1.08,7.97,62.08,39.72,-0.68,-0.64,-0.21,-0.82,10,27.5,16.32,96.44,41.11,37.12,32.06,31.57,31.84,28.49,22.82,58.7,43.93
1917,2023-24,Jalen Pickett,24,DEN,122,Garbage Time,Secondary Ball Handler,Point of Attack,-0.07,-0.63,0.3,66.88,43.97,-0.46,-0.16,-0.04,-1.42,50,49.3,34.19,17.37,79.18,79.74,52.79,70.45,55.54,7.57,87.26,100,97.87
1918,2024-25,Jalen Pickett,25,DEN,666,Rotation,Secondary Ball Handler,Point of Attack,-0.14,-0.39,1.12,67.24,44.53,-0.46,-0.1,-0.11,0.15,45.45,39.72,47.65,21.84,81.14,85.12,52.79,73.19,44.12,80.39,77.24,70,81.62
1919,2025-26,Jalen Pickett,26,DEN,747,Rotation,Secondary Ball Handler,Chaser,-0.28,-0.8,1.51,66.14,44.72,-0.54,-0.34,-0.31,-0.99,45.71,25.91,26.51,25.7,72.97,86.36,45.85,59.87,22.49,19.79,78.21,63.33,59.28
1920,2021-22,Myles Powell,24,PHI,52,Garbage Time,Low Minute,Point of Attack,0,-0.17,4.09,65.53,41.38,-0.44,-0.22,-0.05,-0.83,0,60.92,59.82,64.61,67.88,54.78,54.65,67.4,54.04,27.97,0,66.67,70.21
1921,2019-20,Marial Shayok,24,PHI,28,Too Few Games,Low Minute,Helper,-0.04,-0.34,2.34,63.29,39.49,-1.22,-0.28,,-0.44,0,54.16,50.44,37.15,49.91,34.78,5.53,64.05,,53.68,0,50,25
1922,2020-21,Max Strus,24,MIA,507,Garbage Time,Off Screen Shooter,Chaser,0.26,0.87,2.66,73.18,43.69,-0.53,-0.66,0.13,-0.56,100,79.14,90.67,42.28,98.06,76.88,46.97,29.27,75.93,45.66,98.68,91.67,97.83
1923,2021-22,Max Strus,25,MIA,1587,Key Rotation,Off Screen Shooter,Low Activity,0.1,0.28,2.1,64.46,41.3,-0.67,-0.37,-0.17,0.25,36,71.26,76.72,33.39,59.74,53.93,33.28,57.63,36.61,82.99,47.69,63.64,60.26
1924,2022-23,Max Strus,26,MIA,2272,Key Rotation,Movement Shooter,Helper,0.09,0.25,2.26,66.07,44.13,-0.29,-0.77,-0.18,-1.03,44.3,70.5,75.83,35.97,72.36,81.43,64.69,17.92,35.51,18.21,74,65.69,67.61
1925,2019-20,Max Strus,23,CHI,6,Too Few Games,Low Minute,Chaser,0.03,0.05,10,64.61,39.87,-1.22,-1.56,,,0,64.93,69.54,99.02,60.85,38.8,5.53,0.96,,,0,100,97.87
1926,2023-24,Max Strus,27,CLE,2239,Starter,Movement Shooter,Helper,-0.72,-1.31,3.12,60.29,43.28,-0.37,-0.93,-0.83,-1.56,42.22,6.17,10.19,49.21,30.41,73.26,59.58,8.07,2.93,5.3,67.27,57.89,41.5
1927,2024-25,Max Strus,28,CLE,1273,Starter,Movement Shooter,Wing Stopper,0.23,0.54,1.68,70.08,43.54,-0.83,-0.87,-0.29,-0.97,40,77.99,84.03,27.75,93.23,75.6,20.9,10.58,24.28,20.6,59.2,74.58,90.66
