RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Short Mid Range FG%,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Rim Shot Attempts Per 75 Possessions_percentile,Stable Rim FG%_percentile,Stable Short Midrange FG%_percentile,Floater Talent_percentile,Paint Shooting Talent_percentile,Paint Shot Making_percentile,Paint Shot Making Efficiency_percentile,Short Mid Range FG%_percentile,Rim FG%,Rim FG%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.32,0.36,4.94,70.61,37.55,-1.21,-1,-0.68,-0.82,34.62,81.44,79.15,76.02,94.32,22.2,7.8,5.7,5.19,28.49,44.15,74.49,90.59
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.46,-1.32,6.43,60.85,40.77,-0.4,-0.73,-0.25,-0.57,45.45,14.56,9.96,89.76,33.49,48.42,57.57,21.67,27.79,44.98,77.24,54.17,32.1
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,0,-0.13,3.04,66.04,39.51,-0.68,-0.9,-0.04,-0.42,33.33,60.92,61.84,48.19,72.05,35.01,32.06,9.12,55.54,54.73,39.52,77.78,94.71
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.56,-1.48,3.13,59.38,39.65,-0.7,-0.85,-0.52,-1.26,35.29,10.75,7.12,49.34,26.25,36.3,30.18,11.68,9.96,11.08,45.61,56.52,37.44
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.49,1.7,1.36,69.91,42.37,-0.25,-0.5,0.48,-0.01,46.67,86.1,98.29,24.22,92.73,64.51,66.76,47.38,86.63,75.56,80.68,80.95,96.49
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,-0.07,-0.08,2.76,56.82,46.49,0.82,-0.16,0.41,0.87,52.68,49.3,64.39,43.73,18.79,93.84,90.84,70.45,85.25,93.31,93.04,55.29,34.61
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.16,-0.28,2.85,60.27,41.09,1,-0.32,0.18,0.37,41.09,37.39,54.02,45.18,30.25,51.9,92.55,61.43,78.32,85.68,63.82,59.88,47.14
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.8,-1.72,2.56,58.76,44.19,1.23,-0.08,0.48,1.19,48.94,4.62,3.87,40.67,23.96,81.88,93.97,73.85,86.63,96.25,86.12,56.43,37.34
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.4,-0.85,2.12,60.73,41.18,-0.07,-0.81,-0.37,-1.04,41.94,17.36,24.4,33.81,32.8,52.87,73.9,14.66,17.98,17.65,66.38,59.35,45.91
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,-0.31,-0.65,0.31,69.15,50.88,0.12,0.39,0.17,0.03,56.69,23.63,33.12,17.38,90.59,99.28,79.99,86.15,77.96,77.02,95.75,84.62,97.31
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,-0.32,-0.66,1.77,63.2,42.98,0,3.35,-0.98,1.58,44.83,22.73,32.79,28.89,49.17,70.47,76.37,99.39,1.6,98.04,75.59,63.22,58.94
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,-1.19,-2.48,1.41,59.75,43.35,-0.74,1.11,-0.45,0.11,44.95,1.5,0.47,24.73,28.07,74.06,26.93,93.91,12.98,79.24,76.02,56.34,37.09
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,-0.2,-0.36,2.4,60.28,49.67,1.47,2.3,0.2,0.62,54.38,33.35,49.34,38.15,30.3,98.83,95.53,97.95,79.21,90.22,94.36,60.26,48.91
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,-0.3,-0.54,1.31,60.46,46.83,1.12,2.81,0.61,1.52,51.61,24.54,39.01,23.62,31.44,94.78,93.43,98.9,89.25,97.78,92.08,59.7,46.72
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-0.19,-0.79,0.66,67.68,42.23,-0.66,-0.31,-0.13,-1.2,20,34.27,26.99,18.63,84.82,63.14,34.09,62.15,41.35,12.73,24.95,75,91.01
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,0.25,0.63,1.24,70.54,49.58,1.31,3.97,1.75,2.54,53.66,78.82,86.19,22.96,94.19,98.76,94.52,99.71,97.56,99.76,93.78,77.33,94.42
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,-0.2,-0.48,1.05,64.34,50.99,-0.27,2.77,0.49,1.63,54.66,33.35,42.39,21.19,58.84,99.32,65.91,98.83,86.89,98.3,94.65,64.52,63.67
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0.07,0.31,0.53,65.16,51.36,1.38,2.36,1.47,1.49,54.94,68.72,77.85,17.99,65.03,99.48,95.02,98.09,96.6,97.67,94.81,64.52,63.67
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,-0.37,-0.87,0.51,61.41,48.1,-0.54,0.55,-0.28,-0.42,50.25,19.23,23.48,17.93,36.75,97.32,45.85,88.47,25.21,54.73,90.53,46.15,23.18
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,-0.25,-0.47,0.27,69.46,47.63,-0.35,0.67,-0.06,0.7,51.76,28.13,43.1,17.28,91.38,96.6,60.85,90.2,52.09,91.16,92.26,82.35,96.82
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.14,-0.27,3.9,60.1,38.07,-0.7,-0.27,-0.52,-1.07,33.33,39.72,54.67,61.76,29.63,24.7,30.18,64.59,9.96,16.52,39.52,59.66,46.7
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,-0.33,-0.81,2.91,57.25,41.56,0.67,0.26,0.3,-0.57,43.75,22.05,26.02,46.19,19.84,56.6,89.45,83.55,82.77,44.98,72.12,52.94,30.08
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.15,-0.55,1.72,61.56,40.68,0.55,0.02,0,-0.54,42.31,38.63,38.38,28.26,37.63,47.52,88.02,77.34,62.96,46.79,67.52,55.56,35.03
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.03,-0.11,3.1,59.22,40.99,0.65,-0.42,0.16,-1.18,41.91,55.8,62.8,49.04,25.55,50.86,89.23,53.91,77.4,13.27,66.33,58.76,44.12
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.33,-0.89,3.95,59.07,41.74,0.73,-0.18,-0.06,0.43,44.78,22.05,22.57,62.56,25.18,58.63,89.95,69.63,52.09,86.95,75.46,57.75,41.21
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,0.41,1.53,2.27,69.02,44.21,-0.56,-0.18,0.44,1.46,70.59,84.1,97.41,36.15,90.14,82.02,43.69,69.63,86,97.6,98.34,79.07,95.68
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,-0.24,-0.36,1.44,60.72,41.51,-0.68,-0.77,-0.14,-0.2,48.15,29.03,49.34,25,32.68,56.25,32.06,17.92,40.11,67.39,84.5,61.36,52.36
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,-0.5,-1.17,1.85,62.41,40.97,-0.44,-0.72,-0.26,-0.34,40.74,12.77,13.39,30.09,43.41,50.66,54.65,22.99,26.86,59.82,62.65,63.77,61
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-0.1,-0.4,0.77,62.51,37.49,-0.56,-0.45,-0.07,-0.58,15.38,44.9,46.97,19.1,44.12,22.01,43.69,51.61,50.26,44.18,23.67,57.14,38.79
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-0.67,-1.48,2.23,56.36,43.46,1.12,1.06,0.4,0.79,45.61,7.42,7.12,35.59,17.76,75.04,93.43,93.67,85.05,92.43,78.03,52.63,29.65
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.2,-0.42,2.74,55.84,42.01,0.02,-0.37,-0.34,-1.09,43.35,33.35,45.84,43.4,16.89,61,77.17,57.63,20.3,15.72,70.92,53.64,31.11
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,-0.74,-1.67,2.11,59.65,40.34,-0.43,0.77,-0.2,1.33,41.94,5.73,4.42,33.59,27.64,44.21,55.38,91.35,32.98,97.06,66.38,54.72,33.07
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,0.13,0.57,1.64,67.6,40.06,-0.28,-0.8,0.08,-1.36,39.53,72.76,84.59,27.3,84.09,41.13,65.44,15.56,72.7,8.84,58.25,72.73,87.77
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.23,-0.36,2.28,58.22,40.76,-0.04,-0.29,-0.05,-0.42,42.11,30.04,49.34,36.24,22.33,48.33,74.95,63.41,54.04,54.73,66.83,56.52,37.44
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,-0.23,-0.7,2.52,62.05,40.5,-0.23,-0.1,-0.04,-0.55,39.02,30.04,31.02,40,40.9,45.93,67.72,73.19,55.54,46.14,56.8,63.89,61.27
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,,,0,60.33,39.77,-1.34,-0.72,,-0.59,0,,,0,30.59,37.66,0.27,22.99,,43.66,0,0,0
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.03,-0.9,1.14,61.67,41.09,-1.25,-0.63,,-0.62,0,55.8,22.19,22.1,38.22,51.9,3.4,32.72,,41.42,0,100,97.87
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,0.11,0.29,1.65,60.39,44.51,1.16,0.58,0.63,0.11,48.12,71.77,77.19,27.52,31.02,84.97,93.65,88.9,89.49,79.24,84.45,57.35,40.13
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,-0.13,-0.41,1.61,59.87,36.21,-0.65,0.93,-0.39,0.25,32.26,41.1,46.43,26.9,28.53,17.6,35.02,92.62,16.49,82.99,38.22,59.09,45.1
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,1.05,0.93,6.32,66.92,40.98,-1.45,-0.53,-0.41,0.51,42.27,94.08,91.38,88.76,79.49,50.74,0.07,44.16,15.42,88.39,67.45,68.51,77.4
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-0.18,-0.71,5.46,61.45,43.42,-0.63,-0.5,0.22,-0.09,51.72,35.07,30.49,82.18,37.14,74.72,36.95,47.38,79.98,72.81,92.15,61.73,53.58
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.54,-1.15,5.62,63.42,40.84,-0.94,-1.08,-0.54,-1.21,42.25,11.27,14,83.37,50.99,49.31,16.16,4.11,9.19,12.46,67.38,63.53,60.01
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.53,-1.33,4.28,60.33,39.46,-0.76,-0.82,-0.46,-0.59,36.67,11.76,9.63,67.3,30.59,34.37,25.07,13.86,12.49,43.66,49.7,56.9,38.31
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-1.24,-1.88,5.43,62.3,39.67,-0.34,-0.83,-0.49,-0.65,39.29,1.34,2.53,81.82,42.78,36.46,61.44,13.03,11.12,39.45,57.63,61.48,52.77
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,0.75,0.93,6.92,67.9,39.96,-0.46,-0.58,0.21,-0.35,38.83,90.68,91.38,92.74,85.81,40.27,52.79,38.74,79.56,59.24,56.21,69.74,81.07
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-0.1,-0.45,9.02,60.63,39.57,-0.34,-0.3,0.05,-0.19,39.33,44.9,44.24,98.16,32.26,35.63,61.44,62.8,69.89,67.95,57.76,60.73,50.47
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-0.08,-0.32,6.77,65.68,42.58,-0.71,-0.38,-0.04,-0.01,46.34,47.68,51.65,91.97,69.26,66.12,29.47,56.92,55.54,75.56,79.9,68.93,78.81
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,0.49,0.57,5.56,64.94,39.61,-0.91,-0.67,-0.2,-0.19,39.34,86.1,84.59,82.92,63.24,36.07,17.42,28.37,32.98,67.95,57.79,66.67,70.21
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,0.06,0.25,2.78,56.8,40.23,0.33,0.27,0.43,0.82,41.07,67.78,75.83,43.98,18.71,42.81,84.92,83.82,85.79,92.7,63.72,54.46,32.62
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,0.28,1.24,2.06,59.8,41.12,-0.18,-0.51,0.01,-0.21,41.18,80.15,95.45,32.94,28.21,52.39,69.57,46.24,64.77,67.03,63.93,58.76,44.12
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,-0.24,-0.68,1.9,56.36,38.76,0.32,-0.48,0.15,-0.58,34.29,29.03,31.91,30.77,17.76,28.98,84.72,49.29,76.91,44.18,43.49,45.65,23.01
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,,,0,65.43,42.59,-1.18,-1.5,,,0,,,0,66.8,66.2,10.12,1.9,,,0,0,0
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,0.21,0.79,1.8,62.41,36.78,-0.47,-0.46,-0.16,-0.15,29.55,77.06,89.24,29.34,43.41,19.2,52.08,50.8,37.75,69.89,34.32,61.54,52.81
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.29,-0.74,2.72,61.04,38.6,-0.59,-0.68,-0.1,-0.69,16.67,25.22,29.03,43.18,34.43,27.95,40.96,27.25,45.39,36.67,23.95,46.15,23.18
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,-0.74,-1.36,4.3,58.05,38.17,-0.52,-1.16,-0.52,-2.1,35.05,5.73,8.95,67.48,21.78,25.29,48.02,3.37,9.96,1.11,45.22,57.14,38.79
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-0.76,-1.58,4.17,61.02,35.47,-0.74,-0.83,-0.25,-0.55,24.44,5.45,5.68,65.52,34.36,16.08,26.93,13.03,27.79,46.14,28.2,60,47.23
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.22,-0.59,3.98,60.16,40.98,-0.76,-0.85,-0.5,-0.62,43.48,31.09,36.36,63.01,29.91,50.74,25.07,11.68,10.75,41.42,71.31,57.89,41.5
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,-1.26,-2.17,4.04,56.55,36.69,-0.62,-0.52,-0.38,-0.32,32.94,1.31,1.29,63.86,18.08,18.89,38,45.24,17.35,61.08,39.29,55.17,34.27
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.36,-0.66,4.36,61.42,39.12,-1.17,-1.2,-0.21,-1.6,38.03,19.75,32.79,68.42,36.82,31.42,11.93,3.11,31.84,4.55,53.48,60.78,50.63
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,-0.17,-0.92,1.53,61.88,42.19,-1.13,-0.71,-0.01,-0.86,0,36.17,21.58,25.96,39.61,62.75,12.19,24.17,61.32,26.32,0,33.33,19.23
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,0.9,1.08,3.57,59.36,42.96,0.82,0.77,1.09,0.23,45.45,92.41,93.64,56.31,26.13,70.28,90.84,91.35,94.54,82.35,77.24,59.09,45.1
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,0.06,0.07,3.35,60.26,44,-0.11,0.05,0.31,0.07,48,67.78,70.25,52.71,30.22,80.04,72.38,78.22,83.02,78.16,84.22,59.89,47.17
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,-0.07,-0.16,2.62,59.6,39.96,0.72,0.51,-0.21,-0.4,38.65,49.3,60.41,41.59,27.36,40.27,89.88,87.97,31.84,55.94,55.59,56.31,37.06
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,-0.04,-0.09,1.92,59.5,41.64,0.68,0.28,-0.24,-0.57,40.74,54.16,63.85,31.14,26.78,57.43,89.57,84.12,28.81,44.98,62.65,48.78,24.5
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,0.89,1.45,4.21,59.95,41.37,2.43,1.75,0.51,1.21,41.51,92.34,96.88,66.13,28.88,54.63,98.26,96.51,87.35,96.33,64.99,59.57,46.36
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,0.97,0.98,4.5,59.23,41.46,1.94,2.45,0.24,1.07,42.07,93.14,92.27,70.37,25.58,55.85,97.04,98.31,80.77,95.26,66.72,58.33,42.65
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.09,0.01,5.14,55.19,43.49,4.53,2.41,0.75,1.1,44.64,70.5,68.03,78.29,16.21,75.24,99.86,98.22,91.47,95.47,75.04,53.22,30.53
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,-0.22,-0.41,4,56.98,39.54,1.44,1.19,0.71,0.25,39.38,31.09,46.43,63.33,19.19,35.4,95.38,94.36,90.75,82.99,57.85,54.67,33.03
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,0.21,0.59,2.49,57.04,39.24,1.34,1.15,0.46,0.74,38.74,77.06,85.23,39.58,19.31,32.51,94.75,94.16,86.28,91.92,55.89,55.12,34.17
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,0.77,0.91,5.45,66.96,44.63,-0.63,-0.33,0.02,0.55,49.11,91.01,91.22,82.11,79.87,85.86,36.95,60.58,66.42,89.25,86.39,68.82,78.48
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,0.04,-0.07,5.01,66.05,43.85,-0.78,-0.87,0.05,-0.88,47.13,65.9,64.77,76.78,72.09,78.66,23.73,10.58,69.89,25.3,81.97,67.77,75.39
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.58,-1.24,4.22,65.12,41.74,-0.55,-0.73,-0.04,-0.37,44.05,10.03,11.76,66.22,64.58,58.63,44.63,21.67,55.54,57.89,73.42,66.18,69.1
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.25,-0.77,5.02,66.2,38.64,-0.98,-0.69,-0.11,-0.32,34.21,28.13,27.69,76.88,73.38,28.19,15.1,26.07,44.12,61.08,43.3,69.33,80.04
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-0.42,-0.97,5.24,62.78,41.42,-0.52,-0.73,-0.32,-0.83,43.06,16.41,19.89,79.49,45.84,55.36,48.02,21.67,21.77,27.97,70.01,62.62,57.08
75,2015-16,Marcin Gortat,31,WAS,2256,Starter,Post Scorer,Anchor Big,0.44,0.11,6.11,67.33,44.35,-0.41,-0.3,0.5,0.34,45.82,84.73,71.58,87.32,82.5,83.51,56.91,62.8,87.07,84.94,78.42,68.72,78.02
76,2016-17,Marcin Gortat,32,WAS,2556,Star,Post Scorer,Anchor Big,0.25,-0.07,5.41,67.47,44,-0.43,-0.51,0.59,-0.08,45.2,78.82,64.77,81.49,83.33,80.04,55.38,46.24,88.75,73.25,76.76,68.72,78.02
77,2017-18,Marcin Gortat,33,WAS,2075,Key Rotation,Post Scorer,Mobile Big,-1.01,-1.56,4.81,62.28,42.83,-0.72,-0.52,-0.52,-0.49,44.02,2.53,6.01,74.49,42.72,69.04,28.59,45.24,9.96,50.16,73.33,62.03,54.65
78,2015-16,Ronnie Price,32,PHO,1211,Rotation,Primary Ball Handler,Point of Attack,-0.58,-1.43,1.43,59.21,38.86,-0.37,-0.62,-0.34,-1.18,34.78,10.03,7.78,24.9,25.54,29.52,59.58,33.82,20.3,13.27,44.43,57.45,40.42
79,2016-17,Ronnie Price,33,PHO,134,Garbage Time,Shot Creator,Chaser,-0.23,-1.36,0.81,58.77,41.65,-1.25,-0.61,-0.11,-0.99,100,30.04,8.95,19.38,23.98,57.48,3.4,35.32,44.12,19.79,98.68,0,0
80,2016-17,Jose Calderon,35,LAL/ATL,539,Garbage Time,Primary Ball Handler,Point of Attack,-0.14,-0.34,1.32,63.71,40.29,-0.55,-0.35,-0.16,-0.97,28.57,39.72,50.44,23.72,53.46,43.82,44.63,59.11,37.75,20.6,32.48,73.68,89.46
81,2015-16,Jose Calderon,34,NYK,2024,Starter,Primary Ball Handler,Point of Attack,-0.29,-0.38,0.86,61.89,40.26,-0.67,0.21,0.04,0.53,41.67,25.22,48.26,19.65,39.74,43.22,33.28,82.45,68.81,88.76,65.31,64.44,63.47
82,2017-18,Jose Calderon,36,CLE,914,Rotation,Primary Ball Handler,Point of Attack,-0.03,0.04,1.48,65.23,38.85,-0.78,-0.09,-0.06,0.23,30.77,55.8,69.24,25.42,65.51,29.41,23.73,73.54,52.09,82.35,35.89,69.44,80.26
83,2018-19,Jose Calderon,37,DET,632,Rotation,Primary Ball Handler,Low Activity,-0.17,-0.57,0.81,60.95,40.07,-0.64,-0.34,-0.05,-0.46,37.5,36.17,37.57,19.38,33.87,41.48,35.85,59.87,54.04,52.28,51.45,50,25
84,2016-17,Alan Anderson,34,LAC,308,Garbage Time,Movement Shooter,Chaser,-0.01,-0.11,1.98,63.61,39.58,-0.71,-0.49,-0.18,-1.03,22.22,59.23,62.8,31.9,52.36,35.72,29.47,48.56,35.51,18.21,26.44,75,91.01
85,2015-16,Alan Anderson,33,WAS,192,Garbage Time,Movement Shooter,Wing Stopper,-0.17,-0.81,2.13,59.58,37.81,-1.34,-0.62,-0.34,-0.67,12.5,36.17,26.02,33.93,27.32,23.37,0.27,33.82,20.3,38.26,23.07,54.55,32.64
86,2015-16,Chuck Hayes,32,HOU,24,Too Few Games,Low Minute,Anchor Big,0,-0.68,1.47,60.86,39.39,-0.82,-1.68,-0.08,,0,60.92,31.91,25.38,33.52,33.65,21.41,0.36,48.51,,0,100,97.87
87,2016-17,John Lucas III,34,MIN,11,Too Few Games,Low Minute,Point of Attack,-0.01,-0.88,3.26,61.67,40.69,-1.25,-0.43,,-0.96,0,59.23,23.04,51.35,38.22,47.58,3.4,53.06,,21.23,0,100,97.87
88,2015-16,Tim Duncan,39,SAS,1537,Starter,Post Scorer,Anchor Big,1.04,1.56,4.29,62.56,43.24,-0.19,-0.31,0.63,-0.09,45.16,93.96,97.67,67.38,44.38,72.86,69.23,62.15,89.49,72.81,76.56,63.53,60.01
89,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,,,0,66.5,44.23,-1.21,-1.51,,,0,,,0,75.98,82.2,7.8,1.56,,,0,0,0
90,2018-19,Jahlil Okafor,23,NOP,935,Rotation,Post Scorer,Anchor Big,0.81,1.19,8.04,66.54,43.76,-0.32,0.27,-0.09,0.36,46.38,91.45,95,96.59,76.63,77.9,62.63,83.82,46.96,85.44,80.04,67.77,75.39
91,2019-20,Jahlil Okafor,24,NOP,467,Rotation,Post Scorer,Anchor Big,0.64,0.9,8.21,69.67,40.3,-0.69,-0.23,-0.21,-0.51,41.18,89.03,91.1,96.85,91.99,43.93,31.03,66.84,31.84,48.96,63.93,73.83,89.79
92,2015-16,Jahlil Okafor,20,PHI,1591,Starter,Post Scorer,Helper,2.8,1.95,8.23,63.01,43.8,0.14,1.31,2.14,0.85,45.11,99.46,99.04,96.92,47.51,78.19,80.57,94.99,98.54,93.17,76.47,63.58,60.17
93,2016-17,Jahlil Okafor,21,PHI,1134,Key Rotation,Post Scorer,Anchor Big,0.96,0.68,7.41,65.19,39.97,-0.09,0.35,0.57,0.01,39.39,93.03,87.04,94.55,65.22,40.33,73,85.46,88.46,76.32,57.87,66.52,70.08
94,2017-18,Jahlil Okafor,22,PHI/BRK,353,Rotation,Post Scorer,Anchor Big,-0.06,-0.31,7.07,65.29,43.14,-0.17,0.18,0.34,0.01,48.44,50.75,52.21,93.38,66.02,71.99,70.01,81.74,83.74,76.32,85.15,67.69,75.01
95,2020-21,Jahlil Okafor,25,DET,347,Rotation,Post Scorer,Anchor Big,0.01,-0.12,7.21,65.6,45.86,0.07,-0.17,0.26,0.07,61.9,62.52,62.3,93.91,68.47,92,78.57,70.13,81.4,78.16,97.32,67.16,73.32
96,2017-18,Emmanuel Mudiay,21,DEN/NYK,1244,Rotation,Slasher,Point of Attack,-0.58,-1.07,4.64,55.93,36.35,-1.01,-0.62,-0.76,-1.88,33.33,10.03,16.75,72.44,16.98,17.89,14.45,33.82,3.84,2.15,39.52,52.53,29.6
97,2018-19,Emmanuel Mudiay,22,NYK,1607,Starter,Slasher,Point of Attack,-0.46,-0.69,5.78,54.74,43.42,-0.36,0.89,0.76,0.5,45.51,14.56,31.5,84.71,15.75,74.72,60.17,92.28,91.58,88.29,77.83,52.34,29.33
98,2021-22,Emmanuel Mudiay,25,SAC,11,Too Few Games,Low Minute,Point of Attack,,,0,65.43,42.18,-1.18,-0.54,-0.03,-0.52,0,,,0,66.8,62.4,10.12,42.98,57.68,48.3,0,0,0
99,2019-20,Emmanuel Mudiay,23,UTA,850,Rotation,Slasher,Point of Attack,-0.39,-0.93,4.07,60.06,40.72,-0.32,0.49,0.26,0.45,41.58,17.94,21.21,64.28,29.33,48,62.63,87.66,81.4,87.46,65.16,57.29,39.97
100,2015-16,Emmanuel Mudiay,19,DEN,2068,Starter,Slasher,Point of Attack,-1.2,-1.66,5.14,48.51,33.96,-0.95,-1.16,-1.44,-2.11,30.25,1.45,4.56,78.29,14.1,14.74,15.81,3.37,0.46,1.03,35.39,45.45,22.72
101,2016-17,Emmanuel Mudiay,20,DEN,1406,Key Rotation,Primary Ball Handler,Point of Attack,-0.35,-0.81,5.48,52.19,34.73,-0.25,-1.28,-0.57,-2.9,27.27,20.53,26.02,82.36,14.58,15.14,66.76,2.89,8,0,31.12,49.06,24.7
102,2019-20,Tyus Jones,23,MEM,1232,Key Rotation,Primary Ball Handler,Point of Attack,-0.08,-0.23,2.43,61.94,42.99,3.81,0.66,1.08,0.54,45,47.68,57.05,38.61,40.13,70.63,99.54,90.13,94.51,88.99,76.11,60.47,49.44
