RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,3PT Shooting Talent_percentile,3PT Shot Making_percentile,C&S 3PT Shot Making_percentile,3PT Pull Up Talent_percentile,3PT Pull Up Shot Making_percentile,3PT Pull Up Shot Creation_percentile,3PT Shot Creation_percentile,3PT Shot Making Efficiency_percentile,C&S 3PT Shot Making Efficiency_percentile,Stable FG3%_percentile,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,Stable C&S 3PT%_percentile,Stable ATB 3PT%_percentile,Stable Pull Up 3PT%_percentile,3PT Functional Versatility_percentile,Stable 3PTA Per 75_percentile,Off-Ball Gravity_percentile,Stable Corner 3PT%_percentile,3PT Attempt Rate_percentile
1936,2019-20,Bol Bol,20,DEN,87,Too Few Games,Low Minute,Helper,-0.39,0.06,-0.07,-0.57,-0.02,-1.02,-0.74,-0.02,0.09,36.3,51.35,70.67,66.04,40.81,49.41,37.39,40.61,70.71,73.49,70.04,0,35.69,32.89,-0.59,4.09,0.41,38.57,32.14,0,78.09,42.63,49.2,38.65,52.32,46.23,40.45
1937,2020-21,Bol Bol,21,DEN,160,Garbage Time,Movement Shooter,Helper,-0.1,0.01,-0.15,-0.03,0.05,-0.44,0.1,-0.13,-0.42,37.05,66.98,63.84,48.09,78.71,71.3,64.66,77.31,64.45,40.7,82.89,0,36.15,34.51,0.41,4.94,-0.02,38.91,41.38,0,86.48,94.3,86.33,51.77,24.39,57.05,56.57
1938,2019-20,Zion Williamson,19,NOP,668,Starter,Post Scorer,Helper,-0.73,0.05,-0.2,-0.29,0.24,-1.43,-0.78,-0.09,-0.4,36.37,28.44,69.6,35.63,67.48,86.61,13.33,37.49,67.16,42.09,71.28,0,35.51,33.65,-0.5,0.81,0.17,38.78,3.89,0,74.92,75.82,53.71,11.04,39.42,52.02,14.29
1939,2020-21,Zion Williamson,20,NOP,2026,Star,Shot Creator,Low Activity,-0.97,-0.19,-0.15,-0.79,-0.2,-1.33,-0.82,-0.66,-0.39,36.07,14.45,29.04,48.09,22.55,18.35,17.67,33.88,29.56,42.54,64.92,0,35.05,33.45,-0.79,0.63,1.21,39.34,3.28,0,65.39,72.41,37.82,9.94,80.87,76.88,13.81
1940,2022-23,Zion Williamson,22,NOP,956,Star,Shot Creator,Helper,-0.7,0.02,-0.03,-0.52,-0.05,-0.86,-0.58,-0.13,-0.02,36.06,30.48,65.69,70.48,47.49,39.84,46.25,51.56,64.45,68.45,64.73,0,35.12,33.88,-0.15,0.78,0.77,39,4.05,0,67.59,80.93,68.87,10.85,66.99,59.49,14.39
1941,2023-24,Zion Williamson,23,NOP,2207,Star,Shot Creator,Helper,-0.92,-0.11,-0.14,-0.56,-0.08,-0.88,-0.6,-0.45,-0.35,36.75,16.84,38.07,52.06,42.37,33.07,45.17,50.42,41.6,45.2,77.63,0,35.38,33.88,-0.8,0.33,0.79,39.67,1.65,0,72.58,80.93,37.13,7.14,67.65,82.99,12.09
1942,2024-25,Zion Williamson,24,NOP,857,Key Rotation,Shot Creator,Wing Stopper,-0.87,-0.09,-0.13,-0.63,-0.08,-1.28,-0.46,-0.37,-0.26,35.34,19.85,40.66,55.13,33.31,33.07,20.48,57.47,47.23,52.26,40.12,0,34.57,32.58,-0.22,0.63,1.99,38.78,2.56,0,44.87,32.9,66.56,9.94,93.87,52.02,13.17
1943,2025-26,Zion Williamson,25,NOP,1841,Starter,Shot Creator,Helper,-0.81,-0.01,,-0.59,-0.02,-1.11,-0.27,-0.21,,35.82,23.46,57.78,,38.3,49.41,31.99,66.41,58.92,,52.96,37,34.85,32.9,-0.97,0.12,0.98,38,0.5,89.5,53.25,46.42,27.18,3.42,74.17,28.01,9.01
1944,2019-20,RJ Barrett,19,NYK,1704,Starter,Slasher,Chaser,-0.97,-0.68,-0.55,-0.61,-0.39,-0.46,-0.45,-1.35,-1.05,34.2,14.45,5.3,8.29,35.71,8.71,64.04,57.91,7.65,12.94,14.16,0,33.29,32.16,-0.96,4.22,0.32,38.29,27.1,0,22.27,25.18,27.93,40.49,47.65,39.32,32.67
1945,2020-21,RJ Barrett,20,NYK,2511,Starter,Slasher,Helper,0.04,0.36,0.37,-0.38,-0.03,-0.59,-0.77,0.36,0.43,38.75,72.68,85,87.76,61.29,45.89,58.69,38.07,83.66,83.64,95.42,0,36.43,33.75,-0.5,4.62,1.47,40.69,29.15,0,89.54,77.76,53.71,46.81,86.43,92.83,35.94
1946,2021-22,RJ Barrett,21,NYK,2417,Starter,Secondary Ball Handler,Wing Stopper,-0.45,-0.42,-0.11,-0.77,-0.65,-0.24,-0.14,-0.66,-0.21,34.47,47.12,13.44,59.47,23,2.91,71.28,70.93,29.56,55.68,18.63,0,34.59,31.22,-0.46,6.25,0.88,35.58,33.84,0,45.23,13.16,55.64,71.02,71.14,1.65,43.59
1947,2022-23,RJ Barrett,22,NYK,2475,Starter,Secondary Ball Handler,Helper,-1.32,-1.26,-1.1,-0.77,-0.6,-0.06,-0.4,-1.76,-1.47,32.93,7.57,0.4,0.57,23,3.69,76.36,60.23,2.79,5.2,3.69,0,32.62,31.94,-1.24,5.85,0.58,36.34,33.16,0,17.83,20.25,9.98,65.14,59.34,4.51,41.95
1948,2023-24,RJ Barrett,23,NYK/TOR,1838,Starter,Slasher,Wing Stopper,-0.68,-0.35,-0.3,-0.73,-0.23,-1.08,-0.85,-0.73,-0.53,36.49,31.75,17.27,23.6,24.37,16.13,34.06,30.92,26.04,33.91,73.39,0,35.24,33.55,-1,4.93,1.39,39.19,28.41,0,69.93,74.2,25.33,51.58,84.88,74.22,34.74
1949,2024-25,RJ Barrett,24,TOR,1869,Starter,Primary Ball Handler,Helper,-0.58,-0.39,-0.31,-0.6,-0.3,-0.49,-0.6,-0.7,-0.5,35.42,38.2,14.96,22.51,37,12.04,62.82,50.42,27.49,35.54,42.17,0,34.16,31.85,-0.64,5.86,1.6,39.52,31.16,0,36.31,18.9,46.35,65.36,88.96,80.65,38.84
1950,2025-26,RJ Barrett,25,TOR,1697,Starter,Movement Shooter,Helper,-0.89,-0.67,-0.78,-0.43,-0.01,-0.81,-0.79,-1.09,-1.15,34.88,18.55,5.5,3.28,56.89,53.08,48.67,36.43,13.51,10.81,28,36.09,34.49,32.69,-1.1,6.08,0.85,37.35,34.68,84.9,43.07,36.56,18.95,68.65,69.87,13.52,44.97
1951,2019-20,Cam Reddish,20,ATL,1551,Starter,Movement Shooter,Chaser,-0.48,-0.42,-0.31,-0.44,-0.32,-0.31,-0.27,-0.85,-0.59,34.58,45.04,13.44,22.51,56.04,11.18,69.11,66.41,20.69,30.58,20.71,0,34.51,32.1,-0.46,5.63,0.72,36.86,45.13,0,43.73,24.43,55.64,62.2,65.13,7.84,64.01
1952,2020-21,Cam Reddish,21,ATL,750,Key Rotation,Movement Shooter,Wing Stopper,-1.04,-0.99,-0.8,-0.57,-0.44,-0.43,-0.25,-1.63,-1.37,33.31,11.36,1.47,2.96,40.81,7.28,65.06,67.19,3.81,6.62,6.1,0,32.74,32.75,-0.73,6.01,-0.12,38.23,47.91,0,18.38,37.87,41.44,67.73,17.72,37.8,69.01
1953,2023-24,Cam Reddish,24,LAL,984,Rotation,Stationary Shooter,Point of Attack,-0.92,-0.49,-0.62,-0.44,0.06,-1.07,-0.87,-1.29,-1.44,35.95,16.84,10.61,6.18,56.04,73.43,34.73,28.55,9.03,5.43,57.92,0,35.64,34.31,-1.45,4,-0.09,37.58,47.01,0,77.31,92.38,3.58,37.43,19.6,17.74,67.36
1954,2024-25,Cam Reddish,25,LAL,589,Rotation,Stationary Shooter,Point of Attack,-0.93,-0.33,-0.38,-0.63,-0.09,-1.19,-0.9,-1.06,-0.97,34.65,16.37,18.24,16.67,33.31,30.81,27.65,24.61,14.33,15.08,22.01,0,34.18,32.68,-1.26,3.04,0.26,38.03,50,0,36.69,34.88,8.85,25.83,44.7,33.32,71.87
1955,2021-22,Cam Reddish,22,ATL/NYK,1012,Key Rotation,Secondary Ball Handler,Chaser,0.21,0.09,0.2,-0.25,-0.3,-0.04,0.11,0.02,0.52,35.38,78.71,73.61,82.82,69.53,12.04,76.82,77.57,72.74,85.45,41.2,0,33.37,32.21,0.24,6.7,2.2,39.58,45.1,0,22.88,25.91,81.98,77.2,95.55,81.72,63.99
1956,2022-23,Cam Reddish,23,NYK/POR,990,Key Rotation,Movement Shooter,Helper,-0.67,-0.55,-0.66,-0.17,-0.01,-0.44,-0.28,-1.08,-1.2,34.23,32.46,8.63,5.29,73.51,53.08,64.66,65.94,13.64,9.88,14.53,0,33.29,33.84,-0.62,5.28,0.24,38.61,46.15,0,22.27,80.2,47.42,57.1,43.72,48.27,65.81
1957,2019-20,Ja Morant,20,MEM,2074,Starter,Slasher,Point of Attack,-0.41,-0.27,-0.06,-0.32,-0.48,0.26,0.82,-0.73,-0.19,34.95,50.07,21.98,67.32,65.35,6.03,84.27,89.7,26.04,57.16,29.27,0,33.84,32.53,0.06,3.07,0.84,39.8,19.1,0,29.4,31.8,75.58,26,69.5,84.92,24.08
1958,2020-21,Ja Morant,21,MEM,2053,Star,Slasher,Point of Attack,-0.81,-0.81,-0.62,-0.32,-0.56,0.37,0.83,-1.52,-1.36,33.66,23.46,3.32,6.18,65.35,4.41,86.4,89.83,5.02,6.79,8.72,0,33.65,32.88,-0.12,4.21,1.03,37.48,25.18,0,26.71,42.56,69.84,40.36,75.8,15.75,30.27
1959,2021-22,Ja Morant,22,MEM,1889,Star,Slasher,Chaser,-0.07,-0.19,-0.24,0.4,-0.04,0.65,1.1,-0.42,-0.5,34.68,68.28,29.04,30.16,88.57,42.89,91.1,92.75,43.51,35.54,22.62,0,33.76,33.25,0.43,4.89,1.28,38.54,21.75,0,28.59,68.53,86.84,51.06,82.38,45.65,26.59
1960,2022-23,Ja Morant,23,MEM,1948,Star,Slasher,Chaser,-0.73,-1.09,-0.47,-0.59,-1.2,0.94,1.68,-1.61,-0.98,33.05,28.44,0.87,11.75,38.3,0.34,94.07,96.19,3.95,14.84,4.32,0,32.25,32.4,-0.03,5.48,1.22,39.25,24.71,0,16.33,29.28,72.8,60.01,81.06,75.47,29.4
1961,2023-24,Ja Morant,24,MEM,318,Star,Shot Creator,Chaser,-0.53,-0.79,-0.51,-0.14,-0.51,0.47,1.37,-1.12,-0.77,35.34,41.57,3.57,9.95,74.58,5.27,88.32,94.47,12.68,21.88,40.12,0,34.87,33.44,0.23,5.81,0.17,38.49,30,0,54,72.08,81.51,64.64,39.42,44.56,36.92
1962,2024-25,Ja Morant,25,MEM,1519,Star,Shot Creator,Point of Attack,-0.69,-0.95,-0.49,-0.53,-0.97,0.76,1.11,-1.41,-0.9,33.23,31.14,1.78,10.81,46.34,1.08,92.45,92.87,6.66,17.68,5.37,0,32.97,31.61,-0.04,6.51,0.61,37.42,32.06,0,19.58,16.4,72.47,74.54,60.55,14.84,40.35
1963,2025-26,Ja Morant,26,MEM,568,Starter,Shot Creator,Chaser,-1.03,-1.22,-0.49,-0.8,-1.19,0.89,1.42,-1.8,-0.84,32.76,11.65,0.45,10.81,22.31,0.38,93.69,94.8,2.45,19.73,3.05,36.25,31.63,31.26,-0.26,5.2,0.32,38.75,26.4,85.63,14.82,13.58,64.64,55.82,47.65,51.61,31.76
1964,2019-20,De'Andre Hunter,22,ATL,2018,Starter,Movement Shooter,Wing Stopper,-0.56,-0.37,-0.07,-1.04,-0.65,-1,-0.62,-0.72,-0.18,35.74,39.39,16.14,66.04,1.86,2.91,38.61,49.2,26.5,57.9,51.45,0,35.16,31.22,-0.69,5.33,0.72,37.79,44.51,0,68.32,13.16,43.49,57.83,65.13,22.14,62.83
