RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,3PT Shooting Talent_percentile,3PT Shot Making_percentile,C&S 3PT Shot Making_percentile,3PT Pull Up Talent_percentile,3PT Pull Up Shot Making_percentile,3PT Pull Up Shot Creation_percentile,3PT Shot Creation_percentile,3PT Shot Making Efficiency_percentile,C&S 3PT Shot Making Efficiency_percentile,Stable FG3%_percentile,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,Stable C&S 3PT%_percentile,Stable ATB 3PT%_percentile,Stable Pull Up 3PT%_percentile,3PT Functional Versatility_percentile,Stable 3PTA Per 75_percentile,Off-Ball Gravity_percentile,Stable Corner 3PT%_percentile,3PT Attempt Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,-0.57,0.11,,-0.38,0.12,-1.23,-0.81,0.1,,35.27,38.9,75.03,,61.29,80.05,23.75,34.89,76.13,,38.68,0,35.24,31.23,-0.98,0.06,-1.01,38,0.36,0,69.93,13.28,26.65,0.96,0.91,28.01,8.49
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-2.04,,,-0.96,,,,,,36,2.42,,,13.05,,,,,,59.16,0,35,33,,0.45,-0.57,38,0,0,59.36,49.31,,8.3,3.59,28.01,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-1.83,,,-0.97,,,,,,36,4.3,,,10.85,,,,,,59.16,0,35,33,,0.28,-0.06,39,0,0,59.36,49.31,,6.6,21.67,59.49,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.86,0,-0.11,-0.9,,,-1.31,-0.18,-0.13,35.85,20.65,61.14,59.47,19.08,,,1.27,61.21,61.26,53.94,0,34.87,33,-1.07,0.17,-0.85,39,1.23,0,54,49.31,20.89,4.55,1.35,59.49,11.4
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.39,-0.08,-0.13,-0.65,-0.06,-1.63,-0.92,-0.4,-0.3,35.96,51.35,42.24,55.13,31.03,36.82,4.6,22.29,44.76,49.17,58.12,0,33.74,32.59,-0.69,5.05,0.76,40.5,58.43,0,27.94,33.35,43.49,53.78,66.62,91.68,84.22
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.89,0.91,1.01,-0.7,-0.1,-1.7,-0.97,0.96,1.12,38.17,91.01,93.91,96.8,26.52,29.23,2.66,16.21,93.2,94.14,92.58,0,36.69,30.21,-0.09,6.13,1.24,40.56,50.6,0,91.76,1.55,70.98,69.41,81.57,92.05,73.91
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.31,-0.26,-0.35,-0.55,0.04,-1.66,-0.84,-0.48,-0.49,35.42,56.18,22.71,18.7,43.64,68.81,3.61,31.86,39.45,36.08,42.17,0,34.73,33.22,-0.73,5.86,0.7,38.28,50.28,0,49.04,66.07,41.44,65.36,64.1,38.74,73.41
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.73,0.86,0.82,-0.62,0.06,-1.9,-0.91,1.13,1.15,38.96,89.2,93.4,95.3,34.7,73.43,0.44,23.58,94.92,94.58,96.2,0,38.27,33.22,0.05,5.57,2.21,38.94,54.17,0,98.19,66.07,75.35,61.27,95.65,58.47,79.51
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.05,0.11,0.18,-0.76,-0.18,-1.65,-0.88,0,0.18,36.4,73.09,75.03,82.03,23.32,19.91,3.92,27.04,71.74,76.98,71.76,0,34.76,32.28,-0.6,6.58,0.83,39.22,58.59,0,51.28,27.29,48.58,75.39,69.28,74.66,84.44
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.22,0.22,0.15,0.24,0.02,0.34,0.65,0.18,0.32,37.07,78.96,80.38,80.73,85.77,63.81,85.83,87.36,78.78,80.77,83.22,0,37.6,33.26,0.47,5.07,1.11,36.5,44.97,0,96.34,68.72,87.56,54.11,78.01,5.31,63.7
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,2.47,1.22,0.01,4.2,1.86,2.63,3.79,1.07,-0.04,37.22,98.92,96.35,73.8,99.64,99.16,99.77,99.84,94.41,67.25,85,0,35.56,35.56,0.67,7.68,1.71,41.19,47.49,0,75.63,98.41,91.25,86.8,90.69,95.4,68.19
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,1.48,0.58,0.22,2.01,0.54,2.17,3.2,0.51,0.46,35.87,95.68,89.48,83.57,97.92,93.76,99.45,99.64,86.54,83.97,56.04,0,35.37,33.72,0.45,7.01,1.18,36.99,49.31,0,72.51,77.43,87.35,80.87,79.94,9.17,71.14
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,1.36,0.65,0.61,1.34,0.09,1.8,2.89,0.63,1.14,36.2,94.99,90.64,92.59,95.92,77.33,98.73,99.44,88.5,94.4,67.98,0,36.16,31.99,0.66,5.06,1.29,37.63,29.53,0,86.61,20.9,91.13,53.95,82.65,19.1,36.44
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,1.99,1.29,0.52,2.72,1.36,1.84,2.74,1.3,0.99,38.81,97.75,96.68,90.83,98.9,98.25,98.88,99.24,96.26,92.75,95.65,0,37.52,35.33,0.86,5.9,1.44,40.56,38.47,0,95.95,97.96,93.98,65.99,85.93,92.05,51.29
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,0.05,-0.02,-0.19,0.32,0.03,0.08,0.89,-0.19,-0.38,35.71,73.09,54.13,37.37,87.25,66.13,80.2,90.53,60.34,43.15,49.47,36.61,34.63,33.23,0.28,5.01,0.3,38.26,53.57,87.43,47.17,67.78,82.96,53.11,46.73,38.18,78.58
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,0.98,0.61,0,1.85,0.98,1.09,1.98,0.75,-0.03,36.29,92.16,89.99,73.1,97.65,96.96,95.34,97.62,90.64,67.92,69.89,0,36.02,34.25,0.63,5.04,1.3,37.94,34.27,0,84.96,91.81,90.58,53.58,82.92,26.61,44.35
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,0.81,0.59,0.19,1.31,0.65,1.03,1.77,0.84,0.54,38.31,90.15,89.63,82.38,95.82,94.88,94.71,96.66,91.84,85.84,93.45,0,37.49,35.18,0.73,4.37,1.58,39.42,29.35,0,95.82,97.57,92.05,42.9,88.61,79.35,36.18
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,-0.26,-0.28,-0.15,0.04,-0.34,0.71,1.49,-0.68,-0.48,33.49,58.77,21.09,48.09,80.75,10.4,91.82,95.18,28.47,36.71,7.42,0,33.14,32.13,0.21,3.42,1.05,37.26,27.04,0,21.01,24.87,80.84,30.32,76.4,12.25,32.61
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.6,0.26,0.73,-0.05,-0.73,1.15,1.81,0.2,1.55,36.8,87.27,81.83,94.42,78.06,2.17,95.93,96.95,79.29,97.37,78.39,0,36.11,32.64,0.51,5.16,1.67,39.1,39.07,0,86.04,34.5,88.47,55.39,90.12,71.73,52.19
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,0.63,0.35,-0.04,1.28,0.6,1.04,1.58,0.37,-0.09,37.05,87.97,84.71,69.53,95.72,94.31,94.81,95.7,83.86,64.19,82.89,0,36.74,34.75,0.61,5.89,1.15,38.08,63.64,0,92.12,95.81,90.27,65.82,79.21,34.39,89.15
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.35,-0.2,-0.2,-0.09,-0.13,-0.14,0.22,-0.64,-0.54,34.49,53.79,27.78,35.63,76.3,25.16,74.17,79.96,30.61,33.43,18.81,0,32.25,32.04,-0.26,3.2,1.06,41.44,28.02,0,16.33,23.6,64.64,27.41,76.62,96.25,34.07
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,0.36,0.04,0.08,0.35,-0.17,0.7,0.79,-0.11,0.25,35.62,82.62,68.44,78.15,87.76,20.81,91.69,89.39,65.85,78.96,47.45,0,33.95,31.88,-0.04,6.54,1.21,40.63,41.67,0,31.63,19.22,72.47,74.88,80.87,92.48,57.15
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-0.08,-0.08,-0.05,-0.26,-0.2,-0.4,-0.1,-0.37,0.12,35.35,67.87,42.24,68.49,69.06,18.35,66.13,72.02,47.23,74.69,40.55,0,34.53,32.19,-0.51,5.78,0.41,37.91,45.19,0,44.18,25.7,53.31,64.21,52.32,25.77,64.14
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.83,-0.92,-0.69,-0.39,-0.6,0.42,0.5,-1.67,-1.39,31.81,22.58,2.05,4.68,60.32,3.69,87.28,85.18,3.55,6.33,0.88,0,32.39,29.32,-0.78,3.73,0.86,36.05,31.23,0,16.79,0.25,38.51,33.96,70.35,3.28,39.07
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.09,-0.57,-0.78,-0.19,0.19,-1.47,-0.79,-1.47,-1.96,31.82,67.5,8.02,3.28,72.63,84.48,11.39,36.43,5.86,1.57,0.91,0,31.76,31.72,-0.84,9.44,-0.51,37.69,52.6,0,15.07,17.27,34.87,95.92,4.5,20.19,76.95
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.25,-0.14,-0.24,-0.61,0.01,-1.65,-0.88,-0.57,-0.64,35.33,59.31,34.55,30.16,35.71,61.13,3.92,27.04,34.35,27.9,39.99,0,34.92,32.9,-1.04,6.05,-0.67,38.17,54.25,0,57.17,46.42,23.11,68.31,2.51,36.69,79.64
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,0.55,0.33,0.24,-0.52,0.04,-1.58,-0.89,0.44,0.46,36.83,86.41,84.13,84.12,47.49,68.81,5.84,25.88,85.09,83.97,78.86,0,36.67,30.92,-0.44,7.63,1.05,37.84,67.72,0,91.58,6.87,56.4,86.36,76.4,24.24,92.32
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,0.91,0.62,0.51,-0.53,0.07,-1.77,-0.79,0.74,0.75,38.84,91.3,90.22,90.7,46.34,75.37,1.56,36.43,90.5,89.59,95.79,0,37.67,33.33,-0.25,8.95,0.4,40,64.42,0,96.59,68.95,65.2,94.29,51.79,86.96,89.69
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,0.47,0.23,0.06,-0.29,0.06,-1.11,-0.55,0.63,0.59,37.11,85.05,80.81,76.96,67.48,73.43,31.99,53.08,88.5,86.97,83.79,0,36.11,33.33,-0.26,8.48,0.51,38.18,67.52,0,86.04,68.95,64.64,92.06,56.23,36.89,92.19
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,0.05,-0.2,-0.05,0.01,-0.4,0.51,0.77,-0.47,-0.11,36.16,73.09,27.78,68.49,79.96,8.27,89.01,89.08,40.1,62.62,67.11,0,35.22,32.48,0.22,5.49,1.53,39.26,39,0,69.47,30.67,81.27,60.12,87.53,75.57,52.05
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.2,-0.45,-0.02,-0.55,-0.85,0.24,0.56,-0.64,-0.07,34.68,61.88,12.19,71.34,43.64,1.48,83.76,86.14,30.61,65.73,22.62,0,33.17,29.84,-0.01,5.11,2.54,40.52,36.39,0,21.3,0.71,73.4,54.77,97.39,91.84,47.71
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,1.36,0.42,-0.27,1.62,0.88,0.05,0.39,0.28,-0.49,36.5,94.99,86.47,27.19,97.05,96.31,79.42,83.13,81.37,36.08,73.54,0,35.69,34.53,0.59,11.74,0.4,38.69,72.15,0,78.09,94.55,89.96,99.48,51.79,49.95,94.72
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,0.59,-0.07,0.28,-0.49,-0.62,-0.79,-0.11,-0.22,0.42,35.6,87.05,43.94,85.31,50.98,3.37,49.7,71.71,58.25,83.46,47.03,0,33.89,31.27,0.39,10.91,0.98,39.08,76.3,0,30.92,13.67,85.8,98.95,74.17,71.41,96.41
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,-0.14,-0.33,-0.36,-0.23,-0.09,-1.13,-0.37,-0.6,-0.6,33.61,64.98,18.24,18.04,70.57,30.81,30.94,61.82,32.7,30.14,8.23,0,33.68,30.77,0.01,6.42,0.87,36.54,44.29,0,27.04,4.4,74.16,73.32,70.68,5.61,62.24
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,0.29,-0.05,-0.07,-0.04,-0.14,-0.36,0.11,-0.3,-0.01,35.73,81.01,47.71,66.04,78.45,23.89,67.17,77.57,52.07,69.04,51.15,0,35,32.42,0.23,7.68,-0.01,38.48,47.84,0,59.36,29.59,81.51,86.8,25.03,44.19,68.89
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,-0.54,-0.03,,-0.5,-0.04,-0.74,-0.39,-0.11,,34.86,41,51.8,,50,42.89,52.38,60.65,65.85,,26.9,0,34.87,30.9,-1.08,2.42,0.05,38,100,0,54,5.87,20.25,20.69,31.3,28.01,99.32
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,-0.8,-0.04,-0.18,-0.9,,,-1.16,-0.23,-0.19,35.85,24.04,49.8,39.4,19.08,,,4.64,57.62,57.16,53.94,0,35,32.89,-1.09,2.08,0.03,38.78,33.33,0,59.36,42.63,19.67,18.18,29.25,52.02,42.2
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,-0.67,-0.38,-0.44,-0.05,-0.04,0.04,0.44,-1.08,-1.22,34.19,32.46,15.54,13.14,78.06,42.89,79.08,84.06,13.64,9.44,14.04,0,33.87,32.65,-0.42,2.1,-0.54,38.13,19.41,0,30.25,34.59,57.22,18.32,4.08,35.13,24.41
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,-0.13,-0.24,-0.53,0.6,0.32,0.26,0.76,-0.39,-0.78,33.64,65.44,24.27,9.06,91.38,89.48,84.27,88.92,45.36,21.65,8.56,0,33.57,31.37,0.07,3.73,0.8,37.76,28.49,0,25.37,14.4,75.95,33.96,68.09,21.49,34.79
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,-1.61,,,-0.93,,,,,,35,6.11,,,16.71,,,,,,30.54,0,35,31,,0.03,-1.48,38,0,0,59.36,7.61,,0.03,0.32,28.01,0
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,-1.76,,,-0.9,,,,,,36,5.28,,,19.08,,,,,,59.16,0,35,33,,0.11,-1.1,39,0,0,59.36,49.31,,3.03,0.76,59.49,0
42,2017-18,Ian Mahinmi,31,WAS,1145,Rotation,Roll + Cut Big,Mobile Big,-0.97,-0.02,-0.11,-0.97,,,-1.33,-0.26,-0.3,35.71,14.45,54.13,59.47,10.85,,,0.49,55.5,49.17,49.47,0,34.74,33,-1.18,0.12,-1.63,39,0.81,0,49.69,49.31,13.76,3.42,0.24,59.49,10.2
43,2018-19,Ian Mahinmi,32,WAS,498,Rotation,Roll + Cut Big,Anchor Big,-0.89,-0.14,-0.25,-0.96,,,-1.05,-0.58,-0.61,34.93,18.55,34.55,29,13.05,,,9.25,33.82,29.53,28.85,0,34.6,33,-1.12,1.28,-0.79,37.05,15.38,0,45.61,49.31,17.58,13.41,1.78,9.66,21.45
44,2019-20,Ian Mahinmi,33,WAS,808,Rotation,Roll + Cut Big,Anchor Big,-1.07,-0.28,-0.36,-0.95,,,-1.03,-0.95,-0.97,34.38,10.48,21.09,18.04,14.88,,,10.72,17.56,15.08,16.91,0,33.73,33,-1.28,1.22,-0.09,38.7,12.38,0,27.75,49.31,7.95,13.22,19.6,50.04,19.68
45,2016-17,David Lee,33,SAS,1477,Rotation,Post Scorer,Helper,-1.76,,,-0.9,,,,,,36,5.28,,,19.08,,,,,,59.16,0,35,33,,0.04,0.28,39,0,0,59.36,49.31,,0.27,45.75,59.49,0
46,2015-16,David Lee,32,BOS/DAL,903,Rotation,Post Scorer,Helper,-1.61,,,-0.93,,,,,,34.86,6.11,,,16.71,,,,,,26.9,0,34.87,31,,0.1,0.24,38,0.3,0,54,7.61,,2.59,43.72,28.01,8.13
47,2016-17,Brandon Bass,31,LAC,577,Garbage Time,Post Scorer,Helper,-0.79,0.03,-0.07,-0.9,,,-1.22,-0.06,0,35.97,24.49,67.08,66.04,19.08,,,3.1,68.9,69.59,58.29,0,35.11,33,-0.57,0.3,0.15,38.78,1.61,0,66.93,49.31,50.24,6.87,38.27,52.02,12.06
48,2015-16,Brandon Bass,30,LAL,1342,Key Rotation,Roll + Cut Big,Helper,-0.52,0.06,,-0.41,0.04,-1.08,-0.38,-0.05,,34.71,42.37,70.67,,58.7,68.81,34.06,61.12,69.46,,23.47,0,34.74,30.8,,0.1,-0.17,38,0.63,0,49.69,4.54,,2.59,15.06,28.01,9.52
49,2015-16,CJ Miles,28,IND,1464,Starter,Off Screen Shooter,Low Activity,1.24,0.72,0.54,0.24,0.25,-1.16,-0.36,0.67,0.63,36.04,94.28,91.53,91.18,85.77,86.93,29.31,62.39,89.12,87.63,64.21,0,34.93,31.33,0.6,9.56,2.01,40.08,61.04,0,57.35,14.13,90.07,96.34,94.11,88.08,87.07
50,2016-17,CJ Miles,29,IND,1776,Key Rotation,Off Screen Shooter,Low Activity,1.47,1.19,1.15,-0.3,-0.01,-1.02,-0.61,1.27,1.43,39.34,95.58,96.17,97.51,66.91,53.08,37.39,49.91,96.06,96.67,97.3,0,35.97,32.54,0.71,8.67,1.6,43.94,63.21,0,83.24,31.9,91.75,93.13,88.96,99.75,88.92
51,2018-19,CJ Miles,31,TOR/MEM,856,Rotation,Off Screen Shooter,Low Activity,0.24,-0.01,0.04,-0.38,-0.2,-0.85,-0.45,-0.16,0.15,34.64,79.74,57.78,75.81,61.29,18.35,46.73,57.91,62.75,75.88,21.81,0,33.37,32.05,0.21,8.34,1.01,38.6,65.27,0,22.88,23.76,80.84,91.33,75.12,48.03,90.28
52,2021-22,CJ Miles,34,BOS,2,Too Few Games,Low Minute,Helper,-2.09,,,-1.02,,,,,,35,1.61,,,3.54,,,,,,30.54,0,34,33,,4.59,0,38,0,0,32.55,49.31,,46.11,25.9,28.01,0
53,2017-18,CJ Miles,30,TOR,1336,Rotation,Off Screen Shooter,Low Activity,1.58,0.75,0.56,0.08,0.21,-1.19,-0.52,0.74,0.66,36.08,96.21,92.13,91.6,81.94,85.41,27.65,54.91,90.5,88.42,65.13,0,33.84,33.7,0.63,12.46,1.85,42.41,75.79,0,29.4,77.24,90.58,99.73,92.45,98.42,96.24
54,2019-20,CJ Miles,32,WAS,161,Garbage Time,Off Screen Shooter,Helper,-0.16,-0.11,-0.21,-0.49,-0.02,-1.46,-0.83,-0.42,-0.37,35.42,63.86,38.07,34.25,50.98,49.41,11.85,32.99,43.51,43.93,42.17,0,34.73,33.01,-0.17,7.14,0.03,38.61,59.32,0,49.04,60.85,68.11,82.09,29.25,48.27,85.22
55,2016-17,Ersan Ilyasova,29,OKC/PHI/ATL,2142,Starter,Stretch Big,Helper,0.18,0.03,0.52,-1.27,-1,-1.25,-0.41,-0.14,0.64,35.58,77.86,67.08,90.83,0.19,0.95,22.35,59.68,63.86,87.81,46.68,0,33.87,31.01,-0.08,6.84,1.05,40.68,45.17,0,30.25,11.12,71.29,78.86,76.4,92.75,64.08
56,2018-19,Ersan Ilyasova,31,MIL,1231,Rotation,Stretch Big,Helper,-0.2,0.09,-0.02,-0.47,0.06,-1.81,-0.85,0.02,-0.02,36.1,61.88,73.61,71.34,53.28,73.43,1.2,30.92,72.74,68.45,65.64,0,35.7,33.13,-0.22,4.61,0.53,37.12,41.99,0,78.31,64.9,66.56,46.62,57.11,10.5,57.95
57,2019-20,Ersan Ilyasova,32,MIL,986,Rotation,Stretch Big,Helper,-0.25,0.05,-0.01,-0.55,-0.03,-1.91,-0.85,-0.06,0.03,36.18,59.31,69.6,72.17,43.64,45.89,0.38,30.92,68.9,71.09,67.51,0,36.08,32.93,-0.27,4.79,0.71,37.42,43.77,0,85.73,48.5,64.24,49.65,64.61,14.84,61.4
58,2015-16,Ersan Ilyasova,28,DET/ORL,1880,Key Rotation,Stretch Big,Helper,0.12,0.13,0.18,-0.45,-0.16,-1.44,-0.55,0.06,0.26,36.07,75.78,76.19,82.03,55.15,21.91,12.78,53.08,74.43,79.27,64.92,0,36.06,31.12,-0.2,5.14,0.71,37.57,39.18,0,85.47,12.08,67.18,55.02,64.61,17.53,52.44
59,2017-18,Ersan Ilyasova,30,ATL/PHI,1730,Starter,Stretch Big,Helper,-0.16,-0.04,0.2,-0.91,-0.47,-1.38,-0.64,-0.27,0.25,35.98,63.86,49.8,82.82,18.94,6.28,15.06,47.82,54.48,78.96,58.81,0,33.52,31.51,-0.17,5.4,0.97,41.42,41.27,0,24.97,15.47,68.11,58.91,73.87,96.15,56.4
60,2020-21,Ersan Ilyasova,33,UTA,148,Garbage Time,Movement Shooter,Helper,0.4,0.11,0.01,-0.31,-0.06,-1.1,-0.55,0.21,0.49,38,83.43,75.03,73.8,66.06,36.82,32.83,53.08,79.52,84.85,91.55,0,37.53,33.66,-0.1,9.95,0.79,38.13,75.93,0,96.01,76.12,70.64,97.31,67.65,35.13,96.27
61,2015-16,Monta Ellis,30,IND,2734,Starter,Primary Ball Handler,Chaser,-0.53,-0.61,-0.64,0.1,-0.15,0.3,0.49,-0.96,-1.11,32.77,41.57,6.95,5.82,82.35,23.05,85.13,84.97,17.21,11.51,3.08,0,31.64,30.26,-0.13,3.82,0.66,38.44,27.62,0,14.84,1.65,69.47,35.13,62.59,43.33,33.42
62,2016-17,Monta Ellis,31,IND,1998,Starter,Secondary Ball Handler,Chaser,-0.68,-0.31,-0.53,-0.02,0.27,-0.7,-0.49,-0.8,-1.16,34.52,31.75,19.37,9.06,78.93,87.58,53.99,56.38,22.94,10.59,19.42,0,34.43,33.43,-0.79,2.57,0.54,37.11,24.24,0,41.81,71.41,37.82,21.8,57.52,10.24,28.95
63,2020-21,Lou Williams,34,LAC/ATL,1423,Key Rotation,Slasher,Low Activity,0.38,0.33,-0.07,0.87,0.54,0.42,0.98,0.58,-0.13,38.2,83.01,84.13,66.04,93.58,93.76,87.28,91.4,87.7,61.26,92.74,0,37.04,35.8,1.14,4.42,0.94,39.48,26.78,0,93.97,98.81,96.89,43.54,72.78,80.19,32.22
64,2021-22,Lou Williams,35,ATL,799,Rotation,Secondary Ball Handler,Low Activity,0.08,0.06,-0.09,0.32,0.09,0.14,0.7,-0.01,-0.19,35.38,74.22,70.67,63.11,87.25,77.33,81.93,88.19,71.2,57.16,41.2,0,33.47,33.33,0.34,4.78,0.94,39.1,31.88,0,24.28,68.95,84.53,49.48,72.78,71.73,40.01
65,2016-17,Lou Williams,30,LAL/HOU,1993,Key Rotation,Primary Ball Handler,Low Activity,1.63,0.88,0.23,2.29,1.14,1.2,1.83,0.84,0.35,36.35,96.45,93.62,83.77,98.44,97.41,96.29,97.06,91.84,81.74,70.99,0,34.06,33.9,1.01,7.97,1.75,42.25,44.69,0,34.07,82.92,95.73,89.05,91.23,98.08,63.14
66,2017-18,Lou Williams,31,LAC,2589,Starter,Primary Ball Handler,Low Activity,1.5,0.87,0.16,2.3,1.16,0.84,1.44,0.69,0.12,35.94,95.84,93.51,81.24,98.48,97.47,93.17,94.92,89.55,74.69,57.56,0,36.69,34.32,1.02,7.17,2.69,35.14,38.74,0,91.76,92.55,95.8,82.43,97.94,0.87,51.58
67,2018-19,Lou Williams,32,LAC,1993,Key Rotation,Slasher,Low Activity,0.77,0.57,-0.03,1.45,0.92,0.67,1.12,0.7,-0.12,36.04,89.71,89.32,70.48,96.48,96.58,91.33,92.98,89.74,61.96,64.21,0,35.08,33.9,0.99,5.06,1.57,38.79,25.57,0,66.09,82.92,95.45,53.95,88.3,54.98,30.69
68,2019-20,Lou Williams,33,LAC,1864,Starter,Primary Ball Handler,Low Activity,0.64,0.36,0.34,0.53,-0.03,0.73,1.1,0.32,0.66,35.57,88.12,85,86.86,90.54,45.89,92.11,92.75,82.46,88.42,46.48,0,35,32.28,0.75,5.88,1.5,37.87,33.65,0,59.36,27.29,92.49,65.72,87.03,25.05,43.28
69,2015-16,Lou Williams,29,LAL,1907,Starter,Secondary Ball Handler,Chaser,0.89,0.28,0.1,1.17,0.24,0.9,1.69,0.21,0.13,34.64,91.01,82.63,79.12,95.31,86.61,93.84,96.23,79.52,75.13,21.81,0,34.74,31.5,1.01,6.25,1.72,36.79,46.18,0,49.69,15.39,95.73,71.02,90.89,7.51,65.96
70,2015-16,Amir Johnson,28,BOS,1800,Key Rotation,Roll + Cut Big,Anchor Big,-0.83,-0.26,-0.37,-0.52,0.04,-1.5,-0.87,-0.98,-1.09,33.23,22.58,22.71,17.29,47.49,68.81,9.97,28.55,16.59,12.02,5.37,0,32.84,30.92,-1.3,0.91,-0.04,38.63,10.09,0,18.93,6.87,7.05,11.46,22.88,48.88,18.35
71,2016-17,Amir Johnson,29,BOS,1608,Key Rotation,Roll + Cut Big,Anchor Big,-0.42,0.17,0.08,-0.54,0.04,-1.56,-0.93,0.31,0.31,37.05,49.42,78.2,78.15,44.94,68.81,6.58,20.89,82.23,80.55,82.89,0,36.35,33.11,-0.64,1.59,-0.15,38.41,17.84,0,88.81,62.76,46.35,15.22,15.94,42.95,23.22
72,2017-18,Amir Johnson,30,PHI,1170,Rotation,Roll + Cut Big,Anchor Big,-0.85,-0.1,-0.15,-0.72,-0.05,-1.63,-0.93,-0.56,-0.46,35.45,21.45,39.43,48.09,24.93,39.84,4.6,20.89,34.82,38.01,43.31,0,34.64,32.79,-1.08,1.03,-0.1,38.73,12.31,0,47.33,38.29,20.25,12.16,18.94,51.05,19.57
73,2018-19,Amir Johnson,31,PHI,529,Rotation,Roll + Cut Big,Anchor Big,-0.63,-0.07,-0.18,-0.96,,,-1,-0.47,-0.48,35.15,35.07,43.94,39.4,13.05,,,13.33,40.1,36.71,36.18,0,34.82,33,-1.13,2.73,0.01,37.11,25.48,0,52.45,49.31,16.78,23.19,27.05,10.24,30.61
74,2018-19,Marcin Gortat,34,LAC,751,Rotation,Roll + Cut Big,Anchor Big,-2.04,,,-0.96,,,,,,36,2.42,,,13.05,,,,,,59.16,0,35,33,,0.09,0.32,38,0,0,59.36,49.31,,2.25,47.65,28.01,0
