Season,Player,Team,Pos,PG,SG,SF,PF,C,Primary_Position,Second_Position,SourceURL
2013-14,A.J. Price,MIN,SG,79,21,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,2TM,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,DEN,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Brooks,HOU,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,2TM,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,SAC,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aaron Gray,TOR,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,2TM,SF,0,8,92,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,ORL,SF,0,12,88,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Adonis Thomas,PHI,SF,0,0,100,0,0,SF,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Harrington,WAS,PF,0,0,0,94,6,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Horford,ATL,C,0,0,0,12,88,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al Jefferson,CHA,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Al-Farouq Aminu,NOP,SF,0,0,77,23,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alan Anderson,BRK,SF,0,26,73,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alec Burks,UTA,SG,6,89,5,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alex Len,PHO,C,0,0,0,3,97,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alexey Shved,MIN,SG,11,87,3,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alexis Ajinça,NOP,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Allen Crabbe,POR,SG,0,2,92,6,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Alonzo Gee,CLE,SF,0,6,92,2,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Amar'e Stoudemire,NYK,C,0,0,0,58,42,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Amir Johnson,TOR,PF,0,0,2,85,14,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anderson Varejão,CLE,C,0,0,0,21,79,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andray Blatche,BRK,PF,0,0,0,33,67,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Drummond,DET,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Iguodala,GSW,SF,1,20,79,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Miller,2TM,SG,45,52,3,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Miller,DEN,SG,12,83,6,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Miller,WAS,SG,91,9,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andre Roberson,OKC,SG,0,69,31,1,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrea Bargnani,NYK,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrei Kirilenko,BRK,PF,0,0,7,91,2,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrew Bogut,GSW,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrew Bynum,2TM,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrew Bynum,CLE,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrew Bynum,IND,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andrew Nicholson,ORL,PF,0,0,0,77,24,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Andris Biedriņš,UTA,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Antawn Jamison,LAC,PF,0,0,0,99,1,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anthony Bennett,CLE,PF,0,0,13,86,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anthony Davis,NOP,PF,0,0,0,71,29,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anthony Morrow,NOP,SG,8,71,20,1,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anthony Randolph,DEN,PF,0,0,7,73,20,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Anthony Tolliver,CHA,PF,0,0,74,24,2,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Archie Goodwin,PHO,SG,4,91,5,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Arinze Onuaku,2TM,PF,0,0,0,87,13,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Arinze Onuaku,CLE,PF,0,0,0,21,79,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Arinze Onuaku,NOP,PF,0,0,0,100,0,PF,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Arnett Moultrie,PHI,PF,0,0,0,31,69,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Aron Baynes,SAS,C,0,0,0,10,90,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Arron Afflalo,ORL,SG,0,49,50,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Austin Daye,2TM,SF,0,5,34,61,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Austin Daye,SAS,SF,0,7,38,55,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Austin Daye,TOR,SF,0,0,20,80,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Austin Rivers,NOP,PG,79,21,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Avery Bradley,BOS,SG,12,85,2,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Ben Gordon,CHA,SG,0,100,0,0,0,SG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Ben McLemore,SAC,SG,1,94,5,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Beno Udrih,2TM,SG,92,8,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Beno Udrih,MEM,SG,96,4,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Beno Udrih,NYK,SG,92,9,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Bernard James,DAL,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Bismack Biyombo,CHA,C,0,0,0,39,61,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Blake Griffin,LAC,PF,0,0,0,91,9,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Boris Diaw,SAS,PF,0,0,3,94,3,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Bradley Beal,WAS,SG,9,90,1,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandan Wright,DAL,C,0,0,0,2,98,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandon Bass,BOS,PF,0,0,0,97,2,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandon Davies,PHI,PF,0,0,0,39,62,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandon Jennings,DET,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandon Knight,MIL,PG,89,11,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brandon Rush,UTA,SG,0,8,91,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brian Roberts,NOP,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Brook Lopez,BRK,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Byron Mullens,2TM,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Byron Mullens,LAC,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Byron Mullens,PHI,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,C.J. Miles,CLE,SG,0,60,39,1,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,C.J. Watson,IND,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,CJ McCollum,POR,SG,11,85,4,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Carl Landry,SAC,PF,0,0,0,41,59,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Carlos Boozer,CHI,PF,0,0,0,73,27,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Carmelo Anthony,NYK,PF,0,0,38,62,1,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Caron Butler,2TM,SF,0,11,70,20,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Caron Butler,MIL,SF,0,4,67,29,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Caron Butler,OKC,SF,0,20,74,6,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Carrick Felix,CLE,SG,0,62,38,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cartier Martin,2TM,SF,0,3,92,4,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cartier Martin,ATL,SF,0,1,95,4,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cartier Martin,CHI,SF,0,45,51,4,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Casper Ware,PHI,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chandler Parsons,HOU,SF,0,1,86,12,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Channing Frye,PHO,PF,0,0,0,59,41,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Charlie Villanueva,DET,PF,0,0,4,76,20,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chase Budinger,MIN,SF,0,50,50,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chauncey Billups,DET,SG,25,75,0,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Andersen,MIA,C,0,0,0,28,72,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Babb,BOS,SG,0,62,38,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Bosh,MIA,C,0,0,0,6,94,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Copeland,IND,SF,0,0,24,74,2,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Douglas-Roberts,CHA,SF,0,32,68,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Johnson,BOS,SF,2,56,42,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Kaman,LAL,C,0,0,0,2,98,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Paul,LAC,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Singleton,WAS,SF,0,0,49,51,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Smith,NYK,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chris Wright,MIL,SF,0,54,46,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chuck Hayes,2TM,C,0,0,0,17,83,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chuck Hayes,SAC,C,0,0,0,7,93,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Chuck Hayes,TOR,C,0,0,0,20,80,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cody Zeller,CHA,C,0,0,0,55,45,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cole Aldrich,NYK,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Corey Brewer,MIN,SF,0,12,87,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Cory Joseph,SAS,SG,51,49,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Courtney Lee,2TM,SG,21,72,7,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Courtney Lee,BOS,SG,1,90,10,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Courtney Lee,MEM,SG,28,66,6,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,D.J. Augustin,2TM,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,D.J. Augustin,CHI,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,D.J. Augustin,TOR,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,D.J. Stephens,MIL,SG,0,69,32,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,D.J. White,CHA,PF,0,0,0,100,0,PF,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Damian Lillard,POR,PG,66,34,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Damion James,SAS,SF,0,33,57,10,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Daniel Orton,PHI,C,0,0,0,17,83,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Danny Granger,2TM,SF,0,0,95,5,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Danny Granger,IND,SF,0,0,96,4,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Danny Granger,LAC,SF,0,0,90,10,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Danny Green,SAS,SG,1,71,29,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dante Cunningham,MIN,PF,0,0,4,89,7,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Johnson-Odom,PHI,SG,59,39,2,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Miller,NOP,SF,0,9,82,10,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Morris,3TM,PG,98,2,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Morris,LAC,PG,89,11,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Morris,MEM,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darius Morris,PHI,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darrell Arthur,DEN,SF,0,0,27,71,2,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Darren Collison,LAC,PG,69,31,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,David Lee,GSW,PF,0,0,0,81,19,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,David West,IND,PF,0,0,0,96,4,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeAndre Jordan,LAC,C,0,0,0,1,99,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeAndre Liggins,MIA,SG,0,100,0,0,0,SG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeJuan Blair,DAL,PF,0,0,0,65,35,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeMar DeRozan,TOR,SG,1,42,57,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeMarcus Cousins,SAC,C,0,0,0,1,100,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,DeMarre Carroll,ATL,SF,0,7,89,4,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dennis Schröder,ATL,PG,64,36,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derek Fisher,OKC,SG,41,51,8,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Deron Williams,BRK,PG,87,13,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derrick Favors,UTA,PF,0,0,0,39,62,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derrick Rose,CHI,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derrick Williams,2TM,SF,0,3,50,41,5,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derrick Williams,MIN,PF,0,0,15,70,16,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Derrick Williams,SAC,SF,0,3,54,39,4,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Devin Harris,DAL,PG,92,8,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dewayne Dedmon,3TM,C,0,0,0,4,96,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dewayne Dedmon,GSW,C,0,0,0,38,63,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dewayne Dedmon,ORL,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dewayne Dedmon,PHI,C,0,0,0,10,90,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dexter Pittman,ATL,C,0,0,0,0,100,C,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Diante Garrett,UTA,PG,82,18,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dion Waiters,CLE,SG,0,64,36,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dionte Christmas,PHO,SF,0,33,59,8,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dirk Nowitzki,DAL,PF,0,0,0,73,28,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Donald Sloan,IND,SG,94,6,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Donatas Motiejūnas,HOU,PF,0,0,0,58,42,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dorell Wright,POR,SF,0,13,80,7,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Doron Lamb,ORL,SG,0,44,56,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Draymond Green,GSW,SF,0,7,62,31,1,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Drew Gooden,WAS,C,0,0,0,25,75,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dwight Buycks,TOR,PG,83,17,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dwight Howard,HOU,C,0,0,0,4,96,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Dwyane Wade,MIA,SG,3,93,4,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,E'Twaun Moore,ORL,SG,8,83,9,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Earl Clark,2TM,PF,0,0,43,55,3,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Earl Clark,CLE,PF,0,0,46,52,2,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Earl Clark,NYK,PF,0,0,7,81,12,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Earl Watson,POR,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Ed Davis,MEM,PF,0,0,1,95,5,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Ekpe Udoh,MIL,PF,0,0,0,17,84,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Elias Harris,LAL,SF,0,0,34,66,0,PF,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Elliot Williams,PHI,SG,6,71,23,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Elton Brand,ATL,C,0,0,0,2,98,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Enes Freedom,UTA,C,0,0,0,3,97,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Eric Bledsoe,PHO,PG,96,4,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Eric Gordon,NOP,SG,1,96,3,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Eric Maynor,2TM,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Eric Maynor,PHI,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Eric Maynor,WAS,PG,100,0,0,0,0,PG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Erik Murphy,CHI,C,0,0,0,3,98,C,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Ersan İlyasova,MIL,PF,0,0,0,74,26,PF,C,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Evan Fournier,DEN,SG,5,57,37,1,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Evan Turner,2TM,SF,0,33,67,0,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Evan Turner,IND,SF,0,54,46,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Evan Turner,PHI,SF,0,26,74,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Francisco García,HOU,SF,0,34,65,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gal Mekel,DAL,PG,87,13,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Garrett Temple,WAS,SG,36,57,7,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gary Neal,2TM,SG,7,90,3,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gary Neal,CHA,SG,0,100,0,0,0,SG,,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gary Neal,MIL,SG,14,82,5,0,0,SG,PG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,George Hill,IND,PG,96,4,0,0,0,PG,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gerald Green,PHO,SG,0,78,22,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gerald Henderson,CHA,SG,0,88,12,0,0,SG,SF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Gerald Wallace,BOS,SF,0,43,55,1,0,SF,SG,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
2013-14,Giannis Antetokounmpo,MIL,SF,0,1,74,24,0,SF,PF,https://www.basketball-reference.com/leagues/NBA_2014_play-by-play.html
