RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Screener Rim Defense,Rim Protection,Rim Contests Per 75 Possessions,Rim Points Saved Per 75 Possessions,Stable Rim DFGA Per 75 Possessions,Help Defensive Activity,Help Defense Talent,Help Effectiveness Rating,Percentage of Shots at Rim Contested,Post Defense,Screener Rim Defense_percentile,Rim Protection_percentile,Rim Contests Per 75 Possessions_percentile,Rim Points Saved Per 75 Possessions_percentile,Stable Rim DFGA Per 75 Possessions_percentile,Help Defensive Activity_percentile,Help Defense Talent_percentile,Help Effectiveness Rating_percentile,Percentage of Shots at Rim Contested_percentile,Post Defense_percentile,Stable Rim dFG% vs. Expected,Perimeter Isolation Defense,Matchup Difficulty,Guarded Shooting Talent,Passing Lane Defense,Deflections Per 75 Possessions,% of Time Guarding Primary Ball Handlers,Guarded 3PT Shooting Talent,Guarded Midrange Talent,% of Time Guarding Usage Tier 1 Players,Stable Rim dFG% vs. Expected_percentile,Perimeter Isolation Defense_percentile,Matchup Difficulty_percentile,Guarded Shooting Talent_percentile,Passing Lane Defense_percentile,Deflections Per 75 Possessions_percentile,% of Time Guarding Primary Ball Handlers_percentile,Guarded 3PT Shooting Talent_percentile,Guarded Midrange Talent_percentile,% of Time Guarding Usage Tier 1 Players_percentile,Off-Ball Chaser Defense,Ball Screen Navigation,Guarded 3PT Shot Creation,3PT Contests Per 75 Possessions,Steals Per 75 Possessions,Pickpocket Rating,Defensive Miles Per 75 Possessions,Loose Ball Recovery Rate,Stable Steals Per 75,Stable Bad Pass Steals Per 75,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Guarded 3PT Shot Creation_percentile,3PT Contests Per 75 Possessions_percentile,Steals Per 75 Possessions_percentile,Pickpocket Rating_percentile,Defensive Miles Per 75 Possessions_percentile,Loose Ball Recovery Rate_percentile,Stable Steals Per 75_percentile,Stable Bad Pass Steals Per 75_percentile,Stable Lost Ball Steals Per 75,Blocks Per 75 Possessions,Stable Blocks Per 75,Stable Recovered Blocks Per 75,Stable Recovered Blocks%,Block Rate on Contests,Defensive Playmaking,Screener Mobile Defense,Rim Deterrence,Rim Deterrence Per 100,Stable Lost Ball Steals Per 75_percentile,Blocks Per 75 Possessions_percentile,Stable Blocks Per 75_percentile,Stable Recovered Blocks Per 75_percentile,Stable Recovered Blocks%_percentile,Block Rate on Contests_percentile,Defensive Playmaking_percentile,Screener Mobile Defense_percentile,Rim Deterrence_percentile,Rim Deterrence Per 100_percentile,DHO Coverage Versatility,Defensive Role Versatility,Overall Coverage Versatility,P&R Coverage Versatility,DHO Coverage Versatility_percentile,Defensive Role Versatility_percentile,Overall Coverage Versatility_percentile,P&R Coverage Versatility_percentile
1412,2022-23,Bruce Brown,26,DEN,2280,Key Rotation,Primary Ball Handler,Chaser,-0.1,-0.1,5.71,-0.07,3.14,-0.51,-0.7,-1,36.6,-0.05,68.53,52.48,71.35,33.22,59.88,39.71,9.58,10.46,48.79,67.2,0.03,1.04,0.77,0.18,3.53,2.68,15.58,0.19,0.11,20.28,28.38,90.52,86.93,85.65,80.72,80.71,81.79,85.77,80.56,86.67,0.52,1.29,0.16,3.11,1.41,0.57,1.23,46.43,1.38,0.82,76.11,90.03,83.93,65.06,77.25,79.36,48.19,48.13,79.11,72.05,0.54,0.83,0.83,0.48,58.44,12.69,3.77,-0.31,0.11,-0.05,85.32,72.93,69.16,74.09,73.75,85.32,84.16,60.64,59.18,41.25,28.89,60.12,112.33,42.34,21.98,78.7,83.48,47.26
1413,2025-26,Bruce Brown,29,DEN,1998,Key Rotation,Stationary Shooter,Point of Attack,-0.35,-0.41,0,0,2.16,-0.57,-0.63,-0.76,,-0.54,57.94,21.5,0,36.89,33.58,30.28,16.58,18.07,,37.98,0.1,-0.26,0.11,0.02,1.11,0,20.19,0.02,0.04,12.33,0.87,57.37,72.41,68.87,31.66,0,90.17,62.66,71,58.32,-0.1,1.17,0.03,0,1.55,0.44,0.94,0,1.51,1.04,55.97,88.25,73.56,0,83.05,66.22,18.45,0,87.34,93.57,0.45,0.36,0.38,0.14,56.44,0,2.06,-0.07,0.66,0.44,69.39,43.17,24.7,22.24,19.78,0,24.38,69.93,83.12,85.26,33.97,45.99,107.89,42.87,43.4,23.95,60.07,49.39
1414,2018-19,Bruce Brown,22,DET,1449,Rotation,Athletic Finisher,Point of Attack,-1.13,-0.42,6.13,0.4,3.6,-0.61,-0.64,-0.64,38.8,-1.06,28.08,20.54,76.57,76.33,68.33,23.66,15.61,23.61,61.41,10.91,0.01,2.17,2.33,0.37,2.9,2.21,20.6,0.25,0.27,29.84,47.26,98.28,98.68,95.87,67.94,69.5,90.7,90.99,93.75,97.66,1.15,3.37,0.45,4.17,1.02,0.33,1.34,73.53,1.04,0.71,91.08,99.91,96.05,88.63,52.1,51.54,87.92,89.43,34.72,43.09,0.35,0.92,0.91,0.53,57.43,9,3.3,-1.26,-1.25,-0.73,38.74,76.43,73.51,77.8,38.84,71.58,70.77,20.25,4.66,6.04,36,56.79,110.94,51.26,50.73,64.16,76.84,79.84
1415,2019-20,Bruce Brown,23,DET,1634,Starter,Primary Ball Handler,Point of Attack,0.02,-0.3,6.18,-0.14,3.63,-0.66,-0.6,-0.42,41.6,0.2,73.18,31.71,77.04,29.72,68.88,15.45,19.76,36.62,74.91,76.28,0.03,0.5,1.63,0.35,4.25,3.35,22.59,0.25,0.23,24.86,28.38,81.5,95.8,95.12,89.93,90.96,93.67,90.99,91.34,93.68,0.41,1.62,0.37,3.51,1.45,0.55,1.26,60.53,1.4,0.86,72.68,93.88,93.93,75.66,79.15,77.74,60.56,67.74,80.86,79.25,0.51,0.67,0.67,0.35,57.68,7.82,3.96,-0.29,-0.46,-0.63,81.34,65.5,57.16,57.19,46.54,66.09,88.26,61.59,24.28,8.51,34.86,59.33,113.94,39.22,46.81,75.32,89.64,35.28
1416,2022-23,Troy Brown Jr.,23,LAL,1860,Key Rotation,Stationary Shooter,Chaser,-0.5,-0.65,6,-0.44,3.6,-0.55,-0.54,-0.35,35.9,-0.45,51.8,6.75,74.84,17.41,68.33,33.51,26.45,42.2,44.57,44.13,0.1,0.48,0.59,0.23,2.78,1.88,12.25,0.26,0.15,20.47,0.87,81.12,83.8,89.59,65.1,59.09,74.01,91.6,84.83,87.03,0.66,-0.56,0.02,3.26,1.15,0.25,1.31,61.7,1.14,0.85,80.22,38.69,72.76,68.71,61.2,39.36,79.67,69.76,50.66,77.32,0.28,0.31,0.33,0.13,56.98,4.44,2.7,-0.28,-0.43,-0.54,23.92,39.03,18.92,20.97,26.71,47.55,44.14,62.04,25.77,11.19,38,62.69,107.8,47.97,60.07,87.51,59.59,69.11
1417,2018-19,Troy Brown Jr.,19,WAS,730,Rotation,Athletic Finisher,Chaser,-1.35,-0.49,5.82,-0.23,3.07,-0.43,-0.49,-0.7,39.1,-0.84,21,15.32,72.67,25.84,58.31,48.78,32.87,21.03,63,20.2,0.07,-1.31,-1.12,-0.12,2.64,1.96,11.46,-0.12,-0.05,9.5,6.89,8.56,11.29,46.81,61.76,61.98,71.67,44.29,55.61,43.64,0.07,0.5,-0.16,4.55,1.03,0.34,1.25,79.49,1.06,0.71,61.52,74.72,54.59,92.96,52.86,52.94,55.98,94.71,37.58,43.09,0.36,0.24,0.29,0.23,57.77,2.91,2.67,-1.05,0.58,0.28,41.88,32.99,14.39,36.46,49.08,41.13,43.01,28.41,80.72,76.15,25.71,66.96,113.52,41.27,12.42,96.39,88,42.82
1418,2019-20,Troy Brown Jr.,20,WAS,1782,Starter,Secondary Ball Handler,Chaser,-0.32,-0.26,6.12,-0.55,3.03,-0.6,-0.28,0.51,43.2,-0.77,59.22,36.02,76.47,13.88,57.45,25.32,53.42,90.06,81.1,23.99,0.04,0.06,-0.02,0.05,3.83,2.67,12.92,0.04,0.04,15.32,20.89,69.87,68,72.97,85.16,80.52,75.94,65.57,71,71.79,0.79,-0.61,-0.02,3.56,1.68,0.51,1.26,66.67,1.6,1.07,83.69,36.41,69.22,76.88,86.98,74.24,60.56,77.98,90.71,94.79,0.49,0.14,0.16,0.12,58.83,1.96,3.56,-0.5,-0.06,-0.04,77.9,26.09,2.91,19.81,85.93,38.28,79.44,52.26,46.22,42.3,37.05,67.56,114.54,49.77,56.05,97.14,91.29,74.55
1419,2020-21,Troy Brown Jr.,21,WAS/CHI,523,Garbage Time,Stationary Shooter,Chaser,-1.12,-0.21,5.07,-0.41,1.97,-0.56,-0.51,-0.23,34.6,-0.62,28.46,41.56,60.77,18.45,28.68,31.84,30.11,52.72,37.62,32.52,0.04,-0.23,0.16,0.05,2.32,1.83,12.42,0.04,0.09,13.64,20.89,58.93,74.03,72.97,53.42,57.57,74.29,65.57,77.56,64.01,0.29,0.75,0.07,3.17,0.7,0.21,1.35,81.82,0.87,0.62,68.73,80.42,76.99,66.62,29.5,33.83,89.8,95.95,14.07,19.87,0.31,0.42,0.46,0.25,57.9,6.98,2.52,-0.66,0.39,0.25,29.52,48.1,34.24,39.48,52.83,61.2,37.28,45.22,74.03,74.2,43.53,65.02,116.06,43.5,80.9,93.13,94.57,51.99
1420,2021-22,Troy Brown Jr.,22,CHI,1055,Rotation,Stationary Shooter,Helper,-0.89,-0.81,5.91,-0.35,3.62,-0.43,-0.41,-0.4,36.7,-0.38,36.06,2.58,73.74,20.62,68.73,48.78,41.31,37.9,49.34,48.96,0.08,-0.92,-0.63,-0.09,2.35,1.49,7.64,-0.03,-0.05,9.67,3.9,22.29,33.64,52.48,54.2,46.52,58.18,55.47,55.61,44.64,-0.63,0.06,-0.15,4.01,1.24,0.38,1.36,63.41,1.23,0.83,37.59,60.81,55.66,86.2,67.87,58.74,91.53,72.91,64.27,73.82,0.39,0.17,0.21,0.11,57.01,1.99,2.5,-1.03,-0.65,-0.54,51.54,27.81,6.65,18.5,27.2,38.35,36.59,29.37,17.61,11.19,47.37,60.75,106.13,47.32,90.83,80.9,50.09,66.52
1421,2023-24,Troy Brown Jr.,24,MIN/DET,827,Rotation,Movement Shooter,Helper,-1.09,-0.69,6.89,-0.8,3.21,0.05,0.01,-0.27,41.9,-0.79,29.33,5.4,83.56,8.63,61.49,71.14,68.19,49.06,76.28,22.95,0.06,-0.69,-0.67,-0.13,2.69,2.08,6.66,-0.07,-0.11,11.16,10.1,33.73,31.37,45.1,63.14,65.55,53.74,49.73,44.91,52.61,-0.65,-0.06,-0.27,2.34,1.06,0.44,1.36,61.29,1.08,0.66,37.02,56.42,44.35,46.44,54.87,66.22,91.53,69.1,40.78,28.84,0.43,0.13,0.19,0.1,58.19,2.36,2.58,-1.14,-0.48,-0.37,64.66,25.6,5.21,17.6,62.63,39.33,39.44,24.98,23.65,18.36,31.11,56.06,107.64,42.06,31.27,60.64,58.74,46.22
