RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Screener Rim Defense,Rim Protection,Rim Contests Per 75 Possessions,Rim Points Saved Per 75 Possessions,Stable Rim DFGA Per 75 Possessions,Help Defensive Activity,Help Defense Talent,Help Effectiveness Rating,Percentage of Shots at Rim Contested,Post Defense,Screener Rim Defense_percentile,Rim Protection_percentile,Rim Contests Per 75 Possessions_percentile,Rim Points Saved Per 75 Possessions_percentile,Stable Rim DFGA Per 75 Possessions_percentile,Help Defensive Activity_percentile,Help Defense Talent_percentile,Help Effectiveness Rating_percentile,Percentage of Shots at Rim Contested_percentile,Post Defense_percentile,Stable Rim dFG% vs. Expected,Perimeter Isolation Defense,Matchup Difficulty,Guarded Shooting Talent,Passing Lane Defense,Deflections Per 75 Possessions,% of Time Guarding Primary Ball Handlers,Guarded 3PT Shooting Talent,Guarded Midrange Talent,% of Time Guarding Usage Tier 1 Players,Stable Rim dFG% vs. Expected_percentile,Perimeter Isolation Defense_percentile,Matchup Difficulty_percentile,Guarded Shooting Talent_percentile,Passing Lane Defense_percentile,Deflections Per 75 Possessions_percentile,% of Time Guarding Primary Ball Handlers_percentile,Guarded 3PT Shooting Talent_percentile,Guarded Midrange Talent_percentile,% of Time Guarding Usage Tier 1 Players_percentile,Off-Ball Chaser Defense,Ball Screen Navigation,Guarded 3PT Shot Creation,3PT Contests Per 75 Possessions,Steals Per 75 Possessions,Pickpocket Rating,Defensive Miles Per 75 Possessions,Loose Ball Recovery Rate,Stable Steals Per 75,Stable Bad Pass Steals Per 75,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Guarded 3PT Shot Creation_percentile,3PT Contests Per 75 Possessions_percentile,Steals Per 75 Possessions_percentile,Pickpocket Rating_percentile,Defensive Miles Per 75 Possessions_percentile,Loose Ball Recovery Rate_percentile,Stable Steals Per 75_percentile,Stable Bad Pass Steals Per 75_percentile,Stable Lost Ball Steals Per 75,Blocks Per 75 Possessions,Stable Blocks Per 75,Stable Recovered Blocks Per 75,Stable Recovered Blocks%,Block Rate on Contests,Defensive Playmaking,Screener Mobile Defense,Rim Deterrence,Rim Deterrence Per 100,Stable Lost Ball Steals Per 75_percentile,Blocks Per 75 Possessions_percentile,Stable Blocks Per 75_percentile,Stable Recovered Blocks Per 75_percentile,Stable Recovered Blocks%_percentile,Block Rate on Contests_percentile,Defensive Playmaking_percentile,Screener Mobile Defense_percentile,Rim Deterrence_percentile,Rim Deterrence Per 100_percentile,DHO Coverage Versatility,Defensive Role Versatility,Overall Coverage Versatility,P&R Coverage Versatility,DHO Coverage Versatility_percentile,Defensive Role Versatility_percentile,Overall Coverage Versatility_percentile,P&R Coverage Versatility_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,2.37,1.71,8.64,1.56,7.8,2.36,2.94,2.3,49.1,0.89,98.2,99.11,93.35,94.85,97.34,96.01,98.91,99.69,93.36,90.25,-0.1,-0.91,-0.87,-0.21,0.53,0.03,1.74,-0.74,-0.24,12.48,98.8,22.67,21.6,30.64,20.71,30.61,22.65,4.84,21.89,59.03,-0.99,-0.84,-0.82,0,0.83,0.33,1.14,0,0.9,0.58,25.6,22.47,2.82,0,37.85,51.54,26.31,0,16.86,12.88,0.35,2.87,2.77,1.73,59.43,0,3.42,1.1,1.34,0.46,38.74,98.34,98.82,99.26,93.78,0,75.44,92.24,94.87,86.1,26.62,26.81,88.62,24.62,14.72,2.88,4.22,5.72
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-0.27,0.67,9.11,0.95,5.97,2.06,1.92,-0.08,37,1.34,61.35,89.19,95.34,88.66,89.11,93.01,92.05,65.75,51.06,94.36,-0.02,0.17,0.46,0.01,1.61,1.07,3.2,-0.66,0.19,26.39,78.12,73.14,81.45,67.64,37.7,36.47,30.07,7.56,88.24,95.34,-1.74,-1.02,-0.47,1.61,0.8,0.27,0.99,50,1.04,0.71,4.79,10.45,27.56,34.71,35.53,42.24,19.61,50.35,34.72,43.09,0.36,2.14,1.65,0.76,57.04,15.38,3.35,0.07,0.54,0.24,41.88,95.47,92.15,88.16,27.97,90.93,72.86,74.94,79.43,73.54,30,32,89.4,26.74,25.43,5.45,5.26,7.84
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-0.91,0.49,6.03,0.69,5.5,2.42,2.51,0.79,31.6,1.08,35.29,84.42,75.26,84.16,86.32,96.51,96.95,93.9,23.72,92.35,-0.01,0.42,0.57,-0.1,1.67,1.17,2.87,-0.47,-0.03,23.09,69.88,79.61,83.44,50.67,38.73,38.28,27.56,19.95,59.19,91.55,-0.95,-1.22,-0.49,2.01,0.67,0.17,1.12,57.14,0.97,0.69,27.17,3.67,25.62,40.19,28.01,29.18,24.47,61.89,24.81,36.65,0.35,2.18,1.81,0.9,58.16,18.06,3.42,-0.6,0.91,0.36,38.74,95.68,93.81,91.99,61.75,94.62,75.44,48.01,88.69,81.09,33.33,41.81,89.09,25.67,38.86,14.12,4.9,6.85
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,1.76,0.56,7.24,0.52,5.84,2.34,2.73,1.68,50,0.85,96.82,86.7,85.68,80.17,88.39,95.84,98.22,98.76,94.14,89.62,0,-0.61,-0.62,-0.19,2.64,2.03,1.63,-0.8,-0.21,15.15,59.35,38.32,34.11,34.04,61.76,64.02,22.34,3.24,26.64,70.99,-1.42,-1.13,-0.82,0.81,0.88,0.27,1.14,0,0.99,0.69,12.11,5.66,2.82,31.41,41.24,42.24,26.31,0,27.51,36.65,0.34,1.69,1.58,1.07,58.91,15.24,3.75,0.87,1.21,0.75,36.37,91.42,91.1,95.21,87.49,90.7,83.72,90.07,93.35,94.16,32.67,28.96,87.86,21.6,37.39,3.96,3.31,3.81
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.02,-0.16,5.62,0.63,4.6,0.36,0.16,-0.87,40.8,-0.09,73.18,46.86,69.59,82.95,79.45,76.07,72.42,14.09,71.95,65.5,0.02,-1.39,-1.01,-0.23,3.27,2.34,5.33,-0.21,-0.17,12.45,37.58,6.49,15.24,27.26,76.34,72.97,46.16,36.27,33.53,58.81,-0.51,-0.53,-0.41,4.33,1.16,0.22,1.19,63.64,1.15,0.87,41.86,40,33.09,90.63,62.08,35.37,35.46,73.23,52.06,80.65,0.28,0.96,0.95,0.59,59.01,8.65,3.38,-0.33,-0.4,-0.04,23.92,77.74,75.36,81.65,89.08,69.95,73.93,59.83,27.17,42.3,36.14,66.5,100.38,58.69,52.7,95.7,28.15,94.12
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.09,0.45,5.3,0.48,4.65,0.01,0.23,0.53,37.9,-0.57,75.42,83.31,64.76,78.9,79.74,70.01,73.46,90.27,56.57,36.2,-0.04,-0.01,-0.08,-0.04,0.56,0,0.88,-0.16,-0.01,16.6,87.96,67.68,65.11,60.4,21.27,0,18.89,40.31,62.88,76.85,-0.35,-0.41,-0.53,0,0.95,0.39,1.2,0,0.98,0.6,47.06,44.08,21.42,0,46.77,60.01,37.74,0,26.13,16.03,0.4,1.26,1.24,0.72,57.46,0,2.29,1.01,0.36,0.03,55.17,85.02,84.68,86.93,39.57,0,30.28,91.34,72.57,51.98,39.2,52.88,99.27,53.01,64.67,47.54,25.18,84.41
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,1.65,0.27,4.39,0.12,3.67,0.08,0.47,1.11,31.1,-0.39,96.42,76.44,47.72,65.93,69.36,72.04,75.94,96.41,22.49,48.19,0.01,-0.43,-0.05,-0.02,2.88,2.09,1.69,-0.21,0.02,17.32,47.26,48.65,66.68,63.65,67.56,65.97,22.5,36.27,67.8,79.15,-0.04,-0.42,-0.54,4.1,0.96,0.17,1.2,0,0.99,0.79,57.74,43.72,20.34,87.68,47.59,29.18,37.74,0,27.51,66.05,0.21,0.88,0.87,0.54,58.38,7.36,3.03,1.6,0.68,0.39,15.81,75.05,71.48,78.42,71.12,63.53,58.7,95.46,83.7,82.7,41.27,54.66,98.7,53.59,74.03,55.02,23.63,85.84
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-1.6,0.29,4.83,-0.07,3.8,-0.21,-0.42,-0.98,36,0.25,15.05,77.44,55.89,33.22,71.29,62.51,40.23,10.93,45.02,77.71,0.02,1.49,0.76,0.1,3.14,2.41,2.98,-0.1,0.12,17.57,37.58,94.7,86.8,78.56,73.55,74.77,28.42,46.26,81.71,79.9,0.73,-0.6,-0.38,3.31,1.02,0.29,1.19,66.2,1.05,0.74,82,36.82,35.56,70.28,52.1,45.34,35.46,77.76,36.14,52.06,0.32,0.69,0.7,0.35,57.2,6.92,3.09,0.74,0.34,0.14,31.57,66.77,60.21,57.19,32.13,60.9,61.72,88.42,71.63,64.9,40.47,56.93,97.93,51.99,71.53,64.91,22.09,81.61
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.32,0.13,5.63,0.52,4.82,0.17,-0.02,-0.91,38.5,-0.39,81.99,68.87,69.82,80.17,81.24,73.68,66.89,12.9,59.43,48.19,-0.02,-0.05,0.09,-0.07,3.3,2.4,4.48,-0.19,-0.11,14.76,78.12,66.2,71.85,55.65,77.02,74.46,39.74,37.73,44.91,69.41,0.1,-0.38,-0.31,4.27,1.23,0.33,1.24,71.43,1.22,0.87,62.52,45.19,41.18,89.83,67.32,51.54,52.19,86.58,62.9,80.65,0.34,1.06,1.05,0.6,57.3,9.16,3.52,-0.19,-0.85,-0.72,36.37,80.46,78.96,82.1,34.88,72.55,78.26,65.42,12,6.31,43.33,69.17,100.65,48.71,80.08,98.39,28.66,71.5
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.24,-0.25,5.01,-0.06,2.37,-0.32,-0.27,-0.06,37.9,0.11,79.58,36.87,59.73,33.75,39.13,57.31,54.06,67.09,56.57,73.1,0.02,-0.83,-1.26,-0.21,3.67,2.8,11.25,-0.1,-0.16,9.77,37.58,26.64,7.01,30.64,82.68,82.96,71.09,46.26,35.47,45.12,0.15,0.76,-0.16,2.02,1.7,0.83,1.09,49.4,1.61,0.83,64.1,80.67,54.59,40.39,87.51,92.31,22.75,50.27,91.08,73.82,0.72,0.15,0.18,0.08,57.88,5.13,3.47,-0.67,0.21,0.02,96.44,26.72,4.49,15.95,52.52,51.06,76.89,44.88,65.06,50.32,34,55.71,106.59,40.64,43.47,59.17,52.42,40.45
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,-0.04,-0.41,6.09,0.02,2.97,-0.56,-0.34,0.31,45.6,-0.78,70.92,21.5,76.18,61.42,56.05,31.84,48.45,85.3,87.93,23.54,0.07,-0.99,-0.52,-0.04,4.72,3.53,18.77,-0.04,0.05,12.19,6.89,19.32,39.82,60.4,93.52,92.73,87.9,54.19,72.2,57.5,1.48,1.83,0.07,2.34,1.97,0.78,1.09,65.22,1.85,1.09,95.56,95.52,76.99,46.44,92.89,90.56,22.75,76.15,96.41,95.29,0.7,0.29,0.31,0.2,58.75,5.62,4.18,-0.02,0.63,0.22,95.65,37.41,16.79,31.64,84.25,53.98,91.35,71.71,82.5,71.94,30.83,64.39,114.35,34.19,30.37,91.94,90.7,20.37
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,-0.02,-0.57,5.4,-0.4,2.68,-0.59,-0.74,-1.02,43.2,-0.01,71.66,10.88,66.23,18.87,48.52,26.96,7.03,10.01,81.1,68.85,0.12,-1.17,-0.84,-0.06,5.18,3.84,16.35,-0.02,-0.01,12.9,0.14,12.57,22.77,57.3,95.7,95,83.38,56.94,62.88,60.93,0.51,0.65,-0.03,2.2,2.28,0.94,1.1,55.04,2.11,1.21,75.81,78.2,68.23,43.83,96.28,94.53,23.17,59.18,99,97.95,0.82,0.36,0.37,0.18,56.34,8.7,4.65,0,0.4,0.5,98.48,43.17,23.54,28.47,18.93,70.07,95.82,72.51,74.44,87.76,27.11,67.32,114.31,38.55,16.69,96.83,90.61,32.82
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,0.04,-0.33,2.42,-0.48,1.64,-0.66,-0.75,-0.64,21.8,-1.62,73.88,28.89,27,16.05,22.04,15.45,6.3,23.61,6.61,1.52,0.05,2.41,2.21,0.35,1.32,0,24.28,0.39,0.18,27.43,14.68,98.98,98.44,95.12,34.14,0,95.42,97.54,87.68,96.18,1.38,-0.26,0.6,0,2.36,1.04,1.16,0,2.23,1.22,94.06,49.48,98.67,0,96.89,95.99,29.08,0,99.44,98.14,0.93,0.2,0.22,0.1,56.11,0,2.9,0.27,0.22,0.37,99.32,29.89,7.58,17.6,17.47,0,52.32,80.06,65.62,81.72,46.67,44.09,108.55,50.76,88.81,19.18,63.91,78.54
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,-0.42,-0.29,2.78,-0.76,1.87,-0.69,-0.59,-0.06,22.7,-0.79,55.07,32.99,29.17,9.07,26.61,11.92,20.99,67.09,7.68,22.95,0.07,0.9,0.82,0.08,5.46,4.21,27.51,0.14,0.07,17.84,6.89,88.65,87.68,76.42,96.66,96.82,98,79.99,75.07,80.85,-0.42,2.33,0.37,3.19,2.34,1.1,1.13,0,2.18,1.14,44.58,98.31,93.93,67.2,96.64,96.83,25.23,0,99.27,96.63,0.95,0.16,0.18,0.1,57.21,2.52,4.86,-0.14,0.97,0.9,99.49,27.26,4.49,17.6,32.28,39.83,97.15,67.47,89.79,96.78,46.67,53.21,108.64,47.65,88.81,48.93,64.29,67.72
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,-1.08,-0.17,0,0,2.61,-0.53,-0.53,-0.55,,-0.79,29.71,45.78,0,36.89,46.31,36.71,27.71,28.3,,22.95,0.02,-0.24,-0.54,-0.22,0.81,0,21.05,-0.09,-0.15,8.5,37.58,58.42,38.55,29,26.25,0,91.47,47.2,37.44,38.94,-0.35,-1.09,-0.1,0,1.79,0.98,1.02,0,1.48,0.78,47.06,7.21,61,0,89.67,95.27,20.3,0,85.56,63.86,0.63,0,0.18,0.15,58.32,0,1.99,-1.1,0.7,0.48,92.64,0,4.49,23.53,66.84,0,22.88,26.55,84.27,87.05,33.33,36.98,112.88,34.38,38.86,8.68,85.56,20.79
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,0.34,-0.35,4.51,-0.58,1.94,-0.66,-0.57,-0.3,38.9,-0.98,82.39,26.99,49.99,13.09,28.03,15.45,23.33,46.53,61.91,13.91,0.11,-0.42,-1.09,-0.14,5,3.92,13.78,-0.07,-0.09,9.8,0.54,49.35,12.29,43.25,94.79,95.55,77.85,49.73,48.6,45.29,1.1,0.23,-0.14,1.78,1.86,0.79,1.09,58.9,1.77,1.01,90.42,66.3,56.7,36.69,91.21,90.9,22.75,64.92,95.24,92.26,0.71,0.18,0.2,0.12,58.26,5.98,4.24,-0.35,1.07,0.67,96.01,28.46,6.04,19.81,64.58,56.1,92.12,59.17,91.47,92.52,49.23,64.31,102.25,45.47,93.76,91.7,33.15,59.21
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,-0.1,-0.6,4.21,-0.52,2.06,-0.6,-0.82,-1.16,36.7,-0.71,68.53,9.09,44.16,14.72,31.06,25.32,3.09,7.2,49.34,27.21,0.12,-0.62,-0.97,-0.19,3.9,2.97,9.64,-0.05,-0.17,10.2,0.14,37.86,16.91,34.04,86.12,85.76,65.84,52.6,33.53,47.36,0.26,0.29,-0.1,1.77,1.68,0.75,1.08,59.09,1.61,0.9,67.92,68.25,61,36.54,86.98,89.49,22.47,65.09,91.08,83.84,0.68,0.32,0.34,0.22,58.5,11.38,3.77,0.14,0.52,0.51,94.88,39.91,20.18,34.82,76.25,81.34,84.16,76.85,78.64,88.2,27.55,56.1,109.15,37.63,17.72,60.88,67.09,29.87
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0.01,-0.3,3.94,-0.2,1.83,-0.68,-0.5,0.08,36.1,-1.02,72.87,31.71,40.17,27.26,25.6,12.85,31.69,76.71,45.7,12.21,0.05,-0.16,-1.21,-0.15,4.18,3.01,10.45,-0.09,-0.15,10.44,14.68,61.94,8.5,41.57,89.34,86.51,68.65,47.2,37.44,48.78,-0.26,0.19,-0.18,1.93,2.08,0.91,1.05,49.6,1.96,1.09,50.34,65.16,52.53,38.92,94.59,93.94,21.11,50.34,97.83,95.29,0.81,0.34,0.36,0.17,56.38,11.9,4.14,0.05,0.29,0.1,98.28,41.62,22.51,26.84,19.33,83.01,90.89,74.25,69.41,61.07,25.97,56.86,111.85,25.9,13.36,64.55,81.15,7.09
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.05,-0.08,4.94,0.33,1.85,-0.71,-0.45,0.43,37.9,-0.2,74.24,54.22,58.37,73.84,26,9.68,37.43,88.62,56.57,59.83,0.05,-0.87,-1.18,-0.18,3.73,2.83,8.46,-0.09,-0.14,10.28,14.68,24.66,9.43,35.86,83.69,83.46,61.53,47.2,39.28,47.88,1.38,-0.12,-0.22,1.93,1.81,0.92,1.06,47.42,1.71,0.85,94.06,54.16,48.73,38.92,90.18,94.17,21.43,48.86,93.92,77.32,0.8,0.44,0.45,0.27,58.42,13.5,3.85,0.83,1.06,0.57,98.09,49.8,33.12,43.17,73.16,87.45,85.99,89.54,91.38,90.3,31.06,55.42,112.16,36.72,31.2,58,82.67,26.92
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,-0.53,-0.59,5.14,0.08,1.93,-0.53,-0.62,-0.74,38.4,-1.54,50.59,9.72,62.02,64.09,27.79,36.71,17.42,19.04,59,1.96,0.1,-1.27,-1.24,-0.21,4.02,3.2,17.82,-0.15,-0.15,9.75,0.87,9.45,7.77,30.64,87.42,89.3,86.15,41.23,37.44,44.99,-0.46,-0.91,-0.23,1.48,1.65,0.84,1.1,48.85,1.61,0.81,43.39,17.21,47.77,33.67,86.07,92.45,23.17,50.04,91.08,70.13,0.77,0.35,0.37,0.21,58,16.3,3.79,-0.07,0.69,-0.09,97.66,42.46,23.54,32.99,55.68,92.35,84.67,69.93,84.02,37.14,44,49.7,102.63,43.95,82.26,35.11,34.43,53.61
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.78,-0.64,2.54,-0.43,1.99,-0.66,-0.75,-0.68,19.8,-1.15,40.8,7.21,27.65,17.77,29.18,15.45,6.3,21.62,3.97,8.36,0.08,1.12,0.84,0.17,4.13,3.18,31.54,0.32,0.1,21.2,3.9,91.55,87.98,84.86,88.78,89.08,99.22,95.01,79.05,88.53,0.12,1.83,0.51,4.17,1.46,0.51,1.28,0,1.42,0.91,63.1,95.52,97.13,88.63,79.57,74.24,68.91,0,82.02,84.99,0.49,0.49,0.5,0.32,58.01,5.29,3.81,-0.41,0.02,-0.08,77.9,53.25,38.47,51.96,55.94,51.95,85.12,56.65,52.28,38.17,46.09,46.24,113.4,42.25,87.85,24.85,87.52,46.9
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,-0.76,-0.79,4.79,0.12,2.37,-0.44,-0.33,-0.02,37.4,-0.71,41.47,2.98,55.13,65.93,39.13,47.68,49.35,70.32,53.4,27.21,0.08,-0.08,-0.6,-0.08,3.51,2.6,21.14,-0.09,0.02,9.39,3.9,65.18,35.3,54.19,80.45,79.25,91.54,47.2,67.8,43.15,0.65,2.14,0.14,3.65,1.4,0.49,1.24,74.7,1.36,0.87,79.88,97.43,82.19,79.31,76.82,72.03,52.19,90.35,77.66,80.65,0.47,0.46,0.47,0.25,57.85,5.93,3.37,-0.77,-0.91,-0.64,74.36,51.12,35.44,39.48,51.47,55.78,73.54,40.82,10.78,8.21,35.48,61.41,109.16,37.5,49.2,83.29,67.16,29.33
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,-1.69,-0.27,5.5,0.26,2.76,-0.57,-0.53,-0.37,42,-0.46,13.24,35.06,67.9,71.4,50.59,30.28,27.71,40.73,76.61,43.43,-0.01,-0.4,-0.64,-0.02,2.47,1.8,9.34,0.03,0.11,11.15,69.88,50.48,32.98,63.65,57.77,56.75,64.89,64.07,80.56,52.55,0.2,1.65,0.15,2.75,0.95,0.28,1.29,75,1.03,0.72,65.87,94.22,83.13,55.86,46.77,43.79,72.6,90.44,33.26,46.17,0.35,0.57,0.6,0.25,56.67,8.11,2.72,-1.47,-0.61,-0.21,38.74,59.29,49.68,39.48,22.14,67.36,44.9,14.39,18.81,27.76,32,56.6,109.37,57.94,34.6,63.23,68.27,93.12
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,-0.38,-0.29,2.42,-0.3,1.78,-0.66,-0.74,-0.62,20.3,-1.06,56.68,32.99,27,22.75,24.53,15.45,7.03,24.69,4.89,10.91,0.05,0.93,1.13,0.24,0.78,0.03,18.46,0.38,0.15,20.96,14.68,89.12,91.48,90.18,25.61,30.61,87.36,97.23,84.83,88.08,0.44,0.81,0.4,0,1.18,0.44,1.2,0,1.19,0.76,73.61,81.87,94.82,0,63.47,66.22,37.74,0,58.58,58.29,0.43,0.26,0.28,0.17,57.3,0,1.79,-0.61,0.36,0.35,64.66,34.62,13.32,26.84,34.88,0,19.15,47.68,72.57,80.52,28.65,53.75,112.73,38.36,21.32,51.23,85.08,32.18
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,-0.95,-0.33,4.88,-0.49,3.66,0.06,-0.03,-0.47,34.3,-0.88,33.89,28.89,57.17,15.68,69.14,71.48,66.54,33.16,35.89,18.27,0.03,-1.18,-1.45,-0.29,0.5,0,1.59,-0.28,-0.22,6.58,28.38,12.18,3.61,18.3,20.2,0,22.23,31.63,25.12,30.56,-0.66,-0.55,-0.59,0,1.01,0.5,1.2,0,1.08,0.64,36.71,39.17,15.25,0,51.25,73.12,37.74,0,40.78,24.2,0.47,0.84,0.83,0.49,57.3,0,1.98,-0.98,-0.13,0.05,74.36,73.29,69.16,74.68,34.88,0,22.66,30.99,41.7,55.23,29.33,57.46,100.81,47.55,23.64,67.24,29.09,67.37
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,-0.23,-0.38,6.65,-1.05,5.35,1.88,1.87,0.28,34.2,0.32,63.04,24.45,81.61,5.74,85.31,91.05,91.62,84.41,35.28,79.74,0.05,-1.36,-1.16,-0.33,2.08,1.38,3.46,-0.51,-0.27,7.23,14.68,7.34,9.97,13.99,47.48,43.4,31.81,16.71,17.5,33.51,-1.13,-0.95,-0.57,3.89,0.96,0.27,1.17,66.67,1.03,0.72,20.65,14.82,17.33,84.05,47.59,42.24,30.77,77.98,33.26,46.17,0.33,0.69,0.7,0.43,58.57,4.35,2.69,-0.34,0.57,0.22,33.91,66.77,60.21,69.44,79.29,47.06,43.73,59.53,80.45,71.94,46.09,57.24,99.92,55.73,87.85,66.36,26.78,89.98
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,0.35,0.25,6.41,0.24,5.14,0.73,0.92,0.62,40.6,0.81,82.6,75.4,79.35,70.74,83.69,79.47,81.16,91.73,71.19,89.2,0,-0.96,-1.16,-0.28,0.78,0.03,1.1,-0.46,-0.26,9.22,59.35,20.49,9.97,19.69,25.61,30.61,19.49,20.72,18.75,42.33,-1.11,-0.9,-0.75,0,0.95,0.2,1.17,0,1.01,0.77,21.46,18.01,6.14,0,46.77,32.45,30.77,0,29.99,61.37,0.27,0.92,0.91,0.54,57.52,0,2.08,0.48,0.56,0.43,22.27,76.43,73.51,78.42,42.08,0,24.92,84.38,80.02,84.65,30.11,51.43,102.57,55.65,27.56,41.7,34.18,89.88
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,0.85,0.53,8.2,0.16,6.91,1.82,1.67,-0.22,41.1,-0.19,91.02,85.6,91.18,67.68,93.87,90.28,89.29,53.47,73.08,60.51,-0.01,-1.42,-1.2,-0.29,2.27,1.67,1.88,-0.66,-0.34,8.02,69.88,5.95,8.89,18.3,52.06,52.13,23.24,7.56,10.6,37.08,-1.05,-0.88,-0.71,3.02,0.89,0.3,1.15,0,0.95,0.65,23.53,19.35,8.11,62.59,41.94,46.78,27.61,0,22.27,26.51,0.33,1,0.98,0.58,57.75,5.99,2.87,0.87,1.64,0.75,33.91,78.93,76.51,81.06,48.45,56.15,50.98,90.07,97.26,94.16,34.05,42.04,96.5,46.68,43.83,14.41,18.68,64.1
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,-1.58,0.04,9.28,-1.52,5.32,1.72,0.76,-2.95,39.6,-0.51,15.47,63.07,95.86,3.09,85.02,89.18,79.33,0,65.72,40.17,0.05,-0.3,0.15,-0.25,1.58,1.13,3.45,-0.56,-0.31,11.89,14.68,55.38,73.71,23.9,37.28,37.5,31.74,13.35,13.23,56.12,-1.29,-1.06,-0.58,3.51,0.68,0.23,1.14,37.5,0.91,0.64,15.56,8.38,16.1,75.66,28.43,36.54,26.31,43.4,17.89,24.2,0.33,0.57,0.6,0.2,56.48,4.13,2.31,-0.84,1.01,0.41,33.91,59.29,49.68,31.64,20.09,45.93,31.03,37.01,90.37,83.63,31.89,56.47,92.43,32.92,34.41,62.43,10.26,16.3
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,-1,-0.23,2.51,-0.53,1.81,-0.75,-0.88,-0.82,20.9,-0.45,32.47,39.13,27.49,14.45,25.15,4.2,1.27,15.72,5.44,44.13,0.04,1.03,0.71,0.07,2.27,1.89,20.04,0.17,0.04,21.04,20.89,90.37,86.02,75.14,52.06,59.49,89.95,83.65,71,88.26,2.41,2.32,0.32,3.64,0.73,0.35,1.14,0,0.81,0.48,99.64,98.24,92.04,78.93,31.21,54.3,26.31,0,8.9,2.79,0.37,0.19,0.21,0.08,56.36,2.29,2.2,-0.92,0.26,0.51,44.84,29.28,6.65,15.95,19.06,39.12,27.85,33.57,67.8,88.2,36.97,52.34,111.18,38.31,55.76,45.47,77.96,32
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,-0.06,-0.6,2.39,-0.72,1.57,-0.69,-0.79,-0.71,19.8,-0.56,70.09,9.09,26.9,9.75,21.11,11.92,4.16,20.53,3.97,36.75,0.09,1.17,1.06,0.09,0.47,0.02,18.21,0.16,0.08,20.82,1.98,92.12,90.91,77.3,19.73,30.3,86.85,82.58,76.37,87.66,0.14,2.61,0.35,0,1.11,0.66,1.2,0,1.13,0.53,63.86,99.21,93.22,0,58.61,85.29,37.74,0,48.71,6.23,0.61,0.26,0.27,0.13,56.29,0,1.72,0.06,-0.3,-0.05,91.5,34.62,12.17,20.97,18.61,0,18.18,74.47,32.27,41.25,45.64,52.8,110.88,36.67,87.09,47.3,76.51,26.37
