provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_team,away_team,over_odds,under_odds,updated_at,period,event_date,question
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-97,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,97.5,SAS,POR,-100,-100,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 97.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-94,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,94.5,SAS,POR,-100,-100,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 94.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-118,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,118.5,SAS,POR,-100,-100,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 118.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-115,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,115.5,SAS,POR,-100,-100,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 115.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-112,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,112.5,SAS,POR,212,-212,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 112.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-109,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,109.5,SAS,POR,150,-150,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 109.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-106,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,106.5,SAS,POR,106,-106,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 106.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-103,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,103.5,SAS,POR,-138,138,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 103.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21PORSAS,KXNBA2HTOTAL-26APR21PORSAS-100,nba,Portland vs San Antonio: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,100.5,SAS,POR,-208,208,2026-04-20T15:35:00.790889Z,,2026-04-22T03:00:00Z,"If the teams in the game collectively score more than 100.5 points in the 2nd Half of the Portland vs San Antonio professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-98,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,98.5,OKC,PHX,-199,199,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 98.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-95,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,95.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 95.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-92,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,92.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 92.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-116,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,116.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 116.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-113,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,113.5,OKC,PHX,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 113.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-110,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,110.5,OKC,PHX,223,-223,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 110.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-107,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,107.5,OKC,PHX,153,-153,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 107.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-104,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,104.5,OKC,PHX,106,-106,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 104.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR22PHXOKC,KXNBA2HTOTAL-26APR22PHXOKC-101,nba,Phoenix vs Oklahoma City: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,101.5,OKC,PHX,-138,138,2026-04-20T14:35:00.791435Z,,2026-04-23T04:30:00Z,"If the teams in the game collectively score more than 101.5 points in the 2nd Half of the Phoenix vs Oklahoma City professional basketball game originally scheduled for Apr 22, 2026, then the market resolves to Yes."
kalshi,KXNBA2HTOTAL-26APR21HOULAL,KXNBA2HTOTAL-26APR21HOULAL-97,nba,Houston vs Los Angeles L: Second Half Total?,kalshi,Kalshi,prediction_market,nba,game_total,total,,97.5,LAL,HOU,-100,-100,2026-04-20T14:35:00.791435Z,,2026-04-22T05:30:00Z,"If the teams in the game collectively score more than 97.5 points in the 2nd Half of the Houston vs Los Angeles L professional basketball game originally scheduled for Apr 21, 2026, then the market resolves to Yes."
