poll_id,sport,content_text,market_family,poll_player_name,poll_stat,poll_line,poll_home_team,poll_away_team,book,book_display_name,book_category,book_player_name,book_stat,book_line,book_home_team,book_away_team,book_over_odds,book_under_odds,updated_at,match_score,match_reasons
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,4.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=4.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,12.5,bos,det,700,-700,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=4.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,3.5,bos,det,-167,167,2026-04-19T22:21:00.833055+00:00,70.0,sport+market | same game | game total | line diff=5.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,3.5,bos,det,-300,300,2026-04-19T22:21:00.833055+00:00,70.0,sport+market | same game | game total | line diff=5.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,3.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=5.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,3.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=5.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,2.5,bos,det,-413,413,2026-04-19T22:21:00.833055+00:00,70.0,sport+market | same game | game total | line diff=6.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,2.5,bos,det,-122,122,2026-04-19T22:21:00.833055+00:00,70.0,sport+market | same game | game total | line diff=6.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,2.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=6.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,2.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=6.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,1.5,bos,det,-19900,19900,2026-04-19T22:21:00.833055+00:00,70.0,sport+market | same game | game total | line diff=7.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,1.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=7.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,1.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=7.00 | two-way odds
341460,mlb,Total runs 8.5,game_total,,,8.5,bos,det,kalshi,Kalshi,prediction_market,,total,0.5,bos,det,-19900,19900,2026-04-19T22:21:00.791248+00:00,70.0,sport+market | same game | game total | line diff=8.00 | two-way odds
341459,mlb,Gleyber Torres · 0.5 hits + runs + RBIs,player_over_under,gleyber torres,hitsrunsrbis,0.5,bos,det,kalshi,Kalshi,prediction_market,gleyber torres,hitsrunsrbis,0.5,bos,det,228,-228,2026-04-20T12:59:00.790854+00:00,120.0,sport+market | same game | same player | same stat | line diff=0.00 | two-way odds
341459,mlb,Gleyber Torres · 0.5 hits + runs + RBIs,player_over_under,gleyber torres,hitsrunsrbis,0.5,bos,det,kalshi,Kalshi,prediction_market,gleyber torres,hitsrunsrbis,1.5,bos,det,102,-102,2026-04-20T12:59:00.790854+00:00,110.0,sport+market | same game | same player | same stat | line diff=1.00 | two-way odds
