Source Site: DraftKings
Coverage: 3 game(s)
Selected Slates:
  29272 | Classic | 2026-04-20 19:00:00 | 3/3 game(s)

Aaron Gordon: Adjusted RTG = 241.50, Adjusted FP = 55.78, Base FP = 29.36, Multiplier = 1.900, Rating = 127.11, Salary = $5600, Team = DEN, Pos = PF/F/C/UTIL
Mikal Bridges: Adjusted RTG = 475.83, Adjusted FP = 55.78, Base FP = 27.89, Multiplier = 2.000, Rating = 237.92, Salary = $5200, Team = NYK, Pos = SF/F/UTIL
Collin Murray-Boyles: Adjusted RTG = 0.00, Adjusted FP = 54.37, Base FP = 17.54, Multiplier = 3.100, Rating = 0.00, Salary = $3900, Team = TOR, Pos = PF/F/C/UTIL
Sandro Mamukelashvili: Adjusted RTG = 193.07, Adjusted FP = 54.21, Base FP = 19.36, Multiplier = 2.800, Rating = 68.95, Salary = $3900, Team = TOR, Pos = C/UTIL
Landry Shamet: Adjusted RTG = 171.37, Adjusted FP = 53.80, Base FP = 13.45, Multiplier = 4.000, Rating = 42.84, Salary = $3400, Team = NYK, Pos = SG/G/UTIL
Jamal Murray: Adjusted RTG = 289.91, Adjusted FP = 51.46, Base FP = 42.88, Multiplier = 1.200, Rating = 241.59, Salary = $8600, Team = DEN, Pos = PG/G/UTIL
Sam Merrill: Adjusted RTG = 268.93, Adjusted FP = 50.34, Base FP = 17.98, Multiplier = 2.800, Rating = 96.05, Salary = $4100, Team = CLE, Pos = SG/G/UTIL
Miles McBride: Adjusted RTG = 344.10, Adjusted FP = 50.23, Base FP = 17.94, Multiplier = 2.800, Rating = 122.89, Salary = $3700, Team = NYK, Pos = PG/SG/G/UTIL
Max Strus: Adjusted RTG = 268.80, Adjusted FP = 49.67, Base FP = 17.74, Multiplier = 2.800, Rating = 96.00, Salary = $4000, Team = CLE, Pos = SG/SF/G/F/UTIL
Immanuel Quickley: Adjusted RTG = 164.16, Adjusted FP = 47.86, Base FP = 26.59, Multiplier = 1.800, Rating = 91.20, Salary = $5300, Team = TOR, Pos = PG/G/UTIL
Mitchell Robinson: Adjusted RTG = 79.29, Adjusted FP = 44.82, Base FP = 14.94, Multiplier = 3.000, Rating = 26.43, Salary = $4400, Team = NYK, Pos = C/UTIL
Keon Ellis: Adjusted RTG = 544.92, Adjusted FP = 42.72, Base FP = 10.68, Multiplier = 4.000, Rating = 136.23, Salary = $3600, Team = CLE, Pos = SF/PF/F/UTIL
