Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2024-25,1628981,Bruno Fernando,1610612761,TOR,26.0,Bruno,1.4,2.1,0.633,0.3,0.8,0.364,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1627741,Buddy Hield,1610612744,GSW,31.0,Buddy,1.3,2.2,0.615,0.6,1.1,0.5,0.1,0.6,0.182,0.6,1.2,0.476,0.4,0.9,0.471,2.5,5.8,0.429,0.0,0.0,0.0,1.0,2.1,0.474
2024-25,203468,CJ McCollum,1610612740,NOP,33.0,CJ,2.5,3.0,0.833,1.2,3.3,0.35,0.5,2.0,0.25,0.3,0.5,0.667,0.0,0.3,0.0,3.0,8.3,0.36,0.0,0.0,0.0,0.3,0.8,0.4
2024-25,1630595,Cade Cunningham,1610612765,DET,23.0,Cade,3.2,6.1,0.529,2.2,5.1,0.442,1.1,2.6,0.409,0.2,0.4,0.5,0.1,0.1,0.5,2.0,5.7,0.351,0.0,0.1,0.0,0.2,0.5,0.5
2024-25,1631216,Caleb Houstan,1610612753,ORL,21.0,Caleb,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.0,0.3,0.0,0.2,0.3,0.5,0.1,0.7,0.125,0.0,0.0,0.0,0.1,0.5,0.25
2024-25,1628997,Caleb Martin,1610612755,PHI,29.0,Caleb,1.3,2.3,0.556,0.7,1.4,0.5,0.6,1.7,0.333,0.3,0.4,0.714,0.3,0.6,0.444,0.3,1.8,0.172,0.0,0.1,0.0,0.6,1.0,0.563
2024-25,1629629,Cam Reddish,1610612747,LAL,25.0,Cam,0.8,1.3,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.5,0.667,0.2,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.5,0.8,0.6
2024-25,1642285,Cam Spencer,1610612763,MEM,24.0,Cam,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1630560,Cam Thomas,1610612751,BKN,23.0,Cam,1.9,3.5,0.559,1.6,3.5,0.458,1.6,3.1,0.528,0.1,0.7,0.167,0.1,0.4,0.167,2.7,6.4,0.426,0.0,0.0,0.0,0.2,1.1,0.167
2024-25,1641715,Cam Whitmore,1610612745,HOU,20.0,Cam,1.6,2.5,0.65,0.1,0.4,0.333,0.4,0.5,0.75,0.0,0.3,0.0,0.0,0.6,0.0,0.1,2.1,0.059,0.0,0.0,0.0,0.0,0.7,0.0
2024-25,1629661,Cameron Johnson,1610612751,BKN,28.0,Cameron,1.9,2.6,0.74,0.5,1.2,0.435,0.4,0.9,0.412,0.5,1.2,0.455,0.3,0.7,0.429,2.3,5.7,0.407,0.0,0.0,0.0,0.8,1.9,0.444
2024-25,1626166,Cameron Payne,1610612752,NYK,30.0,Cameron,0.6,1.1,0.6,0.6,1.1,0.5,0.1,0.6,0.125,0.2,0.2,1.0,0.1,0.2,0.5,1.5,3.8,0.396,0.0,0.0,0.0,0.3,0.4,0.8
2024-25,1627747,Caris LeVert,1610612739,CLE,30.0,Caris,2.0,3.2,0.619,0.4,0.7,0.556,0.2,0.3,0.5,0.3,0.7,0.5,0.4,0.8,0.5,1.0,2.3,0.433,0.0,0.0,0.0,0.7,1.4,0.5
2024-25,1642267,Carlton Carrington,1610612764,WAS,19.0,Carlton,0.8,1.5,0.52,0.4,1.1,0.333,0.8,1.5,0.5,0.1,0.1,1.0,0.0,0.3,0.0,1.3,3.5,0.367,0.0,0.1,0.0,0.1,0.4,0.286
2024-25,1641717,Cason Wallace,1610612760,OKC,21.0,Cason,1.2,2.1,0.579,0.5,1.1,0.45,0.2,0.4,0.571,0.2,0.7,0.25,0.2,0.7,0.25,0.4,1.5,0.296,0.0,0.0,0.0,0.3,1.3,0.25
2024-25,1629646,Charles Bassey,1610612759,SAS,24.0,Charles,1.5,2.3,0.667,0.4,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1631096,Chet Holmgren,1610612760,OKC,22.0,Chet,3.1,4.3,0.721,0.6,2.2,0.273,0.5,0.9,0.556,0.3,0.6,0.5,0.1,0.2,0.5,1.0,2.9,0.345,0.0,0.0,0.0,0.4,0.8,0.5
2024-25,1628449,Chris Boucher,1610612761,TOR,31.0,Chris,1.9,2.5,0.75,0.5,1.2,0.455,0.3,0.5,0.667,0.3,0.6,0.545,0.3,1.2,0.286,0.5,2.2,0.244,0.0,0.0,0.0,0.6,1.7,0.375
2024-25,1630537,Chris Duarte,1610612741,CHI,27.0,Chris,0.2,0.4,0.5,0.3,0.3,1.0,0.2,0.2,1.0,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.8,0.375,0.0,0.0,0.0,0.1,0.1,1.0
2024-25,1641753,Chris Livingston,1610612749,MIL,21.0,Chris,0.5,1.0,0.5,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-25,101108,Chris Paul,1610612759,SAS,39.0,Chris,0.3,0.4,0.857,0.7,0.9,0.722,0.7,1.4,0.481,0.1,0.3,0.167,0.2,0.3,0.5,1.7,4.4,0.381,0.0,0.1,0.0,0.2,0.6,0.333
2024-25,1631128,Christian Braun,1610612743,DEN,23.0,Christian,3.9,5.5,0.71,0.5,1.5,0.32,0.2,0.5,0.5,0.4,0.5,0.667,0.1,0.5,0.222,0.9,1.8,0.5,0.0,0.0,0.0,0.5,1.1,0.444
2024-25,1631132,Christian Koloko,1610612747,LAL,24.0,Christian,0.9,1.2,0.75,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-25,203991,Clint Capela,1610612737,ATL,30.0,Clint,3.8,5.8,0.655,1.0,2.2,0.463,0.1,0.2,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1629632,Coby White,1610612741,CHI,24.0,Coby,1.6,2.7,0.604,0.6,1.2,0.458,0.7,1.5,0.448,0.4,1.0,0.368,0.2,0.5,0.4,2.9,7.2,0.399,0.0,0.2,0.0,0.6,1.5,0.379
2024-25,1628998,Cody Martin,1610612766,CHA,29.0,Cody,1.4,2.1,0.676,0.2,0.7,0.231,0.3,0.8,0.4,0.3,0.6,0.455,0.3,0.9,0.375,0.6,1.9,0.314,0.0,0.0,0.0,0.6,1.5,0.407
2024-25,1642262,Cody Williams,1610612762,UTA,20.0,Cody,0.5,1.1,0.471,0.2,0.8,0.25,0.0,0.1,0.0,0.1,0.8,0.167,0.1,0.7,0.182,0.2,0.9,0.214,0.0,0.0,0.0,0.3,1.4,0.174
2024-25,1641732,Colby Jones,1610612758,SAC,22.0,Colby,0.2,0.2,1.0,0.1,0.4,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.4,0.667,0.0,0.0,0.0,0.0,0.2,0.0
2024-25,1630175,Cole Anthony,1610612753,ORL,24.0,Cole,0.4,0.8,0.571,0.4,1.0,0.389,0.2,0.6,0.4,0.0,0.4,0.0,0.0,0.1,0.0,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.4,0.0
2024-25,1631306,Cole Swider,1610612765,DET,25.0,Cole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-25,1630658,Colin Castleton,1610612763,MEM,24.0,Colin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3,0.0
2024-25,1631221,Collin Gillespie,1610612756,PHX,25.0,Collin,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2024-25,1629012,Collin Sexton,1610612762,UTA,25.0,Collin,1.5,2.6,0.587,2.0,3.9,0.507,0.4,1.4,0.28,0.2,0.4,0.375,0.2,0.4,0.5,1.5,3.3,0.458,0.0,0.0,0.0,0.4,0.9,0.438
