player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,RequestedPlayType,QueryPlayType,stats_shot3Percent
Grant,Williams,Grant Williams,5d9a87a67455336e87b9df9b,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,105,,8,8,1.0,,2,1,3,0.6666666666666666,0.6666666666666666,2,1,3,0.6666666666666666,0,0,0,4,2,6,0.6666666666666666,0,3,5,2,6120261cea4488c9fd5c57c5,,ISO,ISO,
Duncan,Robinson,Duncan Robinson,5bb146c4aeda7199391557ee,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,97,,4,5,1.25,,1,2,3,0.3333333333333333,0.5,0,1,1,0.0,1,1,2,2,1,3,0.6666666666666666,0,1,2,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.5
Brandon,Goodwin,Brandon Goodwin,61cfc38adf8a6a3c11fc4d66,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,36,0.08415841584158416,17,19,1.1176470588235294,18,7,8,15,0.4666666666666667,0.5,6,7,13,0.46153846153846156,1,1,2,4,0,4,1.0,2,3,8,1,6120261cea4488c9fd5c57c5,,ISO,ISO,0.5
Jaden,Springer,Jaden Springer,615ba9bde771e94fc0bc4744,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,11,,3,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,1,6120261cea4488c9fd5c57c5,,ISO,ISO,
Isaiah,Thomas,Isaiah Thomas,622026b325a53488851091ce,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,18,,5,6,1.2,,2,2,4,0.5,0.75,0,0,0,,2,2,4,0,0,0,,0,0,2,1,6120261cea4488c9fd5c57c5,,ISO,ISO,0.5
Lonzo,Ball,Lonzo Ball,615d0923e771e94fc00a6bb6,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,39,0.019267822736030827,10,5,0.5,257,0,6,6,0.0,0.0,0,1,1,0.0,0,5,5,5,1,6,0.8333333333333334,0,2,3,1,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
RJ,Barrett,RJ Barrett,5d9be6e17455336e875c33c8,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,74,0.06641604010025062,106,90,0.8490566037735849,154,31,55,86,0.36046511627906974,0.37209302325581395,29,41,70,0.4142857142857143,2,14,16,26,4,30,0.8666666666666667,6,17,43,8,6120261cea4488c9fd5c57c5,,ISO,ISO,0.125
Malcolm,Brogdon,Malcolm Brogdon,5d97763a7455336e8792256b,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,38,0.07381615598885793,53,44,0.8301886792452831,166,14,20,34,0.4117647058823529,0.4264705882352941,13,11,24,0.5416666666666666,1,9,10,15,3,18,0.8333333333333334,0,8,23,10,6120261cea4488c9fd5c57c5,,ISO,ISO,0.1
Brook,Lopez,Brook Lopez,5bb553e3aeda719939fe7df7,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,29,,6,10,1.6666666666666667,,3,1,4,0.75,1.0,1,1,2,0.5,2,0,2,2,0,2,1.0,0,1,4,1,6120261cea4488c9fd5c57c5,,ISO,ISO,1.0
Saddiq,Bey,Saddiq Bey,5fd42b7d5fe05a0e9f828cab,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,84,0.0881057268722467,120,107,0.8916666666666667,128,38,64,102,0.37254901960784315,0.43137254901960786,26,49,75,0.3466666666666667,12,15,27,19,4,23,0.8260869565217391,1,11,49,7,6120261cea4488c9fd5c57c5,,ISO,ISO,0.4444444444444444
