player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent,stats_timePercent,stats_pppRank
RJ,Nembhard Jr.,RJ Nembhard Jr.,615d0923e771e94fc00a6ba8,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,1,0,0.0,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Kelan,Martin,Kelan Martin,5fd57d3a5fe05a0e9f5ac5ed,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,29,6,2,0.3333333333333333,1,5,6,0.16666666666666666,0.16666666666666666,1,3,4,0.25,0,2,2,0.0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Hassani,Gravett,Hassani Gravett,5d9be9607455336e875efe9f,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,11,1,3,3.0,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Spencer,Dinwiddie,Spencer Dinwiddie,615d0e4fe771e94fc0255ac9,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,48,8,6,0.75,2,5,7,0.2857142857142857,0.2857142857142857,2,1,3,0.6666666666666666,0,4,4,0.0,2,0,2,0,1,3,0,6120261cea4488c9fd5c57c5,,OffScreen,1.0,,
Gordon,Hayward,Gordon Hayward,5fd582355fe05a0e9f6d194d,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,50,44,43,0.9772727272727273,15,20,35,0.42857142857142855,0.5285714285714286,8,11,19,0.42105263157894735,7,9,16,0.4375,6,2,8,0,4,19,5,6120261cea4488c9fd5c57c5,,OffScreen,0.75,0.05721716514954486,100
Chris,Boucher,Chris Boucher,5bb00804aeda719939187859,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,86,3,0,0.0,0,2,2,0.0,0.0,0,0,0,,0,2,2,0.0,0,0,0,0,0,0,1,6120261cea4488c9fd5c57c5,,OffScreen,,,
James,Harden,James Harden,620f1ad207c7bd5c29a4b8c5,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,33,3,0,0.0,0,2,2,0.0,0.0,0,0,0,,0,2,2,0.0,0,0,0,0,0,0,1,6120261cea4488c9fd5c57c5,,OffScreen,,,
Tobias,Harris,Tobias Harris,5c5e3ba985d07ba97643717f,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,86,44,30,0.6818181818181818,10,25,35,0.2857142857142857,0.32857142857142857,7,16,23,0.30434782608695654,3,9,12,0.25,7,1,8,0,4,14,5,6120261cea4488c9fd5c57c5,,OffScreen,0.875,0.03089887640449438,202
Zach,Lavine,Zach Lavine,59af0afe17120e9c9a994dc6,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,75,112,112,1.0,38,60,98,0.3877551020408163,0.5051020408163265,15,22,37,0.40540540540540543,23,38,61,0.3770491803278688,13,2,15,3,9,44,8,6120261cea4488c9fd5c57c5,,OffScreen,0.8666666666666667,0.06698564593301436,84
Terry,Rozier,Terry Rozier,5d9a87a67455336e87b9df73,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,118,142,1.2033898305084745,53,55,108,0.49074074074074076,0.6157407407407407,26,20,46,0.5652173913043478,27,35,62,0.43548387096774194,9,1,10,1,4,56,7,6120261cea4488c9fd5c57c5,,OffScreen,0.9,0.0858806404657933,20
Cameron,Reddish,Cameron Reddish,5d9bee7d7455336e8764a791,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,38,27,18,0.6666666666666666,7,18,25,0.28,0.3,6,9,15,0.4,1,9,10,0.1,3,0,3,1,2,8,1,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.05567010309278351,203
Mychal,Mulder,Mychal Mulder,6179fbe4e771e94fc033b27b,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,15,7,5,0.7142857142857143,2,5,7,0.2857142857142857,0.35714285714285715,1,3,4,0.25,1,2,3,0.3333333333333333,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
John,Collins,John Collins,59e63b1d44b2b8aa7e5cdddf,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,63,11,9,0.8181818181818182,3,7,10,0.3,0.45,0,3,3,0.0,3,4,7,0.42857142857142855,0,0,0,0,0,3,1,6120261cea4488c9fd5c57c5,,OffScreen,,0.012415349887133182,169
Scottie,Barnes,Scottie Barnes,615ba9bde771e94fc0bc4758,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,83,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Cody,Martin,Cody Martin,5d9a87a67455336e87b9df7c,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,6,3,0.5,1,5,6,0.16666666666666666,0.25,0,3,3,0.0,1,2,3,0.3333333333333333,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
