player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Cassius,Stanley,Cassius Stanley,615e4bcfe771e94fc0e9eb33,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,,7,11,1.5714285714285714,,4,2,6,0.6666666666666666,0.6666666666666666,4,2,6,0.6666666666666666,0,0,0,3,0,3,1.0,1,2,5,0,6120261cea4488c9fd5c57c5,,Cut
Tacko,Fall,Tacko Fall,615d0923e771e94fc00a6b99,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,14,,3,3,1.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,1,1,2,0.5,0,1,2,1,6120261cea4488c9fd5c57c5,,Cut
Pascal,Siakam,Pascal Siakam,5776bc735762021398fe3f48,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,74,0.043067846607669616,73,102,1.3972602739726028,103,47,18,65,0.7230769230769231,0.7230769230769231,47,18,65,0.7230769230769231,0,0,0,8,3,11,0.7272727272727273,3,7,50,4,6120261cea4488c9fd5c57c5,,Cut
James,Harden,James Harden,600391f85fe05a0e9fc8f8e5,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,47,,8,6,0.75,,3,3,6,0.5,0.5,3,3,6,0.5,0,0,0,0,0,0,,0,0,3,2,6120261cea4488c9fd5c57c5,,Cut
Domantas,Sabonis,Domantas Sabonis,59af0b0117120e9c9a99584f,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,51,0.1826381059751973,162,210,1.2962962962962963,194,84,36,120,0.7,0.7,84,36,120,0.7,0,0,0,42,15,57,0.7368421052631579,7,32,108,17,6120261cea4488c9fd5c57c5,,Cut
Terry,Rozier,Terry Rozier,5d9a87a67455336e87b9df73,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,0.026200873362445413,36,57,1.5833333333333333,17,21,6,27,0.7777777777777778,0.7777777777777778,21,6,27,0.7777777777777778,0,0,0,15,1,16,0.9375,2,9,28,2,6120261cea4488c9fd5c57c5,,Cut
Josh,Richardson,Josh Richardson,615baa6de771e94fc0c8481c,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,47,0.032036613272311214,14,17,1.2142857142857142,255,7,3,10,0.7,0.7,7,3,10,0.7,0,0,0,3,1,4,0.75,0,2,9,2,6120261cea4488c9fd5c57c5,,Cut
Svi,Mykhailiuk,Svi Mykhailiuk,615ba9bde771e94fc0bc4785,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,64,0.04229607250755287,14,15,1.0714285714285714,335,6,6,12,0.5,0.5,6,6,12,0.5,0,0,0,3,1,4,0.75,0,2,8,0,6120261cea4488c9fd5c57c5,,Cut
Terry,Taylor,Terry Taylor,615d00e0e771e94fc0d29289,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,35,0.17164179104477612,46,67,1.4565217391304348,63,31,10,41,0.7560975609756098,0.7560975609756098,31,10,41,0.7560975609756098,0,0,0,5,2,7,0.7142857142857143,1,4,34,2,6120261cea4488c9fd5c57c5,,Cut
Myles,Turner,Myles Turner,55a494fe1e31501db44135d1,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,46,0.07289719626168224,39,55,1.4102564102564104,90,21,7,28,0.75,0.75,21,7,28,0.75,0,0,0,13,5,18,0.7222222222222222,2,10,27,3,6120261cea4488c9fd5c57c5,,Cut
