player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_timePercent,stats_pppRank,stats_ftPercent
Alex,Caruso,Alex Caruso,615d0923e771e94fc00a6bbf,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,49,1,2,2.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Omer,Yurtseven,Omer Yurtseven,60b05108569beabf90f950fc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,70,45,37,0.8222222222222222,17,22,39,0.4358974358974359,0.4358974358974359,17,22,39,0.4358974358974359,0,0,0,3,5,8,2,4,20,3,6120261cea4488c9fd5c57c5,,PostUp,0.12096774193548387,127,0.375
Anthony,Gill,Anthony Gill,5fd6bffd5fe05a0e9f57ebd4,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,47,5,8,1.6,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,4,2,6,0,3,5,0,6120261cea4488c9fd5c57c5,,PostUp,,,0.6666666666666666
Luke,Kornet,Luke Kornet,61c3f077df8a6a3c11db6a18,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,2,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Jalen,McDaniels,Jalen McDaniels,5da130fa7455336e87c212c3,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,60,3,0,0.0,0,3,3,0.0,0.0,0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,5d9bf9d27455336e876fcf16,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,61,13,11,0.8461538461538461,4,6,10,0.4,0.4,4,6,10,0.4,0,0,0,3,1,4,0,2,6,1,6120261cea4488c9fd5c57c5,,PostUp,0.06190476190476191,122,0.75
Micah,Potter,Micah Potter,61cd191ddf8a6a3c11f91df4,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,3,1,2,2.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Javin,DeLaurier,Javin DeLaurier,615d0caee771e94fc01cac21,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,5,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Javonte,Smart,Javonte Smart,61ac3648d7ea140d4ab2ba06,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,13,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Goran,Dragic,Goran Dragic,615ba9bde771e94fc0bc4779,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,9,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Chris,Silva,Chris Silva,5d9d3cc97455336e87fb9d63,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,9,2,2,1.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,0,0,1,1,6120261cea4488c9fd5c57c5,,PostUp,,,
Tomas,Satoransky,Tomas Satoransky,544580d2300969b132fd4898,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,22,2,4,2.0,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,PostUp,,,
P.J.,Washington,P.J. Washington,5d9a87a67455336e87b9df84,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,70,24,18,0.75,9,9,18,0.5,0.5,9,9,18,0.5,0,0,0,0,2,2,0,1,9,5,6120261cea4488c9fd5c57c5,,PostUp,0.034532374100719423,149,0.0
Braxton,Key,Braxton Key,623e743a27fee22f444c4b59,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,4,4,1.0,2,2,4,0.5,0.5,2,2,4,0.5,0,0,0,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Luke,Kornet,Luke Kornet,61d8fe2cdf8a6a3c1170a331,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,1,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Enes,Kanter,Enes Kanter,5d9a87a67455336e87b9df91,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,39,27,29,1.0740740740740742,10,8,18,0.5555555555555556,0.5555555555555556,10,8,18,0.5555555555555556,0,0,0,9,0,9,1,4,14,5,6120261cea4488c9fd5c57c5,,PostUp,0.18120805369127516,33,1.0
Tyler,Cook,Tyler Cook,615d0923e771e94fc00a6bc4,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,22,6,6,1.0,3,3,6,0.5,0.5,3,3,6,0.5,0,0,0,0,0,0,0,0,3,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Al,Horford,Al Horford,615baa6de771e94fc0c8482e,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,94,114,109,0.956140350877193,44,49,93,0.4731182795698925,0.4731182795698925,44,49,93,0.4731182795698925,0,0,0,21,5,26,4,11,55,10,6120261cea4488c9fd5c57c5,,PostUp,0.12284482758620689,71,0.8076923076923077
Saddiq,Bey,Saddiq Bey,5fd42b7d5fe05a0e9f828cab,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,84,75,59,0.7866666666666666,24,39,63,0.38095238095238093,0.38095238095238093,24,39,63,0.38095238095238093,0,0,0,11,3,14,2,6,30,6,6120261cea4488c9fd5c57c5,,PostUp,0.05506607929515418,143,0.7857142857142857
Hamidou,Diallo,Hamidou Diallo,604d73a85fe05a0e9f307ffc,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,62,6,4,0.6666666666666666,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,2,2,4,0,2,2,2,6120261cea4488c9fd5c57c5,,PostUp,,,0.5
Montrezl,Harrell,Montrezl Harrell,62071ad507c7bd5c29bd1b9e,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,26,41,39,0.9512195121951219,15,16,31,0.4838709677419355,0.4838709677419355,15,16,31,0.4838709677419355,0,0,0,9,3,12,2,7,20,5,6120261cea4488c9fd5c57c5,,PostUp,0.1722689075630252,74,0.75
Jerami,Grant,Jerami Grant,5fd42b7d5fe05a0e9f828cae,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,51,63,62,0.9841269841269841,17,20,37,0.4594594594594595,0.4594594594594595,17,20,37,0.4594594594594595,0,0,0,28,4,32,2,15,32,11,6120261cea4488c9fd5c57c5,,PostUp,0.06542056074766354,63,0.875
Khem,Birch,Khem Birch,6073b53be6c2413bc405708a,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,63,7,5,0.7142857142857143,2,3,5,0.4,0.4,2,3,5,0.4,0,0,0,1,1,2,0,1,3,1,6120261cea4488c9fd5c57c5,,PostUp,,,0.5
Trevon,Scott,Trevon Scott,61c3f077df8a6a3c11db6a1a,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,2,1,2,2.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Sandro,Mamukelashvili,Sandro Mamukelashvili,615d0caee771e94fc01cac29,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,46,10,10,1.0,4,4,8,0.5,0.5,4,4,8,0.5,0,0,0,2,1,3,1,2,5,1,6120261cea4488c9fd5c57c5,,PostUp,0.05263157894736842,54,0.6666666666666666
Javonte,Green,Javonte Green,605fef725fe05a0e9f446957,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,74,1,2,2.0,0,0,0,,,0,0,0,,0,0,0,2,0,2,0,1,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,1.0
Pascal,Siakam,Pascal Siakam,5776bc735762021398fe3f48,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,74,136,124,0.9117647058823529,52,50,102,0.5098039215686274,0.5098039215686274,52,50,102,0.5098039215686274,0,0,0,20,15,35,7,20,65,20,6120261cea4488c9fd5c57c5,,PostUp,0.08023598820058997,95,0.5714285714285714
Kelly,Oubre Jr.,Kelly Oubre Jr.,615dd267e771e94fc0302649,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,78,2,2,1.0,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,
