player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Kevin,Knox II,Kevin Knox II,61e8d2bcdf8a6a3c11f7b6c0,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,20,,6,7,1.1666666666666667,,3,2,5,0.6,0.7,2,1,3,0.6666666666666666,1,1,2,0.5,0,0,0,,0,0,3,1,6120261cea4488c9fd5c57c5,,PandRBallHandler
Lance,Stephenson,Lance Stephenson,61d251a5df8a6a3c11fbeff5,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,40,0.48668280871670705,201,179,0.8905472636815921,126,72,71,143,0.5034965034965035,0.5244755244755245,66,58,124,0.532258064516129,6,13,19,0.3157894736842105,29,7,36,0.8055555555555556,4,20,88,42,6120261cea4488c9fd5c57c5,,PandRBallHandler
Brad,Wanamaker,Brad Wanamaker,61ce6858df8a6a3c11958b13,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,1,,3,2,0.6666666666666666,,1,2,3,0.3333333333333333,0.3333333333333333,1,2,3,0.3333333333333333,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Deividas,Sirvydis,Deividas Sirvydis,5fd42b7d5fe05a0e9f828cca,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,3,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Marvin,Bagley III,Marvin Bagley III,620b0ef207c7bd5c29495f8b,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,18,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Grant,Williams,Grant Williams,5d9a87a67455336e87b9df9b,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,105,0.01455026455026455,11,9,0.8181818181818182,182,3,3,6,0.5,0.5,3,3,6,0.5,0,0,0,,3,0,3,1.0,1,2,4,4,6120261cea4488c9fd5c57c5,,PandRBallHandler
T.J.,McConnell,T.J. McConnell,5d97763a7455336e87922593,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,31,0.4352517985611511,121,115,0.9504132231404959,71,48,53,101,0.4752475247524752,0.49504950495049505,44,49,93,0.4731182795698925,4,4,8,0.5,15,0,15,1.0,1,8,55,13,6120261cea4488c9fd5c57c5,,PandRBallHandler
Caris,LeVert,Caris LeVert,620476f4df8a6a3c1134ecaf,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,21,0.3710691823899371,118,93,0.788135593220339,223,37,59,96,0.3854166666666667,0.390625,36,46,82,0.43902439024390244,1,13,14,0.07142857142857142,18,3,21,0.8571428571428571,3,12,46,13,6120261cea4488c9fd5c57c5,,PandRBallHandler
Pat,Connaughton,Pat Connaughton,5bb553e3aeda719939fe7de1,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,81,0.039705882352941174,27,21,0.7777777777777778,229,9,11,20,0.45,0.525,6,5,11,0.5454545454545454,3,6,9,0.3333333333333333,0,1,1,0.0,1,1,9,7,6120261cea4488c9fd5c57c5,,PandRBallHandler
Ignas,Brazdeikis,Ignas Brazdeikis,6090a194e6c2413bc4ff24f2,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,45,0.11739130434782609,27,22,0.8148148148148148,188,10,16,26,0.38461538461538464,0.4230769230769231,8,11,19,0.42105263157894735,2,5,7,0.2857142857142857,0,0,0,,0,0,10,1,6120261cea4488c9fd5c57c5,,PandRBallHandler
