player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Collin,Sexton,Collin Sexton,5bb3fa2aaeda719939fe9b75,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,0.07335907335907337,19,11,0.5789473684210527,270,5,9,14,0.35714285714285715,0.39285714285714285,4,6,10,0.4,1,3,4,0.25,0,0,0,,0,0,5,5,6120261cea4488c9fd5c57c5,,Handoff
Lauri,Markkanen,Lauri Markkanen,615d0923e771e94fc00a6b9f,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,68,0.025386313465783666,23,29,1.2608695652173914,18,11,7,18,0.6111111111111112,0.6388888888888888,10,6,16,0.625,1,1,2,0.5,6,0,6,1.0,0,3,14,2,6120261cea4488c9fd5c57c5,,Handoff
Jalen,Crutcher,Jalen Crutcher,61677e6ae771e94fc023ec67,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,1,,1,3,3.0,,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,Handoff
Davis,Bertans,Davis Bertans,5d9be6e17455336e875c33f1,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,38,0.08928571428571429,20,21,1.05,63,6,13,19,0.3157894736842105,0.4473684210526316,1,2,3,0.3333333333333333,5,11,16,0.3125,4,0,4,1.0,1,2,7,0,6120261cea4488c9fd5c57c5,,Handoff
Justin,Anderson,Justin Anderson,61d251a5df8a6a3c11fbefc8,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,13,,6,6,1.0,,1,3,4,0.25,0.25,1,2,3,0.3333333333333333,0,1,1,0.0,4,1,5,0.8,1,2,3,0,6120261cea4488c9fd5c57c5,,Handoff
R.J.,Hampton,R.J. Hampton,605e96a05fe05a0e9fb90855,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,68,0.10220125786163523,65,41,0.6307692307692307,252,12,34,46,0.2608695652173913,0.29347826086956524,9,24,33,0.2727272727272727,3,10,13,0.23076923076923078,14,4,18,0.7777777777777778,2,10,20,11,6120261cea4488c9fd5c57c5,,Handoff
Rayjon,Tucker,Rayjon Tucker,5d9bf9d27455336e876fcf27,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,10,,2,5,2.5,,2,0,2,1.0,1.25,1,0,1,1.0,1,0,1,1.0,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,Handoff
Khris,Middleton,Khris Middleton,544580de300969b132fd50b6,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,70,0.04568527918781726,63,59,0.9365079365079365,127,17,25,42,0.40476190476190477,0.5,9,9,18,0.5,8,16,24,0.3333333333333333,17,1,18,0.9444444444444444,1,6,24,14,6120261cea4488c9fd5c57c5,,Handoff
Ryan,Arcidiacono,Ryan Arcidiacono,61d7ab9fdf8a6a3c11da3a70,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,10,,2,2,1.0,,1,1,2,0.5,0.5,1,0,1,1.0,0,1,1,0.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,Handoff
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,5d9bf9d27455336e876fcf16,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,61,,3,2,0.6666666666666666,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,2,0,2,1.0,0,1,1,1,6120261cea4488c9fd5c57c5,,Handoff
Jalen,McDaniels,Jalen McDaniels,5da130fa7455336e87c212c3,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,60,0.03208556149732621,12,8,0.6666666666666666,242,3,7,10,0.3,0.35,2,4,6,0.3333333333333333,1,3,4,0.25,1,1,2,0.5,0,1,4,1,6120261cea4488c9fd5c57c5,,Handoff
