player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Isaiah,Thomas,Isaiah Thomas,622026b325a53488851091ce,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,18,,1,3,3.0,,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Serge,Ibaka,Serge Ibaka,620b205907c7bd5c299c0b10,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,25,0.24817518248175183,34,44,1.2941176470588236,46,17,14,31,0.5483870967741935,0.6290322580645161,12,8,20,0.6,5,6,11,0.45454545454545453,5,1,6,0.8333333333333334,2,4,19,1,6120261cea4488c9fd5c57c5,,PandRRollMan
John,Collins,John Collins,59e63b1d44b2b8aa7e5cdddf,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,63,0.18284424379232506,162,228,1.4074074074074074,18,89,45,134,0.664179104477612,0.7126865671641791,76,28,104,0.7307692307692307,13,17,30,0.43333333333333335,37,6,43,0.8604651162790697,7,24,106,10,6120261cea4488c9fd5c57c5,,PandRRollMan
Andre,Drummond,Andre Drummond,615ba9bde771e94fc0bc471e,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,53,0.1630170316301703,67,73,1.0895522388059702,142,33,17,50,0.66,0.66,33,17,50,0.66,0,0,0,,7,3,10,0.7,0,3,38,12,6120261cea4488c9fd5c57c5,,PandRRollMan
Reggie,Perry,Reggie Perry,615ba9bde771e94fc0bc4790,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,2,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Danilo,Gallinari,Danilo Gallinari,5fd42b555fe05a0e9f820882,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,75,0.07002457002457002,57,67,1.1754385964912282,101,19,28,47,0.40425531914893614,0.5531914893617021,5,8,13,0.38461538461538464,14,20,34,0.4117647058823529,15,1,16,0.9375,0,8,27,2,6120261cea4488c9fd5c57c5,,PandRRollMan
Cam,Reddish,Cam Reddish,61ea2165df8a6a3c115b13bf,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,15,,1,3,3.0,,1,0,1,1.0,1.5,0,0,0,,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Gabe,Vincent,Gabe Vincent,5e168fa07455336e8768ce1e,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,90,,4,3,0.75,,1,3,4,0.25,0.375,0,1,1,0.0,1,2,3,0.3333333333333333,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Raul,Neto,Raul Neto,5fd6bffd5fe05a0e9f57ebde,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,74,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Alize,Johnson,Alize Johnson,615d0923e771e94fc00a6bd3,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,20,,7,5,0.7142857142857143,,1,3,4,0.25,0.25,1,3,4,0.25,0,0,0,,3,1,4,0.75,0,2,3,1,6120261cea4488c9fd5c57c5,,PandRRollMan
Isaiah,Joe,Isaiah Joe,5fd979f65fe05a0e9f63ab7f,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,66,,4,2,0.5,,1,3,4,0.25,0.25,1,0,1,1.0,0,3,3,0.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
JT,Thor,JT Thor,615dd267e771e94fc030267e,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,37,,4,2,0.5,,1,3,4,0.25,0.25,1,1,2,0.5,0,2,2,0.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Seth,Curry,Seth Curry,5fd979f65fe05a0e9f63ab76,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,48,,3,5,1.6666666666666667,,2,0,2,1.0,1.25,1,0,1,1.0,1,0,1,1.0,0,0,0,,0,0,2,1,6120261cea4488c9fd5c57c5,,PandRRollMan
Tremont,Waters,Tremont Waters,61d11150df8a6a3c11eee1a4,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,1,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Sam,Hauser,Sam Hauser,615baa6de771e94fc0c847f8,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,36,,2,3,1.5,,1,1,2,0.5,0.75,0,0,0,,1,1,2,0.5,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Khris,Middleton,Khris Middleton,544580de300969b132fd50b6,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,70,0.011602610587382161,16,15,0.9375,211,5,10,15,0.3333333333333333,0.4,3,4,7,0.42857142857142855,2,6,8,0.25,3,0,3,1.0,1,2,6,0,6120261cea4488c9fd5c57c5,,PandRRollMan
