player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent
Cam,Thomas,Cam Thomas,615a2ab8e771e94fc0ad82e6,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,72,0.27314814814814814,177,173,0.9774011299435028,279,65,91,156,0.4166666666666667,0.48717948717948717,43,27,70,0.6142857142857143,22,64,86,0.2558139534883721,21,2,23,2,12,75,11,6120261cea4488c9fd5c57c5,,SpotUp,0.9130434782608695
Robin,Lopez,Robin Lopez,615baa58e771e94fc0c6c466,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,39,0.05017921146953405,14,12,0.8571428571428571,401,5,3,8,0.625,0.75,3,1,4,0.75,2,2,4,0.5,0,0,0,0,0,5,6,6120261cea4488c9fd5c57c5,,SpotUp,
Danilo,Gallinari,Danilo Gallinari,5fd42b555fe05a0e9f820882,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,75,0.36855036855036855,300,345,1.15,84,119,159,278,0.42805755395683454,0.5683453237410072,41,40,81,0.5061728395061729,78,119,197,0.39593908629441626,29,1,30,3,13,132,9,6120261cea4488c9fd5c57c5,,SpotUp,0.9666666666666667
Cassius,Stanley,Cassius Stanley,615e4bcfe771e94fc0e9eb33,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,0.4107142857142857,23,18,0.782608695652174,438,7,15,22,0.3181818181818182,0.38636363636363635,4,5,9,0.4444444444444444,3,10,13,0.23076923076923078,1,0,1,1,1,7,1,6120261cea4488c9fd5c57c5,,SpotUp,1.0
Terry,Rozier,Terry Rozier,5d9a87a67455336e87b9df73,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,0.27583697234352256,379,432,1.1398416886543536,99,155,209,364,0.4258241758241758,0.570054945054945,50,43,93,0.5376344086021505,105,166,271,0.3874538745387454,17,3,20,6,12,161,9,6120261cea4488c9fd5c57c5,,SpotUp,0.85
Garrison,Mathews,Garrison Mathews,615baa6de771e94fc0c84807,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,2,,3,3,1.0,,1,2,3,0.3333333333333333,0.5,0,0,0,,1,2,3,0.3333333333333333,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,SpotUp,
Terry,Taylor,Terry Taylor,615d00e0e771e94fc0d29289,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,35,0.23134328358208955,62,58,0.9354838709677419,331,22,35,57,0.38596491228070173,0.47368421052631576,12,14,26,0.46153846153846156,10,21,31,0.3225806451612903,4,2,6,0,3,25,2,6120261cea4488c9fd5c57c5,,SpotUp,0.6666666666666666
Zach,Lavine,Zach Lavine,59af0afe17120e9c9a994dc6,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,75,0.13576555023923445,227,274,1.2070484581497798,39,87,107,194,0.4484536082474227,0.6030927835051546,27,34,61,0.4426229508196721,60,73,133,0.45112781954887216,40,4,44,3,21,106,14,6120261cea4488c9fd5c57c5,,SpotUp,0.9090909090909091
Chris,Duarte,Chris Duarte,615d00e0e771e94fc0d29274,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,59,0.2631578947368421,215,219,1.0186046511627906,217,74,110,184,0.40217391304347827,0.529891304347826,27,44,71,0.38028169014084506,47,66,113,0.415929203539823,24,5,29,0,11,85,18,6120261cea4488c9fd5c57c5,,SpotUp,0.8275862068965517
Julius,Randle,Julius Randle,5d9be6e17455336e875c33e5,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,75,0.20821283979178715,360,303,0.8416666666666667,409,104,201,305,0.34098360655737703,0.43934426229508194,44,69,113,0.3893805309734513,60,132,192,0.3125,35,16,51,4,21,125,32,6120261cea4488c9fd5c57c5,,SpotUp,0.6862745098039216
Raul,Neto,Raul Neto,5fd6bffd5fe05a0e9f57ebde,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,74,0.23509933774834438,142,131,0.9225352112676056,345,46,75,121,0.38016528925619836,0.4628099173553719,26,25,51,0.5098039215686274,20,50,70,0.2857142857142857,19,8,27,4,14,55,10,6120261cea4488c9fd5c57c5,,SpotUp,0.7037037037037037
Mohamed,Bamba,Mohamed Bamba,5bb2a653aeda719939f466a8,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,75,0.26727509778357234,205,204,0.9951219512195122,253,70,122,192,0.3645833333333333,0.5208333333333334,10,16,26,0.38461538461538464,60,106,166,0.3614457831325301,4,2,6,0,3,73,10,6120261cea4488c9fd5c57c5,,SpotUp,0.6666666666666666
Kristaps,Porzingis,Kristaps Porzingis,620f0a7507c7bd5c294eefd8,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,17,0.18529411764705883,63,64,1.0158730158730158,220,24,32,56,0.42857142857142855,0.5267857142857143,13,14,27,0.48148148148148145,11,18,29,0.3793103448275862,5,0,5,1,3,26,5,6120261cea4488c9fd5c57c5,,SpotUp,1.0
Kemba,Walker,Kemba Walker,615d00e0e771e94fc0d2926e,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,40,0.18867924528301888,90,93,1.0333333333333334,194,32,51,83,0.3855421686746988,0.5180722891566265,10,17,27,0.37037037037037035,22,34,56,0.39285714285714285,7,2,9,0,4,36,3,6120261cea4488c9fd5c57c5,,SpotUp,0.7777777777777778
