player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Patty,Mills,Patty Mills,615a2ab8e771e94fc0ad82cf,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,89,0.15991471215351813,150,170,1.1333333333333333,248,63,71,134,0.4701492537313433,0.6044776119402985,27,13,40,0.675,36,58,94,0.3829787234042553,8,3,11,0.7272727272727273,1,4,68,11,6120261cea4488c9fd5c57c5,,Transition
Devontae,Cacok,Devontae Cacok,615a2ab8e771e94fc0ad8292,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,2,,3,4,1.3333333333333333,,2,1,3,0.6666666666666666,0.6666666666666666,2,1,3,0.6666666666666666,0,0,0,,0,1,1,0.0,1,1,2,0,6120261cea4488c9fd5c57c5,,Transition
Matisse,Thybulle,Matisse Thybulle,5d9d370d7455336e87f60c2f,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,76,0.22164948453608246,86,105,1.2209302325581395,142,44,25,69,0.6376811594202898,0.6666666666666666,40,14,54,0.7407407407407407,4,11,15,0.26666666666666666,13,5,18,0.7222222222222222,1,9,51,9,6120261cea4488c9fd5c57c5,,Transition
Deni,Avdija,Deni Avdija,5fd6bffd5fe05a0e9f57ebc7,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,85,0.13997308209959622,104,104,1.0,367,42,36,78,0.5384615384615384,0.5833333333333334,35,17,52,0.6730769230769231,7,19,26,0.2692307692307692,13,9,22,0.5909090909090909,2,9,50,16,6120261cea4488c9fd5c57c5,,Transition
Kyle,Guy,Kyle Guy,61cfc32cdf8a6a3c11fb886d,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,19,,6,5,0.8333333333333334,,2,3,5,0.4,0.5,1,0,1,1.0,1,3,4,0.25,0,0,0,,0,0,2,1,6120261cea4488c9fd5c57c5,,Transition
Shaquille,Harrison,Shaquille Harrison,615ba9bde771e94fc0bc4723,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,4,0.2777777777777778,10,7,0.7,497,3,4,7,0.42857142857142855,0.42857142857142855,3,4,7,0.42857142857142855,0,0,0,,1,1,2,0.5,0,1,4,2,6120261cea4488c9fd5c57c5,,Transition
Vernon,Carey Jr.,Vernon Carey Jr.,5fd582355fe05a0e9f6d193f,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,7,,4,5,1.25,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,,1,1,2,0.5,0,1,3,1,6120261cea4488c9fd5c57c5,,Transition
Wendell,Carter Jr.,Wendell Carter Jr.,605e96a05fe05a0e9fb90851,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,66,0.12114771519659936,114,142,1.2456140350877194,123,53,46,99,0.5353535353535354,0.6464646464646465,31,10,41,0.7560975609756098,22,36,58,0.3793103448275862,14,4,18,0.7777777777777778,3,9,60,8,6120261cea4488c9fd5c57c5,,Transition
Lamar,Stevens,Lamar Stevens,5fd57d3a5fe05a0e9f5ac60e,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,68,0.21933962264150944,93,109,1.1720430107526882,194,45,24,69,0.6521739130434783,0.6594202898550725,44,19,63,0.6984126984126984,1,5,6,0.16666666666666666,18,13,31,0.5806451612903226,7,17,56,12,6120261cea4488c9fd5c57c5,,Transition
Jeff,Dowtin,Jeff Dowtin,615baa58e771e94fc0c6c45b,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,3,,2,4,2.0,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,Transition
