provider,provider_event_id,provider_market_id,provider_league,provider_market_name,book,book_display_name,book_category,sport,market_type,stat,player_name,line,home_spread,away_spread,home_team,away_team,over_odds,under_odds,draw_odds,extra_outcomes,updated_at,period,event_date,question
draftkings,34093813,3_84626414:8,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,8.0,,,TB Rays,TOR Blue Jays,-108,-112,,,2026-05-04T22:40:00.0000000Z,,2026-05-04T22:40:00.0000000Z,Total
draftkings,34093814,3_84626415:8.5,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,8.5,,,NY Yankees,BAL Orioles,-108,-112,,,2026-05-04T23:05:00.0000000Z,,2026-05-04T23:05:00.0000000Z,Total
draftkings,34093815,3_84626416:11.5,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,11.5,,,CHI Cubs,CIN Reds,-102,-118,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,Total
draftkings,34093816,3_84626417:9,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,9.0,,,KC Royals,CLE Guardians,-115,-105,,,2026-05-04T23:40:00.0000000Z,,2026-05-04T23:40:00.0000000Z,Total
draftkings,34093818,3_84626429:8.5,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,8.5,,,STL Cardinals,MIL Brewers,-118,-102,,,2026-05-04T23:45:00.0000000Z,,2026-05-04T23:45:00.0000000Z,Total
draftkings,34093819,3_84626430:9,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,9.0,,,HOU Astros,LA Dodgers,-112,-108,,,2026-05-05T00:10:00.0000000Z,,2026-05-05T00:10:00.0000000Z,Total
draftkings,34093820,3_84626431:11,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,11.0,,,COL Rockies,NY Mets,-102,-118,,,2026-05-04T21:40:00.0000000Z,,2026-05-04T21:40:00.0000000Z,Total
draftkings,34093821,3_84626432:7.5,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,7.5,,,LA Angels,CHI White Sox,-115,-105,,,2026-05-05T01:38:00.0000000Z,,2026-05-05T01:38:00.0000000Z,Total
draftkings,34093822,3_84626433:8,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,8.0,,,SF Giants,SD Padres,-108,-112,,,2026-05-05T01:45:00.0000000Z,,2026-05-05T01:45:00.0000000Z,Total
draftkings,34093823,3_84626434:7.5,mlb,Total,draftkings,DraftKings,sportsbook,mlb,game_total,total,,7.5,,,SEA Mariners,ATL Braves,-118,-102,,,2026-05-05T01:40:00.0000000Z,,2026-05-05T01:40:00.0000000Z,Total
draftkings,34093813,3_84640185:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,TB Rays,TOR Blue Jays,-115,-110,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093813,3_84640185:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,TB Rays,TOR Blue Jays,205,-270,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093812,3_84640193:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,MIA Marlins,PHI Phillies,-120,-110,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093812,3_84640193:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,MIA Marlins,PHI Phillies,220,-290,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093811,3_84640201:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,DET Tigers,BOS Red Sox,140,-185,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093811,3_84640201:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,DET Tigers,BOS Red Sox,350,-500,,,2026-05-04T22:40:00.0000000Z,1I,2026-05-04T22:40:00.0000000Z,Runs - 1st Inning
draftkings,34093815,3_84640209:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,CHI Cubs,CIN Reds,-140,110,,,2026-05-04T23:40:00.0000000Z,1I,2026-05-04T23:40:00.0000000Z,Runs - 1st Inning
draftkings,34093815,3_84640209:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,CHI Cubs,CIN Reds,155,-200,,,2026-05-04T23:40:00.0000000Z,1I,2026-05-04T23:40:00.0000000Z,Runs - 1st Inning
draftkings,34093816,3_84640217:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,KC Royals,CLE Guardians,-115,-115,,,2026-05-04T23:40:00.0000000Z,1I,2026-05-04T23:40:00.0000000Z,Runs - 1st Inning
draftkings,34093816,3_84640217:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,KC Royals,CLE Guardians,210,-275,,,2026-05-04T23:40:00.0000000Z,1I,2026-05-04T23:40:00.0000000Z,Runs - 1st Inning
draftkings,34093822,3_84640225:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,SF Giants,SD Padres,105,-140,,,2026-05-05T01:45:00.0000000Z,1I,2026-05-05T01:45:00.0000000Z,Runs - 1st Inning
draftkings,34093822,3_84640225:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,SF Giants,SD Padres,255,-340,,,2026-05-05T01:45:00.0000000Z,1I,2026-05-05T01:45:00.0000000Z,Runs - 1st Inning
draftkings,34093821,3_84640233:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,LA Angels,CHI White Sox,105,-140,,,2026-05-05T01:38:00.0000000Z,1I,2026-05-05T01:38:00.0000000Z,Runs - 1st Inning
draftkings,34093821,3_84640233:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,LA Angels,CHI White Sox,270,-370,,,2026-05-05T01:38:00.0000000Z,1I,2026-05-05T01:38:00.0000000Z,Runs - 1st Inning
draftkings,34093814,3_84640241:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,NY Yankees,BAL Orioles,-105,-125,,,2026-05-04T23:05:00.0000000Z,1I,2026-05-04T23:05:00.0000000Z,Runs - 1st Inning
draftkings,34093814,3_84640241:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,NY Yankees,BAL Orioles,235,-310,,,2026-05-04T23:05:00.0000000Z,1I,2026-05-04T23:05:00.0000000Z,Runs - 1st Inning
draftkings,34093818,3_84640249:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,STL Cardinals,MIL Brewers,-120,-110,,,2026-05-04T23:45:00.0000000Z,1I,2026-05-04T23:45:00.0000000Z,Runs - 1st Inning
draftkings,34093818,3_84640249:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,STL Cardinals,MIL Brewers,200,-265,,,2026-05-04T23:45:00.0000000Z,1I,2026-05-04T23:45:00.0000000Z,Runs - 1st Inning
draftkings,34093823,3_84640257:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,SEA Mariners,ATL Braves,-105,-125,,,2026-05-05T01:40:00.0000000Z,1I,2026-05-05T01:40:00.0000000Z,Runs - 1st Inning
draftkings,34093823,3_84640257:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,SEA Mariners,ATL Braves,245,-320,,,2026-05-05T01:40:00.0000000Z,1I,2026-05-05T01:40:00.0000000Z,Runs - 1st Inning
draftkings,34093819,3_84640265:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,HOU Astros,LA Dodgers,-120,-105,,,2026-05-05T00:10:00.0000000Z,1I,2026-05-05T00:10:00.0000000Z,Runs - 1st Inning
draftkings,34093819,3_84640265:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,HOU Astros,LA Dodgers,200,-265,,,2026-05-05T00:10:00.0000000Z,1I,2026-05-05T00:10:00.0000000Z,Runs - 1st Inning
draftkings,34093820,3_84640273:0.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,0.5,,,COL Rockies,NY Mets,-135,105,,,2026-05-04T21:40:00.0000000Z,1I,2026-05-04T21:40:00.0000000Z,Runs - 1st Inning
draftkings,34093820,3_84640273:1.5,mlb,Runs - 1st Inning,draftkings,DraftKings,sportsbook,mlb,game_total,total,,1.5,,,COL Rockies,NY Mets,165,-220,,,2026-05-04T21:40:00.0000000Z,1I,2026-05-04T21:40:00.0000000Z,Runs - 1st Inning
draftkings,34093814,0QA331439106#588468930_13L84240Q1-446308922Q20,mlb,Aaron Judge Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Aaron Judge,0.5,,,NY Yankees,BAL Orioles,212,-212,,,2026-05-04T23:05:00.0000000Z,,2026-05-04T23:05:00.0000000Z,1+
draftkings,34093814,0QA331439106#588469138_13L84240Q1475630076Q20,mlb,Aaron Judge Home Runs,draftkings,DraftKings,sportsbook,mlb,player_over_under,homeruns,Aaron Judge,1.5,,,NY Yankees,BAL Orioles,1720,-1720,,,2026-05-04T23:05:00.0000000Z,,2026-05-04T23:05:00.0000000Z,2+
