Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,G,25.0,21,20,0.371,1.95,3.0,0.651,0.618,0.033
2025-26,1641707,Taylor Hendricks,1610612762,UTA,F,22.0,14,13,0.375,1.64,3.0,0.548,0.645,-0.097
2025-26,1642848,Tre Johnson,1610612764,WAS,G,19.0,19,18,0.365,1.74,3.0,0.579,0.615,-0.036
2025-26,1631110,Jeremy Sochan,1610612759,SAS,F,22.0,19,15,0.442,1.84,3.0,0.614,0.625,-0.011
2025-26,1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,0.375,2.0,3.0,0.667,0.595,0.071
2025-26,1631119,Jaylin Williams,1610612760,OKC,F,23.0,25,23,0.332,1.56,3.0,0.52,0.612,-0.092
2025-26,1641780,Johni Broome,1610612755,PHI,F,23.0,4,4,0.5,2.25,3.0,0.75,0.602,0.148
2025-26,1642939,Miles Kelly,1610612742,DAL,G,22.0,1,1,0.5,2.0,3.0,0.667,0.631,0.036
2025-26,1642267,Bub Carrington,1610612764,WAS,G,20.0,26,25,0.339,1.92,2.96,0.649,0.625,0.025
2025-26,1628379,Luke Kennard,1610612737,ATL,G,29.0,26,23,0.41,2.08,2.96,0.701,0.608,0.093
2025-26,1630544,Tre Mann,1610612766,CHA,G,24.0,19,16,0.364,2.11,2.95,0.714,0.626,0.089
2025-26,1642348,Justin Edwards,1610612755,PHI,F,22.0,22,18,0.445,1.91,2.95,0.646,0.627,0.019
2025-26,1641842,Ronald Holland II,1610612765,DET,F,20.0,28,26,0.381,1.64,2.93,0.561,0.616,-0.055
2025-26,1628971,Bruce Brown,1610612743,DEN,G-F,29.0,27,25,0.312,1.89,2.89,0.654,0.61,0.044
2025-26,1630202,Payton Pritchard,1610612738,BOS,G,27.0,28,27,0.299,1.71,2.89,0.593,0.612,-0.02
2025-26,1628960,Grayson Allen,1610612756,PHX,G,30.0,18,17,0.261,1.78,2.89,0.615,0.625,-0.009
2025-26,1630198,Isaiah Joe,1610612760,OKC,G,26.0,19,18,0.318,1.74,2.89,0.6,0.643,-0.043
2025-26,1630696,Dru Smith,1610612748,MIA,G,27.0,28,27,0.352,1.86,2.89,0.642,0.632,0.01
2025-26,1630526,Jeremiah Robinson-Earl,1610612754,IND,F,25.0,16,12,0.362,2.13,2.88,0.739,0.65,0.089
2025-26,1642364,Jamir Watkins,1610612764,WAS,F,24.0,8,7,0.404,1.75,2.88,0.609,0.655,-0.046
2025-26,1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,24,23,0.337,1.79,2.88,0.623,0.648,-0.025
2025-26,1628449,Chris Boucher,1610612738,BOS,F,32.0,8,8,0.469,1.38,2.88,0.478,0.6,-0.122
2025-26,203084,Harrison Barnes,1610612759,SAS,F,33.0,27,24,0.266,1.81,2.85,0.636,0.643,-0.006
2025-26,1629006,Josh Okogie,1610612745,HOU,G,27.0,25,24,0.403,1.76,2.84,0.62,0.62,0.0
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,C,24.0,25,25,0.441,1.68,2.84,0.592,0.621,-0.03
2025-26,1642363,Nique Clifford,1610612758,SAC,G,23.0,24,21,0.366,1.67,2.83,0.588,0.629,-0.04
2025-26,1631246,Vince Williams Jr.,1610612763,MEM,G,25.0,22,20,0.305,1.59,2.82,0.565,0.643,-0.078
2025-26,1642377,Jaylen Wells,1610612763,MEM,F,22.0,28,26,0.278,1.64,2.82,0.582,0.621,-0.038
2025-26,1642948,Ryan Nembhard,1610612742,DAL,G,22.0,16,12,0.372,1.88,2.81,0.667,0.622,0.044
2025-26,1630194,Paul Reed,1610612765,DET,F,26.0,20,19,0.496,1.55,2.8,0.554,0.603,-0.049
2025-26,1627739,Kris Dunn,1610612746,LAC,G,31.0,28,26,0.287,1.93,2.79,0.692,0.616,0.077
2025-26,1631323,Simone Fontecchio,1610612748,MIA,F,30.0,27,25,0.35,1.63,2.78,0.587,0.626,-0.04
2025-26,1628378,Donovan Mitchell,1610612739,CLE,G,29.0,26,26,0.329,1.62,2.77,0.583,0.621,-0.038
2025-26,1626181,Norman Powell,1610612748,MIA,G,32.0,23,21,0.32,2.0,2.74,0.73,0.649,0.081
2025-26,1642268,Isaiah Collier,1610612762,UTA,G,21.0,19,19,0.333,1.89,2.74,0.692,0.636,0.056
2025-26,1628366,Lonzo Ball,1610612739,CLE,G,28.0,22,20,0.284,1.59,2.73,0.583,0.626,-0.042
2025-26,1631106,Tari Eason,1610612745,HOU,F,24.0,11,10,0.38,1.91,2.73,0.7,0.628,0.072
