Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2024-25,1631303,Justin Minaya,1610612757,POR,19,8,11,101.0,2,10,0.2,6,2,10,0.2,0.3
2024-25,203994,Jusuf Nurkić,1610612766,CHA,51,18,33,1063.0,33,101,0.327,95,29,91,0.319,0.47
2024-25,1630231,KJ Martin,1610612762,UTA,43,11,32,911.0,16,58,0.276,47,15,57,0.263,0.405
2024-25,1642354,KJ Simpson,1610612766,CHA,36,3,33,842.0,19,77,0.247,57,19,77,0.247,0.37
2024-25,1630539,Kai Jones,1610612742,DAL,40,20,20,468.0,3,4,0.75,6,0,1,0.0,0.75
2024-25,1626157,Karl-Anthony Towns,1610612752,NYK,72,46,26,2517.0,139,307,0.453,407,129,279,0.462,0.663
2024-25,1631255,Karlo Matković,1610612740,NOP,42,12,30,791.0,27,77,0.351,75,21,66,0.318,0.487
2024-25,202695,Kawhi Leonard,1610612746,LAC,37,26,11,1180.0,55,126,0.437,157,47,110,0.427,0.623
2024-25,1630811,Keaton Wallace,1610612737,ATL,31,15,16,501.0,21,59,0.356,63,21,59,0.356,0.534
2024-25,1631099,Keegan Murray,1610612758,SAC,76,36,40,2610.0,146,414,0.353,437,145,406,0.357,0.528
2024-25,1631232,Keion Brooks Jr.,1610612740,NOP,14,2,12,332.0,13,42,0.31,39,13,40,0.325,0.464
2024-25,1642276,Kel'el Ware,1610612748,MIA,64,28,36,1422.0,41,121,0.339,114,32,101,0.317,0.471
2024-25,1629640,Keldon Johnson,1610612759,SAS,77,31,46,1838.0,69,231,0.299,207,69,228,0.303,0.448
2024-25,203482,Kelly Olynyk,1610612740,NOP,44,12,32,891.0,33,81,0.407,93,27,65,0.415,0.574
2024-25,1626162,Kelly Oubre Jr.,1610612755,PHI,60,21,39,2078.0,66,200,0.33,197,65,197,0.33,0.493
