Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1631097,Bennedict Mathurin,1610612754,IND,16,5,11,527.0,317,938,571,41.1,2.63,1.86,0.338,17,4,36,0.706,0.5,1.028
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,13,2,11,348.0,109,511,232,25.4,2.98,2.39,0.213,5,0,17,0.4,0.0,1.059
2025-26,202687,Bismack Biyombo,1610612759,SAS,9,6,3,61.0,7,72,34,2.5,2.05,0.46,0.097,4,0,8,0.0,0.0,0.75
2025-26,1631104,Blake Wesley,1610612757,POR,6,4,2,98.0,36,223,97,13.5,3.62,3.17,0.161,1,0,4,0.0,0.0,0.5
2025-26,1626171,Bobby Portis,1610612749,MIL,27,11,16,604.0,336,1157,646,35.4,1.84,0.95,0.29,27,50,63,0.593,0.66,0.857
2025-26,1641752,Bobi Klintman,1610612765,DET,6,5,1,53.0,17,79,45,2.1,1.6,0.66,0.215,2,0,7,0.0,0.0,0.0
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,13,2,11,321.0,123,558,251,36.7,3.94,3.43,0.22,4,0,3,0.0,0.0,0.667
2025-26,1630538,Bones Hyland,1610612750,MIN,18,12,6,210.0,98,484,230,31.5,3.9,3.08,0.202,3,0,5,0.667,0.0,0.4
2025-26,203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,49,177,109,8.6,2.92,2.54,0.277,1,0,7,0.0,0.0,1.143
2025-26,1642382,Branden Carlson,1610612760,OKC,18,17,1,186.0,89,252,139,5.3,1.27,0.21,0.353,11,1,41,0.909,0.0,1.049
2025-26,1641764,Brandin Podziemski,1610612744,GSW,28,13,15,776.0,345,1619,762,94.6,3.51,2.82,0.213,23,5,36,0.913,0.4,0.694
2025-26,1629634,Brandon Clarke,1610612763,MEM,1,1,0,17.0,6,22,16,0.8,2.28,0.91,0.273,4,0,4,0.5,0.0,0.5
2025-26,1627742,Brandon Ingram,1610612761,TOR,28,17,11,959.0,617,1605,1084,85.1,3.18,2.15,0.384,35,43,48,0.543,0.558,1.083
2025-26,1641706,Brandon Miller,1610612766,CHA,11,6,5,318.0,200,648,358,36.1,3.34,2.57,0.309,15,4,14,1.133,0.25,0.857
2025-26,1630314,Brandon Williams,1610612742,DAL,25,10,15,555.0,272,1263,485,104.3,4.95,5.23,0.215,5,0,14,0.0,0.0,0.214
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,25,9,16,401.0,219,563,367,20.8,2.21,1.6,0.389,4,0,14,0.5,0.0,0.357
2025-26,1642355,Bronny James,1610612747,LAL,14,8,6,125.0,26,208,103,13.5,3.9,3.39,0.125,0,0,7,0.0,0.0,0.571
2025-26,201572,Brook Lopez,1610612746,LAC,20,5,15,283.0,116,345,249,9.7,1.69,0.62,0.336,14,23,31,0.286,0.826,0.645
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,17,16,1,132.0,29,159,69,7.0,2.65,2.16,0.182,3,0,9,0.0,0.0,0.889
2025-26,1628971,Bruce Brown,1610612743,DEN,26,20,6,628.0,175,927,402,54.0,3.49,2.89,0.189,18,0,61,0.722,0.0,0.738
2025-26,1631121,Bryce McGowens,1610612740,NOP,18,4,14,310.0,145,398,189,16.8,2.53,1.89,0.364,3,0,8,0.333,0.0,1.375
2025-26,1642267,Bub Carrington,1610612764,WAS,25,4,21,676.0,206,1401,491,95.4,4.09,3.74,0.147,3,0,10,0.0,0.0,0.2
2025-26,1627741,Buddy Hield,1610612744,GSW,28,13,15,517.0,220,913,541,29.1,1.91,1.17,0.241,16,1,29,1.25,0.0,1.034
