Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
2024-25,1630639,A.J. Lawson,1610612761,TOR,3,0,3,4.5,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1631260,AJ Green,1610612749,MIL,35,20,15,21.7,0.8,1.8,0.444,2.1,0.5,1.3,0.413,0.595
2024-25,1642358,AJ Johnson,1610612749,MIL,5,3,2,2.1,0.0,0.0,,0.0,0.0,0.0,,
2024-25,203932,Aaron Gordon,1610612743,DEN,18,11,7,28.2,0.6,1.5,0.37,1.4,0.3,0.8,0.333,0.463
2024-25,1628988,Aaron Holiday,1610612745,HOU,27,18,9,10.5,0.3,0.7,0.35,0.6,0.1,0.4,0.25,0.425
2024-25,1630174,Aaron Nesmith,1610612754,IND,6,2,4,22.7,0.7,1.7,0.4,1.8,0.5,0.8,0.6,0.55
2024-25,1630598,Aaron Wiggins,1610612760,OKC,38,32,6,20.5,0.4,1.0,0.385,0.9,0.2,0.4,0.353,0.462
2024-25,1641745,Adam Flagler,1610612760,OKC,11,10,1,3.6,0.1,0.4,0.25,0.3,0.1,0.3,0.333,0.375
2024-25,1641766,Adama Sanogo,1610612741,CHI,4,2,2,5.4,0.0,0.0,,0.0,,,,
2024-25,1641737,Adem Bona,1610612755,PHI,22,5,17,8.0,0.0,0.0,,0.0,,,,
2024-25,1642349,Ajay Mitchell,1610612760,OKC,34,29,5,16.5,0.4,0.8,0.462,0.8,0.1,0.2,0.333,0.5
2024-25,201143,Al Horford,1610612738,BOS,31,21,10,27.7,0.0,0.1,0.333,0.1,0.0,0.1,0.5,0.5
2024-25,202692,Alec Burks,1610612748,MIA,23,14,9,16.0,0.4,0.8,0.5,1.0,0.2,0.4,0.5,0.639
2024-25,1627936,Alex Caruso,1610612760,OKC,20,17,3,19.9,0.2,0.6,0.25,0.4,0.1,0.3,0.2,0.292
2024-25,1642505,Alex Ducas,1610612760,OKC,6,6,0,3.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0
2024-25,203458,Alex Len,1610612758,SAC,29,16,13,7.3,0.0,0.0,1.0,0.1,0.0,0.0,,1.0
2024-25,1642024,Alex Reese,1610612760,OKC,1,1,0,1.9,0.0,0.0,,0.0,,,,
2024-25,1642259,Alexandre Sarr,1610612764,WAS,34,5,29,27.1,0.4,1.1,0.385,0.9,0.0,0.2,0.167,0.397
2024-25,1631214,Alondes Williams,1610612765,DET,1,0,1,3.7,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1630578,Alperen Sengun,1610612745,HOU,38,26,12,31.5,0.8,1.8,0.443,1.6,0.0,0.2,0.0,0.443
2024-25,1641708,Amen Thompson,1610612745,HOU,36,25,11,29.1,0.4,1.0,0.351,0.7,0.0,0.1,0.0,0.351
2024-25,1629599,Amir Coffey,1610612746,LAC,37,21,16,25.1,0.7,1.8,0.415,1.6,0.2,0.4,0.375,0.462
2024-25,203083,Andre Drummond,1610612755,PHI,26,10,16,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641748,Andre Jackson Jr.,1610612749,MIL,36,20,16,17.4,0.1,0.4,0.308,0.3,0.1,0.2,0.333,0.385
2024-25,1629614,Andrew Nembhard,1610612754,IND,25,17,8,27.6,1.1,3.1,0.359,2.4,0.1,0.4,0.273,0.378
2024-25,203952,Andrew Wiggins,1610612744,GSW,33,15,18,29.2,1.0,3.2,0.308,2.5,0.5,1.4,0.34,0.383
2024-25,1629014,Anfernee Simons,1610612757,POR,35,11,24,32.0,2.5,6.6,0.384,6.5,1.4,4.2,0.338,0.491
2024-25,1641710,Anthony Black,1610612753,ORL,37,21,16,23.9,0.5,1.8,0.303,1.2,0.1,0.8,0.179,0.341
2024-25,203076,Anthony Davis,1610612747,LAL,35,19,16,34.9,1.2,3.2,0.384,2.5,0.1,0.3,0.222,0.393
2024-25,1630162,Anthony Edwards,1610612750,MIN,39,21,18,36.5,4.2,10.8,0.391,11.3,2.8,6.8,0.42,0.523
2024-25,1630264,Anthony Gill,1610612764,WAS,28,3,25,6.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2024-25,1641810,Antonio Reeves,1610612740,NOP,17,1,16,9.1,0.5,1.0,0.471,1.1,0.2,0.5,0.333,0.559
2024-25,1630574,Ariel Hukporti,1610612752,NYK,14,10,4,8.3,0.0,0.0,,0.0,,,,
2024-25,1642422,Armel Traore,1610612747,LAL,8,4,4,7.7,0.0,0.0,,0.0,0.0,0.0,,
2024-25,1641709,Ausar Thompson,1610612765,DET,18,11,7,18.7,0.1,0.4,0.25,0.2,0.0,0.1,0.0,0.25
2024-25,1630559,Austin Reaves,1610612747,LAL,32,18,14,34.8,1.9,4.9,0.38,4.8,1.0,2.9,0.355,0.484
2024-25,1630245,Ayo Dosunmu,1610612741,CHI,30,13,17,30.8,0.2,0.8,0.292,0.6,0.1,0.4,0.231,0.354
2024-25,1628389,Bam Adebayo,1610612748,MIA,37,20,17,34.1,1.5,3.5,0.422,3.1,0.2,0.6,0.381,0.453
2024-25,1631248,Baylor Scheierman,1610612738,BOS,5,5,0,6.8,0.0,0.4,0.0,0.0,0.0,0.0,,0.0
2024-25,1641767,Ben Sheppard,1610612754,IND,26,16,10,20.0,0.1,0.3,0.333,0.3,0.0,0.3,0.143,0.389
2024-25,1627732,Ben Simmons,1610612751,BKN,28,10,18,25.2,0.1,0.4,0.364,0.3,,,,0.364
2024-25,1631097,Bennedict Mathurin,1610612754,IND,40,22,18,32.8,1.3,4.1,0.303,3.2,0.7,2.3,0.286,0.382
2024-25,1641731,Bilal Coulibaly,1610612764,WAS,34,6,28,33.3,0.8,2.6,0.303,1.8,0.2,0.6,0.318,0.343
2024-25,1631104,Blake Wesley,1610612759,SAS,25,13,12,10.6,0.1,0.3,0.429,0.3,0.0,0.1,0.333,0.5
2024-25,1626171,Bobby Portis,1610612749,MIL,36,19,17,25.1,1.1,2.7,0.388,2.2,0.1,0.2,0.5,0.403
2024-25,1641752,Bobi Klintman,1610612765,DET,1,1,0,4.3,0.0,0.0,,0.0,,,,
