Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2024-25,1628963,Marvin Bagley III,1610612763,MEM,26.0,31,19,0.443,28,47,0.596,0.596,0.434,28,46,0.609,0.009,0,1,0.0
2024-25,1631223,David Roddy,1610612745,HOU,24.0,33,24,0.376,27,47,0.574,0.574,0.36,27,45,0.6,0.016,0,2,0.0
2024-25,1641732,Colby Jones,1610612764,WAS,22.0,39,19,0.364,25,47,0.532,0.532,0.357,25,46,0.543,0.008,0,1,0.0
2024-25,1631166,Drew Timme,1610612751,BKN,24.0,9,9,0.461,22,47,0.468,0.468,0.451,22,46,0.478,0.01,0,1,0.0
2024-25,1642269,Devin Carter,1610612758,SAC,23.0,36,26,0.37,18,47,0.383,0.383,0.331,18,42,0.429,0.039,0,5,0.0
2024-25,1631131,Oscar Tshiebwe,1610612762,UTA,25.0,14,12,0.657,29,46,0.63,0.63,0.657,29,46,0.63,0.0,0,0,
2024-25,1630568,Luka Garza,1610612750,MIN,26.0,39,25,0.438,28,46,0.609,0.63,0.419,26,44,0.591,0.019,2,2,1.0
2024-25,1631111,Wendell Moore Jr.,1610612766,CHA,23.0,36,24,0.365,26,46,0.565,0.565,0.365,26,46,0.565,0.0,0,0,
2024-25,1631132,Christian Koloko,1610612747,LAL,24.0,37,23,0.682,31,45,0.689,0.689,0.667,31,44,0.705,0.015,0,1,0.0
2024-25,1630579,Jericho Sims,1610612749,MIL,26.0,53,26,0.634,30,45,0.667,0.667,0.634,30,45,0.667,0.0,0,0,
2024-25,1641740,Jaylen Clark,1610612750,MIN,23.0,40,25,0.367,17,44,0.386,0.386,0.367,17,44,0.386,0.0,0,0,
2024-25,1629731,Dean Wade,1610612739,CLE,28.0,59,33,0.159,25,43,0.581,0.616,0.118,22,32,0.688,0.041,3,11,0.273
2024-25,1628366,Lonzo Ball,1610612741,CHI,27.0,35,24,0.177,15,43,0.349,0.395,0.099,11,24,0.458,0.078,4,19,0.211
2024-25,1631197,Jared Rhoden,1610612761,TOR,25.0,14,14,0.483,23,42,0.548,0.548,0.437,23,38,0.605,0.046,0,4,0.0
2024-25,201569,Eric Gordon,1610612755,PHI,36.0,39,24,0.206,22,42,0.524,0.548,0.191,20,39,0.513,0.015,2,3,0.667
2024-25,202684,Tristan Thompson,1610612739,CLE,34.0,40,22,0.592,19,42,0.452,0.452,0.592,19,42,0.452,0.0,0,0,
2024-25,1626153,Delon Wright,1610612752,NYK,33.0,40,24,0.321,15,42,0.357,0.357,0.29,15,38,0.395,0.031,0,4,0.0
2024-25,1629011,Mitchell Robinson,1610612752,NYK,27.0,16,14,0.788,26,41,0.634,0.634,0.788,26,41,0.634,0.0,0,0,
2024-25,1630611,Gui Santos,1610612744,GSW,22.0,56,26,0.229,23,41,0.561,0.561,0.223,23,40,0.575,0.006,0,1,0.0
2024-25,1641794,Dillon Jones,1610612760,OKC,23.0,54,26,0.308,20,41,0.488,0.488,0.308,20,41,0.488,0.0,0,0,
2024-25,1641736,Reece Beekman,1610612751,BKN,23.0,36,18,0.383,20,41,0.488,0.488,0.383,20,41,0.488,0.0,0,0,
