Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1626172,Kevon Looney,1610612740,NOP,29.0,12,12.9,4.25,2.67,1.58,0.75,0.0,1.58,4.0,0.17,0.08,0.25,0.667,0.333,0.42,0.67,1.08,1.08,0.58,0.385,0.615,1.0,0.538
2025-26,1641718,Keyonte George,1610612762,UTA,22.0,23,33.4,3.17,1.22,1.96,1.43,0.04,0.35,0.87,0.26,0.39,0.65,0.4,0.6,0.04,0.48,0.52,0.52,0.17,0.083,0.917,1.0,0.333
2025-26,1642863,Khaman Maluach,1610612756,PHX,19.0,10,4.8,1.8,1.0,0.8,0.1,0.0,0.5,1.3,0.1,0.0,0.1,1.0,0.0,0.1,0.0,0.1,0.1,0.1,1.0,0.0,1.0,1.0
2025-26,203114,Khris Middleton,1610612764,WAS,34.0,16,25.8,2.94,1.63,1.31,2.69,0.13,0.13,0.25,0.13,0.13,0.25,0.5,0.5,0.25,0.69,0.94,0.88,0.56,0.267,0.733,0.933,0.6
2025-26,202691,Klay Thompson,1610612742,DAL,35.0,22,21.6,2.77,1.82,0.95,0.64,0.0,0.27,0.64,0.09,0.18,0.27,0.333,0.667,0.0,0.14,0.14,0.14,0.05,0.0,1.0,1.0,0.333
2025-26,1641738,Kobe Brown,1610612746,LAC,25.0,13,12.3,1.77,1.08,0.69,1.15,0.0,0.31,0.77,0.23,0.23,0.46,0.5,0.5,0.0,0.46,0.46,0.46,0.31,0.0,1.0,1.0,0.667
2025-26,1642920,Kobe Sanders,1610612746,LAC,23.0,16,20.0,3.63,2.31,1.31,1.31,0.06,0.25,0.56,0.19,0.25,0.44,0.429,0.571,0.06,0.44,0.5,0.44,0.13,0.125,0.875,1.0,0.286
2025-26,1642886,Koby Brea,1610612756,PHX,23.0,2,3.9,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642851,Kon Knueppel,1610612766,CHA,20.0,24,33.5,4.83,3.04,1.79,1.75,0.0,0.54,1.25,0.5,0.17,0.67,0.75,0.25,0.0,0.38,0.38,0.33,0.08,0.0,1.0,0.889,0.222
2025-26,1627739,Kris Dunn,1610612746,LAC,31.0,24,26.3,3.25,1.25,2.0,3.75,0.0,0.67,1.5,0.13,0.33,0.46,0.273,0.727,0.04,0.21,0.25,0.25,0.08,0.167,0.833,1.0,0.333
2025-26,1631200,Kris Murray,1610612757,POR,25.0,22,24.7,3.23,2.32,0.91,2.32,0.05,0.32,0.73,0.23,0.41,0.64,0.357,0.643,0.59,0.73,1.32,1.27,0.68,0.448,0.552,0.966,0.517
2025-26,204001,Kristaps Porziņģis,1610612737,ATL,30.0,13,25.9,10.69,8.23,2.46,1.54,0.0,1.92,4.15,0.23,0.08,0.31,0.75,0.25,0.31,1.31,1.62,1.62,1.0,0.19,0.81,1.0,0.619
2025-26,203937,Kyle Anderson,1610612762,UTA,32.0,8,18.3,2.13,1.13,1.0,2.63,0.0,1.0,2.38,0.0,0.13,0.13,0.0,1.0,0.25,0.25,0.5,0.5,0.38,0.5,0.5,1.0,0.75
2025-26,1642271,Kyle Filipowski,1610612762,UTA,22.0,22,22.6,5.73,3.27,2.45,1.41,0.09,0.77,1.86,0.23,0.14,0.36,0.625,0.375,0.23,0.73,0.95,0.95,0.64,0.238,0.762,1.0,0.667
