Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1630573,Sam Hauser,1610612738,BOS,F,28.0,28,26,0.399,1.04,3.18,0.326,0.369,-0.043
2025-26,1628386,Jarrett Allen,1610612739,CLE,C,27.0,18,16,0.264,1.06,3.17,0.333,0.38,-0.047
2025-26,1630163,LaMelo Ball,1610612766,CHA,G,24.0,18,17,0.333,1.61,3.17,0.509,0.354,0.155
2025-26,1642867,Collin Murray-Boyles,1610612761,TOR,F,20.0,24,24,0.393,1.21,3.13,0.387,0.361,0.026
2025-26,1630643,Jay Huff,1610612754,IND,C,28.0,28,28,0.294,0.64,3.11,0.207,0.344,-0.137
2025-26,1629014,Anfernee Simons,1610612738,BOS,G,26.0,28,26,0.383,1.14,3.11,0.368,0.361,0.007
2025-26,1642349,Ajay Mitchell,1610612760,OKC,G,23.0,28,27,0.418,0.93,3.11,0.299,0.36,-0.061
2025-26,1642954,Will Richard,1610612744,GSW,G,22.0,22,19,0.368,1.05,3.09,0.338,0.382,-0.044
2025-26,1630241,Sam Merrill,1610612739,CLE,G,29.0,12,12,0.322,0.92,3.08,0.297,0.365,-0.068
2025-26,1630544,Tre Mann,1610612766,CHA,G,24.0,19,17,0.377,1.53,3.05,0.5,0.359,0.141
2025-26,1629008,Michael Porter Jr.,1610612751,BKN,F,27.0,22,20,0.309,1.27,3.05,0.418,0.362,0.056
2025-26,1628370,Malik Monk,1610612758,SAC,G,27.0,23,22,0.395,1.04,3.04,0.343,0.358,-0.015
2025-26,1629731,Dean Wade,1610612739,CLE,F-C,29.0,26,25,0.321,0.96,3.04,0.316,0.367,-0.051
2025-26,1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,24,24,0.356,1.13,3.04,0.37,0.362,0.008
2025-26,1630696,Dru Smith,1610612748,MIA,G,27.0,28,28,0.37,1.11,3.04,0.365,0.359,0.006
2025-26,1641783,Tristan da Silva,1610612753,ORL,F,24.0,26,24,0.353,0.92,3.04,0.304,0.356,-0.052
2025-26,1642383,Walter Clayton Jr.,1610612762,UTA,G,22.0,23,21,0.44,0.83,3.04,0.271,0.359,-0.087
2025-26,1641726,Dereck Lively II,1610612742,DAL,C,21.0,7,7,0.309,1.29,3.0,0.429,0.363,0.065
2025-26,1628988,Aaron Holiday,1610612745,HOU,G,29.0,19,18,0.438,0.68,3.0,0.228,0.353,-0.125
