Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2025-26,1629614,Andrew Nembhard,1610612754,IND,14,3,11,30.8,0.4,0.1,0.2,0.4,1.3,0.278,0.1,0.294,13.2,1.8,0.4,1.4,0.24,4.1,0.439,0.6,0.51,10.0,2.1,0.6,1.6,0.267,5.2,0.411,0.6,0.469,10.5
2025-26,203952,Andrew Wiggins,1610612748,MIA,19,10,9,32.7,1.5,1.0,0.5,0.655,3.6,0.42,0.2,0.446,6.6,3.6,1.6,2.0,0.435,7.3,0.5,0.8,0.561,6.4,5.2,2.6,2.5,0.5,10.8,0.478,1.0,0.527,6.5
2025-26,1629014,Anfernee Simons,1610612738,BOS,20,11,9,23.9,0.4,0.1,0.3,0.25,1.1,0.381,0.0,0.381,7.3,2.2,0.3,1.9,0.14,3.9,0.558,0.4,0.614,9.8,2.6,0.4,2.2,0.157,4.9,0.52,0.4,0.56,9.4
2025-26,1641710,Anthony Black,1610612753,ORL,22,13,9,28.4,0.6,0.2,0.4,0.357,2.0,0.326,0.1,0.35,12.6,3.1,0.5,2.6,0.159,5.5,0.575,0.4,0.622,7.5,3.8,0.7,3.0,0.193,7.3,0.516,0.5,0.557,8.4
2025-26,203076,Anthony Davis,1610612742,DAL,10,5,5,29.3,3.0,2.5,0.5,0.833,5.6,0.536,0.4,0.577,3.0,7.2,2.3,4.9,0.319,11.2,0.643,1.0,0.706,5.1,10.2,4.8,5.4,0.471,16.1,0.634,1.4,0.694,4.5
2025-26,1630162,Anthony Edwards,1610612750,MIN,19,13,6,34.2,0.8,0.2,0.5,0.267,1.5,0.536,0.1,0.556,17.5,3.9,1.1,2.8,0.27,6.2,0.632,0.6,0.698,7.3,4.7,1.3,3.4,0.27,7.6,0.614,0.6,0.669,8.9
2025-26,1630264,Anthony Gill,1610612764,WAS,5,0,5,5.0,0.4,0.2,0.2,0.5,1.4,0.286,0.0,0.286,12.6,1.0,0.4,0.6,0.4,1.6,0.625,0.2,0.714,6.8,1.4,0.6,0.8,0.429,2.6,0.538,0.2,0.583,8.4
2025-26,1641810,Antonio Reeves,1610612766,CHA,3,1,2,12.1,0.3,0.3,0.0,1.0,0.3,1.0,0.0,1.0,9.0,1.3,0.3,1.0,0.25,1.7,0.8,0.0,0.8,3.6,1.7,0.7,1.0,0.4,2.0,0.833,0.0,0.833,4.7
2025-26,1630574,Ariel Hukporti,1610612752,NYK,12,9,3,8.3,1.1,0.8,0.3,0.692,2.3,0.464,0.0,0.464,5.4,1.6,0.5,1.1,0.316,3.4,0.463,0.9,0.633,6.3,2.7,1.3,1.4,0.469,5.7,0.471,0.9,0.561,6.0
2025-26,1642854,Asa Newell,1610612737,ATL,8,5,3,13.8,1.6,1.4,0.3,0.846,3.4,0.481,0.3,0.52,5.7,1.3,0.5,0.8,0.4,2.9,0.435,0.3,0.476,5.2,2.9,1.9,1.0,0.652,6.3,0.46,0.5,0.5,5.5
