Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2025-26,1641707,Taylor Hendricks,1610612762,UTA,13,4,9,14.5,14.5,5373.1,1.0,0.5,0.5,4.38,4.44,4.32
2025-26,1629611,Terance Mann,1610612751,BKN,21,4,17,26.3,26.3,9928.2,1.9,1.0,0.9,4.49,4.6,4.37
2025-26,1630545,Terrence Shannon Jr.,1610612750,MIN,15,9,6,13.0,13.0,4918.9,0.9,0.5,0.4,4.4,4.51,4.29
2025-26,203648,Thanasis Antetokounmpo,1610612749,MIL,10,4,6,2.5,2.5,1010.1,0.2,0.1,0.1,4.29,4.39,4.21
2025-26,1628418,Thomas Bryant,1610612739,CLE,18,10,8,7.8,7.8,2896.7,0.5,0.3,0.3,4.39,4.42,4.36
2025-26,1642275,Tidjane Salaün,1610612766,CHA,11,4,7,14.7,14.7,5887.1,1.1,0.6,0.5,4.63,4.99,4.19
2025-26,203501,Tim Hardaway Jr.,1610612743,DEN,23,17,6,24.9,24.9,8458.9,1.6,0.8,0.8,4.02,4.1,3.95
2025-26,202699,Tobias Harris,1610612765,DET,13,8,5,29.6,29.6,10724.1,2.0,1.1,1.0,4.24,4.45,4.02
2025-26,1642449,Tolu Smith,1610612765,DET,2,1,1,11.1,11.1,4455.5,0.8,0.5,0.4,4.77,4.74,4.8
2025-26,1628396,Tony Bradley,1610612754,IND,21,4,17,11.8,11.8,4475.0,0.8,0.4,0.4,4.47,4.61,4.34
2025-26,1641787,Tosan Evbuomwan,1610612752,NYK,4,4,0,1.8,1.8,702.3,0.1,0.1,0.1,4.23,4.42,3.97
2025-26,1641739,Toumani Camara,1610612757,POR,24,9,15,33.6,33.6,13339.0,2.5,1.3,1.3,4.72,4.91,4.56
2025-26,1629027,Trae Young,1610612737,ATL,5,2,3,27.8,27.8,10406.6,2.0,1.1,0.9,4.47,5.02,3.86
2025-26,1631218,Trayce Jackson-Davis,1610612744,GSW,15,8,7,12.7,12.7,4851.4,0.9,0.5,0.4,4.52,4.61,4.43
2025-26,1642848,Tre Johnson,1610612764,WAS,15,1,14,24.2,24.2,9172.7,1.7,0.9,0.8,4.56,4.96,4.2
2025-26,1630200,Tre Jones,1610612741,CHI,17,7,10,28.6,28.6,11215.4,2.1,1.1,1.0,4.64,5.07,4.23
2025-26,1630544,Tre Mann,1610612766,CHA,18,6,12,20.6,20.6,7923.3,1.5,0.8,0.7,4.55,4.92,4.14
2025-26,1630570,Trendon Watford,1610612755,PHI,14,6,8,20.4,20.4,7590.3,1.4,0.8,0.6,4.39,4.67,4.13
2025-26,1642280,Trentyn Flowers,1610612741,CHI,2,0,2,2.8,2.8,1055.5,0.2,0.1,0.1,4.33,4.44,4.23
2025-26,1641725,Trey Alexander,1610612740,NOP,3,0,3,12.5,12.5,4919.7,0.9,0.5,0.5,4.65,5.04,4.31
2025-26,1641998,Trey Jemison III,1610612752,NYK,3,3,0,3.5,3.5,1288.0,0.2,0.1,0.1,4.29,4.77,3.8
2025-26,1630530,Trey Murphy III,1610612740,NOP,23,3,20,35.7,35.7,13074.7,2.5,1.4,1.1,4.35,4.7,3.98
2025-26,1641774,Tristan Vukcevic,1610612764,WAS,19,3,16,11.7,11.7,4211.6,0.8,0.4,0.4,4.35,4.68,4.04
2025-26,1641783,Tristan da Silva,1610612753,ORL,25,15,10,23.6,23.6,9330.4,1.8,0.9,0.8,4.69,5.1,4.29
2025-26,1629639,Tyler Herro,1610612748,MIA,4,2,2,31.6,31.6,12210.0,2.3,1.2,1.1,4.68,5.42,4.02
2025-26,1642278,Tyler Kolek,1610612752,NYK,20,14,6,9.9,9.9,4005.4,0.8,0.4,0.3,4.77,5.03,4.43
2025-26,1631213,Tyrese Martin,1610612751,BKN,22,5,17,21.2,21.2,8443.8,1.6,0.9,0.7,4.71,5.0,4.41
2025-26,1630178,Tyrese Maxey,1610612755,PHI,23,13,10,39.9,39.9,14732.4,2.8,1.6,1.2,4.41,4.84,3.93
2025-26,1642878,Tyrese Proctor,1610612739,CLE,18,11,7,12.4,12.4,4883.1,0.9,0.5,0.5,4.63,5.02,4.34
2025-26,1630623,Tyson Etienne,1610612751,BKN,8,1,7,4.3,4.3,1854.9,0.4,0.2,0.2,4.85,4.97,4.73
2025-26,1626145,Tyus Jones,1610612753,ORL,25,15,10,14.1,14.1,5291.0,1.0,0.5,0.5,4.46,4.68,4.19
2025-26,1642845,VJ Edgecombe,1610612755,PHI,20,12,8,34.6,34.6,12574.5,2.4,1.3,1.1,4.32,4.62,4.01
2025-26,1641705,Victor Wembanyama,1610612759,SAS,12,8,4,34.7,34.7,12129.9,2.3,1.2,1.1,4.14,4.45,3.85
2025-26,1631246,Vince Williams Jr.,1610612763,MEM,19,8,11,22.2,22.2,8561.2,1.6,0.9,0.8,4.64,5.06,4.24
2025-26,1630249,Vít Krejčí,1610612737,ATL,21,12,9,23.6,23.6,8822.6,1.7,0.9,0.8,4.39,4.85,3.93
2025-26,1631117,Walker Kessler,1610612762,UTA,5,2,3,30.8,30.8,11020.4,2.1,1.1,1.0,4.17,4.31,4.12
2025-26,1642383,Walter Clayton Jr.,1610612762,UTA,19,7,12,17.2,17.2,6566.5,1.2,0.7,0.6,4.46,4.96,3.97
2025-26,1628976,Wendell Carter Jr.,1610612753,ORL,24,15,9,29.7,29.7,10307.5,2.0,1.0,0.9,4.12,4.33,3.92
2025-26,1631111,Wendell Moore Jr.,1610612765,DET,3,3,0,14.4,14.4,5787.7,1.1,0.6,0.5,4.82,5.06,4.59
2025-26,1642954,Will Richard,1610612744,GSW,23,12,11,19.1,19.1,6986.0,1.3,0.7,0.6,4.33,4.52,4.13
2025-26,1642860,Will Riley,1610612764,WAS,16,2,14,10.0,10.0,3990.1,0.8,0.4,0.4,4.72,5.07,4.38
2025-26,1630214,Xavier Tillman,1610612738,BOS,11,7,4,9.4,9.4,3471.1,0.7,0.4,0.3,4.21,4.47,4.05
2025-26,1642905,Yang Hansen,1610612757,POR,13,5,8,7.7,7.7,2682.8,0.5,0.3,0.3,4.11,4.26,3.98
2025-26,1642949,Yanic Konan Niederhäuser,1610612746,LAC,11,3,8,5.2,5.2,1943.1,0.4,0.2,0.2,4.32,4.69,4.16
2025-26,1642274,Yves Missi,1610612740,NOP,18,1,17,19.5,19.5,6942.7,1.3,0.7,0.6,4.26,4.34,4.13
2025-26,1642258,Zaccharie Risacher,1610612737,ATL,22,13,9,24.7,24.7,9673.8,1.8,0.9,0.9,4.71,5.1,4.35
2025-26,1628380,Zach Collins,1610612741,CHI,2,0,2,19.7,19.7,7244.0,1.4,0.7,0.7,4.37,4.98,3.85
2025-26,1641744,Zach Edey,1610612763,MEM,11,7,4,25.8,25.8,8994.0,1.7,0.9,0.8,4.16,4.4,3.92
2025-26,203897,Zach LaVine,1610612758,SAC,22,5,17,33.6,33.6,12496.2,2.4,1.3,1.1,4.47,4.82,4.09
2025-26,1630192,Zeke Nnaji,1610612743,DEN,13,11,2,8.4,8.4,3181.9,0.6,0.3,0.3,4.44,4.42,4.46
2025-26,1630533,Ziaire Williams,1610612751,BKN,20,6,14,22.9,22.9,8573.0,1.6,0.8,0.8,4.41,4.45,4.36
2025-26,1629627,Zion Williamson,1610612740,NOP,10,1,9,30.9,30.9,11521.8,2.2,1.2,1.0,4.37,4.75,3.99
