Metric,RawValue
Midrange Shot Making Efficiency,Midrange Shot Making Efficiency *
Midrange Shot Quality,Midrange Shot Quality *
Midrange Talent,Midrange Talent *
Non-Paint Midrange Openness Rating,Non-Paint Midrange Openness Rating *
Non-Paint Midrange Shooting Talent,Non-Paint Midrange Shooting Talent *
Non-Paint Midrange Shot Creation,Non-Paint Midrange Shot Creation *
Non-Paint Midrange Shot Making,Non-Paint Midrange Shot Making *
Non-Paint Midrange Shot Making Efficiency,Non-Paint Midrange Shot Making Efficiency *
Non-Paint Midrange Shot Quality,Non-Paint Midrange Shot Quality *
One on One Stable eFG%,One on One Stable eFG% *
One on One Shooting Talent,One on One Shooting Talent *
One on One Shot Making,One on One Shot Making *
One on One Shot Making Efficiency,One on One Shot Making Efficiency *
One on One Shot Quality,One on One Shot Quality *
Paint Openness Rating,Paint Openness Rating *
Paint Shooting Talent,Paint Shooting Talent *
Paint Shot Creation,Paint Shot Creation *
Paint Shot Making,Paint Shot Making *
Paint Shot Making Efficiency,Paint Shot Making Efficiency *
Paint Shot Quality,Paint Shot Quality *
Pull-Up Openness Rating,Pull-Up Openness Rating *
Pull-Up Shooting Talent,Pull-Up Shooting Talent *
Pull-Up Shot Creation,Pull-Up Shot Creation *
Pull-Up Shot Making,Pull-Up Shot Making *
Pull-Up Shot Making Efficiency,Pull-Up Shot Making Efficiency *
Pull-Up Shot Quality,Pull-Up Shot Quality *
Self-Created Openness Rating,Self-Created Openness Rating *
Short Mid Range FG%,Short Mid Range FG% *
Stable Long Midrange FG%,Stable Long Midrange FG% *
Stable Short Midrange FG%,Stable Short Midrange FG% *
Cuts Per 75 Possessions,Cuts Per 75 Possessions
Movement Attack Rate,Movement Attack Rate
Movement Distance Rating,Movement Distance Rating *
Movement Scoring Impact Per 75 Possessions,Movement Scoring Impact Per 75 Possessions
Movement Points Per 75 Possessions,Movement Points Per 75 Possessions
Movement Speed Rating,Movement Speed Rating *
Off-Ball Screen Possessions Per 75 Possessions,Off-Ball Screen Possessions Per 75 Possessions
% of Shots at Rim Unassisted,% of Shots at Rim Unassisted *
Contact Finish Rate,Contact Finish Rate *
Drive Assist Rate,Drive Assist Rate *
Drive Assist Per Pass Rate,Drive Assist Per Pass Rate *
Drive Foul Drawn Rate,Drive Foul Drawn Rate *
Drive Foul Rate,Drive Foul Rate *
Drive Passout Rate,Drive Passout Rate *
Drives Per 75 Possessions,Drives Per 75 Possessions *
Rim Openness Rating,Rim Openness Rating *
Finishing Talent,Finishing Talent *
Rim Attempt Consistency,Rim Attempt Consistency *
Rim FG%,Rim FG% *
Rim Makes Consistency,Rim Makes Consistency *
Rim Shot Creation,Rim Shot Creation *
Rim Shot Making,Rim Shot Making *
Rim Shot Making Efficiency,Rim Shot Making Efficiency *
Rim Shot Quality,Rim Shot Quality *
Stable Blocked Shots At Rim Per 75,Stable Blocked Shots At Rim Per 75 *
Stable Rim FG%,Stable Rim FG% *
Rim Shot Attempts Per 75 Possessions,Rim Shot Attempts Per 75 Possessions *
Unassisted Rim Shot Attempts Per 75 Possessions,Unassisted Rim Shot Attempts Per 75 Possessions *
Roll Man Poss Per 75 Possessions,Roll Man Poss Per 75 Possessions
Screen Assists Per 75 Possessions,Screen Assists Per 75 Possessions
Screening Talent,Screening Talent *
Roll Man Impact Per 75 Possessions,Roll Man Impact Per 75 Possessions
Assist Consistency,Assist Consistency *
Assist Points Consistency,Assist Points Consistency *
Assist Points Per 75 Possessions,Assist Points Per 75 Possessions *
At Rim Assist Consistency,At Rim Assist Consistency *
Box Creation,Box Creation *
High Value Assists Per 75 Possessions,High Value Assists Per 75 Possessions *
Lob Passing Creation Rate,Lob Passing Creation Rate *
On-Ball Gravity,On-Ball Gravity *
P&R Creation Rate,P&R Creation Rate *
Passing Creation Quality,Passing Creation Quality *
Passing Creation Volume,Passing Creation Volume *
Passing Efficiency,Passing Efficiency *
Passing Versatility,Passing Versatility *
Pick 6s Thrown Per 75 Poss,Pick 6s Thrown Per 75 Poss *
Playmaking Talent,Playmaking Talent *
Potential Assists Per 100 Passes,Potential Assists Per 100 Passes *
Potential Assists Per 75 Possessions,Potential Assists Per 75 Possessions *
Role-Adjusted Potential Assists Per 100 Passes,Role-Adjusted Potential Assists Per 100 Passes *
Stable At Rim Assists Per 75,Stable At Rim Assists Per 75 *
Stable Bad Pass Out Of Bounds Turnovers Per 75,Stable Bad Pass Out Of Bounds Turnovers Per 75 *
Stable Bad Pass Turnovers Per 75,Stable Bad Pass Turnovers Per 75 *
Stable Dead Ball Turnovers Per 75,Stable Dead Ball Turnovers Per 75 *
Stable Live Ball Bad Pass Turnovers Per 75,Stable Live Ball Bad Pass Turnovers Per 75 *
Stable Live Ball Turnovers Per 75,Stable Live Ball Turnovers Per 75 *
Stable Lost Ball Out Of Bounds Turnovers Per 75,Stable Lost Ball Out Of Bounds Turnovers Per 75 *
Stable Lost Ball Turnovers Per 75,Stable Lost Ball Turnovers Per 75 *
Stable Non Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75 *
Stable Step Out Of Bounds Turnovers Per 75,Stable Step Out Of Bounds Turnovers Per 75 *
Turnovers Consistency,Turnovers Consistency *
Turnovers Per 100 Touches,Turnovers Per 100 Touches *
Paint Touches Per 75 Possessions,Paint Touches Per 75 Possessions *
Post Up Impact Per 75 Possessions,Post Up Impact Per 75 Possessions
Post Up Shooting Talent,Post Up Shooting Talent *
Post Up Shot Making,Post Up Shot Making *
Post Up Shot Making Efficiency,Post Up Shot Making Efficiency *
Post Up Shot Quality,Post Up Shot Quality *
Stable Post Up PPP,Stable Post Up PPP *
Adjusted Offensive Rebounding Success Rate,Adjusted Offensive Rebounding Success Rate *
Average Offensive Rebounding Distance from Rim,Average Offensive Rebounding Distance from Rim *
Percentage of Offensive Rebounds Contested,Percentage of Offensive Rebounds Contested *
Offensive Rebounding Chances Per 75 Possessions,Offensive Rebounding Chances Per 75 Possessions *
Offensive Rebounds Per Game,Offensive Rebounds Per Game *
Offensive Rebounds Per 75 Possessions,Offensive Rebounds Per 75 Possessions *
Offensive Rebounding Consistency,Offensive Rebounding Consistency *
Offensive Rebounding Conversion Skill,Offensive Rebounding Conversion Skill *
Offensive Rebounding Crashing Skill,Offensive Rebounding Crashing Skill *
Offensive Rebounding Talent,Offensive Rebounding Talent *
Putback Scoring Impact Per 75 Possessions,Putback Scoring Impact Per 75 Possessions
Stable FT Offensive Rebounds Per 75,Stable FT Offensive Rebounds Per 75 *
Stable Self OReb Percent of FGA,Stable Self OReb Percent of FGA *
Stable Self OReb Percent of OR,Stable Self OReb Percent of OR *
Stable Self OReb Percent on Rim FGA,Stable Self OReb Percent on Rim FGA *
Stable Self Offensive Rebounds Per 75,Stable Self Offensive Rebounds Per 75 *
Percentage of Shots at Rim Contested,Percentage of Shots at Rim Contested
Block Rate on Contests,Block Rate on Contests
Blocks Per 75 Possessions,Blocks Per 75 Possessions *
Blocks Consistency,Blocks Consistency *
Help Defense Talent,Help Defense Talent *
Help Defensive Activity,Help Defensive Activity *
Help Effectiveness Rating,Help Effectiveness Rating *
Stable Rim DFGA Per 75 Possessions,Stable Rim DFGA Per 75 Possessions *
Stable Defensive FG% at Rim,Stable Defensive FG% at Rim *
Stable Rim dFG% vs. Expected,Stable Rim dFG% vs. Expected *
Post Defense,Post Defense *
Rim Contests Per 75 Possessions,Rim Contests Per 75 Possessions
Rim Deterrence Per 100,Rim Deterrence Per 100 *
Rim Deterrence,Rim Deterrence *
Rim Disruption,Rim Disruption *
Rim Points Saved Per 75 Possessions,Rim Points Saved Per 75 Possessions
Rim Protection,Rim Protection *
Rim dFG% vs Expected,Rim dFG% vs Expected
Screener Mobile Defense,Screener Mobile Defense *
Screener Rim Defense,Screener Rim Defense *
Stable Blocks Per Defensive Goaltends Ratio,Stable Blocks Per Defensive Goaltends Ratio *
Stable Blocks Per Fouls Ratio,Stable Blocks Per Fouls Ratio *
Stable Blocks Per Shooting Fouls Ratio,Stable Blocks Per Shooting Fouls Ratio *
Stable Defensive Goaltends Per 75,Stable Defensive Goaltends Per 75 *
3PT Contests Per 75 Possessions,3PT Contests Per 75 Possessions
Ball Screen Navigation,Ball Screen Navigation *
Defensive Miles Per 75 Possessions,Defensive Miles Per 75 Possessions *
Deflections Per 75 Possessions,Deflections Per 75 Possessions
Loose Ball Recovery Rate,Loose Ball Recovery Rate
Matchup Adjusted Defensive Feet Per Minute,Matchup Adjusted Defensive Feet Per Minute *
Off-Ball Chaser Defense,Off-Ball Chaser Defense *
Passing Lane Defense,Passing Lane Defense *
Perimeter Isolation Defense,Perimeter Isolation Defense *
Pick 6s per 75 Poss,Pick 6s per 75 Poss *
Pickpocket Rating,Pickpocket Rating *
Stable Steals Per Loose Ball Fouls Ratio,Stable Steals Per Loose Ball Fouls Ratio *
Steals Per 75 Possessions,Steals Per 75 Possessions *
Steals Consistency,Steals Consistency *
Adjusted Defensive Rebounding Success Rate,Adjusted Defensive Rebounding Success Rate *
Average Defensive Rebounding Distance from Rim,Average Defensive Rebounding Distance from Rim *
Percentage of Defensive Rebounds Contested,Percentage of Defensive Rebounds Contested *
Defensive Rebonding Chances Per 75 Possessions,Defensive Rebonding Chances Per 75 Possessions *
Defensive Rebounds Per Game,Defensive Rebounds Per Game *
Defensive Reb Per 75 Possessions,Defensive Reb Per 75 Possessions *
Defensive Rebounding Consistency,Defensive Rebounding Consistency *
Defensive Rebounding Conversion Skill,Defensive Rebounding Conversion Skill *
Defensive Rebounding Crashing Skill,Defensive Rebounding Crashing Skill *
Defensive Rebounding Talent,Defensive Rebounding Talent *
Stable Defensive Two Point Rebounds Per 75,Stable Defensive Two Point Rebounds Per 75 *
Stable FT Defensive Rebounds Per 75,Stable FT Defensive Rebounds Per 75 *
Stable FT Defensive Rebounds as a % of Defensive Rebounds,Stable FT Defensive Rebounds as a % of Defensive Rebounds *
% of Time Guarding Athletic Finishers,% of Time Guarding Athletic Finishers *
% of Time Guarding Low Minute Players,% of Time Guarding Low Minute Players *
% of Time Guarding Movement Shooters,% of Time Guarding Movement Shooters *
% of Time Guarding Off-Screen Shooters,% of Time Guarding Off-Screen Shooters *
% of Time Guarding Post Scorers,% of Time Guarding Post Scorers *
% of Time Guarding Primary Ball Handlers,% of Time Guarding Primary Ball Handlers *
% of Time Guarding Roll & Cut Bigs,% of Time Guarding Roll & Cut Bigs *
% of Time Guarding Secondary Ball Handlers,% of Time Guarding Secondary Ball Handlers *
% of Time Guarding Shot Creators,% of Time Guarding Shot Creators *
% of Time Guarding Slashers,% of Time Guarding Slashers *
% of Time Guarding Stationary Shooters,% of Time Guarding Stationary Shooters *
% of Time Guarding Stretch Bigs,% of Time Guarding Stretch Bigs *
% of Time Guarding Versatile Bigs,% of Time Guarding Versatile Bigs *
Defensive Position Estimate,Defensive Position Estimate *
Defensive Positional Versatility,Defensive Positional Versatility *
% of Time Guarding Centers,% of Time Guarding Centers *
% of Time Guarding Power Forwards,% of Time Guarding Power Forwards *
% of Time Guarding Point Guards,% of Time Guarding Point Guards *
% of Time Guarding Small Forwards,% of Time Guarding Small Forwards *
% of Time Guarding Shooting Guards,% of Time Guarding Shooting Guards *
% of Time Guarding Usage Tier 1 Players,% of Time Guarding Usage Tier 1 Players *
% of Time Guarding Usage Tier 2 Players,% of Time Guarding Usage Tier 2 Players *
% of Time Guarding Usage Tier 3 Players,% of Time Guarding Usage Tier 3 Players *
% of Time Guarding Usage Tier 4 Players,% of Time Guarding Usage Tier 4 Players *
% of Time Guarding Usage Tier 5 Players,% of Time Guarding Usage Tier 5 Players *
% of Time Guarding Usage Tier 6 Players,% of Time Guarding Usage Tier 6 Players *
Guarded by Ball Screen Navigation,Guarded by Ball Screen Navigation *
Guarded by Help Defensive Activity,Guarded by Help Defensive Activity *
Guarded by Matchup Difficulty,Guarded by Matchup Difficulty *
Guarded by Off-Ball Chaser Defense,Guarded by Off-Ball Chaser Defense *
Guarded by Perimeter Isolation Defense,Guarded by Perimeter Isolation Defense *
Guarded by Rim Protection,Guarded by Rim Protection *
Avg Height Guarded,Avg Height Guarded *
Guarded 3PT Shooting Talent,Guarded 3PT Shooting Talent *
Guarded 3PT Shot Creation,Guarded 3PT Shot Creation *
Guarded 3PT Shot Making,Guarded 3PT Shot Making *
Guarded On-Ball %,Guarded On-Ball % *
Guarded Bigs%,Guarded Bigs% *
Guarded Finishing Talent,Guarded Finishing Talent *
Guarded Guards%,Guarded Guards% *
Guarded Midrange Talent,Guarded Midrange Talent *
Guarded O-LEBRON,Guarded O-LEBRON *
Guarded Offensive Involvement Rate,Guarded Offensive Involvement Rate *
Guarded Offensive Rebounding Talent,Guarded Offensive Rebounding Talent *
Guarded One on One Talent,Guarded One on One Talent *
Guarded Pick & Roll Ball Handler Frequency%,Guarded Pick & Roll Ball Handler Frequency% *
Guarded Playmaking Talent,Guarded Playmaking Talent *
Guarded Projected Usage%,Guarded Projected Usage% *
Guarded Rim Shot Creation,Guarded Rim Shot Creation *
Guarded Rim Shot Making,Guarded Rim Shot Making *
