Metric,RawValue
Stable FT%,Stable FT% *
Stable Handoff PPP,Stable Handoff PPP *
Stable Isolation PPP,Stable Isolation PPP *
Stable Live Lost Ball Turnovers Per 75,Stable Live Lost Ball Turnovers Per 75 *
Stable Location Shot Making,Stable Location Shot Making *
Stable Location Shot Quality Avg,Stable Location Shot Quality Avg *
Stable Off-Ball Screen PPP,Stable Off-Ball Screen PPP *
Stable P&R Ball Handler PPP,Stable P&R Ball Handler PPP *
Stable P&R Roll Man PPP,Stable P&R Roll Man PPP *
Stable Putbacks PPP,Stable Putbacks PPP *
Stable Relative True Shooting%,Stable Relative True Shooting% *
Stable Spot Up PPP,Stable Spot Up PPP *
Stable True Shooting%,Stable True Shooting% *
Stable Transition PPP,Stable Transition PPP *
Stable eFG%,Stable eFG% *
Transition Openness Rating,Transition Openness Rating *
Transition Shooting Talent,Transition Shooting Talent *
Transition Shot Creation,Transition Shot Creation *
Transition Shot Making,Transition Shot Making *
Transition Shot Making Efficiency,Transition Shot Making Efficiency *
Transition Shot Quality,Transition Shot Quality *
True Shooting %,True Shooting % *
Defense Impact on Possession Quality,Defense Impact on Possession Quality *
Defensive FT Rate Impact,Defensive FT Rate Impact *
Defense Impact on Opponent Shot Quality,Defense Impact on Opponent Shot Quality *
Defensive Possession Volume Impact,Defensive Possession Volume Impact *
Defensive Transition Frequency Impact,Defensive Transition Frequency Impact *
Defensive Turnover Generation Impact,Defensive Turnover Generation Impact *
Defensive eFG% Impact,Defensive eFG% Impact *
Net Possession Quality Impact,Net Possession Quality Impact *
Offense Impact on Possession Quality,Offense Impact on Possession Quality *
Offensive FT Rate Impact,Offensive FT Rate Impact *
Offense Impact on Teammate Shot Quality,Offense Impact on Teammate Shot Quality *
Offensive Possession Volume Impact,Offensive Possession Volume Impact *
Offensive Transition Frequency Impact,Offensive Transition Frequency Impact *
Offensive Turnover Generation Impact,Offensive Turnover Generation Impact *
Offensive eFG% Impact on Teammates,Offensive eFG% Impact on Teammates *
Net Shot Quality Impact,Net Shot Quality Impact *
Net Possession Volume Impact,Net Possession Volume Impact *
Defensive Rebounding Impact,Defensive Rebounding Impact *
Offensive Rebounding Impact,Offensive Rebounding Impact *
Overall Turnover Impact,Overall Turnover Impact *
Total FT Rate Impact,Total FT Rate Impact *
Total Rebounding Impact,Total Rebounding Impact *
Total eFG% Impact,Total eFG% Impact *
Transition Frequency Impact,Transition Frequency Impact *
Teammate 3PT Attempt rate,Teammate 3PT Attempt rate *
Teammate 3PT Pull Up Shot Creation,Teammate 3PT Pull Up Shot Creation *
Teammate 3PT Pull Up Shot Making,Teammate 3PT Pull Up Shot Making *
Teammate 3PT Pull Up Talent,Teammate 3PT Pull Up Talent
Teammate 3PT Shooting Talent,Teammate 3PT Shooting Talent *
Teammate 3PT Shot Creation,Teammate 3PT Shot Creation *
Teammate 3PT Shot Making,Teammate 3PT Shot Making *
Teammate 3PT Versatility Rating,Teammate 3PT Versatility Rating *
Teammate Age,Teammate Age *
Teammate Assist%,Teammate Assist%
Teammate Avg Height Guarded,Teammate Avg Height Guarded *
Teammate Ball Screen Navigation,Teammate Ball Screen Navigation *
Teammate C&S 3PT Shooting Talent,Teammate C&S 3PT Shooting Talent
Teammate C&S 3PT Shot Making,Teammate C&S 3PT Shot Making *
Teammate D-DPM,Teammate D-DPM *
Teammate D-LEBRON,Teammate D-LEBRON *
Teammate DPM,Teammate DPM *
Teammate Deep 3PT Shooting Talent,Teammate Deep 3PT Shooting Talent *
Teammate Defensive Position Estimate,Teammate Defensive Position Estimate *
Teammate Defensive Positional Versatility,Teammate Defensive Positional Versatility *
Teammate Defensive Rebounding Talent,Teammate Defensive Rebounding Talent *
Teammate Defensive Role Versatility,Teammate Defensive Role Versatility *
Teammate Experience,Teammate Experience *
Teammate FT Rate,Teammate FT Rate *
Teammate FT%,Teammate FT% *
Teammate Finishing Talent,Teammate Finishing Talent *
Teammate Floater Shot Making,Teammate Floater Shot Making *
Teammate Floater Talent,Teammate Floater Talent
Teammate GS%,Teammate GS% *
Teammate Half Court Shooting Talent,Teammate Half Court Shooting Talent *
Teammate Half Court Shot Creation,Teammate Half Court Shot Creation *
Teammate Half Court Shot Making,Teammate Half Court Shot Making *
Teammate Height,Teammate Height *
Teammate Help Defense Talent,Teammate Help Defense Talent *
Teammate Help Defensive Activity,Teammate Help Defensive Activity
Teammate Help Effectiveness Rating,Teammate Help Effectiveness Rating *
Teammate LEBRON,Teammate LEBRON *
Teammate Lob Creation Rate,Teammate Lob Creation Rate
Teammate Matchup Difficulty,Teammate Matchup Difficulty *
Teammate Midrange Pull Up Shot Creation,Teammate Midrange Pull Up Shot Creation *
Teammate Midrange Pull Up Shot Making,Teammate Midrange Pull Up Shot Making *
Teammate Midrange Pull Up Talent,Teammate Midrange Pull Up Talent
Teammate Midrange Shot Creation,Teammate Midrange Shot Creation *
Teammate Midrange Shot Making,Teammate Midrange Shot Making *
Teammate Midrange Talent,Teammate Midrange Talent *
Teammate Minutes Per Game,Teammate Minutes Per Game *
Teammate Movement Points Per 75,Teammate Movement Points Per 75
Teammate Movement Scoring Impact Per 75 Possessions,Teammate Movement Scoring Impact Per 75 Possessions
Teammate O-DPM,Teammate O-DPM *
Teammate O-LEBRON,Teammate O-LEBRON *
Teammate Off-Ball Chaser Defense,Teammate Off-Ball Chaser Defense *
Teammate Off-Ball Gravity,Teammate Off-Ball Gravity *
Teammate Off-Ball Shot Making,Teammate Off-Ball Shot Making *
Teammate Off-Ball%,Teammate Off-Ball%
Teammate Offensive Involvement Rate,Teammate Offensive Involvement Rate *
Teammate Offensive Portability,Teammate Offensive Portability *
Teammate Offensive Rebounding Talent,Teammate Offensive Rebounding Talent
Teammate On-Ball Gravity,Teammate On-Ball Gravity *
Teammate On-Ball%,Teammate On-Ball% *
Teammate One on One Talent,Teammate One on One Talent
Teammate Overall Coverage Aggression,Teammate Overall Coverage Aggression
Teammate Overall Coverage Versatility,Teammate Overall Coverage Versatility
Teammate Overall Gravity,Teammate Overall Gravity *
Teammate Overall Shooting Talent,Teammate Overall Shooting Talent *
Teammate Overall Shot Creation,Teammate Overall Shot Creation *
Teammate Overall Shot Making,Teammate Overall Shot Making *
Teammate P&R Coverage Aggression,Teammate P&R Coverage Aggression
Teammate P&R Coverage Versatility,Teammate P&R Coverage Versatility
Teammate Stable Rim dFG% vs Expected%,Teammate Stable Rim dFG% vs Expected%
Teammate Stable Rim dFG%,Teammate Stable Rim dFG%
Teammate Padded True Usage%,Teammate Padded True Usage% *
Teammate Passing Creation Quality,Teammate Passing Creation Quality
Teammate Passing Creation Volume,Teammate Passing Creation Volume
Teammate Passing Efficiency,Teammate Passing Efficiency
Teammate Passing Versatility,Teammate Passing Versatility
Teammate Perimeter Isolation Defense,Teammate Perimeter Isolation Defense *
Teammate Playmaking Talent,Teammate Playmaking Talent *
Teammate Portability,Teammate Portability *
Teammate Position Estimate,Teammate Position Estimate *
Teammate Post Defense,Teammate Post Defense *
Teammate Primary Defender Involvement Rate,Teammate Primary Defender Involvement Rate
Teammate Pull-Up Shooting Talent,Teammate Pull-Up Shooting Talent
Teammate Quick Decision Making%,Teammate Quick Decision Making%
Teammate Rim Protection,Teammate Rim Protection *
Teammate Rim Shot Creation,Teammate Rim Shot Creation *
Teammate Rim Shot Making,Teammate Rim Shot Making *
Teammate Screener Mobile Defense,Teammate Screener Mobile Defense
Teammate Screener Rim Defense,Teammate Screener Rim Defense
Teammate Screening Talent,Teammate Screening Talent *
Teammate Self-Created Shot Making,Teammate Self-Created Shot Making *
Teammate TS%,Teammate TS%
Teammate Transition Shooting Talent,Teammate Transition Shooting Talent *
Teammate Transition Shot Creation,Teammate Transition Shot Creation *
Teammate Transition Shot Making,Teammate Transition Shot Making *
Teammate True Usage%,Teammate True Usage% *
Teammate Turnover%,Teammate Turnover%
Teammate Two Way Usage,Teammate Two Way Usage *
Teammate Usage Rate%,Teammate Usage Rate%
