Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,14,Corey Conners,27.43,123.26,1.2000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8100,22.86,0.2000,102.72,ok,Corey Conners,,39997,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,15,Russell Henley,27.40,96.10,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10500,27.40,0.0000,96.10,ok,Russell Henley,,34098,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,16,Sam Stevens,27.40,149.42,1.2000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6400,22.83,0.2000,124.52,ok,Sam Stevens,,55893,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,17,Xander Schauffele,27.35,86.22,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,12100,27.35,0.0000,86.22,ok,Xander Schauffele,,48081,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,18,Collin Morikawa,27.35,86.27,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11400,27.35,0.0000,86.27,ok,Collin Morikawa,,50525,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,19,Tommy Fleetwood,27.24,106.72,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,11900,27.24,0.0000,106.72,ok,Tommy Fleetwood,,30911,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,20,Chris Gotterup,27.23,128.26,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10300,27.23,0.0000,128.26,ok,Chris Gotterup,,59095,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,21,Jake Knapp,27.22,105.50,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8800,27.22,0.0000,105.50,ok,Jake Knapp,,47420,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,22,Rory McIlroy,27.22,86.86,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,12800,27.22,0.0000,86.86,ok,Rory McIlroy,,28237,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,23,Michael Thorbjornsen,27.18,109.48,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9100,27.18,0.0000,109.48,ok,Michael Thorbjornsen,,57364,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
