Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,55,Akshay Bhatia,24.84,108.01,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8600,24.84,0.0000,108.01,ok,Akshay Bhatia,,56630,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,56,Ryan Fox,24.84,86.06,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8300,22.58,0.1000,78.24,ok,Ryan Fox,,29936,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,57,Rickie Fowler,24.80,101.27,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8600,24.80,0.0000,101.27,ok,Rickie Fowler,,32102,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,58,Ryan Gerard,24.69,105.82,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8900,24.69,0.0000,105.82,ok,Ryan Gerard,,59018,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,59,Michael Brennan,24.48,16.69,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9300,24.48,0.0000,16.69,ok,Michael Brennan,,61522,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,60,Aaron Rai,24.43,92.00,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8100,24.43,0.0000,92.00,ok,Aaron Rai,,46414,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,61,Jordan Smith,24.25,8.15,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8200,24.25,0.0000,8.15,ok,Jordan Smith,,46464,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,62,Adam Scott,24.19,76.52,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8400,24.19,0.0000,76.52,ok,Adam Scott,,24502,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,63,Viktor Hovland,24.13,80.77,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,10100,24.13,0.0000,80.77,ok,Viktor Hovland,,46717,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,64,Kristoffer Reitan,24.10,2.52,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8800,24.10,0.0000,2.52,ok,Kristoffer Reitan,,49855,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,65,Aldrich Potgieter,23.92,64.50,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6100,23.92,0.0000,64.50,ok,Aldrich Potgieter,,63343,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,66,Tom Kim,23.82,94.14,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,9700,23.82,0.0000,94.14,ok,Tom Kim,,55182,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,67,Sungjae Im,23.75,103.65,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7900,23.75,0.0000,103.65,ok,Sungjae Im,,39971,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,68,Shane Lowry,23.46,84.13,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8700,23.46,0.0000,84.13,ok,Shane Lowry,,33204,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,69,Alex Fitzpatrick,19.95,0.00,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8300,19.95,0.0000,0.00,ok,Alex Fitzpatrick,,55721,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
