id,Name,firstName,lastName,normalized_name
50582,Jeremy Paul,Jeremy,Paul,jeremy paul
23108,Matt Kuchar,Matt,Kuchar,matt kuchar
60019,Jackson Suber,Jackson,Suber,jackson suber
29535,Brice Garnett,Brice,Garnett,brice garnett
46717,Viktor Hovland,Viktor,Hovland,viktor hovland
27139,David Skinns,David,Skinns,david skinns
52686,Rasmus Højgaard,Rasmus,Højgaard,rasmus højgaard
56781,Isaiah Salinda,Isaiah,Salinda,isaiah salinda
35310,Lanto Griffin,Lanto,Griffin,lanto griffin
37378,Min Woo Lee,Min Woo,Lee,min woo lee
60067,Joe Highsmith,Joe,Highsmith,joe highsmith
29936,Ryan Fox,Ryan,Fox,ryan fox
22405,Justin Rose,Justin,Rose,justin rose
55165,Noah Goodwin,Noah,Goodwin,noah goodwin
46601,Trey Mullinax,Trey,Mullinax,trey mullinax
34021,Bud Cauley,Bud,Cauley,bud cauley
55789,Taylor Montgomery,Taylor,Montgomery,taylor montgomery
48153,Matthieu Pavon,Matthieu,Pavon,matthieu pavon
40006,Erik van Rooyen,Erik,van Rooyen,erik van rooyen
27064,Jhonattan Vegas,Jhonattan,Vegas,jhonattan vegas
51634,Sahith Theegala,Sahith,Theegala,sahith theegala
27649,Brandt Snedeker,Brandt,Snedeker,brandt snedeker
49453,Trevor Cone,Trevor,Cone,trevor cone
24502,Adam Scott,Adam,Scott,adam scott
32070,Rafael Campos,Rafael,Campos,rafael campos
58933,Will Chandler,Will,Chandler,will chandler
49590,Frankie Capan III,Frankie,Capan III,frankie capan iii
45157,Cam Davis,Cam,Davis,cam davis
50484,Hayden Springer,Hayden,Springer,hayden springer
47988,Nick Hardy,Nick,Hardy,nick hardy
29725,Tony Finau,Tony,Finau,tony finau
59160,John Pak,John,Pak,john pak
32757,Patton Kizzire,Patton,Kizzire,patton kizzire
54607,Danny Walker,Danny,Walker,danny walker
38991,Alejandro Tosti,Alejandro,Tosti,alejandro tosti
34466,Peter Malnati,Peter,Malnati,peter malnati
28775,Nate Lashley,Nate,Lashley,nate lashley
36824,Paul Peterson,Paul,Peterson,paul peterson
52453,Nicolai Højgaard,Nicolai,Højgaard,nicolai højgaard
46646,Antoine Rozner,Antoine,Rozner,antoine rozner
46443,Brian Campbell,Brian,Campbell,brian campbell
28089,Jason Day,Jason,Day,jason day
56762,Will Gordon,Will,Gordon,will gordon
54304,Karl Vilips,Karl,Vilips,karl vilips
40058,Zac Blair,Zac,Blair,zac blair
63343,Aldrich Potgieter,Aldrich,Potgieter,aldrich potgieter
54421,Garrick Higgo,Garrick,Higgo,garrick higgo
58619,Kevin Velo,Kevin,Velo,kevin velo
29420,Billy Horschel,Billy,Horschel,billy horschel
47056,Rikuya Hoshino,Rikuya,Hoshino,rikuya hoshino
55708,Hayden Buckley,Hayden,Buckley,hayden buckley
52370,Mason Andersen,Mason,Andersen,mason andersen
39859,Cristobal Del Solar,Cristobal,Del Solar,cristobal del solar
